miliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
3100,1.925473324910468e-06,5.289637824793457e-09,2.946460309877574e-07,2.6243255328003454e-08,6.8049038941708975e-09,5.003461215612531e-10,7.541245541461043e-11,2.2456581708453712e-07
3200,1.9662351649581035e-06,5.445307462372114e-09,3.1564780790791676e-07,2.7172240470534075e-08,7.251004503772653e-09,6.4351807454378e-10,8.092356710496868e-11,2.3598755842056037e-07
3300,2.058401301975011e-06,5.723796481153526e-09,3.4250835700565033e-07,2.9725753571521173e-08,7.732371746034562e-09,7.237254354641541e-10,9.51494898949839e-11,2.4446934929003577e-07
3400,2.1280270001087424e-06,6.134944285655801e-09,3.626523901326836e-07,3.396552282960299e-08,7.917837094165344e-09,7.674746335299953e-10,9.761854426863385e-11,2.510851415203588e-07
3500,2.1543759008346175e-06,6.479738726982239e-09,3.8457190606038137e-07,3.4903248080323854e-08,8.480916243593469e-09,8.748003737349313e-10,1.0560319691867586e-10,2.5765730351721187e-07
3600,2.187847075111241e-06,6.89694197215986e-09,3.8351448156096353e-07,3.824467865344169e-08,8.8244832440423e-09,9.891333230247604e-10,1.2113155507825578e-10,2.692109634739387e-07
3700,2.2234732849035085e-06,6.974268507584691e-09,4.191406705452797e-07,4.088118121824924e-08,9.456246733531109e-09,1.0654754515398682e-09,1.2504952518132174e-10,2.737588721402881e-07
3800,2.3395577576640272e-06,7.648958672027451e-09,4.3700733829498145e-07,4.586693407990563e-08,9.993221105152756e-09,1.1317017336160058e-09,1.3738462535277614e-10,2.761765089652735e-07
3900,2.341535924283751e-06,7.99356302962594e-09,4.4936122240487776e-07,4.7803545092454645e-08,1.0603004648904098e-08,1.318085526827137e-09,1.4528569154605826e-10,2.9121447639357053e-07
4000,2.4500317938249392e-06,8.175587045438519e-09,4.6766572156795745e-07,5.216054457166968e-08,1.133781287731696e-08,1.3808869587961485e-09,1.6064976763768572e-10,2.9139606150603705e-07
4100,2.4351522449347483e-06,8.693378784452214e-09,4.82794124210821e-07,5.539205924644361e-08,1.1847104867410878e-08,1.5357790390432233e-09,1.736369590858571e-10,2.998339404632911e-07
4200,2.4919100405859878e-06,9.194284158217776e-09,5.119993707052395e-07,6.054985821719274e-08,1.2438311509606643e-08,1.7386669125705968e-09,1.8104699535704255e-10,3.077845704130699e-07
4300,2.5213615066907173e-06,9.312684873226447e-09,5.283416119174516e-07,6.202457534424455e-08,1.2811313237318522e-08,1.8378989860737867e-09,1.9186720791422974e-10,3.1627497829370726e-07
4400,2.5622265337381424e-06,9.744652929517701e-09,5.656139530079714e-07,6.83136298326852e-08,1.3639168010794266e-08,2.032009288718493e-09,2.0983004272488634e-10,3.246020470759652e-07
4500,2.6126374036394286e-06,1.0217732165342156e-08,5.785707481027177e-07,7.154808016196616e-08,1.4017433055912712e-08,2.1958467150112777e-09,2.2599234800232882e-10,3.329935349670852e-07
4600,2.728631150164872e-06,1.0702465818413754e-08,5.928106116364791e-07,7.62304643845648e-08,1.4556063347232425e-08,2.3416495556726156e-09,2.3949169681942726e-10,3.3505479043998516e-07
4700,2.725122244975001e-06,1.1191233476761377e-08,6.273397448313837e-07,8.126015542101656e-08,1.5161534343439588e-08,2.556155460868006e-09,2.530112653994379e-10,3.444758051015662e-07
4800,2.7876421372200317e-06,1.1409118681535252e-08,6.490808539157079e-07,8.528185881154397e-08,1.633958514166019e-08,2.7794329444909613e-09,2.666424112115617e-10,3.533979202591467e-07
4900,2.8390000778763657e-06,1.1848050855942166e-08,6.565115545550025e-07,9.05130773718578e-08,1.6890869542203895e-08,3.05371944291715e-09,2.8666105302703167e-10,3.6039341032107175e-07
5000,2.851166405758982e-06,1.2583400699290532e-08,6.850668396592075e-07,9.630167126318086e-08,1.7421541368552325e-08,3.288808006705027e-09,3.0270910083601346e-10,3.5951252036734157e-07
