milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
2700,1.6933951971567117e-06,3.790579632685757e-09,2.2840867255713287e-07,1.7979406732447434e-08,5.072009605802766e-09,3.5968178112013987e-10,4.8178604174988744e-11,1.9701053347989784e-07
2800,1.7508664559171955e-06,4.142196593553952e-09,2.560265677598035e-07,1.925257424543614e-08,5.463761057288268e-09,3.318766114235866e-10,5.800713256240081e-11,2.0436137771104898e-07
2900,1.7994674311865836e-06,4.388525046030309e-09,2.6235030595122304e-07,2.010688766979593e-08,5.759602217151008e-09,4.0607028141368535e-10,6.442429813039801e-11,2.1753439613211644e-07
3000,1.8782316821877108e-06,4.625421300376984e-09,2.776118865817285e-07,2.381205858478608e-08,6.35814649760076e-09,4.656306517783218e-10,7.012449502361684e-11,2.2383877221784538e-07
3100,1.9094052626996947e-06,5.198702951321764e-09,2.932305131363841e-07,2.668846482786912e-08,6.5888304442245654e-09,5.28966721020918e-10,7.408443334422061e-11,2.259117663184098e-07
3200,2.0423115332452907e-06,5.265248040445712e-09,3.2978644726961024e-07,2.6797119234964054e-08,7.105723087355431e-09,6.06783872351748e-10,8.513430325326914e-11,2.3473731423049653e-07
3300,2.0707978324756335e-06,5.814150854088549e-09,3.381668604057032e-07,3.059884396945698e-08,7.283807051755479e-09,7.255643596604187e-10,8.838565908289867e-11,2.471738984113429e-07
3400,2.115064568330428e-06,6.0148390895254256e-09,3.6223821335577795e-07,3.247851972158245e-08,7.913714696066851e-09,7.882300951459185e-10,1.0324931973380057e-10,2.489725900653282e-07
3500,2.1821259509132753e-06,6.6045439709944425e-09,3.783203969356752e-07,3.70946634666885e-08,8.496368315073544e-09,8.312074137647959e-10,1.1071031932845515e-10,2.5757539009571055e-07
3600,2.184534945619493e-06,6.905199180242534e-09,3.9587386577843133e-07,3.8205717166726204e-08,8.909767642122492e-09,9.54843499813107e-10,1.171180166993602e-10,2.6718989809309273e-07
3700,2.225917484874089e-06,7.084375793908312e-09,4.116297898128445e-07,4.102561868300417e-08,9.384075232985199e-09,1.0212728454128858e-09,1.2656603140446537e-10,2.7387399764487985e-07
3800,2.30180862612391e-06,7.551777732024698e-09,4.316843122993572e-07,4.437760976812705e-08,9.764315986878936e-09,1.1392311331739808e-09,1.4022981394810132e-10,2.7625832727491373e-07
3900,2.366885556261027e-06,7.929808946674305e-09,4.449897415823641e-07,4.817205029267543e-08,1.067339850049843e-08,1.289431515163042e-09,1.4843801189136877e-10,2.8435919994717897e-07
4000,2.449703909578495e-06,8.062171671825848e-09,4.724332023404577e-07,5.058144012968566e-08,1.113338458309601e-08,1.4002525519453036e-09,1.5533962021668218e-10,2.9415248302036826e-07
4100,2.42025734005521e-06,8.743194925213693e-09,4.900665759531361e-07,5.644735754914721e-08,1.156505180732115e-08,1.530837147564048e-09,1.750285289262867e-10,3.0003661906478097e-07
4200,2.52702224083355e-06,8.958296002602462e-09,5.24155287017023e-07,5.973532949350282e-08,1.2323443514061357e-08,1.7122255269083216e-09,1.8551250955509432e-10,3.079717648568525e-07
4300,2.5727468659432877e-06,9.297155740422949e-09,5.43138142585731e-07,6.396617508652648e-08,1.279992972352053e-08,1.8411196139112202e-09,1.9609483998567682e-10,3.1311447665116956e-07
4400,2.579779516351688e-06,9.993913785895928e-09,5.453073607376291e-07,6.689015991168849e-08,1.368366657730586e-08,1.983387827793786e-09,2.0836707773169697e-10,3.198921643802432e-07
4500,2.675380394484027e-06,1.0290308572425338e-08,5.66368947652195e-07,7.168863614780814e-08,1.4338671806658539e-08,2.2335958693481157e-09,2.1920593187097633e-10,3.322283534279529e-07
4600,2.6742840076250464e-06,1.0640462915734046e-08,5.9748992319291e-07,7.505949574144422e-08,1.4833361051501313e-08,2.385720317586353e-09,2.370055909337749e-10,3.3861929153284415e-07
4700,2.744362651081035e-06,1.0914395526420438e-08,6.22725520418254e-07,8.01912595545199e-08,1.5411139312633994e-08,2.6144963727522534e-09,2.4937943675886385e-10,3.4350143415182725e-07
4800,2.7917586370051897e-06,1.161316429203005e-08,6.372883762249635e-07,8.601117162609306e-08,1.6167256924649257e-08,2.810725624267299e-09,2.6719231081337956e-10,3.4858891662538635e-07
4900,2.852722924777571e-06,1.1824644538528881e-08,6.689451033719074e-07,9.133897404982845e-08,1.6909284476720926e-08,2.975279687618015e-09,2.836226245181665e-10,3.5448494753215304e-07
5000,2.8563834282545464e-06,1.2527555112633373e-08,6.783366120867662e-07,9.52997410536876e-08,1.724700851416258e-08,3.2173669553251525e-09,3.052913084357895e-10,3.607662868772604e-07
