miliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
2800,1.7638779156057446e-06,4.127014616075944e-09,2.6323684567653624e-07,1.807436315187005e-08,5.222884966478651e-09,3.3668522471846565e-10,5.328768977767385e-11,2.1003524700811647e-07
2900,1.7988240455570895e-06,4.594141118053524e-09,2.6469030947892485e-07,2.0742682736053215e-08,5.959219969545788e-09,4.03042416667963e-10,6.498919562585356e-11,2.1559990939348716e-07
3000,1.8837994702923912e-06,4.707931640705144e-09,2.9039818775586906e-07,2.4517006677997466e-08,6.231624787948507e-09,4.976585950992462e-10,7.159911710599896e-11,2.2443020692631747e-07
3100,1.9903328233518774e-06,5.265914875411982e-09,3.023689067337373e-07,2.4942153903086433e-08,6.409686386757565e-09,5.212609353697787e-10,7.825879736554e-11,2.307525903428754e-07
3200,2.023939731624435e-06,5.414470745975977e-09,3.171982279016276e-07,2.7279262659460247e-08,6.81152703974673e-09,6.453080028208287e-10,8.83925669794025e-11,2.3447287596145665e-07
3300,2.0596458747504156e-06,5.896739159689809e-09,3.3244046719541953e-07,3.1275240928818575e-08,7.550941047574608e-09,7.313116037969692e-10,9.183659324906032e-11,2.3930558179462946e-07
3400,2.1158072843842915e-06,5.958739741156388e-09,3.5123515025990406e-07,3.2999913407555904e-08,7.757656017453271e-09,7.946485023024608e-10,9.975287180394873e-11,2.5463166262724594e-07
3500,2.188205785384743e-06,6.466338812215248e-09,3.773518738823256e-07,3.597289955033688e-08,8.342805138120195e-09,8.512341668348782e-10,1.0820191609854803e-10,2.5398107816363294e-07
3600,2.2349445666546587e-06,6.902381022773324e-09,3.9379037690281056e-07,3.967062870837846e-08,8.733909449221721e-09,9.141723322046219e-10,1.1858449380221516e-10,2.691116463977728e-07
3700,2.267123013104671e-06,7.02448987697096e-09,4.1743106627097516e-07,4.1709971715795265e-08,9.300432285031777e-09,1.0499786580620601e-09,1.2566842740082163e-10,2.692637377981226e-07
3800,2.295897667012787e-06,7.362598806515589e-09,4.388215985019292e-07,4.599618779063565e-08,9.743289080833709e-09,1.2007158838857113e-09,1.4095232578326402e-10,2.8095191983715544e-07
3900,2.3229009042057605e-06,7.841332561185277e-09,4.5353082236962117e-07,4.815924640582941e-08,1.0337487211747867e-08,1.3101229643484386e-09,1.527721550498051e-10,2.9240351971928053e-07
4000,2.411007779403108e-06,8.113965856740219e-09,4.7643298444272354e-07,5.310164939930077e-08,1.1352805388641622e-08,1.418104101688346e-09,1.5702004696825818e-10,2.9703302998415285e-07
4100,2.4900109525810585e-06,8.549939080652655e-09,4.963916494458867e-07,5.418362989636235e-08,1.1530021611412014e-08,1.5132589292104985e-09,1.747181715190948e-10,3.068121982888895e-07
4200,2.468239204714928e-06,8.824834714301986e-09,5.142011626637476e-07,5.951195290655903e-08,1.2107252628787187e-08,1.6842066576263686e-09,1.8685677256283578e-10,3.086363393257215e-07
4300,2.546745839873564e-06,9.277716900725973e-09,5.381088756304547e-07,6.405660343280692e-08,1.305058530124283e-08,1.8442882620163675e-09,1.9223384325396179e-10,3.1832677412522727e-07
4400,2.6069921518126296e-06,9.900838157758126e-09,5.551700212687153e-07,6.82191939013661e-08,1.3492854267366446e-08,2.0606558828693068e-09,2.1217881384638438e-10,3.238893587677032e-07
4500,2.691670486746526e-06,1.01862836865087e-08,5.772261049321836e-07,7.29161565583308e-08,1.4144111905430088e-08,2.2328311767636425e-09,2.2368067839570016e-10,3.258500709455707e-07
4600,2.659180128565436e-06,1.0697849817717738e-08,6.044886154621081e-07,7.604995538217484e-08,1.5006006694716274e-08,2.3939804795494224e-09,2.4034463809463946e-10,3.401442925587243e-07
4700,2.7328424918944308e-06,1.1001081804865609e-08,6.307821374888588e-07,8.15519718726808e-08,1.5690575440077812e-08,2.559296472998699e-09,2.5041642608949437e-10,3.3849634686720424e-07
4800,2.8182320975914656e-06,1.1404337486063104e-08,6.469430396374654e-07,8.411892706195e-08,1.6264269150943904e-08,2.7655603907974476e-09,2.698131540658983e-10,3.560014123376918e-07
4900,2.8647192956984075e-06,1.2088915119055006e-08,6.718745571945269e-07,8.958829539689932e-08,1.700860678833991e-08,3.0225310889880545e-09,2.8752380035352844e-10,3.5241507848846883e-07
5000,2.8935086616863206e-06,1.2492520820751453e-08,6.958797722919632e-07,9.560467338411784e-08,1.7549604579633124e-08,3.226799299534505e-09,3.049050698066146e-10,3.642771124660742e-07
