milliseconds,GLC,F6P,FBP,GAP,DPG,PEP,PYR_cyt,AMP,LAC,G3P,DHAP,OXA_cyt,Asp_cyt,Glu_cyt,OG_cyt,Mal_cyt,Acetyl_CoA_cyt,CoA_cyt,IsoCitcyt,Cit_cyt,ATP_cyt,ADP_cyt,NAD,NADH_cyt,NADP_cyt,NADPH_cyt,Pyr,CO2,CoA,Acetyl_CoA,Pi,Fum,SCoA,Suc,GTP,GDP,Ala,Asp,Glu,H2O,ETFred,ETFox,FADH2,FAD,OG,Mal,OXA,Cit,IsoCit,ATP,ADP,NADP_p,NADPH,NAD_p,NADH,Q,QH2,Cytc3p,Cytc2p
1000,0.00043810178947952324,0.0006978948347343884,0.00022544387611464454,3.8964837736445584e-05,0.00030287616363622603,4.781026877651906e-06,5.108068970128338e-05,5.652248262275537e-05,0.00038181256393797405,0.007692500654703045,0.0076924991159838816,1.0884956891128622e-06,0.001190875444120849,0.0029776485146331836,1.0558958692800462e-05,0.00036151528611381176,3.0000000201796835e-05,0.00027199999979738695,0.00048591355654664713,0.0005058292745127066,0.004269756666702994,0.0005144952297883468,0.003522763655465211,0.0006522881162019697,0.0036181079863105564,0.0006188374631694735,0.00083512298739003,0.0018269878019772164,8.684347894424576e-05,0.0002307978039769224,0.003960408723308298,0.00011385273660101661,0.00027862928060742355,0.0029636575738018036,0.004518164609593025,0.0004341105171660895,0.0034400049785661834,0.0010717367320007244,0.003099419621770199,0.0010198400840176018,0.0003268644918166959,0.0003042305097144463,7.200345549004341e-05,0.0010099975984313384,2.3115720701199736e-05,0.0006029538729409615,4.348385884477077e-06,0.0003497560082384552,0.0003338891364564514,0.004356492663778308,0.00043151812305384607,0.010098079429974462,7.387315927285435e-05,0.00995351385938214,0.0008705872733524209,0.025970759878016156,0.02803241886675,0.0029928892204740434,0.00011772451078657039
1100,0.0004110069396351129,0.0006234179957674618,0.0003452773997884553,5.344718814062032e-05,0.00038317739357649665,4.6062385719669215e-06,5.424334709889187e-05,8.064244873852757e-05,0.0003018394570001358,0.0076925009297873406,0.007692499337828164,1.0663434821677215e-06,0.0012054335581019487,0.0029670887423449864,1.0102510517540327e-05,0.00036300599168879885,3.000000021693007e-05,0.000271999999788711,0.00048707597673752485,0.000503370187127715,0.004163632653001947,0.0005632935392708956,0.003591896295411623,0.0006739682458024241,0.003617356912622657,0.0006187391010220821,0.0008083012763633446,0.0018356254451331795,7.862157713262578e-05,0.00023864958806629877,0.003953871603948933,0.00011637422686188641,0.00027839801020713685,0.0029711879664889376,0.004520187505691287,0.0004346499209691257,0.003440004585186279,0.0010727615947562362,0.003098479199701275,0.0010238774824601106,0.00032819016503000297,0.00030036920959763155,7.200270002843173e-05,0.0010099963174952766,2.313813625409809e-05,0.0006019015135731221,4.417113623926685e-06,0.00034849047738390727,0.00033578847012538676,0.004354079553392626,0.0004279156852390465,0.010097513384647837,7.447171476747532e-05,0.009940643488938859,0.0008755630329257796,0.025966221908069867,0.02803401342987141,0.0029927239344832925,0.00011865514577282161
1200,0.00047594928637608694,0.0005150691507734548,0.00039687423150255033,8.978561798177698e-05,0.00036066529286322025,6.47509061073831e-06,8.167592824684792e-05,9.72032804549119e-05,0.00032989416567191934,0.007692501034875795,0.007692499424902729,1.036959038163994e-06,0.0012086351918572844,0.002963599374229829,1.0267845740178977e-05,0.0003583527046520915,3.0000000198907908e-05,0.000271999999793533,0.00048685525313851965,0.0005093285729267942,0.00401558385421354,0.0006371987777038412,0.0034933742115669715,0.0007784550839832371,0.003617092677998311,0.000619687876876622,0.0007997033813070424,0.001845163806872058,7.651911340748612e-05,0.0002458822354061476,0.00395873623896979,0.00011805947910987436,0.00027011162499271873,0.0029642157364251423,0.0045206650557729836,0.00043181674855090427,0.0034400061924608795,0.0010559551240488419,0.0031145465443309997,0.0010260295856860378,0.0003293632597044788,0.00030009529763879247,7.200324873638167e-05,0.0010099962678009856,2.2555671383214984e-05,0.0006031452238945297,4.460736051272879e-06,0.00034940161053631193,0.0003303969560631267,0.004302234071395153,0.00042522768677632133,0.010097253191059155,7.458783495155115e-05,0.009935825646898742,0.0008783117468404353,0.025963053810331625,0.028032671700848475,0.002990167046233922,0.00011876333445395521
1300,0.000457707272428292,0.0004235294007623099,0.00048375288564648974,0.00011191283514987213,0.00036794244782245415,7.395282328996319e-06,9.156620826393622e-05,0.00012519251532857933,0.00042532914059848116,0.007692500974459877,0.007692498895555781,1.0060571293143854e-06,0.0012138536039174436,0.0029548134942566644,9.414950007077323e-06,0.00035650622774173376,3.000000023931035e-05,0.0002719999997689255,0.0004863814364770619,0.0005094555007417397,0.003973672027867572,0.0007058783456784894,0.0033873347636525822,0.0007359354970852623,0.0036170137492904293,0.0006194003471049284,0.0008040766658597565,0.0018534075716954502,6.80208521273122e-05,0.00025929338194177005,0.003942741641849921,0.00011879414642172671,0.00027333956988488705,0.0029776775190391977,0.004521439110628447,0.00042790989443606826,0.0034400068341481657,0.0010608910509653463,0.0031101442233150436,0.001026877309395214,0.00033212115376442025,0.00030016147988744035,7.200342147693322e-05,0.0010099958464362495,2.217506188350361e-05,0.0006019470652612833,4.51261835505867e-06,0.0003479750215811844,0.0003289220326299228,0.004314727000279948,0.00042331567765615174,0.010097404386102975,7.453283522792042e-05,0.009936547471170298,0.0008904634146355201,0.025960623653034542,0.028036824867205105,0.002990554944219906,0.00011856198882661313
1400,0.0005230339320255097,0.000340398913472503,0.0005676058590712574,0.00013603649889773735,0.0004239433566757127,8.842804795420684e-06,0.0001226082649759901,0.0001466701237375776,0.00033746936136362437,0.007692500762750906,0.007692499041972516,1.0006940636842294e-06,0.0012126249875800599,0.0029537496767469418,9.107376081636601e-06,0.00035574349706985674,3.000000023334865e-05,0.0002719999997539557,0.0004875514182817547,0.0005108752443851928,0.003896779532078941,0.0007849328195636859,0.003309810611223932,0.0009026406593493738,0.0036165622993359235,0.0006196400729930176,0.0007793314318583461,0.0018783360240031415,6.348397883044742e-05,0.0002680324090331861,0.003946308817304925,0.00012029427724304867,0.00026521983901461866,0.002980930836529286,0.004527407555006659,0.00042198929997083826,0.003440006813817266,0.0010537559641167645,0.0031237193971334265,0.001031502471831146,0.0003338240980624055,0.000296863885813223,7.200429057932124e-05,0.0010099962100399884,2.201542944758618e-05,0.0006033704046057949,4.501087195117576e-06,0.00034869935679556987,0.0003291470027525362,0.004267912236856935,0.00042181587850075166,0.01009703323429159,7.525494678428503e-05,0.009928646227501926,0.0008920668105386492,0.025960140102404425,0.02804012222966704,0.0029894674778300177,0.00012084495246924015
1500,0.0005441074980552799,0.00025449938308570714,0.0006356769560543643,0.00015247251930606458,0.0005457610045775733,1.1235979975393685e-05,0.0001489841701807706,0.0001786087218225569,0.0003984638691888617,0.007692501097547577,0.007692498684199855,9.406195288576548e-07,0.0012246006678460295,0.0029482786604151175,8.925336464793496e-06,0.00035630147523424134,3.0000000246783507e-05,0.0002719999997552357,0.0004868987278350048,0.0005143427690849523,0.00387620387577336,0.0008258250552402013,0.003331882900602547,0.000950025371199791,0.00361658127122721,0.0006205008289555164,0.0007733646488210715,0.001883713933423669,5.4329341842733795e-05,0.0002828011478327134,0.003943028152563615,0.00012089827818531138,0.0002661448975388243,0.0029828807929265988,0.004528904099862519,0.00042206129551736356,0.00344000716883391,0.0010499345030708332,0.0031297461582338783,0.001032783785938977,0.00033269933508248053,0.0002951432694986067,7.200448992730509e-05,0.0010099948394667378,2.18615830224222e-05,0.0006019090608379703,4.607845916544352e-06,0.0003463985786574768,0.0003295654730706136,0.004265308228369839,0.000420760177985793,0.010096544751965841,7.502417797966888e-05,0.00992401696145917,0.0008891277449803399,0.025956034983393328,0.028041958649372353,0.0029886033759307534,0.00012020002348579716
1600,0.0006119952948838308,0.0001945004335724952,0.000685163401202386,0.00018310673946929796,0.0005690242406164826,1.259532976245354e-05,0.00016951292075627995,0.00018701141541560643,0.0003613677475420195,0.007692501494233181,0.0076924987520591275,9.430018037590396e-07,0.0012216986281986268,0.0029438769387793284,9.339446920431288e-06,0.0003560755079461715,3.0000000257681833e-05,0.0002719999997290688,0.00048685526112679663,0.0005117776180378366,0.003849079756281824,0.0008616003775421114,0.0031373037717165064,0.0010736644035765817,0.0036162992504534136,0.0006207646113573373,0.0007636051897664079,0.0018798118302271727,4.626052724153677e-05,0.00027654498156853813,0.003934945170088835,0.00012149288564490356,0.00026431473178548375,0.0029832091835655743,0.004528363513927841,0.0004166496723609625,0.0034400080693822318,0.0010450536586764623,0.0031362975461502922,0.0010369441297194467,0.00033377013972479933,0.0002938876578008816,7.200513624873942e-05,0.0010099949252752915,2.1903498894763324e-05,0.0006043303017811122,4.558886248663213e-06,0.00034825047227013384,0.0003240912893140298,0.0042415661531047194,0.00042027262501309197,0.010096493588186348,7.548186821409824e-05,0.009921471900452427,0.0008926058172848866,0.0259526690221515,0.028048107521024473,0.0029892277008307703,0.00012267532619074584
1700,0.0006320604222594754,0.00012108680793185063,0.0007320747115315767,0.00019639907573118325,0.0006974101898465084,1.586389645412403e-05,0.00018324586746485772,0.0001981469328042444,0.0003766737463153948,0.007692501394359175,0.007692498901942027,8.718106704463478e-07,0.0012268563660643448,0.0029401906937423354,8.682870099596654e-06,0.0003511213245209383,3.000000027069181e-05,0.0002719999997289303,0.00048703571297758016,0.0005134661216170169,0.0037953773300154433,0.0008640557953057148,0.0031066630030557037,0.0011498488284101519,0.003616136583983028,0.0006209061731708038,0.0007661801037353034,0.0018820553085442755,4.699213260018515e-05,0.0002860346195080199,0.003931067918542438,0.00012104323452215693,0.00026361779905280505,0.002989888402721427,0.0045316444452246215,0.00041699144976445053,0.0034400086793075412,0.0010284475159951846,0.0031371812049474173,0.001039189178106426,0.00033535057787658935,0.0002931971259951195,7.20049216335433e-05,0.0010099941872436442,2.1481084498658223e-05,0.0006014340756159008,4.6652901456667735e-06,0.0003462934198324204,0.0003242014507661423,0.004261218675170098,0.0004193292971997509,0.010096482744115995,7.559556452109926e-05,0.009926632166302829,0.0008961096805818336,0.02595027145008634,0.028048972734923208,0.0029868927827304648,0.00012328117136344103
1800,0.0006692368158114563,0.0001134542578645658,0.0007167077865523351,0.00021910892373751877,0.0006729405525090893,1.7680913799987986e-05,0.00023227535599311657,0.00020705921843046967,0.00045383661072798587,0.007692501697400998,0.007692498522201806,8.338105002569949e-07,0.0012364772914048255,0.0029401420758930485,8.757517100467544e-06,0.00035533040042068153,3.0000000280827696e-05,0.00027199999972031904,0.00048387619216264837,0.0005197086679429663,0.0038310389365417002,0.0009121046561262195,0.003026321579641188,0.0012864089558899453,0.0036158418695674916,0.0006207080724919719,0.000757232337376566,0.0018968487685355744,3.4236603191663286e-05,0.0002914798047281527,0.0039275410674097615,0.00012184792734040183,0.00025838773326458745,0.0029874180561833483,0.004537793448602248,0.00041527193765024335,0.0034400080025102663,0.0010319810274057226,0.003143725293428343,0.0010365963533191368,0.00033825561455850655,0.0002931519857000201,7.200613503338465e-05,0.001009993992833523,2.1220168748236637e-05,0.0006015477213081187,4.663504391777229e-06,0.0003464386876627232,0.00032355280781422644,0.004224853428422681,0.0004169247776112982,0.01009595857372903,7.623223345332946e-05,0.009922998100146284,0.0008982840402565875,0.025945606185204875,0.02805370916154053,0.002986140050825479,0.000122859647652412
1900,0.0006451673590348539,5.373299883238082e-05,0.0006992460195625267,0.00023007956569906125,0.0007921638770304206,1.8162016757879257e-05,0.00025129817759409574,0.0002066601556566505,0.00041422331711204097,0.007692501382700798,0.007692498478051489,8.246597808212849e-07,0.0012388751773991474,0.002931982783654877,8.620498074150156e-06,0.0003523515896583961,3.0000000285993177e-05,0.0002719999997188802,0.0004835450537216957,0.0005166842266675829,0.0038732520244968015,0.0008932489929662587,0.0028917870438044486,0.0012982218160746079,0.0036152741351880794,0.0006213089258315503,0.0007555122195416806,0.0018970301316378025,3.3411370824325066e-05,0.0003119911108734467,0.003917513123235692,0.0001235991334964399,0.00025860471225897403,0.002995245756512926,0.004539433939345577,0.00041017721460615626,0.0034400096182796366,0.0010230186431819093,0.0031410373606894815,0.0010395486492326784,0.0003395736903036733,0.00029019355788065834,7.200612687689296e-05,0.001009994270035386,2.0682430054714777e-05,0.0006000199883801813,4.665256076595572e-06,0.00034904623226539707,0.00032224838312291075,0.004206955879441806,0.0004121820065350308,0.010096130824071408,7.622111674950506e-05,0.009921350644337678,0.0008985131509037244,0.025946666633391947,0.028054415326185633,0.002985966464679181,0.00012356735760821986
2000,0.000704715515826357,8.432683907151331e-05,0.0007013153970891424,0.0002307893575304454,0.0008366755354271668,2.0508377657779104e-05,0.0002912380640749527,0.00018332183532768256,0.0004503312125078907,0.007692501988894175,0.0076924984371245075,8.308284736477554e-07,0.0012380420233526006,0.0029314755208259334,8.479176981896697e-06,0.0003544539030993381,3.00000002973183e-05,0.0002719999996989046,0.00048418300798091715,0.0005185777618862609,0.0038567644310796103,0.0008275033120640474,0.0028116081900303636,0.001462713396592718,0.0036153191971366725,0.000621181871807152,0.0007453513612511865,0.0019078330578400297,3.8448677635733335e-05,0.00030721425787969415,0.0039191878874216286,0.00012137333142113293,0.00024906211927655595,0.0029978992769038896,0.004540323643462039,0.00040911211486044694,0.0034400097112494274,0.0010160929004005643,0.0031435560692001175,0.0010462116412864786,0.00033849487812379194,0.0002894882653105169,7.200690207647094e-05,0.0010099931438754298,2.0603482037576412e-05,0.0005995577056092936,4.761405645457817e-06,0.00034879798440873733,0.00032416378949126125,0.0041771723830938265,0.00041433292711400195,0.010095859305048221,7.614803552446675e-05,0.009922027572581956,0.000900491949240248,0.02594180169555847,0.028055961958367997,0.002984832948663492,0.0001257463390278781
2100,0.0007198754299585902,7.187422303101466e-05,0.0006670078527341646,0.00023414702470398008,0.0009330655952108065,2.0860436804196607e-05,0.0003016191903667859,0.0001728964241715966,0.0004999880448393202,0.007692501772629869,0.007692498055494778,9.038316835927174e-07,0.0012440654835175035,0.00292805918107117,8.322528873175739e-06,0.0003514621663102277,3.0000000300637635e-05,0.0002719999996744481,0.000484487715474212,0.0005220795105954422,0.003980335929999693,0.0008014852207458957,0.0026958396996088095,0.001601284246785969,0.003614964957787941,0.0006217793264429023,0.0007510882347642921,0.0019081425020256546,2.534760914268973e-05,0.0003217424978349005,0.0039054764861786375,0.00012155367981563546,0.00025097230635850564,0.003008742608172871,0.0045440668706105206,0.00040832895634730653,0.0034400101380008944,0.0010197742009456893,0.0031598742534821142,0.0010440860992096946,0.0003423589981423562,0.0002885956969460405,7.200692134022133e-05,0.001009992850733755,2.045829920029711e-05,0.0005992624678689631,4.730105206351673e-06,0.00034908921310546005,0.00032220444159806235,0.004189317506853472,0.0004085000795781408,0.010095218149561611,7.684452818435228e-05,0.009923607302860724,0.0008955777371813943,0.02593929018843108,0.028058632642205577,0.002984938442504079,0.00012495293389959427
