milliseconds,acc,toc1_mrna,toc1_1,toc1_2,cca1_mrna,cca1_c,cca1_n,toc1luc_mrna,toc1luc_1,toc1luc_2,cca1luc_mrna,cca1luc,luc_mrna,luc
1100,0.33026781641651504,0.03405275993632481,0.20577698903999816,0.21139313059577194,0.23400163849495959,0.11441365445030392,2.729118161866456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.3393971569388435,0.033081671155378536,0.2057152315167408,0.2088062014535565,0.23720236897520103,0.11392940694322039,2.7610409178584314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.35223828107702704,0.033433172775641166,0.20557652719235298,0.20206316046683995,0.233421489681217,0.11043981939227832,2.7227392970536863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.35504436359038083,0.03274484008431593,0.2051012996748145,0.18829483562185673,0.22949979530651782,0.10921383605341886,2.744893362126007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.3598285641030004,0.03272179441218049,0.20480151362004137,0.18368886391488834,0.21271938104615257,0.10754632043437669,2.692103987546158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.35764423273850815,0.032424539291220515,0.20447199409137168,0.18251035921656475,0.2165125017347995,0.10443600578243167,2.748870264015593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.3627648845194547,0.03283118085422911,0.20458331717885506,0.1815091898588548,0.20262187807934723,0.0999243535102513,2.6725317751579967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.37820409989530746,0.032433917007933216,0.20410307566996522,0.1699538047876671,0.19119918627905783,0.09808618182083115,2.722753627596199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.3708914543110003,0.031918333361884696,0.20382179132034134,0.16438181407128669,0.19626354358857798,0.09427275298527169,2.6491976167060374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.3797790818770869,0.031906976937926955,0.20362710321539895,0.16657399256388405,0.18829361456856616,0.08846361785089861,2.6727413042958466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.3929190831792205,0.03266356358338551,0.20316701092569228,0.16192325587884768,0.17201207303343538,0.08580556047020274,2.6166530361325453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,0.38498758560639545,0.031804310591112356,0.20269894128597926,0.14991256546458573,0.16875434069780648,0.08346575522743145,2.599853004379209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.39379805564562986,0.032658680334445356,0.20259408607548415,0.1420312414460125,0.15679234024251315,0.0784126821105339,2.5761729571522336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.40870081025920507,0.031869264586902625,0.20231439093001946,0.14122394640561847,0.15014361745765867,0.07405627616095058,2.5044179615805287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,0.4094789479606321,0.03255180055224878,0.20208595310450858,0.13683157159860643,0.14910024833299176,0.07116136080878231,2.467745107139332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,0.4133767458188641,0.03231598609435909,0.20187428823931425,0.13540547450773746,0.13963691203849077,0.07063455880114027,2.5035606299865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.4176026291940262,0.032212382079516724,0.20170923300775928,0.12851649522614908,0.13180992505323016,0.06677502976033699,2.446005519671039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,0.4150930802612763,0.03290194468341705,0.20136677076166473,0.1275351354103401,0.12088261453924655,0.06045408366769274,2.354928132977132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,0.42212761192298415,0.03348943805227934,0.20128517254634523,0.13264160028537253,0.11607640609285223,0.05840560301718602,2.3400748155262803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.435882871952005,0.03303717733320999,0.20072070902053926,0.12277017221554158,0.1128218867145867,0.05618321223670434,2.2988257161365286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
