milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
1000,7.783009161501798e-07,8.606818069807311e-10,5.3363278553085544e-08,-1.8089181158451891e-09,2.739845766057092e-10,-6.016130066058132e-11,4.666914528496622e-12,7.347330641636203e-08
1100,6.941790243339349e-07,4.094536368469772e-10,6.524596357969973e-08,2.4767125289560544e-09,7.927635984279821e-10,5.82456978258778e-11,4.5134807049136744e-12,7.30553067398741e-08
1200,8.519395332905861e-07,1.0639186071873853e-09,3.789682236375839e-08,2.959320072948717e-09,9.64412776712287e-10,-6.762840371295662e-11,5.44544487661105e-12,1.009694598183134e-07
1300,9.387458062183263e-07,7.809775331037261e-10,4.256654615192212e-08,1.2809163639791003e-09,7.689856272077164e-10,4.117569319169164e-11,7.785176191218173e-12,8.997200579355518e-08
1400,9.402896139496135e-07,8.559938242264807e-10,6.803199527199835e-08,3.3296616866674826e-09,1.8008507851524003e-09,1.0933387840544118e-10,1.0587668539614908e-11,1.1244142200699211e-07
1500,9.504834669414249e-07,9.418199436854036e-10,7.716489036822731e-08,4.850687883337986e-10,1.7402442040708472e-09,3.873192193305904e-11,1.0579560618544251e-11,1.0862768776368545e-07
1600,1.0354370434532235e-06,1.6877250000685263e-09,7.862891323924132e-08,3.3890805481969694e-09,1.4940625707802366e-09,1.0769605534844584e-10,5.4413166817420335e-12,1.1178686640872563e-07
1700,1.0950945054804743e-06,1.6213844618592146e-09,8.937553068073723e-08,2.6124400057050967e-09,1.959819568834426e-09,3.501321251610647e-11,6.5029155675030365e-12,1.2418754266906903e-07
1800,1.2547268574691662e-06,1.5614792328679429e-09,9.970530644792013e-08,3.5812503301375873e-09,1.8528356001870092e-09,1.466296175702132e-10,1.2972254049992215e-11,1.3335599056435482e-07
1900,1.2704728417214254e-06,2.0937459262860777e-09,1.107846304834236e-07,7.048439650056501e-09,2.2836625375371637e-09,2.8292155792576685e-11,1.593597570253891e-11,1.523906764630855e-07
2000,1.3787690222724218e-06,2.562140481174312e-09,1.3241451127147907e-07,7.328519072194019e-09,2.441345322817952e-09,1.19875615083223e-10,1.3282980208485096e-11,1.4381361942628806e-07
2100,1.4606080786523392e-06,2.7682283851182254e-09,1.350484719704379e-07,5.871898521520318e-09,3.161252061390353e-09,1.0904357972489516e-10,3.2246203465642557e-11,1.6460946663624277e-07
2200,1.5110749839236047e-06,2.2951219592028273e-09,1.83073995103159e-07,7.600497418972155e-09,3.6701744839865044e-09,1.634193966070304e-10,2.823089428431004e-11,1.6313500815809067e-07
2300,1.4649282978796871e-06,2.8913171004715147e-09,1.6794936324854094e-07,8.93300970123725e-09,3.5186191244905346e-09,2.18582849324112e-10,3.173989019656405e-11,1.7992799486224084e-07
2400,1.5328998207652648e-06,3.4096320347055696e-09,1.7560539228745144e-07,1.4619156664071622e-08,4.476236219894879e-09,2.088371466018099e-10,4.588743059423777e-11,1.6833728193915643e-07
2500,1.5353621873412568e-06,3.310537463470241e-09,1.961709276110257e-07,1.4542999346366502e-08,3.888146527173086e-09,3.24490784440912e-10,4.104866564320152e-11,1.93312474234186e-07
2600,1.7551413050789817e-06,3.5228196031235787e-09,2.3288534556213775e-07,1.282679978514564e-08,4.854721962693498e-09,3.5561401189897575e-10,5.3659106870686635e-11,1.9895181813420837e-07
2700,1.7101604212843355e-06,4.020142550673433e-09,2.2377414632633406e-07,1.8433680707380397e-08,4.605140899262184e-09,2.648174661459046e-10,5.1626113979036e-11,2.0614534025051218e-07
2800,1.7876827761244288e-06,4.5550125047748926e-09,2.631439650496382e-07,2.0109505371400608e-08,5.503307086754834e-09,4.0433221604255123e-10,5.7848604947280027e-11,2.1247503750226177e-07
2900,1.9217783328234267e-06,4.501181574289165e-09,2.8118291845276423e-07,2.3363178505755365e-08,6.093422850805704e-09,3.7061757952176075e-10,6.611147806914403e-11,2.1821957258740513e-07
3000,1.8457158855115512e-06,5.046260609928736e-09,2.724028373721447e-07,2.3045284720342812e-08,6.4212722328123896e-09,4.1786497361760204e-10,7.191818903165533e-11,2.192684260883187e-07
3100,1.869533961729366e-06,4.987351935623685e-09,2.9402328722468475e-07,2.6018989042461093e-08,6.55096790689737e-09,5.194546279914182e-10,8.142754864939765e-11,2.247900421822631e-07
3200,1.9917080754036706e-06,5.507542101523409e-09,3.372193576786242e-07,2.7348504582909158e-08,7.53812848210539e-09,5.466862099854699e-10,9.213630878335709e-11,2.3122663242586082e-07
3300,2.0418263236153876e-06,6.040181427169134e-09,3.376346862095223e-07,3.241975045019746e-08,7.709527878056585e-09,6.308372733552918e-10,8.785611536884164e-11,2.424222455883171e-07
3400,2.0588687741543657e-06,6.461810535180711e-09,3.5140795396880027e-07,3.3495195657088776e-08,7.786708893034594e-09,7.586494506325062e-10,9.872217999226345e-11,2.455123501941906e-07
3500,2.2244228938251945e-06,6.524367633561678e-09,3.8124690695348593e-07,3.6167779841178595e-08,8.076219085536574e-09,7.76290153391737e-10,1.1090713076046222e-10,2.5556257659008637e-07
3600,2.1609078718630514e-06,7.0004088203954775e-09,3.93042895306377e-07,3.780945610335453e-08,8.540302986554346e-09,9.213192786410655e-10,1.1321857205641126e-10,2.6663972326280644e-07
3700,2.3131701266399274e-06,7.3304906361091686e-09,4.2118190403814797e-07,4.3797476811547645e-08,9.42692331702614e-09,1.0251622967075094e-09,1.3297992460101312e-10,2.6415703654742135e-07
3800,2.2459409174794215e-06,7.865299876938735e-09,4.529915185606903e-07,4.6353603139443185e-08,9.64821804466056e-09,1.2438105440262104e-09,1.4066749096068196e-10,2.7312439581931555e-07
3900,2.4091674023908056e-06,7.958484161231719e-09,4.3236428913525357e-07,4.9633753358185336e-08,1.080866943553047e-08,1.2501758627006137e-09,1.4825400742924814e-10,2.8137686022070623e-07
4000,2.447339157668547e-06,8.523073104306329e-09,4.683242286453313e-07,5.451066902446486e-08,1.0700467701382982e-08,1.364796507818697e-09,1.554883699812211e-10,2.887790818751504e-07
4100,2.452103334992291e-06,8.478199590273693e-09,5.017688487757523e-07,5.795994019928404e-08,1.1305450858024421e-08,1.614053274438268e-09,1.6708008660173692e-10,2.980884284148605e-07
4200,2.4958955146895023e-06,9.2886999382834e-09,5.219799413500026e-07,6.151442830770867e-08,1.1753784439408163e-08,1.774160935321578e-09,1.7471723842863151e-10,3.014820228209168e-07
4300,2.4859192829353713e-06,9.787219331386537e-09,5.404287832040767e-07,6.506270089048254e-08,1.3335456918235144e-08,1.8816089703821862e-09,2.0395785814386822e-10,3.227728168486832e-07
4400,2.6835292315448184e-06,9.892822587300878e-09,5.414433818462328e-07,6.827867592923334e-08,1.3070833302457133e-08,1.9887909961523545e-09,2.0645569589475024e-10,3.1527218234504334e-07
4500,2.6882671896200464e-06,1.0306736814469313e-08,5.842824542296577e-07,7.204147644733797e-08,1.3678641750732717e-08,2.1992505000145187e-09,2.2832055962058637e-10,3.404076996610189e-07
4600,2.773929646509164e-06,1.1015577796115732e-08,6.156039748238142e-07,7.660754684115602e-08,1.511995157088607e-08,2.34400617735631e-09,2.320783664409422e-10,3.2860425951447263e-07
4700,2.808089098670752e-06,1.1055924725390867e-08,6.353266688997366e-07,8.201887115595511e-08,1.5499826374335055e-08,2.532566295103887e-09,2.509163112422334e-10,3.3468397685050435e-07
4800,2.7645987212096916e-06,1.1806800207656788e-08,6.334998763658146e-07,8.727223975599096e-08,1.6447323067176944e-08,2.878189291507803e-09,2.680534525714344e-10,3.5811727854689466e-07
4900,2.8447874554571418e-06,1.2142157941151868e-08,6.851940202782435e-07,9.219862490666433e-08,1.6564603410914555e-08,3.0708430062899643e-09,2.832461698021637e-10,3.5273200572282137e-07
5000,2.8240496283599873e-06,1.23270854198015e-08,6.815312830577104e-07,9.690358726510398e-08,1.7666742786271862e-08,3.2671714958768066e-09,3.0674044404016933e-10,3.685727150680168e-07
