milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
2400,1.6394328354811553e-06,2.9372713711362073e-09,1.9134976379710993e-07,1.3391578958778061e-08,3.715159433968716e-09,1.9336224474645734e-10,2.8402300013843478e-11,1.717014111713983e-07
2500,1.5726405536535848e-06,3.4247928280895367e-09,1.9517000191232317e-07,1.3765291618336931e-08,4.078455622903675e-09,2.1342914841880264e-10,4.1251513950351484e-11,1.805962771279034e-07
2600,1.6587153491900293e-06,3.6441396523374156e-09,2.0757792682243652e-07,1.771994672861287e-08,4.932168616647581e-09,2.9487574162548855e-10,3.914894638899823e-11,2.045272179892285e-07
2700,1.7085807425894314e-06,4.014883293466927e-09,2.192482754587512e-07,1.7244617323461236e-08,4.966241499628692e-09,2.8395708413021086e-10,5.047481732113663e-11,1.979319912772344e-07
2800,1.8272351654105692e-06,4.069208040922217e-09,2.3347705162619234e-07,2.1016452698270502e-08,5.546575314391998e-09,3.4885591771894937e-10,5.52354053091617e-11,2.0238913732000896e-07
2900,1.8036742263416993e-06,4.183602102700281e-09,2.862989818802533e-07,1.8487269683107817e-08,5.2936747581112775e-09,4.87919627848567e-10,5.7427862616076885e-11,2.2116598796164804e-07
3000,1.8422170605020703e-06,5.150560808405268e-09,2.847789517688767e-07,2.549511814943444e-08,5.8360995565351425e-09,4.284593301212801e-10,7.12160675064828e-11,2.220344820281664e-07
3100,1.959559249287682e-06,5.328027274042088e-09,3.1959564456332684e-07,2.382005649314675e-08,6.956838508199711e-09,5.645550310256149e-10,7.218414176199185e-11,2.232430498856337e-07
3200,1.941509191180466e-06,5.515364182342589e-09,3.2639532206509335e-07,2.600636168374479e-08,7.334090552472686e-09,6.636424026816969e-10,7.983214855286003e-11,2.294688488676357e-07
3300,2.1305001451214706e-06,5.9693334420247124e-09,3.4401646764189975e-07,3.1513361179792806e-08,7.4763282659022e-09,6.135504674832347e-10,9.163749520763956e-11,2.5480100767546767e-07
3400,2.1462742228486757e-06,6.195642643601892e-09,3.4977747868322737e-07,3.2887138355295136e-08,7.870468586970088e-09,7.695569172657406e-10,1.045701106031841e-10,2.5699150450090117e-07
3500,2.1198066614311338e-06,6.526657388930226e-09,3.5562686142162363e-07,3.417929052292735e-08,8.377255635466217e-09,8.032092145141538e-10,1.042494348991631e-10,2.5739126508486533e-07
3600,2.220709108077751e-06,6.754071131944612e-09,3.981913529826254e-07,4.159751202187822e-08,9.108223165069514e-09,8.8290914400715e-10,1.193424276998849e-10,2.697817677785144e-07
3700,2.3275519134411745e-06,7.004147801449761e-09,4.318376634880305e-07,4.359071898291925e-08,9.689072087869437e-09,1.0300287416012153e-09,1.2507929257308528e-10,2.669583788882395e-07
3800,2.3621559494081384e-06,7.716110577351669e-09,4.198185635106501e-07,4.6142851257348317e-08,1.0192223733734496e-08,1.1587322691000827e-09,1.2975484808452442e-10,2.813959208841689e-07
3900,2.34108351856646e-06,8.176185649043346e-09,4.327001459432929e-07,4.639706685193649e-08,1.0513864797931829e-08,1.354265933438189e-09,1.5591492753928773e-10,2.870823867108556e-07
4000,2.475018037223314e-06,8.492700429131439e-09,4.795204297624728e-07,5.39517571929058e-08,1.1199740611281499e-08,1.4290813166449384e-09,1.618480700007952e-10,2.964483327724489e-07
4100,2.4866180263810602e-06,8.885263578701607e-09,4.904074433701483e-07,5.832036108394477e-08,1.1637406959966579e-08,1.4896862704253408e-09,1.672913722498641e-10,2.9963280792794784e-07
4200,2.540569549816506e-06,9.276670140427233e-09,5.23688356345437e-07,6.111618033371605e-08,1.2794052071785497e-08,1.7761075125630984e-09,1.8871512184837946e-10,2.98874520295592e-07
4300,2.501693180089984e-06,9.670118337709526e-09,5.157030493682907e-07,6.063297172222481e-08,1.2770659071071462e-08,1.7698380842510444e-09,1.8950745234594655e-10,3.062387316939281e-07
4400,2.6235395346584356e-06,9.512121902674007e-09,5.589467135460734e-07,6.48269401424029e-08,1.3711791483678142e-08,2.0705834939837504e-09,2.0231815131688752e-10,3.207408867045025e-07
4500,2.6058830559810157e-06,1.0101106351697486e-08,5.727025093440711e-07,7.245260623618221e-08,1.3701582061691434e-08,2.2791866246572474e-09,2.1619291317227295e-10,3.1938241616602044e-07
4600,2.6784431681138975e-06,1.0829758621585391e-08,6.193350448795352e-07,7.850046347879717e-08,1.4841953211371637e-08,2.304738143432332e-09,2.440575690268045e-10,3.28016946806863e-07
4700,2.6754708937624557e-06,1.1014252308226132e-08,6.405973961305498e-07,8.141101045283822e-08,1.5625871433014998e-08,2.632586724773559e-09,2.5948015795842163e-10,3.478659137917168e-07
4800,2.8095196711570423e-06,1.1138017373459845e-08,6.385189235442329e-07,8.62484900969232e-08,1.6162891618908153e-08,2.8291165994338304e-09,2.709936283262822e-10,3.5052938025513197e-07
4900,2.822453532017337e-06,1.2160817289246383e-08,6.644837572277539e-07,9.140948834718352e-08,1.7132347692367576e-08,3.0337832188669277e-09,2.8542606108680995e-10,3.679752870052885e-07
5000,2.8485958884999943e-06,1.2660496141572357e-08,6.824239432797067e-07,9.386482849315014e-08,1.6991839052682577e-08,3.207678393042127e-09,2.981728871322072e-10,3.685327885697325e-07
