milliseconds,mw15abaa48_d7d0_4845_ae04_c573d289d495,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mw812f63db_4cb0_40ad_b92b_9874be969dfe
1500,1.0325631862326238e-06,1.1613411789539513e-09,6.291072233217573e-08,3.1082553166184803e-09,2.067797885822287e-09,1.3470005638469175e-11,1.1603309055536778e-11,1.0888330490679573e-07
1600,1.0151336649084225e-06,1.6456953714354153e-09,7.914158569540196e-08,3.248319830462376e-09,2.139434466207486e-09,5.444237339073587e-11,1.8170034422105223e-11,1.2951847321439746e-07
1700,1.1296619993834868e-06,1.8556466480865622e-09,1.1279008325267024e-07,3.0921863014121176e-09,1.8452781879670925e-09,3.1452239930893033e-11,2.012511637346517e-11,1.292152402711674e-07
1800,1.1433773774968678e-06,1.844818813497739e-09,1.1345131354290477e-07,5.777382414094767e-09,1.9007279602980236e-09,1.2089680353722797e-10,1.8853277302064084e-11,1.245205733197119e-07
1900,1.2927011631573906e-06,2.3513597233411194e-09,1.3347523870043615e-07,5.754474696385925e-09,2.652774896378146e-09,1.3150130926749585e-10,1.16329094232705e-11,1.490568875538655e-07
2000,1.2611590948268409e-06,1.871488837594736e-09,1.5630005593306836e-07,9.845359094643281e-09,2.401296836556349e-09,1.333750954797592e-10,2.5277019763080923e-11,1.593049744318683e-07
2100,1.350118315534437e-06,2.0612648716274224e-09,1.2870946942857614e-07,6.755873839802137e-09,2.76308306530165e-09,1.5858500706350685e-10,3.201156797543731e-11,1.4728087243384362e-07
2200,1.443520033682114e-06,3.002374153370523e-09,1.600069710165607e-07,8.453583112771636e-09,3.2889824692652853e-09,6.505342791480717e-11,2.511331015507614e-11,1.6161382941271487e-07
2300,1.5178469267659843e-06,3.193364877876576e-09,1.603078094007731e-07,1.077360833189504e-08,3.909438533210617e-09,1.6624876533643384e-10,3.867865423635476e-11,1.8241586489944909e-07
2400,1.6093971811192517e-06,2.875701170798553e-09,1.8038183921388914e-07,1.1781079312117637e-08,3.906456923549651e-09,1.867069112675941e-10,4.1184815280563606e-11,1.7237584613177925e-07
2500,1.6936052821774977e-06,3.041646168491217e-09,2.1953404420126994e-07,1.5290927038359006e-08,3.878231667169621e-09,2.4919230477840206e-10,3.448464535871924e-11,1.8314340429192471e-07
2600,1.6885214956740472e-06,3.999455033232354e-09,2.2311472419342704e-07,1.6510231667415016e-08,4.136351285069857e-09,2.2257350271320736e-10,4.185104713265438e-11,1.9685326355658876e-07
2700,1.7032796046747617e-06,4.172445697795682e-09,2.456450900134349e-07,1.4772508138957105e-08,5.125831758556047e-09,2.589382101345817e-10,5.2158687856761e-11,2.027150633263829e-07
2800,1.7981607249573014e-06,4.09830436335358e-09,2.6294250934954524e-07,1.6720653026185216e-08,5.488570049779087e-09,4.336063566982002e-10,4.988763467712319e-11,1.9805272434971067e-07
2900,1.8082285989502224e-06,4.780075199694967e-09,2.681075383165854e-07,2.143363228383289e-08,5.921893068551108e-09,3.91466308888711e-10,7.056700232321366e-11,2.1826768132830035e-07
3000,1.8573681495428945e-06,4.481767610021992e-09,2.996412551310302e-07,2.4902822557966974e-08,5.9986177937468366e-09,5.203048170835874e-10,6.274043448024669e-11,2.3197100020385728e-07
3100,1.895070851554457e-06,5.030909819881172e-09,3.0006173834083775e-07,2.6667738207302768e-08,6.152997393812694e-09,5.681626001653163e-10,8.166724937918926e-11,2.3156801990016284e-07
3200,2.0538996368745847e-06,5.1031280916870265e-09,3.0868657989206357e-07,2.9724597975286716e-08,7.194723596070969e-09,5.59950991333467e-10,8.94297784084024e-11,2.42057660755621e-07
3300,2.118185859342326e-06,5.46166096684864e-09,3.2807621883810093e-07,2.963703890904416e-08,7.50532562618285e-09,7.077778930360856e-10,8.849410115949694e-11,2.4672184357600045e-07
3400,2.126979478748398e-06,5.77431954083801e-09,3.374594981335838e-07,3.418232436023451e-08,7.797604461275213e-09,8.370105875744999e-10,1.0235149265161513e-10,2.4867589437427205e-07
3500,2.1102124036779918e-06,6.202602908979559e-09,3.8712579417328197e-07,3.793043021716939e-08,8.380582786864147e-09,8.044211920372301e-10,1.035611095110875e-10,2.6688562632372365e-07
3600,2.2414121020828626e-06,6.563699791788511e-09,3.7533241357397915e-07,4.111801585027044e-08,9.260792919097221e-09,9.065545683548483e-10,1.1622948285267589e-10,2.5797684370674626e-07
3700,2.3215189109817526e-06,7.313395063582223e-09,4.2015151476239953e-07,4.281987817539194e-08,9.316853946439914e-09,1.096662179704053e-09,1.2470686151966967e-10,2.6948513542089956e-07
3800,2.3432690958138253e-06,7.18104069400537e-09,4.531539731917749e-07,4.760832685053078e-08,1.0537191108843366e-08,1.2016973492107362e-09,1.3948815332000037e-10,2.880546764707629e-07
3900,2.3375663986135925e-06,7.80217866908365e-09,4.5780664280463375e-07,4.884710708815846e-08,1.0207283507356226e-08,1.2750675807645064e-09,1.5367481183070703e-10,2.8836035033628264e-07
4000,2.450309098912516e-06,8.468975386634761e-09,4.5796720785122507e-07,4.943683261444256e-08,1.0714896128685956e-08,1.4317560580359604e-09,1.6286956487017788e-10,3.0228468703535567e-07
4100,2.5160955276807145e-06,8.862820087485978e-09,4.895033844305782e-07,5.5259460337283245e-08,1.2191267832957618e-08,1.626242084053131e-09,1.7867978101367779e-10,3.122280587728603e-07
4200,2.564124188485401e-06,8.94062692210915e-09,5.34140283505554e-07,5.717164230341736e-08,1.2035690536460656e-08,1.6190662139320038e-09,1.7590272419527116e-10,3.084269037324067e-07
4300,2.4984725683142576e-06,9.37834391318326e-09,5.410346826285822e-07,6.372997254091648e-08,1.2960187819704175e-08,1.7936104873939814e-09,1.9156203946939168e-10,3.0804164675759986e-07
4400,2.584881894002283e-06,1.007756657060172e-08,5.768296131339055e-07,6.772487713566626e-08,1.3813530387748568e-08,1.983111275079257e-09,2.0442995849366478e-10,3.2666726354421853e-07
4500,2.675329176871466e-06,1.0256061420840178e-08,5.762444918434436e-07,7.153549980076476e-08,1.3962116887862515e-08,2.193480720313124e-09,2.3071742394630126e-10,3.3531461101160065e-07
4600,2.772110933150579e-06,1.1036720378147428e-08,5.886742877561915e-07,7.724101302058296e-08,1.4294326461367597e-08,2.3280608354668773e-09,2.340476117242517e-10,3.3216645724501217e-07
4700,2.664490229505283e-06,1.126362808814414e-08,6.171885089292688e-07,7.97488708887834e-08,1.5404652625306446e-08,2.5489585507881685e-09,2.54160377977921e-10,3.401478378614871e-07
4800,2.7558206488802136e-06,1.1220634381476539e-08,6.257905153955248e-07,8.69809693365281e-08,1.6221663266850523e-08,2.749797328731068e-09,2.685896701439726e-10,3.588481443529641e-07
4900,2.773717038745688e-06,1.1704357963298987e-08,6.794401189169436e-07,9.13501584602031e-08,1.6357740750322265e-08,2.9656301081367075e-09,2.8141117092320036e-10,3.601905440972697e-07
5000,2.9348649697510505e-06,1.234100727178576e-08,6.819821543801822e-07,9.302774460134801e-08,1.757867911138283e-08,3.285201718382167e-09,2.9436903044287633e-10,3.71225249691406e-07
