milliseconds,pRB,pRBp,E2F1,CycDi,CycDa,AP1,pRBpp,CycEi,CycEa
2200,0.4365167082917912,0.0674117237164824,0.1799202961295263,0.10711461071826639,0.09375774202099121,0.10975626370433374,0.08446303481589078,0.08897613152673609,0.10052193349064642
2300,0.4649044591177157,0.06731620109882112,0.18488167928806604,0.10710935531528178,0.09334716887367334,0.11028862278456152,0.08270242924133052,0.08801373099063334,0.10053860700225822
2400,0.47896266746237315,0.06736119672113888,0.19348286685736016,0.10799014570980309,0.09340688854968719,0.11037769701189148,0.08201235085377075,0.08849268715092279,0.10046394361821183
2500,0.48354485518764456,0.06743090483240606,0.1979733117075,0.10762839452494312,0.09296024322828071,0.11044901466008863,0.08276881966037249,0.08786095810759396,0.1005040214649464
2600,0.5047830393340057,0.06714084161691367,0.2005378392264579,0.10866381276714779,0.09233986394191451,0.11182474047331227,0.08122850638777909,0.08700372095111213,0.10045770317012598
2700,0.4911291906324784,0.06569735163271588,0.2025094655067259,0.1084432944985904,0.09241237444274986,0.11135511346971448,0.08006521281950671,0.08724951798133151,0.10040872136675359
2800,0.5095887232021509,0.06646087641657955,0.20114372914790374,0.10926545742395583,0.09225530570987563,0.11204525180313803,0.080633872428137,0.08695596369743042,0.1003884665993433
2900,0.5310721717571596,0.06639567286553835,0.21197184189576054,0.10946045460105308,0.09191766764966579,0.11288590686799549,0.07902030574959062,0.08664744762256979,0.10036237522125153
3000,0.5583168186851346,0.06574641818545604,0.21395745044705083,0.10992703251732196,0.09157602291120355,0.11348878189030549,0.0778226674834312,0.0858342516163089,0.10033440863794252
3100,0.5519955077058721,0.06679720906988629,0.20875022715180314,0.10950188533196775,0.09137264811854658,0.11399164493352598,0.07858865615294189,0.08555327392399689,0.10032682427702908
3200,0.5955933814606871,0.06685207290808622,0.21528479323716973,0.11063013431011494,0.09074922662689451,0.11398990945340562,0.07766453847247641,0.08484590507594544,0.10028103072435368
3300,0.6093461291246685,0.06605963083774803,0.22446411677039171,0.1106029009867449,0.09107026153106172,0.11499965073466299,0.07670926326043367,0.08477373315424042,0.10027966374476285
3400,0.5958144913414034,0.06629016523498414,0.21875210044345786,0.11056669943566874,0.09013613632520363,0.11449387804225945,0.0762454340028573,0.08420087095460009,0.10023595384704413
3500,0.6266184081124986,0.06563841355931084,0.23035782491544107,0.1115093517014607,0.09044072247591485,0.11492560251279185,0.0745916959059354,0.08442403607443777,0.10021470043430515
3600,0.6188793586953623,0.06702361623239433,0.22632576712099808,0.111653516886504,0.09036779800332188,0.11554869459376568,0.07403332827232192,0.0844965479094953,0.10016951915753379
3700,0.6573236774189662,0.0664818046310671,0.23600486479626495,0.11215580188662087,0.08967721547137548,0.11650510314866294,0.07402332106599913,0.08368895156021722,0.10011233388578317
3800,0.6505959403890621,0.06725417056640474,0.23945064378451125,0.11181973359867615,0.08955212360755113,0.11633311026011665,0.07430049497186328,0.0835369669560783,0.10003307442672842
