miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
1400,3.512254603132831e-08,1.6409982833126154e-07,1.8825084044958353e-08,5.34638657857948e-11,4.025861590595638e-07,1.0120675157196079e-06,4.917375385938458e-06,3.576498534143635e-11,3.0508650248562355e-05,2.473199335489183e-08,2.1018315518670015e-10,1.5512833257579802e-06
1500,3.986158255821885e-08,1.8061291622889159e-07,2.0954455590765653e-08,6.046310187043836e-11,4.3134427935714796e-07,1.1751517860798805e-06,5.846634136715361e-06,4.0985697238849607e-11,3.3669915407977805e-05,2.8422206163850034e-08,2.5074571509247086e-10,1.752639619328147e-06
1600,4.286707808091957e-08,1.9527147308661047e-07,2.282965458857474e-08,6.309900578126712e-11,4.560175496983076e-07,1.3693064894888313e-06,6.183245104048841e-06,4.062344046648989e-11,3.6073969480892394e-05,3.234404895291997e-08,2.6363821373490345e-10,1.8626277637603145e-06
1700,4.960487744007208e-08,2.039700717537978e-07,2.4395857179918536e-08,7.155875141844819e-11,5.000426687832238e-07,1.276357795406511e-06,7.140812176648571e-06,4.595622771419398e-11,3.944511114776504e-05,3.400542266298178e-08,2.702694193689886e-10,2.0358248290440205e-06
1800,5.071369138191865e-08,2.2167197291822083e-07,2.7478361782925023e-08,7.806424972319476e-11,5.834092604010079e-07,1.426394009252256e-06,6.932249901457006e-06,5.410309207454644e-11,4.223515047821985e-05,4.0697323670679295e-08,3.053224833094492e-10,2.245278322626628e-06
1900,5.511152128529349e-08,2.3779766671210754e-07,2.7971365908541393e-08,7.934600199621898e-11,6.123256859684755e-07,1.5248736649215722e-06,7.228901245021894e-06,5.261633975147728e-11,4.548290511797657e-05,4.2862332468076545e-08,3.3012483678036133e-10,2.442003048575559e-06
2000,5.997483818287658e-08,2.528158153789998e-07,3.153394897546974e-08,8.506975281441545e-11,6.568514883802543e-07,1.681270031282888e-06,8.03315536093516e-06,5.825083738235187e-11,4.8364335903731106e-05,4.5695649540723346e-08,3.323452365246623e-10,2.578245204952349e-06
2100,6.726016290396754e-08,2.7371711334647147e-07,3.3066251147591385e-08,9.398798756559604e-11,6.994485648726252e-07,1.7818933479245262e-06,8.925190205547012e-06,6.380038882559307e-11,5.071912019463974e-05,4.8023606003963896e-08,3.752582393226169e-10,2.8506277905860143e-06
2200,6.828490360080102e-08,2.9118411361980125e-07,3.538658101127221e-08,1.0077248155536619e-10,7.481328555849423e-07,1.895434818442957e-06,8.918473781311341e-06,6.799633738404585e-11,5.4365433777138035e-05,4.6683462316430846e-08,3.878498156923071e-10,2.9159366828427446e-06
2300,7.368920231192467e-08,2.9711863545058455e-07,3.744324416613034e-08,1.0730217209367905e-10,7.783400072242616e-07,2.0746195405723094e-06,1.0118302453998977e-05,6.891670396674756e-11,5.5825726514674574e-05,4.8981020767264546e-08,4.1587885090918746e-10,3.1019228545443423e-06
2400,7.577923448145455e-08,3.2581978957814506e-07,3.8748452401006205e-08,1.0896193426791527e-10,8.318203729502752e-07,2.1889742592975017e-06,1.0657522932221615e-05,7.19557166949653e-11,5.8887113396079866e-05,5.402447567143718e-08,4.225884038686857e-10,3.3606208206906734e-06
2500,8.000406686416613e-08,3.294596645273292e-07,4.1243522705173876e-08,1.1871841376648087e-10,8.995751468675644e-07,2.4243606051678275e-06,1.0200810559862391e-05,7.269328813777781e-11,6.176221407917918e-05,5.567974675730642e-08,4.551705875076117e-10,3.486211981036459e-06
2600,8.734370936380566e-08,3.4327636597906827e-07,4.416264006284537e-08,1.230171452591667e-10,9.042135011776709e-07,2.478491740357426e-06,1.173616509746885e-05,7.889718132032546e-11,6.731329437772415e-05,5.911869478439269e-08,4.767360182811481e-10,3.7294559653109186e-06
2700,9.206741327880528e-08,3.6134026582073113e-07,4.480590381470706e-08,1.295893657530043e-10,9.886202322724724e-07,2.617611544183992e-06,1.1380850319299225e-05,7.967306626925011e-11,7.011094828732704e-05,6.081572361899669e-08,4.948997451956998e-10,3.805114424918142e-06
2800,9.289975907611427e-08,3.8780821113812063e-07,4.6929973046986405e-08,1.3423214282990725e-10,1.0210111505624176e-06,2.676293475146868e-06,1.222588154744217e-05,8.85242969757863e-11,7.18326644582812e-05,6.380981253063409e-08,5.041359888870262e-10,4.102463461721455e-06
2900,9.885270811965333e-08,4.008779504352939e-07,4.9028885667505235e-08,1.413707953397398e-10,1.0846867349545122e-06,2.720579202167315e-06,1.2337811501269605e-05,8.956268277405549e-11,7.408913036056242e-05,6.69330331592648e-08,5.298652437094584e-10,4.1416358249159855e-06
3000,1.0229902358555161e-07,4.1390294305981683e-07,5.0588836524860026e-08,1.4517510982533545e-10,1.09777653080753e-06,2.9524354891363352e-06,1.3687018319736935e-05,9.2365513566123e-11,7.630845141079853e-05,6.87959768007946e-08,5.492501491730578e-10,4.298338795680109e-06
3100,1.0546824999565818e-07,4.3315867129183016e-07,5.364733564162199e-08,1.5406270911797544e-10,1.1422198998004312e-06,3.1709562595042786e-06,1.383447264796631e-05,9.67874596498982e-11,8.149626201008014e-05,7.145241691856954e-08,5.784244068054998e-10,4.481704780582538e-06
3200,1.1059923460986445e-07,4.384832416679142e-07,5.478058524597412e-08,1.5899530644775425e-10,1.2066116275097944e-06,3.137790213010653e-06,1.4561873264889222e-05,1.0216575513091969e-10,8.171007370758645e-05,7.629886492680217e-08,5.816982795866633e-10,4.7665094728589715e-06
3300,1.1502627942571484e-07,4.6230491151935415e-07,5.757960997267532e-08,1.638402799471791e-10,1.2351294662116708e-06,3.4211679573907906e-06,1.424647269939422e-05,1.0602899505630183e-10,8.457639853254693e-05,7.594408208603245e-08,6.13692976514054e-10,4.8215023541962094e-06
3400,1.1733615485903425e-07,4.720927752158871e-07,6.026172633311037e-08,1.7342977111583263e-10,1.2709033119527164e-06,3.458364312172462e-06,1.5206178909423285e-05,1.0974159868056846e-10,8.860461419391026e-05,8.361733168409354e-08,6.280679383263898e-10,5.137718762585862e-06
3500,1.2392917770129818e-07,4.990888409174354e-07,6.273344579439992e-08,1.7693262610315597e-10,1.3363973913778057e-06,3.575963526595471e-06,1.625833220455645e-05,1.1157650853073328e-10,9.210977602020051e-05,8.514489292429243e-08,6.434184708375277e-10,5.329341597985091e-06
3600,1.2607158127883187e-07,5.089270255292051e-07,6.426310446505906e-08,1.8433857475723843e-10,1.3966642319846267e-06,3.732293651759883e-06,1.628894377073738e-05,1.1311499671088326e-10,9.514610169469382e-05,8.452375113832745e-08,6.852382401673525e-10,5.423889399663067e-06
3700,1.3138252550707546e-07,5.277032543786571e-07,6.613609418623287e-08,1.9271608154561755e-10,1.4401297172622324e-06,3.883294330312044e-06,1.7174654373435655e-05,1.2101527548401298e-10,9.753886437638373e-05,8.923845669389295e-08,6.972359198808165e-10,5.508354912923441e-06
3800,1.3458699600222677e-07,5.347333297365885e-07,6.757533642950588e-08,1.943200315100028e-10,1.490269869344928e-06,3.834791881071354e-06,1.7077414343574766e-05,1.2182162902020684e-10,0.0001014028238417251,9.439647116841247e-08,7.182007428742118e-10,5.7506052845641355e-06
3900,1.3428936573270859e-07,5.193957456535656e-07,6.695096862463511e-08,1.9076839972595143e-10,1.4635974921523298e-06,3.7466053675861857e-06,1.373811207378917e-05,9.915321622219427e-11,9.832910380001502e-05,7.420799695538119e-08,6.925660664709893e-10,5.6181092057089495e-06
4000,1.308125941049923e-07,5.037817897310962e-07,6.626408208177358e-08,1.8991743053257277e-10,1.3945961325505438e-06,3.7993344278864774e-06,9.526210913819723e-06,7.174646174886133e-11,9.493868961131553e-05,5.069251209892578e-08,6.766292642199078e-10,5.627946744803353e-06
4100,1.2613075036279827e-07,5.04536267085694e-07,6.42484324137381e-08,1.8706824309983378e-10,1.383689406104783e-06,3.655696323815962e-06,5.237857410894475e-06,3.7499075073246774e-11,9.2697281505041e-05,2.778585347998895e-08,6.733555191295784e-10,5.342831831412115e-06
4200,1.2275977516414718e-07,4.805325571144395e-07,6.18354804517716e-08,1.8008185537572392e-10,1.3265431963781224e-06,3.668937209114521e-06,1.117864422751219e-06,8.791867549376603e-12,8.884430738113094e-05,7.576061501689454e-09,6.474402234064487e-10,5.307968421515217e-06
4300,1.228541612091555e-07,4.7439576660290784e-07,6.044416176214653e-08,1.7528622682266085e-10,1.3196363387390554e-06,3.4635770219387426e-06,-1.9103060773099083e-06,-2.0210356835685127e-11,8.888583975991776e-05,-1.1411762587911776e-08,6.148935943198596e-10,5.236652052830371e-06
4400,1.2099769520312315e-07,4.604606559204834e-07,6.019856987596957e-08,1.7088043331274918e-10,1.2998476456151189e-06,3.3406396197320394e-06,-6.265903027691484e-06,-4.8873185649234364e-11,8.456848158377939e-05,-3.3829967426848574e-08,6.081091099106438e-10,5.137684820713104e-06
4500,1.1577527321472248e-07,4.4300441860083363e-07,5.9422855635055235e-08,1.6449727425715462e-10,1.2628881328245757e-06,3.391892987190764e-06,-1.0431292757974605e-05,-7.622656426205272e-11,8.25256829538092e-05,-5.281649861643975e-08,5.756963471545643e-10,4.8947989406347505e-06
4600,1.1502256802869392e-07,4.2242546815551067e-07,5.6987960673034123e-08,1.636220828547656e-10,1.205592320831198e-06,3.345790170474518e-06,-1.4389339971967455e-05,-1.0494470140095824e-10,7.949041144820791e-05,-7.561607070320054e-08,5.738504660947225e-10,4.810060492604843e-06
4700,1.1224935637504318e-07,4.025722750822224e-07,5.4774202488446376e-08,1.6074255035596952e-10,1.184842451135215e-06,3.1468885716500055e-06,-1.829998584838276e-05,-1.2804849583783755e-10,7.755668358002032e-05,-9.950008921627541e-08,5.534929600717046e-10,4.745557729271657e-06
4800,1.0717557824684123e-07,3.9388434177315214e-07,5.36052447991374e-08,1.5501687394417026e-10,1.172971993006124e-06,3.064248222170046e-06,-2.219030131222721e-05,-1.5764142637534113e-10,7.496532261389542e-05,-1.191401532171718e-07,5.314271812329199e-10,4.603167122632719e-06
4900,1.040264737818355e-07,3.799776138951857e-07,5.242196814345206e-08,1.4809387918409406e-10,1.107336287560102e-06,2.9834425424064768e-06,-2.6395628075240986e-05,-1.8780064564042581e-10,7.226197142980692e-05,-1.3890719191091206e-07,5.133935917234122e-10,4.420785064379105e-06
5000,1.0094665790108741e-07,3.74059976665711e-07,5.059788983719514e-08,1.4609115660926353e-10,1.0758372136181686e-06,2.8847728139783983e-06,-3.074864700482967e-05,-2.1577319398401847e-10,6.70397985511093e-05,-1.6220387777023315e-07,4.965432068422976e-10,4.2897921014553345e-06
