miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
1100,2.274382417194633e-08,1.1747512821847795e-07,1.2028695484860805e-08,3.0756469887002595e-11,2.4667892490848444e-07,6.102079409821305e-07,3.536450308981047e-06,2.622232553298564e-11,2.3195072936918407e-05,1.8128667370740123e-08,1.4740243284827122e-10,1.0830392202887248e-06
1200,2.8315123897925425e-08,1.2625954748120084e-07,1.4153708094227868e-08,4.131652263857552e-11,2.791529967115769e-07,8.994150495289923e-07,4.455681958946336e-06,3.1835640112849285e-11,2.449010899026274e-05,2.4083284047821722e-08,1.7447024202831038e-10,1.20933240656521e-06
1300,3.360032735832505e-08,1.4062629994720916e-07,1.682540082640868e-08,4.813334086203876e-11,3.150800088845384e-07,8.017998794612492e-07,4.29423586532299e-06,3.024497803503668e-11,2.946198797250025e-05,2.221815594743432e-08,1.900276789830908e-10,1.4554751319317932e-06
1400,3.4981589799838296e-08,1.5741375653890986e-07,1.7911119718884455e-08,5.244028193659215e-11,3.96210501712544e-07,9.098465612995141e-07,5.55687382870632e-06,3.5691423724317985e-11,3.056231869872868e-05,2.7772236688904007e-08,2.0848299872786825e-10,1.4630315493924748e-06
1500,4.075360449906934e-08,1.7232493686903408e-07,1.938081829494093e-08,5.4579320334537116e-11,4.3370050169757604e-07,1.2103092810945045e-06,5.571828091215488e-06,4.222028461363192e-11,3.519992718250954e-05,2.8767309279101745e-08,2.47659923921421e-10,1.8011643560253723e-06
1600,4.610080380560895e-08,1.9439676713049352e-07,2.1966055156338367e-08,6.451597608529223e-11,4.898060523900694e-07,1.178349400870365e-06,6.024956101632155e-06,4.030757747982772e-11,3.697463405113195e-05,3.171676848012102e-08,2.5215763061228837e-10,1.9807737328510485e-06
1700,4.6932684141114795e-08,2.0374312904296412e-07,2.477279678487566e-08,7.162906587613365e-11,5.415653858576432e-07,1.363912047361241e-06,7.089447076563327e-06,4.487710742545999e-11,3.877224242105031e-05,3.321835583446591e-08,2.707099273063522e-10,2.119072793524607e-06
1800,5.481374581986601e-08,2.3468373666026897e-07,2.706595007872222e-08,7.828989017151208e-11,5.860395907851488e-07,1.591441201691074e-06,6.943838631368111e-06,5.152817687627322e-11,4.3034119996438806e-05,3.7711837735361544e-08,2.917844961504989e-10,2.173013918305991e-06
1900,5.7262180968950136e-08,2.480611881569337e-07,2.9095020871026674e-08,8.177788724760596e-11,5.858388288093847e-07,1.6839473644825949e-06,7.477047678896499e-06,5.3715282168719345e-11,4.4804230900123166e-05,4.135665405810042e-08,3.18943913191279e-10,2.362208220548986e-06
2000,6.078519896986711e-08,2.5886318743901765e-07,3.0352837657040246e-08,8.522411978174045e-11,6.344981751956932e-07,1.6319697459763281e-06,7.678347471188985e-06,5.437173846466698e-11,4.782909050295669e-05,4.417405935386913e-08,3.3949954502761533e-10,2.5709870432729747e-06
2100,6.45164696402595e-08,2.687363765641022e-07,3.19001686540644e-08,9.43489044350074e-11,6.993348453615766e-07,1.8780295361245435e-06,9.098507089724903e-06,6.189387339817044e-11,5.0355290176386786e-05,4.47571654795059e-08,3.6379658273142487e-10,2.7180506741294777e-06
2200,6.860943204530629e-08,2.9514772474914944e-07,3.586587174711355e-08,9.684982569311678e-11,7.357701678832458e-07,2.0517994319189208e-06,9.714389941845273e-06,6.660922180639076e-11,5.315702642403067e-05,4.71801308397764e-08,3.739407243834026e-10,2.977897774221233e-06
2300,7.404534839375588e-08,3.117801696331769e-07,3.6496701872035315e-08,1.0352582530176194e-10,7.857209109592815e-07,2.1868074235202776e-06,9.166289214919747e-06,6.750852450723006e-11,5.864267595002108e-05,5.032058177107567e-08,4.025740971532339e-10,3.123026551132496e-06
2400,7.676636293877795e-08,3.2773973841585564e-07,3.8386353857251024e-08,1.1440523669104974e-10,8.22558178763005e-07,2.1321456687355244e-06,1.0673155360338295e-05,7.197797804918843e-11,5.9316607811749125e-05,5.637234800678699e-08,4.338243716054862e-10,3.218827033381733e-06
2500,8.029872234424276e-08,3.385119979658306e-07,4.2207351214672233e-08,1.1485119150012801e-10,8.960052236153254e-07,2.2386025748058437e-06,1.0343705805675494e-05,7.605780574645073e-11,6.276015228951828e-05,5.8462396999037064e-08,4.5342510698733716e-10,3.5027601254176447e-06
2600,8.397237482362605e-08,3.432401552631369e-07,4.2305501981431365e-08,1.25683568017488e-10,9.298495662288961e-07,2.570217750987258e-06,1.164839932827249e-05,7.956059506904223e-11,6.420923016361787e-05,6.125857258186723e-08,4.617092747058043e-10,3.664963274884405e-06
2700,9.079169000387406e-08,3.6756465805638825e-07,4.534154707334812e-08,1.304228641225587e-10,9.470891016836803e-07,2.527660560743256e-06,1.1392730349957756e-05,8.050313133909221e-11,6.800470964175391e-05,5.987848070569128e-08,5.0034867422703e-10,3.874521926251352e-06
2800,9.381791902320869e-08,3.8981069468216576e-07,4.7040083147465604e-08,1.3869172402172484e-10,1.01550346066698e-06,2.6261084937910372e-06,1.2431612517862108e-05,8.645516713983023e-11,7.145553885736034e-05,6.506167129579508e-08,5.087582722005629e-10,3.951919318625142e-06
2900,9.826422568482861e-08,3.997952418355037e-07,4.859218101937092e-08,1.405776256987772e-10,1.0526387185231713e-06,2.7126545495570085e-06,1.3205791456826866e-05,9.261902300477743e-11,7.5385696478715e-05,6.859319721693905e-08,5.337907236463403e-10,4.2113169307385535e-06
3000,1.0200676245035461e-07,4.2002806377032305e-07,5.170465888185384e-08,1.4497680725995322e-10,1.0930161149705434e-06,2.8838185679251937e-06,1.2695697184702224e-05,9.775055593617806e-11,7.83023494050895e-05,7.138340938615728e-08,5.585587793429344e-10,4.371839415639092e-06
3100,1.0608884531309004e-07,4.3712040771901173e-07,5.377686674770566e-08,1.5389019388217323e-10,1.1314712480249443e-06,3.1676581489780185e-06,1.3680653915037512e-05,1.0056133263113513e-10,8.071421614754275e-05,7.564284542288193e-08,5.796513386547731e-10,4.488740192428555e-06
3200,1.0900392325549552e-07,4.401121466206807e-07,5.515106266399986e-08,1.5833250985353563e-10,1.1751705701739765e-06,3.111365959490591e-06,1.452472402219016e-05,1.0445783294901015e-10,8.213939075404458e-05,7.686795107291264e-08,5.821031071195131e-10,4.659902903871692e-06
3300,1.162252604574009e-07,4.5533518162604114e-07,5.8187904600320943e-08,1.6746240957696473e-10,1.2547394146521532e-06,3.3315572410646725e-06,1.4661408229707915e-05,1.0421190238445167e-10,8.743519633862161e-05,7.656070963604163e-08,6.243236993093634e-10,4.983202364325492e-06
3400,1.2099902499906164e-07,4.797257503306531e-07,6.072717788162299e-08,1.7068873428306944e-10,1.2904839877261167e-06,3.362512857262635e-06,1.4883818966404915e-05,1.1108247208097722e-10,8.882924239733666e-05,8.323895196299266e-08,6.347052165799077e-10,5.056782641649693e-06
3500,1.2330132996312009e-07,4.925402999391353e-07,6.189193472929017e-08,1.7972173691517032e-10,1.312738649132703e-06,3.5791723119603545e-06,1.5249581446794164e-05,1.1567191783606468e-10,9.339105157780382e-05,8.639171681263487e-08,6.480267773302386e-10,5.2096555937688396e-06
3600,1.2914079820219604e-07,5.094810830995984e-07,6.33214404923735e-08,1.860024921303522e-10,1.3788970852708493e-06,3.758902603375993e-06,1.6729656035954756e-05,1.1322784635125044e-10,9.58555090436911e-05,8.877908223391648e-08,6.685955029457377e-10,5.484542183375648e-06
3700,1.3360999439613494e-07,5.141347975127163e-07,6.68531151091214e-08,1.8931817350814703e-10,1.4176619278954503e-06,3.685514817012504e-06,1.6940246166554386e-05,1.1990947364254685e-10,9.893203026449858e-05,9.045209991526803e-08,6.971205800523506e-10,5.548317518071076e-06
3800,1.373592334966595e-07,5.342047455174927e-07,6.794953432486387e-08,1.9401778482329184e-10,1.4479791007615425e-06,3.849111946013647e-06,1.7125705841674384e-05,1.2640947001551956e-10,0.00010038910769131044,9.132827355596261e-08,7.287588738105525e-10,5.740644310690777e-06
3900,1.3428608855180238e-07,5.272298262214031e-07,6.830704471234233e-08,1.9500843374633984e-10,1.4274079023648228e-06,3.815988294533913e-06,1.386679231711223e-05,9.735496701593409e-11,9.752534733240058e-05,7.412468073538049e-08,7.031636006355559e-10,5.634281667137877e-06
4000,1.2893499847218863e-07,5.083684508403476e-07,6.477068061526375e-08,1.9072369600672493e-10,1.413197389907239e-06,3.6739648306401786e-06,9.346896770621442e-06,6.648016847790517e-11,9.677845007276222e-05,5.235531894984222e-08,6.883265278280759e-10,5.6229871988576434e-06
4100,1.283932019175139e-07,4.986894451902842e-07,6.471630231761843e-08,1.8351157267811351e-10,1.378655484872483e-06,3.6458351387232464e-06,6.064141547474663e-06,4.374879203994122e-11,9.300707102428338e-05,3.2851087647299473e-08,6.589023102940406e-10,5.362270108384066e-06
4200,1.256409407009415e-07,4.821459778193947e-07,6.241071479874664e-08,1.8318058884514696e-10,1.3703515558616586e-06,3.587935060025376e-06,1.5647672696369387e-06,1.2241361890102487e-11,9.007615407073583e-05,9.982888935755056e-09,6.496610950517878e-10,5.3009296879525344e-06
4300,1.2043420031178194e-07,4.592229373676847e-07,6.195137365492358e-08,1.7452119481955655e-10,1.3274709821986057e-06,3.6039154838779995e-06,-2.798861071583761e-06,-1.688285731740588e-11,8.886650875348277e-05,-1.2378905989069746e-08,6.197103310445901e-10,5.189439568938439e-06
4400,1.1881060251109972e-07,4.523823939923117e-07,5.995208987349183e-08,1.7124278087861527e-10,1.307111010571747e-06,3.4007468955508788e-06,-6.166840676964645e-06,-4.3102483545544255e-11,8.339559780663809e-05,-3.681173547572647e-08,6.095695909485136e-10,5.044848674114521e-06
4500,1.1432649953207276e-07,4.3253193410368525e-07,5.954941512127711e-08,1.6470828145220956e-10,1.2439568144684028e-06,3.3859246312384624e-06,-1.059598768518652e-05,-7.651780407532679e-11,8.123575247563579e-05,-5.285428260427009e-08,5.929024884457361e-10,4.876385715438294e-06
4600,1.1242265213843459e-07,4.293722421328308e-07,5.6735857318368136e-08,1.6060196411104826e-10,1.2441048726657965e-06,3.2813360957648826e-06,-1.4285882639020167e-05,-1.0335963373953577e-10,7.909016836082623e-05,-7.538816411552981e-08,5.565696125531405e-10,4.890667034615704e-06
4700,1.0824920053774529e-07,4.038963949251684e-07,5.641656466709287e-08,1.6050298811882817e-10,1.2163249390291488e-06,3.1839358552286505e-06,-1.8583787017185798e-05,-1.3448969993758656e-10,7.744445783579818e-05,-9.758509044622762e-08,5.396448971527471e-10,4.747096963071528e-06
4800,1.0723260010826566e-07,3.8712898788742295e-07,5.5031704887915295e-08,1.5599452550038682e-10,1.1756630913932063e-06,3.1347772955825147e-06,-2.1952442025436706e-05,-1.5861101701338145e-10,7.545219353150299e-05,-1.1751326854181959e-07,5.378421669049799e-10,4.53539459993154e-06
4900,1.0268606184307694e-07,3.7347767951700925e-07,5.371208964535792e-08,1.5238323225430497e-10,1.1521043368596057e-06,3.017421814454571e-06,-2.6712249523857263e-05,-1.891186754901448e-10,7.197213252250476e-05,-1.4120783251247026e-07,5.072940858675819e-10,4.335799148752005e-06
5000,9.942498085569738e-08,3.6547051997229174e-07,5.012894146069526e-08,1.468454851490644e-10,1.0824547501541104e-06,2.8977831393944975e-06,-3.054900967264339e-05,-2.1944852616818646e-10,6.869945602603382e-05,-1.645006258872261e-07,4.867319890958055e-10,4.221879890344491e-06
