miliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
1600,4.608726538245266e-08,1.93706175975134e-07,2.264404705491174e-08,6.237059512990859e-11,4.704857820491032e-07,1.1483328327343714e-06,6.267322252056829e-06,4.352094415089869e-11,3.606791827010998e-05,3.310647052914204e-08,2.5274734856119833e-10,1.8620414184325656e-06
1700,4.6859001373240165e-08,2.1762405220483e-07,2.3461214951438536e-08,7.136887230014082e-11,5.150383667632209e-07,1.4479562482819521e-06,7.165498538728465e-06,4.366083844472823e-11,3.808365022207698e-05,3.436310021969861e-08,2.773533017507863e-10,2.0315669847363904e-06
1800,5.1306266311758465e-08,2.3191472593124735e-07,2.681835854654069e-08,7.758282396588903e-11,5.461789337326553e-07,1.5853685263399262e-06,7.304891486135137e-06,4.8443513794429406e-11,4.146262477531754e-05,3.925556315272824e-08,2.9209723977850224e-10,2.2805668303742903e-06
1900,5.824672526045176e-08,2.3510793235344184e-07,2.9217889412974654e-08,8.436094997760121e-11,6.218449625304126e-07,1.7324550513882664e-06,7.517895640120289e-06,5.743830623770826e-11,4.668707700307968e-05,4.2747160030130004e-08,3.193641551548159e-10,2.4337336764841656e-06
2000,6.094736544126548e-08,2.55225447176268e-07,3.012674342420128e-08,8.526159194955219e-11,6.756689620199739e-07,1.7458077238975572e-06,8.444669940483926e-06,5.501242457162331e-11,4.792863619264495e-05,4.606109530192126e-08,3.396252279716177e-10,2.6871738184824416e-06
2100,6.681245569733225e-08,2.748085526830865e-07,3.2446565141612914e-08,9.575114887249672e-11,7.107999863405049e-07,1.8668179870848604e-06,8.283083354545354e-06,5.890179948539441e-11,5.213993050476351e-05,4.575193167729841e-08,3.587686741681811e-10,2.7164293980279585e-06
2200,6.959692658768212e-08,2.846876135718296e-07,3.5544540725542724e-08,9.711444869190192e-11,7.487135054162145e-07,2.0530374400382553e-06,8.795920074766583e-06,6.222560389775268e-11,5.494448171967824e-05,4.866113795856166e-08,3.8671428372859565e-10,3.0426119003146917e-06
2300,7.24098889676214e-08,2.972134702939186e-07,3.7346496719486906e-08,1.0587145550698621e-10,8.112107650269666e-07,2.127631676372287e-06,1.022697598689901e-05,6.85257034917327e-11,5.775894926239557e-05,5.021991550845744e-08,3.973873256426596e-10,3.1274319368138544e-06
2400,7.54879104036282e-08,3.12749909194929e-07,3.833987175395864e-08,1.0966823979601337e-10,8.200095735077364e-07,2.1899011157025765e-06,1.0312734109689339e-05,7.269015575919309e-11,6.013529322485562e-05,5.383079993503614e-08,4.3183723442962476e-10,3.2897122096520944e-06
2500,8.018629981511345e-08,3.4150552944388976e-07,4.088245166182585e-08,1.1615556737150781e-10,9.022608313967517e-07,2.3401960970453846e-06,1.0803887290915549e-05,7.905523759414731e-11,6.261157631489945e-05,5.945082987017139e-08,4.5218117777493447e-10,3.557982425925542e-06
2600,8.531852314193677e-08,3.4521653904013566e-07,4.431797442757148e-08,1.2635801596708383e-10,9.423609597349201e-07,2.4701746446510456e-06,1.1110177198543101e-05,7.813096647771355e-11,6.518304594853533e-05,6.078299998299177e-08,4.772346145466067e-10,3.5833323845132103e-06
2700,8.89275215136503e-08,3.706902407624302e-07,4.5840087761751755e-08,1.2826680706527694e-10,9.788948824416304e-07,2.5219990100102992e-06,1.1338645500071972e-05,7.952484833390047e-11,6.9948955420083e-05,6.034931639854694e-08,4.964896154902246e-10,3.794386649777699e-06
2800,9.256813496995037e-08,3.80951183601828e-07,4.680099723345395e-08,1.3555688298270167e-10,1.0081859774159027e-06,2.717713351870211e-06,1.2339170842384712e-05,8.57050212081129e-11,7.226798670654975e-05,6.26097160521046e-08,5.175241360462141e-10,3.926011713100699e-06
2900,9.800713998140461e-08,4.0293019055178307e-07,5.015798914360903e-08,1.4139660501687608e-10,1.0655102335456596e-06,2.8493151852584686e-06,1.2624106078689169e-05,8.657534467083046e-11,7.470588690051193e-05,6.96626854104605e-08,5.268724086111623e-10,4.153622528675684e-06
3000,1.0470093507598579e-07,4.059772580824968e-07,5.141847679285767e-08,1.4739794492632762e-10,1.1007990040238585e-06,2.8475055093866187e-06,1.3430678497814165e-05,9.692051091034991e-11,7.850631729087375e-05,7.143432139276071e-08,5.536107028812533e-10,4.433121227702424e-06
3100,1.0868097569026066e-07,4.3522111444046213e-07,5.335878831242965e-08,1.5169872260826525e-10,1.1562300385357362e-06,3.0524700656829374e-06,1.3575082484418152e-05,9.756177324359429e-11,8.000422866036845e-05,7.329817974173934e-08,5.788374431149922e-10,4.581449054377686e-06
3200,1.1043437647814327e-07,4.461942437038723e-07,5.6543697377597024e-08,1.614608895817011e-10,1.1833419565492421e-06,3.2641771387480668e-06,1.3732295584427762e-05,9.822607717907183e-11,8.33171500419256e-05,7.451791208692892e-08,5.990484479594993e-10,4.7896978584703715e-06
3300,1.147347953073712e-07,4.5341299536834476e-07,5.819897210679357e-08,1.6531654740883418e-10,1.255002130321149e-06,3.3630763661560655e-06,1.4375550552936655e-05,1.0421111766880048e-10,8.596654186103755e-05,7.994556388405652e-08,6.228494729427482e-10,4.896384234424766e-06
3400,1.1815771598030465e-07,4.750618855697192e-07,6.022131616798031e-08,1.7319593235815875e-10,1.2637592137338412e-06,3.3695995628388157e-06,1.526693081480284e-05,1.0854715460997688e-10,9.027669332463596e-05,7.836325873360721e-08,6.231193218885599e-10,5.125069890446045e-06
3500,1.2399371437881183e-07,4.983743668754144e-07,6.323495859426429e-08,1.750289457267391e-10,1.3438687956223881e-06,3.5835103425422736e-06,1.5232361726246257e-05,1.143145466493817e-10,9.095846876612365e-05,8.19791983811861e-08,6.655354521024572e-10,5.232309083512946e-06
3600,1.295684926416374e-07,5.119149736447532e-07,6.474429982548189e-08,1.8623148758653723e-10,1.3714696884526227e-06,3.7643355718023207e-06,1.6124107232175254e-05,1.1319326908670836e-10,9.494076177057259e-05,8.914860300965234e-08,6.860113789569666e-10,5.406893047402681e-06
3700,1.3100236744563584e-07,5.149437289271833e-07,6.682904892480231e-08,1.9032179480304763e-10,1.4030713145398053e-06,3.795717980755195e-06,1.6717258253997824e-05,1.2213454943016019e-10,9.784149964092148e-05,8.737586021389853e-08,6.882345004653537e-10,5.633526981370387e-06
3800,1.3534628465334425e-07,5.323462752607553e-07,6.745090493047012e-08,1.9669230765514459e-10,1.4801482292075224e-06,3.809498869131007e-06,1.7133366036592736e-05,1.2332672081645427e-10,0.00010168505792068427,9.401085500179874e-08,7.109637975843737e-10,5.682027459622796e-06
3900,1.3335148768192712e-07,5.237101156324563e-07,6.635712531502633e-08,1.9415622934489525e-10,1.427584967274778e-06,3.908314400657641e-06,1.3984434641585229e-05,1.0075944356991912e-10,9.853597550934612e-05,7.236000082837858e-08,7.027260800900615e-10,5.6250574219450696e-06
4000,1.2913324386496871e-07,5.158077057792629e-07,6.627903255220836e-08,1.8671311884295567e-10,1.3909348403639134e-06,3.7854886880817828e-06,9.321483306545473e-06,7.228354595695914e-11,9.682891203642714e-05,5.401452965956341e-08,6.805527646236839e-10,5.599101046947832e-06
4100,1.2782659928467197e-07,5.041730713232306e-07,6.398592996485459e-08,1.838372001979429e-10,1.3682384631954348e-06,3.6613797011034623e-06,6.0852605547621575e-06,4.3712452337508486e-11,9.475283937362767e-05,2.7688346253716597e-08,6.556328669601839e-10,5.467498225833043e-06
4200,1.2271657040159929e-07,4.859836150288682e-07,6.209037916059021e-08,1.7778100674810368e-10,1.3387310127902841e-06,3.5350033203942153e-06,2.1511355279468467e-06,8.101509958958417e-12,8.919371720890416e-05,6.567035114684351e-09,6.550016708649555e-10,5.3699357371977004e-06
4300,1.2238324460432752e-07,4.624989625410148e-07,6.098112110111519e-08,1.7652408113380205e-10,1.29696909468498e-06,3.6000678636481742e-06,-2.8896195024453924e-06,-2.030828236173973e-11,8.740004469208395e-05,-1.0576148202395691e-08,6.212050459518381e-10,5.269564845622378e-06
4400,1.2025931079373054e-07,4.4638367406279944e-07,5.979354028546466e-08,1.687109257634001e-10,1.2690714588769718e-06,3.3760889707959587e-06,-6.236452647378861e-06,-4.6562011943576366e-11,8.64016437204662e-05,-3.6521876591752286e-08,5.993198020745692e-10,4.971243020236337e-06
4500,1.1670581795911086e-07,4.3022329336737246e-07,5.890214250069276e-08,1.6676967193136774e-10,1.2656753295314213e-06,3.3425107000010122e-06,-1.0005594451762335e-05,-7.120379786840544e-11,8.361877325222811e-05,-5.391170261926571e-08,5.85642858567602e-10,4.8502990321422455e-06
4600,1.1524879420016676e-07,4.3155206292149523e-07,5.641874921905248e-08,1.6220769147983353e-10,1.2167657890236263e-06,3.3072546025857355e-06,-1.393833054393491e-05,-1.0417546627822415e-10,8.104659568010231e-05,-7.94484755728487e-08,5.668493245112739e-10,4.728104675575196e-06
4700,1.1117505491279153e-07,4.1442397462306604e-07,5.447087760194578e-08,1.569710134123223e-10,1.2032167152005367e-06,3.2397499814218415e-06,-1.8481471654997117e-05,-1.3281793429995466e-10,7.823520288416162e-05,-9.7977607307387e-08,5.452683579295459e-10,4.768539072528301e-06
4800,1.0574168162825482e-07,4.0297120890471176e-07,5.5030169032324016e-08,1.5694743527687106e-10,1.1805341077252103e-06,3.1579776355854064e-06,-2.2804459095482974e-05,-1.5772061719003284e-10,7.330591636912601e-05,-1.1998521116007668e-07,5.27671082369917e-10,4.61217757993905e-06
4900,1.06066372315065e-07,3.8832941836698363e-07,5.357321226242415e-08,1.4782013240181545e-10,1.1163952880259087e-06,2.925814811826297e-06,-2.664327965023292e-05,-1.8901676269118875e-10,7.065579383151976e-05,-1.405599207103537e-07,5.053411002520966e-10,4.499861333698793e-06
5000,1.028779027539121e-07,3.640956026231085e-07,5.208060465804684e-08,1.439987608439136e-10,1.0914863193139996e-06,2.9252591842504498e-06,-3.0151912694716814e-05,-2.1700011918472432e-10,6.852722377504963e-05,-1.6340953038987333e-07,4.829745824480742e-10,4.309195345255531e-06
