milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
2500,0.0021512699839557575,1.861872565126177e-08,1.0081764836062898e-07,5.31902489122981e-06,1.5064006060667114e-09,2.3442249682350296e-08
2600,0.002682568335854521,1.881773129268665e-08,8.268055367387484e-08,5.079646028969782e-06,1.4165902781089028e-09,1.3196439386188223e-07
2700,0.0026017211894179574,1.799138077343696e-08,6.750921005407504e-08,5.355859345308615e-06,1.3700032496509612e-09,1.283943374307714e-07
2800,0.0025524663952374294,1.793375293655198e-08,4.9460333240881795e-08,5.401917834898808e-06,1.401658319635842e-09,9.802472546484214e-08
2900,0.0031697929522588714,1.716265124029636e-08,1.4509484741703452e-07,6.403963188534719e-06,1.3435059541981445e-09,1.7887269150490335e-07
3000,0.0032469146757280708,1.7378933804435788e-08,1.1747743719570014e-07,5.951659443680276e-06,1.3003691449022404e-09,-2.9919749472510324e-08
3100,0.0032283936244074996,1.729787722412131e-08,1.235328461643757e-07,6.395312738658541e-06,1.2869557050789476e-09,-7.905481560218757e-08
3200,0.0039012361111818274,1.6540865970618786e-08,4.127040065253602e-08,6.626775067345752e-06,1.2866701788990018e-09,5.9491589527448156e-08
3300,0.00398452863560636,1.6718122594778396e-08,1.106334211876529e-07,7.490871322968997e-06,1.2672992393996057e-09,6.920277448880237e-09
3400,0.004039425554894106,1.5813219368913786e-08,5.489399199295121e-08,7.18544674792378e-06,1.2203276309282007e-09,2.283620512917902e-07
3500,0.004398014797513286,1.6088170710311585e-08,-3.252190222994694e-09,7.633864953454939e-06,1.1592571894318813e-09,-9.065268791861152e-08
3600,0.004467901634595424,1.561262881753788e-08,8.844458356529845e-08,7.885050765784095e-06,1.148438120296843e-09,2.3885572468477315e-07
3700,0.005084549680876732,1.5612313494267268e-08,-2.179733049870897e-08,8.640896884352402e-06,1.1608547167049599e-09,-8.265722070503852e-08
3800,0.005049955987941451,1.519681631516691e-08,7.960939785613853e-08,8.840016398298328e-06,1.1120820952717866e-09,-6.4470641476846e-08
3900,0.00537642258467336,1.5109186734074502e-08,3.364869815464537e-08,9.614525612297045e-06,1.0793533863649184e-09,-9.319071681742601e-08
4000,0.005669103871302452,1.4941961234033228e-08,5.802409112114283e-08,9.797037690005732e-06,1.0716158399909948e-09,7.858059312106271e-08
4100,0.006244289717708445,1.5030774022700786e-08,4.607751040208145e-08,1.0367426403843113e-05,1.087251393101679e-09,1.1578230037607808e-07
4200,0.006778624328533028,1.4729493613060114e-08,7.795700543236885e-08,1.0560579056060258e-05,1.0379346675957636e-09,1.6480571666178825e-07
4300,0.007483352490209949,1.5311984747582875e-08,-7.463709346656836e-09,1.1707502421810329e-05,1.0356091278745073e-09,3.2235109089562235e-08
4400,0.007834717267482466,1.4838915540999997e-08,5.945081890435599e-08,1.1757100208170218e-05,1.087831314983881e-09,1.1247654382053942e-07
4500,0.007920147096229716,1.5019143532125066e-08,6.415092817850516e-08,1.270621555627045e-05,1.0707011523146517e-09,1.4477578492941628e-07
4600,0.008785109462476653,1.5200255226118472e-08,5.343225586210275e-09,1.296220122682327e-05,1.07234646050609e-09,-5.52525784328248e-08
4700,0.009159390472320951,1.561232842581481e-08,-3.4866347296761657e-08,1.3436326417424426e-05,1.010767939031981e-09,1.4176562381701808e-07
4800,0.010084077899903912,1.5643705211097355e-08,-2.6222770116339024e-09,1.4299271408348737e-05,1.0708153192315476e-09,2.3104288777851018e-07
4900,0.010206223530378134,1.6014969892096058e-08,7.461088701459424e-08,1.4620068318065429e-05,1.0437437741011797e-09,2.6347873940756244e-08
5000,0.011127875334043084,1.6037955086249547e-08,-2.1598510878554107e-08,1.5834804779220855e-05,1.0331588514505342e-09,2.2871931302105297e-07
