miliseconds,HETE,PGH2,PGE2,PGF2a,PGD2,PGJ2,dPGJ2,AA,LPS,DG,GPCho,dPGD2
1700,1.890121438311722,14.496688559253219,2.8806449032843453,0.8482528933427826,40.2342756542038,1.194420603651743,0.012048370387922164,307.6777133874183,0.5,-1.9190304854384614e-15,0.7602939005971869,0.74672066834816
1800,2.0936448907410803,14.472767143585259,3.057335805826249,0.9516839630235459,44.93643911107561,1.2201058079235887,0.012723983654394432,308.1527903443912,0.5,-2.03864816523721e-15,0.7495487593319397,0.6591786327689294
1900,2.277835002934391,13.944898386438352,3.3424703276419496,0.998490058646072,49.41282530635402,1.4659075409170252,0.01568118233762002,308.805145640603,0.5,-2.1431233714125195e-15,0.75305650284283,1.0030754729137754
2000,2.575404754930167,13.746270420877604,3.6527630034464673,1.1014525237416912,52.045446492510564,2.041031411292818,0.03834050644478876,301.6795420760938,0.5,-2.1372791277940937e-15,0.7513500644230823,1.035244823442391
2100,2.6555255000723714,13.310554329193515,3.7552615944676457,1.1882306026415579,57.478721037525325,2.4149584791314247,0.03459686666014577,303.60806607124994,0.5,-2.3001729853381404e-15,0.7471639527993962,1.28420778291584
2200,2.7303734673379627,12.972994884679872,4.269604692835369,1.1960127827308966,60.56299456769784,2.556765409515592,0.04167950207983782,296.02645086404516,0.5,-2.3392189425689334e-15,0.7506068146045081,1.4573102559400806
2300,2.88107846175359,12.69522858790495,4.4397812201158615,1.2951132292497187,61.01066749260748,2.6106576621542787,0.04739899344223072,294.7300826469307,0.5,-2.5081144161045643e-15,0.7465831179057811,1.590956619138469
2400,3.0477445867210067,12.26800564841227,4.596355515967476,1.4093421312326964,65.13554668661868,3.38248987054942,0.05936768746441315,287.4684234708654,0.5,-2.6066494718967983e-15,0.7516535110299808,1.8009507933500468
2500,3.329344803563548,12.331993293548983,4.98228814781622,1.487732482791673,68.74009685628452,3.6726137416427975,0.07764278473655618,286.1111956542882,0.5,-2.750206841748258e-15,0.7502417177971634,1.8206418378746771
2600,3.4569107243785115,11.793940097011642,5.275356616965339,1.5864039808556383,71.6028501879468,3.876639367450222,0.08192100922809728,279.4637420954859,0.5,-2.867824283816138e-15,0.7519274031034551,2.1898817203836596
2700,3.5513298752372244,11.595140107293092,5.296212534328482,1.6013978458605045,74.62342215698675,4.049362072558,0.10040509339400538,277.27469695810584,0.5,-2.993535932717667e-15,0.751752051927868,2.342654415491046
2800,3.719166159955798,11.682906097356183,5.56645630221612,1.6903902647995428,80.52836782164214,4.530264182058733,0.12057137747227414,274.37734144779535,0.5,-3.0508239090671663e-15,0.7512757695212282,2.4140041482662737
2900,3.8247933312285474,11.39340195138041,5.808912936317821,1.724873309083059,79.85242172687012,5.127234467575592,0.12250969837580758,270.347662339229,0.5,-3.173872044921074e-15,0.7499842119951778,2.849210297941647
3000,3.9025326466568395,11.082131038102327,5.99738796758504,1.8301553879136416,82.8412142051914,5.729596586794012,0.14901155236064242,264.8042763376732,0.5,-3.212822998736147e-15,0.748451236801387,3.0500388218030605
3100,3.896598240216091,10.847795594697995,6.202999403150502,1.908145427754866,86.00778487444767,6.204176506353781,0.16073592889162372,262.4577376864683,0.5,-3.340108708328322e-15,0.7474004294466629,3.217481152065395
3200,4.080467281803131,10.87358673448038,6.394102190307876,1.985441319999458,89.94752627731373,6.25704354610724,0.17327663956214848,258.0197951719108,0.5,-3.413282865316247e-15,0.7526634474539913,3.5999045776259413
3300,4.278490078301471,10.616795407567656,6.633250430777241,2.022822838639664,93.91496114076013,6.772961327883799,0.19320796430919002,250.02230085250702,0.5,-3.5985717955338436e-15,0.7482305452155662,3.869854770348797
3400,4.227003957681935,10.452881564098663,7.0920681122915905,2.138242909550575,93.58848662441461,7.450986522949697,0.21202224116364984,247.7390361256052,0.5,-3.665346697456763e-15,0.7463166415695149,4.150477433448211
3500,4.400987004389995,10.303253006610472,7.142103388417689,2.1239458243332607,97.33859405749106,8.013143240540549,0.2378047209564653,243.5108809618273,0.5,-3.682895922298615e-15,0.7534370745380011,4.355259904104379
3600,4.512673372548425,10.182653358791967,7.516569115803342,2.258960332643327,98.90838056314469,8.094692922742395,0.2700934481425508,244.54848742019485,0.5,-3.844634512335764e-15,0.7467271140650045,4.499956243433431
