milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
2900,-2.2099158476021735e-13,4.083097677208387e-14,3.015891143431654e-16,-1.4222469824797796e-13,6.210320934137272e-14
3000,-2.2396805203448703e-13,4.17019299025543e-14,3.2161983140139243e-16,-1.4680518352412968e-13,6.489178844129922e-14
3100,-2.2676922969700471e-13,4.0358689724875514e-14,2.948747806097915e-16,-1.4187542102119957e-13,6.337874446188023e-14
3200,-2.17413711561017e-13,4.0405890908724707e-14,2.9692300083443286e-16,-1.3862818375624845e-13,6.379041859266054e-14
3300,-2.2030469724298083e-13,4.056241274138154e-14,2.796274732801573e-16,-1.3632045475964432e-13,6.703798044183998e-14
3400,-2.2331238894153602e-13,3.9270348072280314e-14,2.5879899262357804e-16,-1.4515862890921882e-13,6.577788191361092e-14
3500,-2.219138278426044e-13,3.937231814161853e-14,2.5353822305682067e-16,-1.3967518060661288e-13,6.610476838732946e-14
3600,-2.1302099170567002e-13,3.7698116918215096e-14,2.3134916532504275e-16,-1.429748474975512e-13,6.305795509326165e-14
3700,-2.1443257720402794e-13,3.83102962359322e-14,2.2481794693783454e-16,-1.3623523335029792e-13,6.401471725190748e-14
3800,-2.0992772793382876e-13,3.714985806478531e-14,1.9604073891120857e-16,-1.3505458753189928e-13,6.310516924580773e-14
3900,-2.0664434589944255e-13,3.6704274350150615e-14,1.8858864453567388e-16,-1.3232593125714342e-13,6.021297653166943e-14
4000,-2.1219130509610175e-13,3.5293926057421564e-14,1.7680703942799195e-16,-1.3488550058600591e-13,6.23532283503575e-14
4100,-2.1325723388684854e-13,3.472242235646108e-14,1.594731359636423e-16,-1.3366054936423735e-13,6.164597172254072e-14
4200,-2.0480662569053398e-13,3.3991663892110857e-14,1.3830751214373686e-16,-1.3230916064330778e-13,6.229588742118908e-14
4300,-2.0400971729440632e-13,3.4204683282335045e-14,1.33594748722282e-16,-1.350281006259662e-13,6.009067761917258e-14
4400,-2.006866270773976e-13,3.360363064147431e-14,1.1242737199438748e-16,-1.3081184875958836e-13,6.0597189355786e-14
4500,-2.0000911585504662e-13,3.179749116697232e-14,1.1193838663407633e-16,-1.2298906892723312e-13,6.200131174844714e-14
4600,-1.9482543564363266e-13,3.173693985127929e-14,8.107624380007524e-17,-1.313916541132753e-13,5.812367826880484e-14
4700,-1.9691873459861986e-13,3.122783103697152e-14,6.841280989971751e-17,-1.2058674527580942e-13,5.97230148010414e-14
4800,-1.9964269209548356e-13,2.9993689749193715e-14,5.691151727061203e-17,-1.296456053988885e-13,5.6373430539661965e-14
4900,-1.8992158051187418e-13,2.959631216486646e-14,4.889057063913276e-17,-1.18057718425387e-13,6.028379974401058e-14
5000,-1.866505853879454e-13,3.033654207719844e-14,3.736758064105041e-17,-1.2464667991982603e-13,5.983345689579795e-14
