miliseconds,A0,B0,C0,x1,x2,x3,x4,x5,x6,x7
1800,0.4615385,0.1754386,1.174,0.10927756895181046,0.06221101293959738,0.10093370330175909,0.0006410154117304608,0.2505925443144725,0.002805887069962901,1.0106350899575873
1900,0.4615385,0.1754386,1.174,0.1091120428468385,0.06226310643517511,0.10109402624788233,0.000639640110065356,0.2505441779522649,0.0028385494380742194,1.0105337042827036
2000,0.4615385,0.1754386,1.174,0.108924464254326,0.062627793060891,0.10136687355345549,0.0006369142991568407,0.25033356433446435,0.0027882339099835605,1.0098009165111392
2100,0.4615385,0.1754386,1.174,0.10872438173325988,0.06274644159749321,0.10180572874535675,0.0006299239750260958,0.2501893806036053,0.0027357701585723516,1.0095422930638243
2200,0.4615385,0.1754386,1.174,0.10862124208880936,0.06299125072770735,0.10237603894547416,0.0006248675177174986,0.25017176537802677,0.0026926051695831013,1.0087402075546894
2300,0.4615385,0.1754386,1.174,0.10842743340725844,0.06306981047130066,0.10249785892009883,0.0006147659162554034,0.24994989142817783,0.0026640209592301007,1.0087394966680026
2400,0.4615385,0.1754386,1.174,0.10826176442131984,0.06335046798344175,0.10292399041995669,0.000605602988568865,0.2499935202118306,0.0026114672696108143,1.0078378919389757
2500,0.4615385,0.1754386,1.174,0.10822142073790449,0.06341802997673354,0.10303597937147312,0.0006080869999865329,0.24983592925518724,0.0025372423809066984,1.0077734669798777
2600,0.4615385,0.1754386,1.174,0.10802437498146557,0.06377272617765953,0.10313209667401035,0.0005996154293064631,0.24970405642157675,0.002550916711021711,1.007022015424631
2700,0.4615385,0.1754386,1.174,0.10786381565062361,0.06403162906869267,0.10360776673002202,0.0005897183892379909,0.24950306338190933,0.0024802499311359825,1.006730485866954
2800,0.4615385,0.1754386,1.174,0.10775724664594118,0.06396672035578213,0.10375484393724743,0.0005803664307809565,0.24944517915135406,0.0024914322710364234,1.0063575287050002
2900,0.4615385,0.1754386,1.174,0.1075796588147565,0.06425243272497073,0.10440530281586542,0.000574866728285161,0.24912534652079857,0.0024858765557487232,1.0054554332149401
3000,0.4615385,0.1754386,1.174,0.10738188949147441,0.06431902044213436,0.10448914385635676,0.0005756067220674776,0.24903989992399944,0.0024350032699433292,1.00467681972322
3100,0.4615385,0.1754386,1.174,0.10718823619594504,0.06471990932557636,0.10495543671330271,0.0005746473883696681,0.24885890942524047,0.002430594505153936,1.0047461362073615
3200,0.4615385,0.1754386,1.174,0.10714262206113846,0.0649322242744702,0.1051609548010728,0.000560730293345481,0.24871766793488612,0.002330770709442814,1.0042743923241801
3300,0.4615385,0.1754386,1.174,0.10698837075176387,0.06491467102400679,0.10547666281478768,0.0005606668805724438,0.2487431021990706,0.0022925317103657953,1.0032981538948038
3400,0.4615385,0.1754386,1.174,0.10687514674779829,0.06506668590254958,0.10574450037707674,0.0005579432725755317,0.24837447412546826,0.002300924002119278,1.002914767930985
3500,0.4615385,0.1754386,1.174,0.1067426448417132,0.06547325979891139,0.10580142917045855,0.0005523212067781422,0.24827770747690422,0.0023117607851403654,1.0023305038165946
3600,0.4615385,0.1754386,1.174,0.10656254984338068,0.06551803166848087,0.10647235966320673,0.0005415295723403177,0.2482537737503234,0.002219927666462682,1.0023615443157383
3700,0.4615385,0.1754386,1.174,0.10643409458996528,0.06585316471916075,0.10637167904643824,0.0005359831066783865,0.24815091416938176,0.0022291486789358444,1.0018102166053238
3800,0.4615385,0.1754386,1.174,0.10631095088748073,0.0659839331808245,0.1070185192690221,0.0005300609084650654,0.24803988688914116,0.0022116668403369412,1.0008638615935057
3900,0.4615385,0.1754386,1.174,0.10617159820595092,0.0662383782847644,0.10728683106865108,0.0005204301113043659,0.24773164994957533,0.002111874315258208,1.000842547075723
4000,0.4615385,0.1754386,1.174,0.10596171762044615,0.06624920317953198,0.10739845388861993,0.0005217277331246513,0.24759481374144873,0.0021659925483772592,1.0006311185990162
4100,0.4615385,0.1754386,1.174,0.10581473886984717,0.06654065922314974,0.10783999308394975,0.0005162856687352591,0.24770602528521102,0.002118950753277318,1.000186146260858
4200,0.4615385,0.1754386,1.174,0.10564065250531322,0.06675951077801222,0.10775503567152654,0.000512629918574109,0.24751821856291328,0.0021116037212941014,0.9989539781814207
4300,0.4615385,0.1754386,1.174,0.10556038885400587,0.06697185027814304,0.10811494431892546,0.0005044440694316365,0.24741648681954861,0.0020621900057470606,0.999210207351979
4400,0.4615385,0.1754386,1.174,0.10535282539533605,0.06700149457978287,0.10825666998589559,0.0004959607705494227,0.24722618201145585,0.0020649459627969592,0.9983105201203898
4500,0.4615385,0.1754386,1.174,0.10514297029291024,0.06728150826400854,0.10882404101311074,0.0004980811074153982,0.24716327218675294,0.0020457584870662506,0.9975892782447184
4600,0.4615385,0.1754386,1.174,0.1049859411449848,0.06757183824171738,0.10891293236004627,0.0004906998630964442,0.2468394419559469,0.0019511002748445676,0.997862344651276
4700,0.4615385,0.1754386,1.174,0.1048579739845892,0.06746583718354335,0.10931626071946379,0.0004919763523010371,0.24694307197489598,0.001941683048111328,0.9973096016544534
4800,0.4615385,0.1754386,1.174,0.10476771457493314,0.06792718203608696,0.10976973043856049,0.0004769108958859123,0.24681442536925816,0.0019406554309054345,0.9968668462492617
4900,0.4615385,0.1754386,1.174,0.10453155679727749,0.0680106871378655,0.10998108810829467,0.00047149130675151827,0.2465283157308333,0.0018755383804770567,0.9959955942498278
5000,0.4615385,0.1754386,1.174,0.10437238623494222,0.06813066344984169,0.11017591007170636,0.00047197723865062525,0.24641547846769993,0.0018741179170209984,0.9959256083212265
