milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
2000,0.001717628230325714,2.0706400907439352e-08,2.4851469723251884e-07,3.896823099907518e-06,1.640492817397486e-09,2.895573624676742e-07
2100,0.0018276972610650113,2.0363569459769124e-08,2.2018366171906043e-07,4.098460395627856e-06,1.6103717040183057e-09,2.5629086885644e-07
2200,0.0019448575238874765,2.000900017708001e-08,1.9509056381083615e-07,4.306842019853569e-06,1.5782964105212821e-09,2.2872598106259726e-07
2300,0.0020695658884258695,1.9648007117711097e-08,1.7288201924585702e-07,4.522555868330934e-06,1.5449422497402547e-09,2.0582058373683843e-07
2400,0.0022023088349370002,1.928511718689151e-08,1.532408242569051e-07,4.746188188757433e-06,1.5108774581748317e-09,1.8672596497579633e-07
2500,0.002343604379652388,1.8924185336056875e-08,1.358827161789711e-07,4.97832616149848e-06,1.4765774135420373e-09,1.7075134693469144e-07
2600,0.0024940041217708696,1.856849294242167e-08,1.20553336940695e-07,5.219560409744495e-06,1.4424371948345664e-09,1.5733457188209456e-07
2700,0.002654095423775142,1.8220833908746843e-08,1.0702540785351975e-07,5.470487436792996e-06,1.4087829570861967e-09,1.4601819848681483e-07
2800,0.0028245037352046575,1.7883591105860413e-08,9.509611526203294e-08,5.731711992789716e-06,1.375882308077413e-09,1.3643013882142064e-07
2900,0.003005895064631744,1.7558803180710124e-08,8.45846966911898e-08,6.003849377916134e-06,1.3439534861297397e-09,1.2826784597444511e-07
3000,0.0031989786150302154,1.724822272257597e-08,7.533023253077914e-08,6.287527682895097e-06,1.3131733415268606e-09,1.212854533907369e-07
3100,0.0034045095791178197,1.6953365618449387e-08,6.718961286989711e-08,6.583389983556083e-06,1.2836840566592379e-09,1.1528313497274248e-07
3200,0.003623292125887784,1.6675556423768338e-08,6.003569999565598e-08,6.892096483157866e-06,1.2555992318516597e-09,1.100986269936684e-07
3300,0.0038561825984350043,1.6415970023626538e-08,5.375567433008314e-08,7.2143266129483865e-06,1.2290093522498914e-09,1.056003991603522e-07
3400,0.004104092865244248,1.6175668801783043e-08,4.824949460403269e-08,7.550781114110485e-06,1.2039865222570457e-09,1.0168176787913019e-07
3500,0.0043679938901569435,1.5955636330831866e-08,4.3428510264596087e-08,7.90218409686677e-06,1.180588511224703e-09,9.825615598213306e-08
3600,0.004648919566639124,1.5756800504610458e-08,3.921424122990588e-08,8.269285078919486e-06,1.1588616938625688e-09,9.52534868878993e-08
3700,0.00494797078130708,1.55800700335312e-08,3.553726707111532e-08,8.652861023931535e-06,1.138844681038446e-09,9.261715416400307e-08
3800,0.005266319715671186,1.5426358965019323e-08,3.2336237478252026e-08,9.053718376756769e-06,1.1205708241025116e-09,9.030171522601254e-08
3900,0.005605214545187672,1.52966114655148e-08,2.9557033080674897e-08,9.47269511773628e-06,1.104070476856322e-09,8.827116800991899e-08
4000,0.0059659842351522255,1.5191825274516925e-08,2.7151901306774424e-08,9.910662851619584e-06,1.0893732231170552e-09,8.649683475466426e-08
4100,0.006350043728980148,1.5113078587769198e-08,2.5078745885708942e-08,1.0368528912200675e-05,1.0765099314844324e-09,8.495612224902359e-08
4200,0.0067588994720556555,1.5061558400656988e-08,2.33004945590221e-08,1.0847238506371096e-05,1.0655147228369246e-09,8.363152429309999e-08
4300,0.007194155156798578,1.5038589305610845e-08,2.178451110664294e-08,1.1347776887772465e-05,1.0564268551985407e-09,8.250975683666433e-08
4400,0.007657518071474059,1.504566542158382e-08,2.0502138104517634e-08,1.1871171606240206e-05,1.0492924819712528e-09,8.158136039194614e-08
4500,0.00815080561371929,1.5084481288919586e-08,1.9428224937950233e-08,1.2418494802795757e-05,1.0441663732596875e-09,8.084006675036353e-08
4600,0.008675952259634665,1.515696849344565e-08,1.8540727629029655e-08,1.299086557476595e-05,1.04111377590192e-09,8.028240554615152e-08
4700,0.009235017601393248,1.5265346071683848e-08,1.7820422604879958e-08,1.3589452531719728e-05,1.0402126892487406e-09,7.990759254005203e-08
4800,0.009830192247613176,1.541214390677504e-08,1.7250385167122667e-08,1.4215475973350464e-05,1.0415553367666666e-09,7.971683780677654e-08
4900,0.010463809660208998,1.5600316612999576e-08,1.681608678599001e-08,1.4870211139130878e-05,1.0452526824914e-09,7.971418835473842e-08
5000,0.011138348647831578,1.5833210277116107e-08,1.6504518893918454e-08,1.5554989770376844e-05,1.0514338836231657e-09,7.990495236204505e-08
