milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
1000,2.9705798376678073e-05,0.00029999123493546826,0.0029631909175105524,7.169101586071223e-06,1.1929656487297584,0.008764823500800484,4.866049910631116e-05,1.2004790020757234,0.00020638640922367274,-3.66425325067531e-05,0.11995949816236628,0.0002928358159989999,2.911922070803403e-07,8.321138152232134e-09,3.0475667396635517e-05,1.4568815148090702e-07,-7.521747859195851e-05,-2.1897144003309588e-06,1.3858974690075962e-08,7.781281520099311e-06,1.5714907443991926e-05,-2.7400417289327464e-05,4.295190412889108e-05,0.00010256199667564762,0.011662444198211412,-1.0171614392067408e-05
1100,2.9704755643756134e-05,0.00029999141175377864,0.0029599497795386514,9.448925173391524e-06,1.1908561364517574,0.008503205328006845,5.633669168633443e-05,1.20036470532163,0.00037393110187006087,-2.3534214050230518e-05,0.11992523749280595,0.0002926923084610304,2.9261700486898605e-07,8.955202965254103e-09,3.643964983079242e-05,3.018840707989339e-07,-3.8008692802511885e-05,1.4533079428164854e-05,2.8838568878781422e-08,7.709458366308022e-06,1.2622524175290611e-05,-5.0061318138128614e-06,-2.52796087011735e-05,8.471434055206912e-06,0.014037869778749393,-5.097614073981244e-05
1200,2.970447511583744e-05,0.0002999901237008287,0.0029516263639433214,9.62423054030757e-06,1.188370441121982,0.009738635149998393,6.34866106031997e-05,1.1998370903618287,1.0226499242629882e-05,-1.7248369374013538e-05,0.11982608009643966,0.0002889003284733047,2.899382060716893e-07,9.357910637029011e-09,4.0638676591549706e-05,3.475806108391347e-07,7.027037614180011e-05,-1.817343335885318e-06,1.0212935413789696e-08,1.125149384769777e-05,4.401624945639704e-06,-8.829190022094446e-05,3.398301192168789e-05,-4.8600205497051927e-05,0.015203733577682814,-5.024787053050793e-05
1300,2.9711762715711485e-05,0.00029998975718183017,0.002946886646005894,1.103640181917754e-05,1.189366470021966,0.011428373731600676,4.347418184000729e-05,1.1999934009187165,-0.0002911885659391396,-3.110139972977591e-06,0.11999665283381515,0.00028739141761893505,2.9150685603284966e-07,1.0053397944649999e-08,4.08933467542826e-05,2.9389185122002436e-07,-3.4278930117043226e-05,1.3298553503069782e-05,-8.071506399539531e-09,9.934598635722937e-06,-2.4904181743387153e-06,8.954519255371735e-05,4.674059505276019e-05,0.00023958183701062026,0.015394013937641,-2.4102470537258493e-05
1400,2.9707210109481587e-05,0.0002999898911760763,0.002943652022692834,1.2135954295568767e-05,1.1873927508603859,0.013129149174422084,-1.244064529292895e-05,1.1995617008105501,0.0006508190877265569,-3.0079092471658716e-05,0.12006792134882065,0.0002891352020270162,2.927995629103118e-07,1.1925125745934593e-08,4.080287440259364e-05,3.945516877724403e-07,-4.808775317513836e-05,9.273583882231783e-06,3.3341835757901436e-08,1.162191803802088e-05,-1.4661061312491965e-05,0.0002082902261610625,3.2594102792969876e-05,-6.299104851842354e-05,0.01778155713774254,5.866383147757425e-06
1500,2.971003694219279e-05,0.00029998806026089664,0.002945971516244228,1.1442108825633871e-05,1.1853209044193975,0.01311443649046985,5.3009109983999434e-05,1.198721211906046,0.0001227511057173703,-2.5480696242746264e-05,0.11980011952992903,0.0002881292914740593,2.903485658710404e-07,1.190585908738827e-08,4.88475486027418e-05,3.4650958204400655e-07,0.0001902059640464234,-6.449500500917086e-06,3.059556898189763e-08,1.4911722376026321e-05,-5.0412021446040356e-06,0.00015459918260631736,-2.5647359468193662e-05,-4.2870353603084125e-07,0.01921598572866587,-1.4397517815324046e-05
1600,2.9711944967941726e-05,0.0002999870513196724,0.002937177890458731,1.2538145716671493e-05,1.186869146869789,0.013083406159163771,7.140748534599953e-05,1.1997184796789224,0.0006327518551154596,2.6313312296928345e-05,0.12004118958930163,0.000283916079893171,2.9258798652878097e-07,1.1712023695850555e-08,4.8597102961917166e-05,2.439289101569096e-07,5.1247481021966615e-05,6.680505278916641e-06,5.020284940101032e-09,1.4058722817771223e-05,-1.4025336134086453e-05,6.631788865931441e-05,3.6753938286886174e-05,0.00018872869611000613,0.02250965048360052,-3.9371566683753606e-05
1700,2.970550309439056e-05,0.0002999875299048589,0.002928950339917348,1.4184463935746565e-05,1.1840063994645362,0.01634431755178259,7.439804025674397e-05,1.200153432320876,-0.000172981153706975,7.448316639321921e-06,0.11997353888780443,0.00028431159568066564,2.9405895443580686e-07,1.2355789636849688e-08,4.9582559589998566e-05,1.2114700264784582e-07,-2.2125775903594368e-05,-2.335835239331477e-06,2.670833161974694e-08,1.6352790796777683e-05,1.5418421083963007e-05,0.00013440733907131623,-4.3398432947591705e-05,0.00030041984817589726,0.023766435001347383,-3.764266310172103e-05
1800,2.971170087267643e-05,0.0002999856880296618,0.0029246067721209997,1.319280075163402e-05,1.1838484669579956,0.018447460956568348,3.5718274711154573e-05,1.1998452311502743,0.0008361332853600197,1.8722998037529358e-05,0.11996504763527034,0.00028163809236117184,2.912444011013566e-07,1.3656814673363732e-08,5.8919945067648376e-05,3.4402707633023514e-07,1.5869852205736203e-05,5.503705236989304e-07,3.4316818763750044e-08,1.5614296806332777e-05,1.7101488808798527e-06,0.00020953116191666142,2.99856506271037e-05,0.000195542792444726,0.02253974533137037,3.550898468760659e-05
1900,2.9708217865788413e-05,0.00029998497913027896,0.0029284914933301624,1.4243646506050884e-05,1.1804604111082206,0.019560842457189722,6.3482596935882e-05,1.19956791825771,0.0008138578123354208,-1.3866422155334775e-05,0.12003563821480785,0.00028266546115275734,2.9227345213493895e-07,1.3796706981401164e-08,6.11463454026652e-05,5.159095395872806e-07,0.00010294667274282488,1.0964030940859831e-05,1.5476645016605647e-08,1.6660539209589955e-05,1.8433448461543585e-06,-9.481714018428218e-06,-3.3114416385861767e-06,0.00020888797065745298,0.02330210086160815,2.5594596423875612e-05
