milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
3900,0.00564244238295554,1.517113274893847e-08,3.5067360603252585e-08,9.586230075116596e-06,1.0965924752838274e-09,3.042872893993161e-08
4000,0.005946702501053582,1.529396788726284e-08,3.715085280484054e-08,9.764507919659313e-06,1.0752647288029959e-09,3.0240075285080604e-09
4100,0.006384559215094431,1.5109050135981358e-08,3.853566703521094e-08,1.0156320325435596e-05,1.084485268664835e-09,1.0164356804147714e-08
4200,0.006736516012029892,1.518076457444562e-08,5.906267540386929e-09,1.0981759902568796e-05,1.0560483364871285e-09,1.754090527220225e-07
4300,0.007187708417427263,1.511912841826877e-08,2.5672953407041685e-08,1.1315629694520221e-05,1.0575019225975196e-09,3.785147322648934e-08
4400,0.007573177843586998,1.502988925391142e-08,3.401505956803358e-08,1.1963404542255194e-05,1.0682232971088097e-09,1.5422862047864706e-07
4500,0.008087145134404549,1.5145359575967293e-08,2.745514781493247e-08,1.2617380029577097e-05,1.0321231722934232e-09,1.4573439103152732e-07
4600,0.00854764123302796,1.535720124581342e-08,-1.1759576260055567e-08,1.309849560738958e-05,1.0492063496288724e-09,1.7627344894625313e-07
4700,0.009344082082518431,1.5375834230611197e-08,1.34463802687201e-08,1.3597240569709338e-05,1.0355101334890812e-09,3.618565021359682e-08
4800,0.009744764893060687,1.5350853955693764e-08,4.673001694241752e-08,1.4238573806823784e-05,1.0607532313163682e-09,7.298099177754007e-08
4900,0.010467315480385618,1.5415479281942655e-08,1.1680439675140234e-08,1.4735863622895577e-05,1.052409105814468e-09,1.4485187862062174e-07
5000,0.011250815980838703,1.5778689419246503e-08,3.436793709809874e-08,1.5428457666871583e-05,1.0421341995105753e-09,-2.2218825238512695e-08
