miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
1800,0.0015710336236836816,2.1228558005770904e-08,3.441683525263279e-07,3.5065312796253634e-06,1.6743052673269048e-09,3.760591918452542e-07
1900,0.001530022123371725,2.1175119178332703e-08,2.887483083173946e-07,3.809899043521717e-06,1.6756881697214463e-09,3.40318711475504e-07
2000,0.0018659375471194368,2.0709183348746178e-08,2.706031652904763e-07,3.8057393030612534e-06,1.6216808038116975e-09,3.5579076891075187e-07
2100,0.0017546982816464035,2.037770947662576e-08,1.9738382998960546e-07,4.1340969173627974e-06,1.5943792626919981e-09,2.0046276287522665e-07
2200,0.0019859562302018763,2.002823264814333e-08,2.269457246040979e-07,4.428761470941277e-06,1.5797447569697556e-09,2.7521223143024073e-07
2300,0.002038133181147339,1.9542788898202916e-08,1.9264574847878162e-07,4.430789324213279e-06,1.5385882284718117e-09,2.286123806235002e-07
2400,0.002341951667022769,1.907293257060764e-08,1.7227422381809651e-07,4.893176897362316e-06,1.5157386192046808e-09,1.5110449761583634e-07
2500,0.002378874316432005,1.883842344158717e-08,1.5605785571728114e-07,4.774935224505049e-06,1.4573010314725562e-09,9.610079854299324e-08
2600,0.002527940203674869,1.8493574580281358e-08,1.2117295208650833e-07,5.2052380674752506e-06,1.4260375219208808e-09,1.3295312949693025e-07
2700,0.0026437840279980615,1.8216073219687457e-08,1.2204102233896845e-07,5.569190263579515e-06,1.4026105918637398e-09,1.5282944375132518e-07
2800,0.0027555484183596143,1.794185688129708e-08,1.0967719967182714e-07,5.699847230271609e-06,1.3743550501120671e-09,7.004620603507453e-08
2900,0.0029165659466696154,1.7766256306535037e-08,7.395921050806082e-08,5.920669047868893e-06,1.3589610956081951e-09,6.893972955690547e-08
3000,0.0033010375155442845,1.7100161237403022e-08,9.099863563985408e-08,6.347845025229112e-06,1.3038888170271123e-09,2.110390287794484e-07
3100,0.003419469715793202,1.6871836008046622e-08,3.9183438025831396e-08,6.545731867963995e-06,1.2794026410452239e-09,1.489952907319812e-07
3200,0.0034803977022398423,1.6491847445288947e-08,8.199200004439822e-08,6.877865667205984e-06,1.2573298431562327e-09,7.977866421492684e-08
3300,0.003888691561463513,1.649260157439849e-08,2.7077449363928747e-08,7.201621751175987e-06,1.2196702663761949e-09,1.061305887245719e-07
3400,0.004240662883759211,1.6109154676968615e-08,7.791878763138568e-08,7.638543899664946e-06,1.1881281940353548e-09,1.0519866706851792e-07
3500,0.004277750974326826,1.6131190688267168e-08,4.918820059230266e-08,7.944870008565738e-06,1.1780989230335216e-09,1.7176529546302743e-07
3600,0.004569405554249351,1.5689847639929803e-08,6.208731247432684e-08,8.464016748931984e-06,1.1739259443052102e-09,9.670657966423474e-08
3700,0.004914017282554949,1.575399950438622e-08,4.8196499605351505e-08,8.77503037471445e-06,1.1416833813019778e-09,6.128135907465376e-08
3800,0.005354043679091621,1.5357878834519314e-08,3.5788535766729245e-08,9.060381901355649e-06,1.133179871901787e-09,1.9136238974001796e-07
3900,0.005622916439270708,1.515230026523659e-08,2.7680454564605997e-08,9.62674209346215e-06,1.108007660163463e-09,-1.3781848887209019e-08
4000,0.006087333097879592,1.5217522699808596e-08,3.7985427552103215e-08,1.0031906339796755e-05,1.0799328805856292e-09,8.966711569677114e-08
4100,0.006325133513841889,1.5048169632318504e-08,2.0834020644386293e-08,1.0243098195100912e-05,1.0920337242035793e-09,5.6768261960663724e-08
4200,0.00661692285820395,1.4919315062690285e-08,1.9055669233254708e-08,1.0958794659311723e-05,1.0770337136617546e-09,1.1013431939540723e-07
4300,0.007336527094009343,1.5042804776825604e-08,1.4368084288669279e-08,1.155637403582493e-05,1.0460850688092092e-09,1.7164034247316742e-07
4400,0.007789813930588264,1.5227539022504273e-08,4.071526871692937e-08,1.1794017847131914e-05,1.0340250883961444e-09,1.0248840026050917e-07
4500,0.008280881542678281,1.508708492107097e-08,3.9313420540513565e-08,1.2422834307502805e-05,1.0249521285614664e-09,1.7956613457350988e-07
4600,0.008721465166727522,1.5320117240415107e-08,4.106289256757468e-08,1.3157506465603822e-05,1.041940751966957e-09,1.7831310333241172e-07
4700,0.00918727669461642,1.518137609950749e-08,4.274625904797649e-09,1.3655317095985947e-05,1.0263916251581984e-09,1.5558121937378703e-07
4800,0.00974845084534842,1.5240965379102807e-08,4.565792785015348e-09,1.4015782208359066e-05,1.0233651290964826e-09,-1.0525119953502942e-08
4900,0.010409060077916976,1.5601485288451837e-08,2.2712483643891243e-08,1.4940468867213801e-05,1.0638131254263566e-09,1.4766473702496557e-07
5000,0.011103677892755326,1.5995933018570944e-08,4.02811478492014e-08,1.5695174226371477e-05,1.034048813824941e-09,7.343136685006144e-08
