miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
3500,0.004410247437034781,1.5971693892581675e-08,5.72407379863662e-08,7.822825878501122e-06,1.1629776467588252e-09,1.4650228897411514e-07
3600,0.0046412529445055,1.5854454955804518e-08,4.3364703174811546e-08,8.3884107547986e-06,1.158177178555688e-09,1.585073081403457e-07
3700,0.004904236213655078,1.558396674435659e-08,5.2948041104436795e-08,8.591935174875333e-06,1.1498749852919847e-09,1.009640525363012e-09
3800,0.00534595361938285,1.534580174593731e-08,5.589804079587171e-08,8.922446511002404e-06,1.1101029956585765e-09,1.9336808567742456e-07
3900,0.00555943842972748,1.5479594004660835e-08,6.161679288880411e-08,9.303587562412653e-06,1.0850412649760434e-09,5.9231323140347625e-08
4000,0.005907038668390808,1.5345738899646842e-08,3.396869646289768e-08,9.980409282182961e-06,1.086208306730232e-09,7.737359609141008e-09
4100,0.006446658802907453,1.5119267939146265e-08,3.049874310173861e-08,1.0239565835202594e-05,1.0911502477223991e-09,-2.3698619952811865e-08
4200,0.006774111568188696,1.5004024497964907e-08,-3.4767307323242567e-09,1.0848117006193713e-05,1.0777825132124676e-09,-2.1113908428374522e-08
4300,0.007258462261315867,1.5198138487775033e-08,1.499225247226618e-08,1.1507869148413117e-05,1.0713370507840142e-09,1.2165131469084236e-07
4400,0.007691905783087018,1.4899000379493667e-08,2.909693621789419e-08,1.1769520884629007e-05,1.0494870429417193e-09,7.75241063260957e-08
4500,0.008136604205482267,1.503524334674644e-08,3.663890085867234e-08,1.260167540327957e-05,1.0366807931402427e-09,7.623467319622152e-08
4600,0.00869094500729555,1.5064350710040592e-08,4.9930839013709715e-08,1.2833270278064624e-05,1.0355545234675451e-09,8.753754062048604e-08
4700,0.00930120678062195,1.5469392405968198e-08,2.203807073192864e-08,1.3469057911051059e-05,1.057558522698733e-09,3.6661543602932164e-08
4800,0.009963958565286465,1.5287922339423882e-08,1.1806167278111412e-08,1.4419896722968241e-05,1.0279263314507356e-09,5.5732858487999895e-08
4900,0.010383942929924023,1.561830571638165e-08,3.809673446083812e-08,1.4708381800951232e-05,1.058589261466585e-09,1.5075703411794298e-07
5000,0.011058003114896119,1.583540636332753e-08,3.934738398282437e-09,1.560271140926614e-05,1.0661894567019158e-09,4.1732690809117954e-08
