miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
1900,0.0017503259052391532,2.1063248573787008e-08,2.7331781476783666e-07,3.6554735842315444e-06,1.6847610037161552e-09,2.5951537226433604e-07
2000,0.0018455665758777436,2.056256370352457e-08,2.7616423669382334e-07,3.7394494968787536e-06,1.6497469783959374e-09,2.349039730446531e-07
2100,0.0019244144665936057,2.0390907404566762e-08,2.394615990316227e-07,4.201234011394255e-06,1.6157282089546923e-09,1.7153522989129663e-07
2200,0.001814076250532799,1.993198795230546e-08,1.8781024364218326e-07,4.2675461563252915e-06,1.5769298414223455e-09,2.3021412944852244e-07
2300,0.0020010659502122594,1.9851034178955613e-08,1.5258011387572364e-07,4.708372469355837e-06,1.5257072837388336e-09,1.4273738670982215e-07
2400,0.002146674930514996,1.9152258910717018e-08,1.767218209577627e-07,4.919259516944271e-06,1.5292773722243974e-09,2.7807563294679114e-07
2500,0.0022103541792304724,1.8805900468105735e-08,1.3554726272518928e-07,5.002025945463182e-06,1.4771630488679041e-09,1.7728461041249541e-07
2600,0.002481200366313551,1.854491284024743e-08,1.400808649896052e-07,5.418535449292383e-06,1.4596319385844458e-09,1.454634642221239e-07
2700,0.0027583955051569222,1.830456349899096e-08,8.64256600421789e-08,5.512664034556599e-06,1.4034001577648982e-09,1.2292602404265145e-07
2800,0.002950592153516062,1.7905421012317195e-08,8.902002524555395e-08,5.784741889513708e-06,1.3695912340193567e-09,2.1735779519319726e-07
2900,0.00297794259468197,1.7542180803617698e-08,1.072148310659752e-07,6.208710474123531e-06,1.3379360345909342e-09,3.389143479247862e-08
3000,0.0032175885351530546,1.740675112746557e-08,7.696907417896054e-08,6.342960400849877e-06,1.3003320560885913e-09,1.2147422475203538e-07
3100,0.003312004748747133,1.6898086815706464e-08,9.050437813760325e-08,6.6355348081408644e-06,1.2919943011255984e-09,8.43927726565459e-08
3200,0.0036186809314038243,1.6641498996962087e-08,6.008465718830143e-08,6.735688501128433e-06,1.236300683232997e-09,5.948116426107047e-08
3300,0.0037712537732419557,1.65742435471223e-08,2.492941208889565e-08,7.216462433870841e-06,1.235437777798864e-09,1.766139226313921e-07
3400,0.004122541851033042,1.620483517261707e-08,6.969893869668273e-08,7.58750337409696e-06,1.1897783861362061e-09,1.452498406188113e-07
3500,0.004313167011244804,1.5783981580869988e-08,2.558557327444647e-08,7.934317406904094e-06,1.177656339885445e-09,2.7796611076948787e-08
3600,0.004759011065730739,1.587689052829195e-08,7.143496963992657e-08,8.21175710129565e-06,1.148680500309073e-09,1.8432816889995047e-07
3700,0.004951474428103417,1.576218753127932e-08,6.664219260955797e-08,8.507186006448737e-06,1.1553132491467123e-09,1.9805213659656146e-07
3800,0.005413371950277895,1.5581517674347386e-08,4.1017297144780246e-08,8.97251711535135e-06,1.1144131102325485e-09,1.8848823680908902e-07
3900,0.005607812107628755,1.5378075858358325e-08,2.5644871082270117e-08,9.617811825228606e-06,1.1223027762878635e-09,1.7699807486863677e-07
4000,0.006102561058011492,1.5401402077117826e-08,2.3403199334103658e-08,9.70969173850045e-06,1.1082059881640978e-09,1.2378451423059204e-07
4100,0.006345092589037172,1.4942376504446872e-08,1.2491516936658853e-08,1.057174000359821e-05,1.079226552689215e-09,4.988728132040712e-08
4200,0.0066607439665602895,1.518456511649529e-08,4.8896851623596e-08,1.0927904840242853e-05,1.0490383537477306e-09,1.7112491209134773e-07
4300,0.007327460827346976,1.518644280852356e-08,-9.743328680261443e-09,1.1506252127170009e-05,1.075664717788787e-09,6.549338064483847e-09
4400,0.0077345317386245,1.524012071262445e-08,3.2903755385091128e-09,1.2012632630251866e-05,1.0652263259167297e-09,1.125815326499048e-07
4500,0.008248492404706372,1.499857487159133e-08,2.975614945250618e-08,1.2574387417863097e-05,1.0544389897753505e-09,7.549695667423859e-08
4600,0.008626588228906436,1.5130792442477284e-08,9.099066569452942e-09,1.2868889749723794e-05,1.0361518173604772e-09,1.8038429168402114e-08
4700,0.009191027838163678,1.5470040667275978e-08,1.7442189213107533e-08,1.3521163295123806e-05,1.0368183022709727e-09,2.8044466263559568e-08
4800,0.009953338334720568,1.5405373385180614e-08,1.0126404261030741e-08,1.4099127132211991e-05,1.0360840444883654e-09,7.755917193896964e-08
4900,0.010598719370108658,1.5520780386553448e-08,-6.295112520868803e-09,1.4969212843596941e-05,1.0343778124820386e-09,1.3507992700802523e-07
5000,0.011145390886975541,1.597572110627754e-08,4.8170565774903286e-08,1.5476072887082057e-05,1.0448082988148095e-09,1.1619839169149852e-07
