milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
1100,116.0,88.55790312563836,154.863548793224,235.9999988408203,972.9999859093105,5177.999999790983,4.305645789955923,0.1360930009500411,0.0003233935515507754,3.468990328310097e-05,1.206716556738834e-07,1.6994959200534681e-09,1.1591797618115743e-06,1.4090689465241063e-05,1.4090689465241063e-05,2.0902026389230938e-07,2.0902026389230938e-07,16.6
1200,116.0,88.16505810618722,154.83817510548724,235.99999834812184,972.9999799201956,5177.999999675349,4.673117174177665,0.161360367430117,0.0004189040624232921,4.5448141743958045e-05,1.7223881632078263e-07,2.639685897279977e-09,1.6518782042599279e-06,2.0079804297934554e-05,2.0079804297934554e-05,3.2465382018614335e-07,3.2465382018614335e-07,16.6
1300,116.0,87.7740060837185,154.81074022750138,235.9999977093374,972.9999721552974,5177.999999512707,5.036734387021388,0.18866975339995185,0.0005314169753897594,5.835888392320693e-05,2.3927729295814343e-07,3.962090540981473e-09,2.290662633012545e-06,2.7844702559546438e-05,2.7844702559546438e-05,4.872957920327917e-07,4.872957920327917e-07,16.6
1400,116.0,87.38473859141291,154.78126694026375,235.99999689625244,972.9999622716473,5177.9999992895455,5.396528679487277,0.21799677813843735,0.0006622786474657172,7.367231304378254e-05,3.2486074966530137e-07,5.776572708618127e-09,3.1037475731324392e-06,3.77283526863504e-05,3.77283526863504e-05,7.104581644727209e-07,7.104581644727209e-07,16.6
1500,116.0,86.9972472041352,154.74977791326458,235.99999587743213,972.9999498871312,5177.999998989755,5.752531149783404,0.2493171636430481,0.0008128271524029051,9.165528508846349e-05,4.324408190119932e-07,8.214101512369736e-09,4.1225678872111e-06,5.0112868686373144e-05,5.0112868686373144e-05,1.0102487716281053e-06,1.0102487716281053e-06,16.6
1600,116.0,86.61152353823023,154.71629570264503,235.99999461800527,972.9999345778645,5177.9999985943205,6.104772741720182,0.282606734940803,0.000984392743387181,0.00011259236454264928,5.658770087661872e-07,1.1429287777726671e-08,5.381994742664031e-06,6.542213537451169e-05,6.542213537451169e-05,1.4056831316491125e-06,1.4056831316491125e-06,16.6
1700,116.0,86.22755925131894,154.68084274941234,235.99999307943568,972.9999158754115,5177.9999980809835,6.453284243164049,0.317841420397522,0.0011782982978701272,0.00013678682077404767,7.294684553671693e-07,1.5603117873289048e-08,6.920564306659765e-06,8.412458831923187e-05,8.412458831923187e-05,1.919020679247486e-06,1.919020679247486e-06,16.6
1800,116.0,85.84534604209377,154.64344137771454,235.99999121927993,972.9998932638404,5177.999997423874,6.79809628455342,0.3549972520249255,0.001395859743669145,0.00016456158338430286,9.2798764692458e-07,2.0945916257625634e-08,8.780720062005217e-06,0.00010673615935912208,0.00010673615935912208,2.576129128039849e-06,2.576129128039849e-06,16.6
1900,116.0,85.46487565011569,154.60411379318953,235.99998899093387,972.9998661766441,5177.99999659313,7.139239337489181,0.39405036578239255,0.0016383864628867176,0.00019626014900072993,1.166715749369405e-06,2.7700517675257398e-08,1.1009066101717533e-05,0.00013382335557010015,0.00013382335557010015,3.4068746175431134e-06,3.4068746175431134e-06,16.6
2000,116.0,85.08613985561212,154.56288208138602,235.99998634336728,972.9998339935123,5177.999995554461,7.476743713398425,0.434977001873939,0.0019071816739817137,0.00023224744069129594,1.4514797577462531e-06,3.614569417287016e-08,1.3656632702381182e-05,0.0001660064874856855,0.0001660064874856855,4.4455432003952044e-06,4.4455432003952044e-06,16.6
2100,116.0,84.70913047927498,154.51976820623636,235.99998322084906,972.9997960369927,5177.999994268716,7.810639562251219,0.4777535050414622,0.0022035427980478463,0.00027291063345734443,1.7886910062490676e-06,4.659978838297866e-08,1.6779150928028108e-05,0.00020396300708551456,0.00020396300708551456,5.731287698315888e-06,5.731287698315888e-06,16.6
2200,116.0,84.33383938205976,154.47479400859564,235.99997956266202,972.9997515690235,5177.999992691397,8.140956871344851,0.5223563248526215,0.002528761805060454,0.0003186599368651896,2.1853853085656816e-06,5.9424606905026035e-08,2.0437337969308383e-05,0.0002484309762729557,0.0002484309762729557,7.308606547331901e-06,7.308606547331901e-06,16.6
2300,116.0,83.96025846498542,154.42798120485497,235.9999753028058,972.9996997873219,5177.999990772144,8.467725464163133,0.5687620159824618,0.0028841255378448416,0.0003699293303011935,2.64926490216718e-06,7.502961995346208e-08,2.4697194201213017e-05,0.0003002126777920742,0.0003002126777920742,9.227860310635888e-06,9.227860310635888e-06,16.6
2400,116.0,83.5883796689349,154.37935138561488,235.99997036969074,972.9996398216635,5177.999988454183,8.790974999297285,0.616947238489183,0.0032709160178170703,0.00042717725995691693,3.1887418299032917e-06,9.387643251766546e-08,2.9630309287029563e-05,0.00036017833609934335,0.00036017833609934335,1.154582158455863e-05,1.154582158455863e-05,16.6
2500,116.0,83.21819497445657,154.32892601441205,235.99996468582415,972.9995707300691,5177.999985673748,9.110734969420637,0.6668887580842379,0.003690410734832603,0.0004908873028871813,3.8129825634778516e-06,1.1648351265273834e-07,3.5314175873019084e-05,0.00042926993049613877,0.00042926993049613877,1.432625652894262e-05,1.432625652894262e-05,16.6
2600,116.0,82.84969640156605,154.27672642650367,235.99995816748847,972.9994914948908,5177.999982359463,9.427034700321908,0.7185634463960409,0.004143882919745563,0.0005615687954250244,4.531953991345944e-06,1.4343120735267127e-07,4.183251156405191e-05,0.0005085051089100583,0.0005085051089100583,1.764054176712967e-05,1.764054176712967e-05,16.6
2700,116.0,82.48287600954917,154.22277382771335,235.9999507244104,972.999401018792,5177.999978431684,9.73990335000121,0.7719482812265817,0.004632601798494137,0.0006397574237161413,5.356470861346748e-06,1.7536707373453454e-07,4.927558962279104e-05,0.0005989812077025054,0.0005989812077025054,2.156832006589311e-05,2.156832006589311e-05,16.6
2800,116.0,82.11772589676552,154.16708929333643,235.99994225942234,972.999298120631,5177.99997380181,10.049369907826142,0.827020346800683,0.005157832828481204,0.0007260157783637611,6.2982445995047645e-06,2.1301152963503983e-07,5.7740577673426116e-05,0.0007018793687602056,0.0007018793687602056,2.619819529973186e-05,2.619819529973186e-05,16.6
2900,116.0,81.75423820045272,154.1096937671002,235.99993266811657,972.9991815312575,5177.999968371538,10.35546319374377,0.8837568340078209,0.005720837918556407,0.0008209338763241433,7.369933388897126e-06,2.571638209228704e-07,6.733188344795673e-05,0.0008184687421742467,0.0008184687421742467,3.1628466367866156e-05,3.1628466367866156e-05,16.6
3000,116.0,81.39240509653165,154.0506080601775,235.9999218384929,972.9990498892305,5177.999962032103,10.658211857546695,0.9421350406362459,0.00632287563311966,0.0009251296514818561,8.585193466014584e-06,3.087083117376618e-07,7.81615071289102e-05,0.0009501107690806739,0.0009501107690806739,3.796790082780089e-05,3.796790082780089e-05,16.6
3100,116.0,81.03221879941226,153.98985285025392,235.99990965059985,972.9989017364563,5177.999954663455,10.957644378193518,1.0021323715990205,0.0069652013803009755,0.001039249414110395,9.958731640294929e-06,3.686211103177337e-07,9.034940017104388e-05,0.0010982635432312815,0.0010982635432312815,4.533654980275336e-05,4.533654980275336e-05,16.6
3200,116.0,80.67367156180019,153.92744868064827,235.99989597616965,972.9987355137512,5177.9999461334,11.253789063183262,1.0637263391516223,0.0076490675843422715,0.0011639682797945324,1.1506359026062001e-05,4.379770409612801e-07,0.00010402383036388726,0.0012644862483957202,0.0012644862483957202,5.386660545982315e-05,5.386660545982315e-05,16.6
3300,116.0,80.31675567450431,153.86341595948457,235.9998806782473,972.9985495563332,5177.999936296704,11.546674047982297,1.1268945631008538,0.008375723842641937,0.0012999905691116927,1.3245045948039579e-05,5.179569685385209e-07,0.00011932175270352554,0.0014504436663440733,0.0014504436663440733,6.370330184817662e-05,6.370330184817662e-05,16.6
3400,116.0,79.96146346624487,153.7977749589144,235.99986361081437,972.9983420892494,5177.999924994146,11.836327295502114,1.1916147710048308,0.00914641706795776,0.0014480501794360335,1.5192977981060721e-05,6.098554812533012e-07,0.00013638918564504157,0.0016579107501951936,0.0016579107501951936,7.500585979808481e-05,7.500585979808481e-05,16.6
3500,116.0,79.60778730346269,153.73054581439624,235.99984461840683,972.9981112227307,5177.999912051521,12.122776595634942,1.2578647983622537,0.009962391613751762,0.0016089109255701354,1.736961327959049e-05,7.150890004871693e-07,0.0001553815932027417,0.0018887772687951622,0.0018887772687951622,8.794848434651985e-05,8.794848434651985e-05,16.6
3600,116.0,79.25571959012875,153.66174852400417,235.9998235357301,972.9978549475134,5177.999897278615,12.406049564819224,1.3256225887958935,0.010824889390830188,0.0017833668645063163,1.9795740573347136e-05,8.352041206989592e-07,0.00017646426993496293,0.002145052486127772,0.002145052486127772,0.00010272139045709598,0.00010272139045709598,16.6
3700,116.0,78.90525276755535,153.59140294782716,235.99980018726532,972.9975711300525,5177.999880468088,12.686173645696813,1.394866194217757,0.011735149957313125,0.0019722425719768746,2.24935392127795e-05,9.718866706674513e-07,0.00019981273468514457,0.0024288699470544706,0.0024288699470544706,0.0001195319174573923,0.0001195319174573923,16.6
3800,116.0,78.5563793142056,153.51952880726904,235.9997743868856,972.9972575078573,5177.999861394456,12.963176106669547,1.4655737750132163,0.012694410637938795,0.002176393472903446,2.5486636981129992e-05,1.126970013240035e-06,0.00022561311438288928,0.002742492142328007,0.002742492142328007,0.00013860554982071143,0.00013860554982071143,16.6
3900,116.0,78.2090917455078,153.44614568463757,235.99974593744412,972.9969116844858,5177.9998398127855,13.237084041749002,1.5377236001667058,0.013703906558110584,0.002396706017602151,2.8800174470294408e-05,1.3024456407213563e-06,0.00025406255586470533,0.003088315513862091,0.003088315513862091,0.0001601872202866939,0.0001601872202866939,16.6
4000,116.0,77.8633826136679,153.37127302261305,235.99971463037542,972.9965311246991,5177.999815457496,13.507924370283938,1.6112940474090205,0.014764870713500253,0.0026340979249004403,3.246086670486487e-05,1.5004729346075856e-06,0.0002853696245667498,0.003468875300492439,0.003468875300492439,0.00018454251020526201,0.00018454251020526201,16.6
4100,116.0,77.51924450748201,153.29493012372637,235.99968024529522,972.996113149597,5177.999788041154,13.775723836697468,1.6862636033635543,0.01587853403690281,0.0028895184193388247,3.649706501696971e-05,1.723388943729061e-06,0.0003197547047693121,0.0038868504026191132,0.0038868504026191132,0.0002119588521446834,0.0002119588521446834,16.6
4200,116.0,77.17667005215316,153.21713615006084,235.9996425495813,972.9956549315243,5177.999757253026,14.040509010451068,1.7626108636410933,0.017046125399237118,0.003163948354756313,4.09388240206276e-05,1.9737201757035374e-06,0.00035745041866427755,0.004345068475245412,0.004345068475245412,0.00024274698011455433,0.00024274698011455433,16.6
4300,116.0,76.83565190910551,153.13791012281933,235.99960129796793,972.995153489141,5177.999722757753,14.30230628587194,1.8403145329606385,0.01826887165034784,0.0034584004108867954,4.581796556555548e-05,2.254193355966102e-06,0.0003987020320437436,0.00484651085850306,0.00484651085850306,0.0002772422528116829,0.0002772422528116829,16.6
4400,116.0,76.49618277579997,153.05727092195696,235.99955623213305,972.9946056824072,5177.99968419397,14.561141882047032,1.9193534252582636,0.019547997640386814,0.003773919253678737,5.11681441623642e-05,2.567746665345719e-06,0.00044376786691483643,0.005394317592321502,0.005394317592321502,0.0003158060357221257,0.0003158060357221257,16.6
4500,116.0,76.15825538555221,152.97523728594246,235.9995070802779,972.9940082074722,5177.999641172748,14.817041842847308,1.999706463758941,0.020884726203632693,0.004111581637252583,5.70249154404476e-05,2.917542392681316e-06,0.0004929197220586929,0.005991792527226494,0.005991792527226494,0.00035882725725667965,0.00035882725725667965,16.6
4600,116.0,75.82186250735042,152.89182781149847,235.9994535567079,972.9933575915826,5177.999593276063,15.070032036930842,2.081352681053213,0.022280278148462434,0.004472496516425187,6.342580414943723e-05,3.3069794059937496e-06,0.0005464432920900331,0.006642408416908068,0.006642408416908068,0.00040672394257046423,0.00040672394257046423,16.6
4700,116.0,75.48699694567281,152.80706095333105,235.99939536141457,972.9926501880021,5177.99954005527,15.320138157734894,2.1642712191763374,0.023735872250507585,0.004857805164807649,7.041037190463411e-05,3.739705526957688e-06,0.0006046385854059446,0.007349811997317523,0.007349811997317523,0.0004599447354895337,0.0004599447354895337,16.6
4800,116.0,75.15365154030854,152.7209550240166,235.9993321796477,972.9918821708108,5177.99948102937,15.567385723627645,2.248441329642114,0.025252725199773667,0.005268681221297394,7.802028868586665e-05,4.21963165042007e-06,0.0006678203522975702,0.008117829188691313,0.008117829188691313,0.0005189706350574719,0.0005189706350574719,16.6
4900,116.0,74.82181916617762,152.63352819384173,235.99926368149156,972.9910495297582,5177.999415683316,15.811800078012173,2.333842373486015,0.026832051561626873,0.005706330761959331,8.629940329752558e-05,4.7509455115668e-06,0.0007363185084328583,0.0089504702412953,0.0089504702412953,0.0005843166887460324,0.0005843166887460324,16.6
5000,116.0,74.49149273315112,152.54479849065163,235.99918952144034,972.9901480651026,5177.999343466315,16.053406389439303,2.4204538213075066,0.028475063735175013,0.0061719923663024435,9.529381400979113e-05,5.338125485197297e-06,0.0008104785596270267,0.00985193489684677,0.00985193489684677,0.0006565336896148563,0.0006565336896148563,16.6
