milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
1300,4.9489795030256393e-08,1.2839672348817773e-07,5.102049697435949e-10,2.1858137712324116e-07,6.058978297173287e-10,1.291874115342786e-07,4.871594338702342e-10,3.255667400779367e-10
1400,4.948526194671101e-08,1.2827779452358148e-07,5.147380532889776e-10,2.1844548986474533e-07,6.407901190276331e-10,1.2908641200157687e-07,5.666635082869349e-10,3.4705761995373965e-10
1500,4.94817057540173e-08,1.281591079029611e-07,5.182942459826774e-10,2.1830933190974214e-07,6.723576765685716e-10,1.2898180847458962e-07,6.502277024577021e-10,3.680834290355167e-10
1600,4.947893492709265e-08,1.2804064242404764e-07,5.210650729073309e-10,2.181730659714703e-07,7.008424386105244e-10,1.2887401225730112e-07,7.374390830243241e-10,3.886526093617267e-10
1700,4.947673665800753e-08,1.279223748255255e-07,5.232633419924533e-10,2.1803687360535192e-07,7.264799203387157e-10,1.287634436764177e-07,8.278722620250919e-10,4.087735776910108e-10
1800,4.947504760994993e-08,1.2780429655181927e-07,5.249523900500556e-10,2.1790080146589182e-07,7.495401643040807e-10,1.2865042050026093e-07,9.212023014359228e-10,4.2845459592347354e-10
1900,4.94737111732876e-08,1.276863899115777e-07,5.262888267123802e-10,2.177649803848587e-07,7.702667678930758e-10,1.2853531920860153e-07,1.0170464777161404e-09,4.4770401781161793e-10
2000,4.947270566551726e-08,1.2756865087967407e-07,5.272943344827252e-10,2.1762941978677757e-07,7.888819925864044e-10,1.284183697433809e-07,1.1151650595113765e-09,4.665299018641841e-10
2100,4.9471927913784214e-08,1.2745106715715585e-07,5.280720862157735e-10,2.174942024470257e-07,8.056235055794232e-10,1.282998934662531e-07,1.215229415314303e-09,4.849404816163087e-10
2200,4.947135992611491e-08,1.273336354924055e-07,5.286400738850748e-10,2.173593350709783e-07,8.206610980732982e-10,1.2818006496720455e-07,1.3170552185370153e-09,5.029435974750357e-10
2300,4.9470944561139755e-08,1.272163485325059e-07,5.290554388602253e-10,2.1722485944692217e-07,8.341935118651953e-10,1.280591249601721e-07,1.4203939114936683e-09,5.205472280380249e-10
2400,4.947067868644364e-08,1.2709920519714863e-07,5.293213135563352e-10,2.1709077003391494e-07,8.463248547265692e-10,1.2793717294278222e-07,1.525139180828541e-09,5.377587835942497e-10
2500,4.9470503349995414e-08,1.269821977798211e-07,5.294966500045664e-10,2.1695710995753867e-07,8.57269793791922e-10,1.2781446601999424e-07,1.6310251948211666e-09,5.545863498510212e-10
2600,4.947039813007322e-08,1.2686532296663217e-07,5.296018699267635e-10,2.1682388886870108e-07,8.671587525159749e-10,1.2769114272470452e-07,1.7379046245466531e-09,5.710374245762511e-10
2700,4.9470372551224576e-08,1.26748580767464e-07,5.296274487754071e-10,2.1669109046015634e-07,8.760527312729067e-10,1.275672445636825e-07,1.845726422060605e-09,5.871189879751964e-10
2800,4.947037990290283e-08,1.2663196495059635e-07,5.296200970971571e-10,2.1655874717060396e-07,8.841430977098638e-10,1.274429952458049e-07,1.9542587365967432e-09,6.028389921666541e-10
2900,4.9470418985828626e-08,1.2651547497124767e-07,5.29581014171356e-10,2.1642685261197837e-07,8.91500080673185e-10,1.2731846140776254e-07,2.0634303142731386e-09,6.182043770916234e-10
3000,4.9470496404368895e-08,1.2639911134630492e-07,5.295035956310869e-10,2.162953938236397e-07,8.981710091102083e-10,1.271936814443071e-07,2.1731993816955995e-09,6.332218784153039e-10
3100,4.9470585804598466e-08,1.262828701087538e-07,5.29414195401519e-10,2.1616438560387236e-07,9.042999284947471e-10,1.27068813028544e-07,2.2833996561708816e-09,6.478990945510561e-10
3200,4.947069325375708e-08,1.261667512889301e-07,5.293067462429061e-10,2.1603381567603992e-07,9.099151356603403e-10,1.2694386997163597e-07,2.3940091700350823e-09,6.622423745018058e-10
3300,4.947081933000114e-08,1.2605075428803022e-07,5.29180669998841e-10,2.1590367632075797e-07,9.150668984900504e-10,1.2681889349744588e-07,2.504979006821706e-09,6.762583249674717e-10
3400,4.947095260997034e-08,1.2593487713167882e-07,5.290473900296422e-10,2.1577396978277123e-07,9.198535231097609e-10,1.2669398476588717e-07,2.616201328294452e-09,6.89954116085358e-10
3500,4.9471097775992196e-08,1.2581912009028485e-07,5.289022240077911e-10,2.1564468590300504e-07,9.242773718378182e-10,1.2656913554008537e-07,2.7276782526223045e-09,7.033355117791058e-10
3600,4.947125251031259e-08,1.2570348235854163e-07,5.287474896873988e-10,2.1551581967071037e-07,9.283904048664021e-10,1.264443923975491e-07,2.839356358468602e-09,7.164090502623241e-10
3700,4.9471412879303347e-08,1.2558796288282797e-07,5.285871206966379e-10,2.153873672635594e-07,9.322560313852981e-10,1.263198145689451e-07,2.9511694039538258e-09,7.291814484829772e-10
3800,4.9471580832174705e-08,1.2547256186224968e-07,5.284191678252742e-10,2.152593217038689e-07,9.35863688934736e-10,1.261953850241794e-07,3.0631296279016237e-09,7.416578947666638e-10
3900,4.9471754162220106e-08,1.2535727851697055e-07,5.282458377798783e-10,2.1513167792745228e-07,9.39263772533435e-10,1.2607114874333068e-07,3.1751852567317784e-09,7.538448938812458e-10
4000,4.9471931540316324e-08,1.2524211229106952e-07,5.280684596836527e-10,2.150044305442568e-07,9.424924554353044e-10,1.2594713643407582e-07,3.2872993545354084e-09,7.6574861106959e-10
4100,4.9472114291507e-08,1.2512706365623448e-07,5.278857084929745e-10,2.1487757477198047e-07,9.455153978837786e-10,1.258233116354942e-07,3.399506766480435e-09,7.773729308304888e-10
4200,4.947230036955627e-08,1.2501213173356296e-07,5.276996304437119e-10,2.147511048502084e-07,9.483913829141954e-10,1.256997263088883e-07,3.511747681211946e-09,7.887247968669299e-10
4300,4.947248882161012e-08,1.248973160821794e-07,5.275111783898601e-10,2.146250153357498e-07,9.5114899174299e-10,1.25576403738242e-07,3.6239929866174156e-09,7.998101607130751e-10
4400,4.947267869481457e-08,1.2478261626120818e-07,5.273213051854142e-10,2.1449930078541386e-07,9.538168055865977e-10,1.2545336720753928e-07,3.736213570584321e-09,8.106349739030865e-10
4500,4.9472871211046356e-08,1.246680324426486e-07,5.27128788953629e-10,2.1437395662661585e-07,9.563671070906455e-10,1.253305839189646e-07,3.8484382601675385e-09,8.212027596896588e-10
4600,4.947306593726832e-08,1.2455356433211802e-07,5.269340627316645e-10,2.142489776242623e-07,9.588150206585563e-10,1.2520806375150289e-07,3.960651792212532e-09,8.315188891849434e-10
4700,4.947326162333463e-08,1.2443921140495908e-07,5.267383766653513e-10,2.141243582161481e-07,9.611968236804453e-10,1.2508583765567847e-07,4.072817134158908e-09,8.415896458760394e-10
4800,4.9473457712291346e-08,1.243249733318674e-07,5.265422877086359e-10,2.1400009311757244e-07,9.635308484685803e-10,1.2496391870603333e-07,4.184915721461614e-09,8.514205392392783e-10
4900,4.947365440969268e-08,1.242108499811024e-07,5.263455903072969e-10,2.1387617758701494e-07,9.658164338100354e-10,1.2484230114059646e-07,4.296948599467352e-09,8.61015975912703e-10
5000,4.947385301738828e-08,1.2409684150497082e-07,5.261469826116998e-10,2.1375260766391273e-07,9.680256105685524e-10,1.2472095211521756e-07,4.408945007626592e-09,8.703787769296225e-10
