milliseconds,CC,CCPT,clkp,perp,clkm,perm,PT,vrip,vrim,VRI,pdpp,pdpm,PDP,CLK,PER,timp,timm,TIM,prcper,prcv,prcpdp,prvc,prpc,prct
1100,1.325052095219489,0.46646668173756706,0.003185,0.003185,0.26307287512916444,0.2367847474850556,0.1557670035501387,0.003185,0.25672135853094585,3.0815500125558914,0.003185,0.3124752177143375,4.1265131819017435,3.9510984154536724,2.5934275580401014,0.003185,0.23706191106664964,2.59541418926675,0.08873344812703547,0.12314196057813148,0.11848939039496544,0.48137889504196574,0.43119406019429724,0.08928732026877272
1200,1.4703167844319232,0.46532497158795033,0.003185,0.003185,0.26340583083806896,0.23682855227275906,0.14738179002452279,0.003185,0.25616063926051125,3.0734847643328123,0.003185,0.3125460841898789,4.1250522676723165,3.982860581585483,2.593118551707174,0.003185,0.236421820520345,2.592338982560156,0.09429015946848884,0.13849430416491817,0.1267043752964494,0.4810417400345942,0.43211650808215735,0.09571800139276279
1300,1.4865062557607773,0.4654435239328981,0.003185,0.003185,0.263920975030471,0.23642651780746765,0.13771624162881974,0.003185,0.25741648330021033,3.0853056799287346,0.003185,0.31223809276849074,4.11813104085118,4.022530338269553,2.5868341807061004,0.003185,0.2368219299022572,2.5872703443612792,0.10810517076386207,0.13851482926222838,0.1337585447496131,0.4806301633432126,0.43197080322371517,0.10801284365930656
1400,1.620974823549067,0.46373535709794594,0.003185,0.003185,0.2642352551931051,0.23768750177140605,0.13338297502772134,0.003185,0.25691577958483225,3.0751497216368358,0.003185,0.3125419888087397,4.112698633172761,4.055845359033772,2.5829063608829257,0.003185,0.23648601312521783,2.5845675301783424,0.11180172863236514,0.1521741535570733,0.13851997463840351,0.4803888287043857,0.43195425159021794,0.1104634900729077
1500,1.7113435535983326,0.4634405905325177,0.003185,0.003185,0.26462869452218624,0.23735115385110708,0.1203457446503873,0.003185,0.2571889156818527,3.0749264717885647,0.003185,0.3124910977939759,4.102078593807988,4.082465263619473,2.581497365901471,0.003185,0.23755042615070773,2.5801911853216533,0.1218145258000289,0.15529665250401023,0.14609129086650388,0.4802357098708906,0.43251055159940893,0.11795142530440267
1600,1.7497729472661352,0.46506485271561593,0.003185,0.003185,0.2647719063908613,0.23750361273752052,0.11506011865600546,0.003185,0.25797578760883133,3.0859289879103944,0.003185,0.31259465282778504,4.099395137435431,4.133241089829367,2.581102462755843,0.003185,0.2371978749575707,2.579181024471478,0.12868882111589205,0.17752458286474007,0.15544823007360364,0.4800409138672221,0.4328976491371815,0.12687206970979895
1700,1.8169356406794432,0.46404087942710254,0.003185,0.003185,0.2650302203917735,0.23764785025543078,0.1126164792659625,0.003185,0.25969566296611113,3.0770581930885768,0.003185,0.31229277265033023,4.094913716655068,4.15975750545564,2.579138650517492,0.003185,0.23770533804948088,2.5764532620314244,0.13174615823722263,0.18627880996949378,0.16421786746805964,0.4803473917681289,0.4328526745868314,0.13059110720931671
1800,1.9221313404415135,0.4646732173927376,0.003185,0.003185,0.265501147997322,0.23826122239070485,0.10816883518989395,0.003185,0.2617141227912419,3.087776088254795,0.003185,0.31259856130280517,4.089988728920469,4.19210908546263,2.5809682890386427,0.003185,0.23945433632073032,2.580039820790948,0.14156043638966007,0.19633444880667034,0.16846963472607687,0.48005967142901335,0.4323579660698252,0.1398734134573707
1900,1.9930214818409495,0.46632829610788573,0.003185,0.003185,0.2656458914782468,0.24006039534042767,0.10149934066325991,0.003185,0.26327397355091947,3.0943640978461833,0.003185,0.31333226378629664,4.085856883057135,4.235342622385047,2.579555540675268,0.003185,0.23961565286488481,2.5783623566160645,0.14653997217556597,0.20198269321913026,0.17596135554078163,0.4805397979277214,0.4328856230785286,0.15110449772410603
2000,2.0905852379952754,0.46640821040187425,0.003185,0.003185,0.2658929428757821,0.24026353475280743,0.10387686619409478,0.003185,0.2638302888431059,3.1020844991361396,0.003185,0.3134221600217243,4.080602511342026,4.242777527241951,2.5789045005349394,0.003185,0.24003525032601195,2.582054363037173,0.15137435866721866,0.21610027533300777,0.1845603419162474,0.48040203291546174,0.4328302088015136,0.16043791560742027
