miliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
2300,9900.021767702718,-0.5896793305509419,199.52345039381504,10.0,10.0,10.0,10.0,10.0,10.0,4.165837957115329,2.8428191186513043,2.9403074270426752,2.075301548491286,2.6897631703629754,3.1926029348880394,10.0,10.0,10.0,10.0,10.0,10.0
2400,9899.974401630761,0.5543240469083002,199.94885281599628,10.0,10.0,10.0,10.0,10.0,10.0,4.219992478073406,2.853061634628025,2.989017235995031,2.177392119025417,2.7565169053311984,3.2455408169137736,10.0,10.0,10.0,10.0,10.0,10.0
2500,9900.292767260327,0.6017688174218236,200.67011149897746,10.0,10.0,10.0,10.0,10.0,10.0,4.258401671981436,2.8919378174446817,3.0383241829592524,2.2489475667220677,2.7981339216204213,3.2651994812788554,10.0,10.0,10.0,10.0,10.0,10.0
2600,9899.55637523949,0.023096801096486517,200.37411468273677,10.0,10.0,10.0,10.0,10.0,10.0,4.224338955824288,2.944277986686941,3.084795174962362,2.4186154996989426,2.823827297228675,3.2814288479824425,10.0,10.0,10.0,10.0,10.0,10.0
2700,9900.139866389138,0.33380596562249115,199.9785060915339,10.0,10.0,10.0,10.0,10.0,10.0,4.258501339204858,2.9650667252209097,3.0386729966448582,2.509299877892083,2.7952153702106566,3.384947127638372,10.0,10.0,10.0,10.0,10.0,10.0
2800,9900.503822762397,0.5047670248720363,199.96402524149104,10.0,10.0,10.0,10.0,10.0,10.0,4.244433894129542,3.062731498499325,3.1608834186435777,2.524601568108175,2.8185465788898574,3.4247913169486153,10.0,10.0,10.0,10.0,10.0,10.0
2900,9899.834695478357,-0.6641042364728088,199.34128791568585,10.0,10.0,10.0,10.0,10.0,10.0,4.333591426518127,3.030366443104121,3.185300829209242,2.565096280710376,2.850988767889859,3.432235598730409,10.0,10.0,10.0,10.0,10.0,10.0
3000,9899.986731348878,-0.01119891982895534,200.4887050267062,10.0,10.0,10.0,10.0,10.0,10.0,4.326262309485627,3.0756440069174107,3.1922467733850697,2.759510331857596,2.9062995151294686,3.4916527343067263,10.0,10.0,10.0,10.0,10.0,10.0
3100,9900.599652526233,-0.6642479661214282,200.32355357783558,10.0,10.0,10.0,10.0,10.0,10.0,4.31112523008573,3.1148611565162,3.1924395600746176,2.7730632405988396,2.9399053589965853,3.4623857563839846,10.0,10.0,10.0,10.0,10.0,10.0
3200,9900.672946677414,-0.14693086007594727,200.54344324223504,10.0,10.0,10.0,10.0,10.0,10.0,4.278104435846723,3.1343571095105283,3.231355060944726,2.8645683817290664,2.92408093026486,3.528268390918103,10.0,10.0,10.0,10.0,10.0,10.0
3300,9899.614986934337,0.6511878848945094,200.0080975867113,10.0,10.0,10.0,10.0,10.0,10.0,4.338748125332696,3.1534606681706796,3.33387792328063,2.913865702629442,2.9576814442099257,3.5282149042573097,10.0,10.0,10.0,10.0,10.0,10.0
3400,9900.50542671171,-0.4298445333665653,199.64534973675026,10.0,10.0,10.0,10.0,10.0,10.0,4.288657705857371,3.1908733266540095,3.2820055888299238,3.0792055214928986,2.991206885578375,3.6251656891430164,10.0,10.0,10.0,10.0,10.0,10.0
3500,9899.542693498744,0.6426720571895919,200.4853517458756,10.0,10.0,10.0,10.0,10.0,10.0,4.331485691881207,3.181538321565497,3.3774019124482866,3.165037905732666,3.020234600843966,3.576685251842098,10.0,10.0,10.0,10.0,10.0,10.0
3600,9899.974797461684,0.5680589444295409,199.4788190508277,10.0,10.0,10.0,10.0,10.0,10.0,4.277444298247397,3.277702293246007,3.410247240944996,3.1665157676745785,3.0193426547216364,3.656438762550184,10.0,10.0,10.0,10.0,10.0,10.0
3700,9899.51268086131,-0.4385799976552633,200.04792951945626,10.0,10.0,10.0,10.0,10.0,10.0,4.254343772423525,3.2680383854464496,3.4128523542612443,3.2154690555925827,3.018187396424315,3.681336862777003,10.0,10.0,10.0,10.0,10.0,10.0
3800,9899.422291802297,-0.652746717682761,200.43967906187316,10.0,10.0,10.0,10.0,10.0,10.0,4.318844358388721,3.3281640436076594,3.482834366998396,3.336523136303954,3.0596294143097005,3.687650067081369,10.0,10.0,10.0,10.0,10.0,10.0
3900,9899.736701844198,0.24547582112670419,200.27799331425885,10.0,10.0,10.0,10.0,10.0,10.0,4.270423988736906,3.2766229775741813,3.4345038110249724,3.3641854507473967,3.113483949697531,3.7410826266653467,10.0,10.0,10.0,10.0,10.0,10.0
4000,9899.316891253642,-0.28365575077920235,200.58811359310178,10.0,10.0,10.0,10.0,10.0,10.0,4.313836728624195,3.3242642406546605,3.4803262357645637,3.492399456900386,3.0873952617158706,3.76084070496451,10.0,10.0,10.0,10.0,10.0,10.0
4100,9900.497700810502,0.44510525595535255,199.4332396466155,10.0,10.0,10.0,10.0,10.0,10.0,4.2797085013895995,3.31926225943797,3.542100824392065,3.5612265171370585,3.1299140854693266,3.791585229144861,10.0,10.0,10.0,10.0,10.0,10.0
4200,9900.263204407716,-0.33257148894230054,199.38886540459433,10.0,10.0,10.0,10.0,10.0,10.0,4.283560170627755,3.3751613576893496,3.571186466125174,3.595472644956373,3.1285923317187567,3.7330890441535596,10.0,10.0,10.0,10.0,10.0,10.0
4300,9899.838945091633,-0.22887177500953032,199.9767274350198,10.0,10.0,10.0,10.0,10.0,10.0,4.232340720021678,3.3961691139899637,3.5708660528880136,3.6540238616754412,3.1399709311759447,3.815874705383463,10.0,10.0,10.0,10.0,10.0,10.0
4400,9900.167141191412,0.6514423530066915,199.82277484941037,10.0,10.0,10.0,10.0,10.0,10.0,4.196252799871638,3.440372039278885,3.5996071688862226,3.754748751513765,3.1744587122814636,3.7879305115828066,10.0,10.0,10.0,10.0,10.0,10.0
4500,9899.397332221943,-0.07604871673836243,200.11628691598776,10.0,10.0,10.0,10.0,10.0,10.0,4.247252588712365,3.4595940507965985,3.621232914845968,3.8694268832482326,3.246992220969517,3.8534128768296156,10.0,10.0,10.0,10.0,10.0,10.0
4600,9899.402748834356,-0.4510955461594433,200.02686693605847,10.0,10.0,10.0,10.0,10.0,10.0,4.1568010684337935,3.4693771486295413,3.615395917572625,3.9315901165808915,3.2444994595583645,3.860121079017452,10.0,10.0,10.0,10.0,10.0,10.0
4700,9899.384394284332,0.14612547361007897,199.51371717115651,10.0,10.0,10.0,10.0,10.0,10.0,4.197599094647018,3.4172555893089176,3.6787329933225688,4.042996084811446,3.2423731377063754,3.877817501207227,10.0,10.0,10.0,10.0,10.0,10.0
4800,9899.972136557411,-0.06825264620276891,200.2508578794669,10.0,10.0,10.0,10.0,10.0,10.0,4.171180552801546,3.506350487072862,3.674728612309538,4.07740806182777,3.302262033332271,3.8576671480837965,10.0,10.0,10.0,10.0,10.0,10.0
4900,9899.940194040042,-0.38149568377294685,200.47262889544587,10.0,10.0,10.0,10.0,10.0,10.0,4.092438966849927,3.4726558018555327,3.7445956358627526,4.176023319579231,3.3133633749218605,3.8721214528063497,10.0,10.0,10.0,10.0,10.0,10.0
5000,9899.485802245043,-0.6668182936445627,199.72445891244988,10.0,10.0,10.0,10.0,10.0,10.0,4.093440744917038,3.4837868516838943,3.7403239208496353,4.272748334363572,3.3255192832297,3.928738414467476,10.0,10.0,10.0,10.0,10.0,10.0
