milliseconds,s27,s45,s47,s48,s50,s51,s52,s57,s58,s60,s61,s62,s63,s64,s65,s66,s116,s117,s118
1000,1.723,0.0414806301570177,2.8271409820663083,347.5202790678571,2.1210048543819062,34.975615334998025,7635.361147611778,199987.0018812637,1.0372217328274436,0.008856097005640405,10.977586741786142,0.10584865129171879,499978.5125655562,22.881069036523595,0.643631881343225,0.08308975446129947,0.0034864259742836026,0.00021607799180479697,6.013961026041243e-05
1100,1.723,0.04147980099577405,2.827143145481446,347.5202855474351,2.12095352684695,34.97531898711341,7635.361235301774,199987.0019777503,1.0372081756784004,0.008855788431830694,10.977506535670859,0.10583757439577784,499973.89922806266,24.09864073157248,0.6436977392935034,0.08309243682116284,0.003181197413255633,0.00019522759706474692,8.470976124563464e-05
1200,1.723,0.04147923291631561,2.8271405793391136,347.5202848357434,2.1209760384064973,34.975398802064944,7635.361627407394,199987.00191323843,1.0371924643304686,0.008854989123476114,10.977353365191643,0.10582961142037942,499970.2378592577,25.16197486473241,0.6437267099196964,0.08309788882734684,0.00427466493378899,0.00023640782620237719,8.714910946109446e-05
1300,1.723,0.04147892206548495,2.8271401066333435,347.5202964451731,2.1209524963973725,34.97522063776655,7635.361684888429,199987.0021137534,1.037174125845053,0.008855549092203978,10.976940002671345,0.10583175174532267,499968.9573513993,28.093336193923125,0.6436932392126697,0.08310217035145831,0.004527576113594467,0.0002514048170735813,8.46535828684583e-05
1400,1.723,0.04147864327515383,2.82714208758079,347.52029282906943,2.120896504020916,34.9748817504939,7635.361532550161,199987.00226542036,1.037181202484286,0.008854201399866708,10.977010930252048,0.10582142204783535,499968.4256904448,31.49840546620553,0.6437490849369971,0.08310545783343665,0.00472158102355673,0.0002747358460246561,9.217750673094614e-05
1500,1.723,0.041478739919351165,2.8271404676085483,347.5203152133515,2.1208854855355828,34.97381823112229,7635.36180523538,199987.00214665287,1.0371627341025185,0.008854279925061626,10.977021849394822,0.10582002853970517,499967.8582132326,33.57918167075893,0.6438155854508859,0.08311858408998454,0.004714020137447285,0.00032108064388238546,9.796025771879709e-05
1600,1.723,0.041477988545773455,2.827142959489613,347.520300055455,2.12085539520307,34.97383716075902,7635.362212326699,199987.0022615268,1.037145310552992,0.00885486337041594,10.976928818782065,0.10582369062382328,499961.69724095956,32.76205213287902,0.6438916641345556,0.08312137837890152,0.005023044715693419,0.0003189581567734102,0.00010388399347471492
1700,1.723,0.04147808676945435,2.827141860810085,347.520309377286,2.1208586586516254,34.97376428333307,7635.3620807225525,199987.00233467954,1.0371294985339483,0.008854427181241001,10.97678533590021,0.10582027412906624,499961.3958134,38.244320279895035,0.6438406216188849,0.08313587629441888,0.006110181393137684,0.0003206107506284378,0.00012026039461357942
1800,1.723,0.04147656178067091,2.8271399730721236,347.5203289464418,2.120847103815065,34.97316859824969,7635.362232649315,199987.00267231753,1.0371410795788714,0.008853857981451255,10.976613794349463,0.10581994454801201,499962.57449325186,40.95248443112288,0.6439450420893689,0.083134081932531,0.005694857334328934,0.00035623000408870184,0.00013044532646997307
1900,1.723,0.04147690996800387,2.8271412156697826,347.5203348302958,2.1208137691032527,34.9726664942564,7635.362466034374,199987.00253553683,1.0371271806275555,0.008853973401356042,10.976454581507555,0.10581980017583197,499955.46825907344,45.40265385350545,0.6439677632001166,0.08313813017274528,0.0059992021712817825,0.00036095822361442595,0.00013890103875911422
2000,1.723,0.041475663549865774,2.827141043020287,347.52034383515274,2.120778904588554,34.97212574347174,7635.362571060954,199987.00265982762,1.0371229651425435,0.008853080247582412,10.976229468500419,0.10581310083584408,499953.1123558121,41.26741462577106,0.6439736604651398,0.08314734355928077,0.006314025492049492,0.0004092853612319767,0.0001368476550063082
2100,1.723,0.04147544044483289,2.8271435711467583,347.5203368826561,2.120746971509752,34.97242507359777,7635.362705899644,199987.0027591633,1.0371020705381413,0.00885348686573509,10.976322105807277,0.10581394159495308,499953.8299739958,48.73622666247219,0.6439826909563475,0.0831573894094774,0.006970233497846271,0.00044365633456738466,0.00014614159366220584
2200,1.723,0.041475765594790416,2.82714258675025,347.52034554912103,2.120706296496541,34.97134976091604,7635.362811453031,199987.0027695654,1.0370750079639555,0.00885315162394326,10.976134359615607,0.10581631621915598,499953.7825214472,49.941320289874646,0.6440052664690596,0.08316289429073691,0.007288646309089687,0.00044790492882818147,0.0001580499070773707
2300,1.723,0.0414749196756905,2.8271436586620506,347.5203630396157,2.1207237461540998,34.97156489465817,7635.363043761946,199987.00288512922,1.0370716558158504,0.008853686432058666,10.976095074172582,0.10581221373251723,499946.924525017,54.43389400271045,0.6440547832254995,0.0831616347687471,0.007178665947537348,0.0004673843263243577,0.00015899696359260952
2400,1.723,0.041474947242286,2.827142023510143,347.52037066286607,2.1206617814047855,34.97095757082678,7635.363022944076,199987.00300544326,1.0370695994761692,0.008853754368275978,10.975889964817004,0.10581355918065058,499945.68369580887,54.997601558076006,0.6441089919293252,0.08316222103695642,0.007706153302537695,0.0004660845117720293,0.00016400663492745256
2500,1.723,0.04147371714369534,2.8271412490980197,347.5203580593059,2.1206866548350343,34.970582372156144,7635.363395995739,199987.00330978894,1.0370440413053401,0.008853610127360828,10.975536925406054,0.10581116519887508,499942.13250243315,55.267145643787934,0.6441422876380604,0.08317195502656656,0.008705583399589044,0.0005209742527659342,0.00017959943119029597
2600,1.723,0.04147378678206527,2.8271428387582707,347.5203839498737,2.1206235071290007,34.97015298177834,7635.363330590917,199987.0034070688,1.0370559440138662,0.008853871458089923,10.975398380152546,0.10581267695052056,499940.4763260105,55.25273339095542,0.644160528216636,0.08316991775946457,0.008227514694411978,0.0005206613132879362,0.00018477790107812632
2700,1.723,0.04147353956556317,2.827141665516865,347.52039217995656,2.1206150423191317,34.96971720748213,7635.363774786379,199987.00331761915,1.0370197909347336,0.008853149874861929,10.975341143655662,0.10581488040208195,499936.76225821156,59.495950566230384,0.6441393339819402,0.08318106855959247,0.009132103121146165,0.0005216372609756552,0.00019298771444519142
2800,1.723,0.041472564224575376,2.8271428798814773,347.5203764665095,2.1206105444507126,34.97004039149234,7635.363699497007,199987.00340396984,1.037021645385645,0.008853547329896641,10.975482325531019,0.10580796267966604,499939.4243868041,62.541359729349566,0.644201407322825,0.08317937381735815,0.009191854125845202,0.0005690132050750853,0.0001886521498671593
