miliseconds,Z1,Z2,Z3,Z4,E1,E2,E3,E4
1900,0.5004724165576987,9.999969979138893,9.99998951150045,99.99997883828682,2.7847947429403478e-05,2.9976225450493776e-05,1.0442333692169876e-05,2.1130220394087677e-05
2000,0.5004727975176624,9.99997023306629,9.999989717251914,99.9999789422317,2.7739895690706313e-05,2.9744122390105993e-05,1.0302730434425232e-05,2.1089968900491794e-05
2100,0.5004731232226123,9.999970191568345,9.999989678190467,99.99997900322282,2.748511185998974e-05,2.9859844735609702e-05,1.0298947004273521e-05,2.0873587156607184e-05
2200,0.500473457674916,9.999970354339064,9.999989869147095,99.99997936672217,2.742983204594932e-05,2.943325942022733e-05,1.0117494964110954e-05,2.0635971333387127e-05
2300,0.5004736936979265,9.999970575909117,9.999989912890335,99.99997935884191,2.7210739510810917e-05,2.912284421628191e-05,1.0059069844727974e-05,2.0511240425064007e-05
2400,0.5004736396106432,9.99997081063565,9.999990034312386,99.99997964525427,2.693594452239469e-05,2.8970244322296134e-05,9.970722573643312e-06,2.0358402486085226e-05
2500,0.5004738847590785,9.999971172218226,9.999990017963547,99.99997986266347,2.6510328202975978e-05,2.904514795295731e-05,9.927704465929533e-06,2.0225983335999972e-05
2600,0.500474202285519,9.999971615445135,9.999990162911159,99.9999798972499,2.6519661243330688e-05,2.871796847874401e-05,9.90940026292167e-06,2.020728828792156e-05
2700,0.5004741881496959,9.999971567048016,9.999990246003478,99.99997996146384,2.633804065895728e-05,2.8298734847177824e-05,9.766744644998935e-06,1.9861791174492557e-05
2800,0.5004746103733878,9.999971609626392,9.99999024615899,99.99998017826873,2.6156639393056515e-05,2.8402297165545396e-05,9.746565753441965e-06,1.964945499923107e-05
2900,0.5004745704244427,9.99997197679972,9.99999036172559,99.99998021481092,2.5643432098583048e-05,2.783022889627168e-05,9.730725856873576e-06,1.9522334485877842e-05
3000,0.5004747270991987,9.999972281903627,9.999990339583121,99.99998048071815,2.560924230141454e-05,2.7653224987789105e-05,9.603156720798996e-06,1.962670086439137e-05
3100,0.500475159892998,9.999972703117793,9.999990496656082,99.99998071246902,2.5522640720784138e-05,2.7457463686209134e-05,9.461753779427676e-06,1.9364740947325345e-05
3200,0.5004754359817201,9.999972848518354,9.999990602055963,99.99998072326316,2.5051629421991345e-05,2.7300170480104e-05,9.489808846142538e-06,1.902572853611543e-05
3300,0.5004753857626671,9.99997296078125,9.999990652198006,99.99998099105738,2.4971730274566725e-05,2.723725719982259e-05,9.30372098557721e-06,1.897112762925852e-05
3400,0.5004756953931819,9.999973267058131,9.999990746135529,99.99998107025186,2.469060737549828e-05,2.7095953328268175e-05,9.3560409080309e-06,1.877109058788056e-05
3500,0.5004760818668886,9.999973460407634,9.999990799289955,99.99998126926042,2.4488299132189084e-05,2.6725435415798454e-05,9.298129628756923e-06,1.874535529988818e-05
3600,0.5004760875966112,9.999973646696976,9.999990768439417,99.99998150455208,2.434922378025636e-05,2.6605519822787717e-05,9.156665011979114e-06,1.8768971892020907e-05
3700,0.5004762313109662,9.999973503167244,9.999990842744333,99.99998139958916,2.4235658929241145e-05,2.6466164930401774e-05,9.078040384434812e-06,1.844316269809874e-05
3800,0.5004766360277777,9.999973704731904,9.999990975067533,99.99998153370753,2.4246686706392645e-05,2.5939557769278813e-05,9.020589474918346e-06,1.830387866190447e-05
3900,0.5004765572769351,9.999974092233899,9.999991035960107,99.99998196911712,2.3938422745096304e-05,2.5859984827190942e-05,8.864779287305428e-06,1.809549578400335e-05
4000,0.5004769439924741,9.999974532447943,9.999991190927952,99.99998195925504,2.3643676977142154e-05,2.566211076514982e-05,8.864483096174218e-06,1.8196820394449826e-05
4100,0.5004769261519119,9.99997474813242,9.999991205488579,99.9999821742966,2.332687263409533e-05,2.5546941665209424e-05,8.865781765400598e-06,1.7911580393364393e-05
4200,0.5004772875243118,9.99997468361439,9.999991212997914,99.99998214783811,2.3481846818336947e-05,2.526997937397114e-05,8.72714421452912e-06,1.7826915455227647e-05
4300,0.5004774937048003,9.999974925581318,9.999991341742058,99.99998247331314,2.3289702957566336e-05,2.5143405778558767e-05,8.623495922520015e-06,1.7582465537085442e-05
4400,0.5004777323785062,9.999975259723495,9.999991458594947,99.99998239830228,2.2774755310822187e-05,2.4747722360379753e-05,8.54098716526276e-06,1.7406244900368864e-05
4500,0.5004778012652179,9.999975487076796,9.999991479301137,99.999982710371,2.2797746902316277e-05,2.461566650821926e-05,8.465526375074697e-06,1.7234376218672102e-05
4600,0.5004780712642231,9.999975650703396,9.999991586294682,99.99998292165566,2.248293295195392e-05,2.4530113099042763e-05,8.395553899175626e-06,1.7087702973355017e-05
4700,0.5004781402648849,9.999975690629773,9.999991552866389,99.99998306413164,2.254421267194939e-05,2.424581154102185e-05,8.455411331508342e-06,1.716888448708904e-05
4800,0.5004783264632227,9.999975737905103,9.999991727170627,99.99998310088671,2.2326939026754188e-05,2.4246558705313227e-05,8.413787985730879e-06,1.6945220974209083e-05
4900,0.500478295911983,9.999976016262478,9.99999163374543,99.99998314239662,2.2254355584021436e-05,2.383222987349758e-05,8.306024948210147e-06,1.691232568149896e-05
5000,0.5004785098506476,9.999976438554649,9.999991726182731,99.99998338523824,2.2094418899620323e-05,2.3796170923456026e-05,8.194971148579262e-06,1.6600999674233574e-05
