miliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
1700,14.237174795805815,0.18101744284226856,0.0009003249577613378,2.0917786177781523,0.1755385389571297,160.6625766187739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.149670061429388
1800,14.919425831251504,0.13161896501049272,0.0005940898584259288,2.1152370158471463,0.16848084737213964,212.05267404450422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.129983091971588
1900,14.784546812351017,0.10274327793614735,0.0003911737966196089,2.1909801118067125,0.15160543349103547,246.68309954389733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089978317002084
2000,16.381725969299023,0.07744426419424387,0.00023432432154690353,2.3145571849339124,0.14230057815310834,277.9118582498292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.996997424784323
2100,16.823134418186164,0.06819119619671787,0.00014033387511181312,2.3611954795380563,0.11614563030077552,300.5503003156374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.477957517523969
2200,17.078725625435354,0.05818716637700944,0.0001114711172117443,2.373436885362662,0.10399202917474629,339.4556507555584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.910385422509496
2300,18.270894866690554,0.053600341742118085,5.822231592573975e-05,2.4833209879379012,0.09151938508550139,364.5435340148782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.274184669689182
2400,18.80275128344841,0.047993008223068775,4.5265038581987615e-05,2.4726899528887203,0.07893410600632521,371.9079790365064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8057744524362
2500,19.49359537605577,0.04572304436846466,5.7437473396902705e-05,2.5201558206128083,0.08620423302985847,399.5764434130328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21807932440246
2600,20.61548498164898,0.04071429815732749,6.0687633963816824e-05,2.5745774150258356,0.06254661106030976,428.3522313997571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.937392203262142
2700,21.275644306529006,0.03967666095139776,3.1122069607249765e-05,2.5740911713918857,0.07675862542017577,426.6224065306337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.096865851204631
2800,21.106316368855225,0.030150497574298624,5.5957495084139205e-05,2.5906882038520616,0.04847642512382092,457.19852011197645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.660476016822702
2900,22.775803776346727,0.03641514768716337,3.1661133414092064e-05,2.629077107114133,0.06432551244087284,465.7719880228789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.830916580330475
3000,23.22988577720839,0.03630977208277914,3.840486543023502e-05,2.601320609923093,0.041561439294077886,490.84573468000934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.581178461520665
3100,24.174781870608022,0.032272098890575446,7.1488155344989785e-06,2.6398447336006665,0.04909752071357621,505.3851036506553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.873488620713461
3200,23.914755890159036,0.025802644316352215,2.3137149961056755e-05,2.601991162503909,0.031001756238153714,546.6608363303454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.747865484188626
3300,24.857194448372578,0.023323943606692675,3.347760612278762e-05,2.6047457509047116,0.025959154838354828,568.0062039828903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.52225498706231
3400,25.559195798191293,0.024811528648196024,2.8445115609220157e-05,2.564576047162874,0.03953233726353208,575.5045320168769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.579011534024845
3500,26.98498295226284,0.02979209231571301,2.0178078056783116e-05,2.59471372689858,0.04044065579877304,593.9469073767053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.775006598869137
3600,26.7333431024269,0.026262446801483735,2.685764765065112e-06,2.537959468534056,0.03788503840545933,618.9329396513716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.159313316487514
3700,27.41005766837459,0.02701660290780706,9.560690181196615e-06,2.5586157562637917,0.02491331831150645,626.1710271317013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.371902967072204
3800,28.9926797393677,0.025631262725372098,1.3225788817767863e-05,2.503821507092411,0.03394498606679134,650.985739418398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.912260199314826
3900,29.59214207428684,0.02603046767653922,2.4391567832175598e-05,2.5586827213985828,0.024784732636411896,649.9872399793193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.725693507768007
4000,30.330873356279632,0.024396084486098243,1.0673051976624396e-05,2.5107592442172355,0.010865641348514248,656.5705968014272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.365532096549765
4100,30.716097102974352,0.01741897960269901,2.1776363473399937e-05,2.454380798835975,0.02801513239732966,692.3286192800261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.590534628361972
4200,30.8495010948432,0.015336954460476932,1.5853450839892032e-05,2.426372471286064,0.009168574552748346,695.6945928587406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.493883599960565
4300,32.070300634054355,0.013409694645402648,-3.9739345086370463e-07,2.4400620631383205,0.007492001377623553,718.8503074439272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.849662392989597
4400,32.184949560894566,0.016116232042180295,2.53360139959674e-05,2.3605448366982085,0.016952622853838282,732.8808981573765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.982251955818617
4500,32.98905815410531,0.017355173586947745,8.612039813570072e-06,2.3429443735312887,0.022468162625408118,739.6612279742341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.181733550287504
4600,33.5147479703249,0.01982185155174177,1.8629878305647196e-05,2.337451509464683,0.005557752551928131,747.3534453789489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.087743879867972
4700,34.7413153631191,0.013395906736091204,1.876301459829557e-05,2.2919865704226643,0.020605994664059435,748.9607736147195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.371944745749133
4800,34.660365886907485,0.01829325746605355,2.773450901497959e-06,2.255089260474214,0.009290761853698083,775.367013449236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333617056220664
4900,35.658558629867585,0.015193366484628433,1.263516428253928e-05,2.215048791585509,0.01087630988692392,777.5841503651336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.877733902530696
5000,36.661121824849204,0.016710431495026785,3.2820873279702865e-05,2.249047092483555,0.011714035940615698,798.08857268012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.797473148005263
