milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
1000,6.495255908955305e-05,0.0001528591289900224,-7.842315389931167e-09,8.585746448884774e-10,7.224506198639235e-14,2.4498321236642148e-08,3.644158763086885e-09,6.913304031243043e-07,-3.374602592993057e-06,5.539274473191072e-07,3.474140108988171e-06,8.081215098224585e-07,3.7201362154161167e-07,2.485736262665499e-05,4.486603056013141e-06,6.15324554982357e-08,7.986944649106102e-05,2.822096060974991e-08,2.7506319185574927e-08,2.1165791967578763e-10,6.997290484084617e-14,4.44766759316578e-09,9.488904374181682e-10,2.60778147203365e-15
1100,5.337486256109702e-05,0.00017818768696557693,-2.4283371319231368e-08,7.526585834166222e-10,3.2873528482511643e-14,1.9136328890710048e-08,2.8406006694767472e-09,-6.581042099026388e-07,-5.0793346676784014e-05,7.802339155065505e-07,-1.2770397044746934e-05,2.596244596390744e-07,3.613844205078403e-07,3.244483818621155e-05,3.96191825075155e-06,5.538849242765991e-08,0.00010553574742490712,3.298747538076e-08,1.5799870908363993e-08,2.7421297307483824e-10,1.5452838871575689e-13,5.510460845521015e-09,5.832360974054613e-10,5.3885193721953916e-15
1200,5.750543947713006e-05,0.0001537633056161458,-2.4152494558742195e-08,1.686128181652767e-10,4.7423691593176024e-14,2.3771665607890164e-08,2.583323042947e-09,-5.208620310313423e-08,-5.300172287690206e-05,1.1188087454490599e-06,1.1604697053370793e-05,2.133977063205372e-07,3.0086577019987386e-07,3.2451201643664776e-05,3.931639113213502e-06,5.928950723407767e-08,9.811755836624572e-05,3.02351544295379e-08,3.3421928873253484e-08,2.1253014484800705e-10,1.5482334632380757e-13,6.042717094552345e-09,1.9012945496956688e-10,5.3187413782942254e-15
1300,6.0812220294534174e-05,0.00016012491645185184,-1.6734954299209984e-08,5.740907402547053e-10,4.5129617284643714e-14,1.22176957366621e-08,4.110011953992815e-09,-9.693300964152199e-07,-0.00012683333578974963,8.340706559863932e-07,2.3454230828095074e-06,-6.960078187943224e-08,3.5597848266033925e-07,3.23426481957752e-05,3.844503644467707e-06,5.304399752887512e-08,0.00010391718287068252,7.04351663799025e-10,2.6726749923613925e-08,2.0294201812495314e-10,1.4928330528728567e-13,4.869046160542793e-09,2.356505306390759e-10,4.8596292817435e-15
1400,0.00010734757971899557,0.00015725398826835782,-1.978165153145368e-08,7.801525803336399e-10,1.1355990617343926e-13,2.5217866250197192e-08,2.3766540936588972e-09,-7.674727889083567e-07,-2.812571159180148e-05,6.060764756554766e-07,-1.4277682341476602e-05,4.159993686300397e-07,3.0075230386742403e-07,3.029031640062607e-05,3.90576813877141e-06,5.635276368180817e-08,0.000106213403742754,5.2620660172812975e-09,1.613786434013629e-08,2.2117820423920288e-10,1.280408785977343e-13,4.849227474127682e-09,9.445133926508757e-10,6.9095233220165396e-15
1500,9.436952002251233e-05,0.0001657488845523903,-3.5729899891481644e-08,2.84778890130916e-10,4.2025991099263864e-14,3.2575052159952382e-09,1.6160766588639775e-09,-1.2059549149255816e-06,-3.6119154699680594e-05,8.884323205723734e-07,3.385135643024762e-06,9.316446119569684e-07,3.193048841654751e-07,3.607887237604511e-05,4.1572815596084844e-06,5.418560142201513e-08,0.00013596145191253315,6.050729770329019e-09,2.3150337583146116e-08,2.5076155687732907e-10,1.5919787631334984e-13,7.264101256016787e-09,6.890769682569491e-10,5.460653418032185e-15
1600,8.61641784267379e-05,0.00016629399544273465,-2.0939188158882536e-08,3.3214906269136916e-10,8.60931774551288e-14,4.8641068490316245e-09,2.996965669552784e-09,7.493016248434193e-07,-8.109932930260487e-05,7.345262105722169e-07,-4.6943090440828045e-06,2.2735062138236701e-07,2.8419741111462547e-07,3.608395291165704e-05,4.203518497110803e-06,4.925633057580365e-08,0.00012524905867232453,2.147566673258885e-08,4.941363980524432e-08,2.635357899466112e-10,1.9444229094314534e-13,8.271719096389968e-09,4.915818837887652e-10,9.568648215869079e-15
1700,6.629072949323342e-05,0.00016301888998460702,-1.7530145017517964e-08,5.479205158014634e-10,1.062552591075449e-13,-3.90321780453588e-09,1.043269504845844e-09,2.032398396319065e-07,-5.205516219963434e-05,1.0169945369922602e-06,8.73028247235261e-06,5.319672047182286e-07,3.0510087608151644e-07,3.5416077642778716e-05,4.336455330815901e-06,4.697323731958066e-08,0.00013744451481835865,8.930402407771673e-09,4.8629519351720924e-08,2.1341390559778773e-10,1.2117963962290258e-13,6.132787698911316e-09,6.921995415668608e-10,9.362732386881607e-15
1800,7.443954533318494e-05,0.00015375430390144628,-2.2114159613440715e-08,3.823371766457666e-10,1.745173766498881e-13,1.1897015789956369e-08,1.1826139785775027e-09,-1.0165234876364403e-06,-4.8645444481437854e-05,1.3057176093114662e-06,-1.4866740750195608e-05,-2.299954766764326e-08,3.073332103539995e-07,3.665788397407389e-05,4.082463358759109e-06,4.880884390104169e-08,0.0001506440016946455,7.592078352587145e-09,5.410461057352947e-08,2.4026493658379984e-10,1.2451440216291146e-13,8.526019632143321e-09,2.200888313936868e-09,9.202980738698414e-15
1900,0.00011138456668912929,0.0001762206729561282,-2.2232779547361813e-08,1.1037250486093224e-09,1.7273912110052666e-13,2.314028315633468e-09,1.7928325118479311e-09,3.9837975161263616e-07,-9.166799463535436e-05,1.0629685260289116e-06,-1.625428085394961e-06,5.296501352349002e-08,2.9881122069070253e-07,3.944261175590939e-05,3.804019469605704e-06,4.7661048234485886e-08,0.00015948354838599807,1.0038577743174345e-08,3.472230416587241e-08,2.962502346366739e-10,1.7942398800010107e-13,8.432434213311831e-09,1.9439645638342547e-09,1.1197515763302825e-14
2000,9.898796831703602e-05,0.00016961779627542442,-4.112567943687164e-08,7.480745950931199e-10,1.630626832307242e-13,-1.4057830921749144e-08,1.66896747057646e-09,5.892329226799707e-07,-0.00010768426201050689,9.71115012343416e-07,8.468512446154183e-06,2.824783401430024e-07,2.8732261340951487e-07,4.007517191760825e-05,3.4182011898204832e-06,4.7138359820956946e-08,0.00015759896928310246,2.6096532492241453e-08,3.63392342072288e-08,3.316308190570158e-10,1.6179988853874943e-13,7.989806638612965e-09,1.9043391535111288e-09,1.219786002344899e-14
2100,5.7378237980798024e-05,0.00018433728584455565,-4.056475506097542e-08,8.681998505737784e-10,1.2211649737168128e-13,-2.0215610222017644e-08,-3.576342601633036e-10,5.229989140367507e-07,-0.00015553700329206502,1.7318858394454153e-06,-1.397848992828922e-05,7.531582515111074e-08,2.2820484518990488e-07,3.9777530243132546e-05,4.059073421772929e-06,4.3047254242154606e-08,0.00019656524298167525,2.396161574354149e-08,4.2260753002069296e-08,2.9280710656618974e-10,2.191462721503792e-13,1.0186645667691823e-08,1.6803196070313823e-09,9.410156341350351e-15
2200,7.943830753643056e-05,0.00016556474035686643,-4.512862869900982e-08,1.0120887158597479e-09,1.2970248025954233e-13,-2.585087960421889e-09,1.5875113186623507e-10,-4.201110872343659e-07,-9.2578058538212e-05,1.0237394752908887e-06,7.873929868469956e-06,-1.4505544776304715e-08,2.571535200107148e-07,4.451766746508675e-05,3.4313920594488372e-06,4.2433989972285596e-08,0.00018066058892898224,1.7519329378622793e-08,3.504515599196063e-08,3.1908956503983077e-10,2.2870560462832743e-13,9.90836150717953e-09,2.4992572208655344e-09,1.2175641326192757e-14
2300,0.00010784044266662513,0.00018111364072283568,-5.515970343597316e-08,1.0564871455822925e-09,1.1042195689099307e-13,-8.091156262441153e-09,-6.095100453786272e-10,-7.742794245246557e-08,-0.0001592121796327111,1.2822446945107087e-06,2.6268163546282696e-06,4.1836337121949053e-07,2.496587115382412e-07,4.477012831066651e-05,3.2058020462045605e-06,4.214237038615255e-08,0.0001788347828292669,1.4836178228409494e-08,4.722772124170687e-08,2.9192313537143063e-10,2.0761119622010766e-13,9.389684765410841e-09,1.8026990332205192e-09,1.0997323029481365e-14
