milliseconds,IL7Ra,IL15Rbeta,gamma_c,IL7Ru,IL15Ru,IL7Rb,IL15Rb,IL7,IL15
2500,2.62611496018702,17.60576853512211,97987.12536475396,162.2951129823959,985.3643208901177,824.6810659054672,21.495749677707053,5210.366499020108,581.2891850698726
2600,-9.219111713444235,14.189547215918683,98023.41158929144,158.68870476767077,973.048543322711,846.8035133870695,21.572901944039433,5191.968359550573,580.7806777188184
2700,5.832338568743607,6.157519136914034,98025.05246092034,156.90229451222874,975.2485168434612,853.37486938221,21.959846386821226,5172.196156371415,579.9610123910741
2800,7.121703983576296,-0.20441971976138973,97983.99870696338,142.79610260437025,968.9013119082997,824.145340719293,23.80113141038201,5169.483788934992,578.3906077307363
2900,13.930413575353837,-7.641085935251019,98016.60705855631,164.1356407181292,961.6955385185682,859.1497073336374,24.350565176574438,5168.121878440896,578.7621585357092
3000,-8.055260946541688,14.03454475241088,98008.50210041995,155.77448172174667,962.8184789839677,857.5228886071839,25.30996183126244,5194.87825577742,577.9503739044707
3100,-10.748025931580479,2.00939633072094,97979.88803658063,159.94827941492383,955.3271076410593,847.8752247608303,26.04914844673384,5191.817523629842,577.1135692963935
3200,3.5309292961620153,5.9689208357886505,98028.94821226205,127.94415431076197,962.9166816222738,853.0054628271797,25.800197588037,5174.617125321636,575.5308558398228
3300,14.79383453923821,1.0769056221380326,97997.75421975253,155.23557584607846,966.0295274127378,875.637132568204,26.079378915111274,5157.512130112502,575.8315896906107
3400,-9.624594229072903,16.06206412695468,98014.67995017163,122.82151756412985,980.4429933257925,886.4965952165511,27.04368978033809,5137.914820463437,575.5831225493246
3500,13.564508241594286,10.41937899736627,98012.57478560274,128.82884951327082,979.341097931123,849.5017081686118,28.665716894994556,5132.817625233894,574.0727535565258
3600,2.2652162907356725,8.025815543396927,98030.91378180006,110.24498303342976,978.7341642259834,860.349377066487,27.46778333739711,5174.191300847369,574.1516619192912
3700,2.677660403913986,-6.779427006740121,97998.62590256246,117.61192020759555,956.3283401347702,884.4466977000983,28.330944676016756,5154.947936282937,573.2833202470288
3800,-10.340600758913723,5.582008144266517,98023.39980849094,138.9759608102026,966.3818741099034,886.299271639784,30.29482587172947,5145.073678313961,573.5542102635782
