milliseconds,APC,APCAxin,APCAxinGSK3B,APCBCatenin,Akt,Axin,BCatenin,BRaf,C3G,Dsha,Dshi,EGF,ERK,GSK3B,MEK,P90Rsk,PI3K,PIP2,PIP3,PKCD,PP2A,PTEN,RKIP,Raf1,RafPPtase,Rap1,Rap1Gap,Ras,RasGap,SOS,TCF,TCFBCatenin,X,bEGFR,fEGFR,pAPCpAxinGSK3B,pAPCpAxinGSK3BBCatenin,pAPCpAxinGSK3BpBCatenin,pAkt,pBCatenin,pBRaf,pC3G,pERK,pGSK3B,pMEK,pP90Rsk,pPI3K,pRKIP,pRaf1,pRap1,pRas,pSOS,null
1200,96.60141709375918,0.0015174773134001241,0.007596942391756774,3.4397806598056797,199.99999961483348,0.0007861768074599185,42.72095890819364,200.00000252125693,499.9159207989931,0.0,100.0,595.1731667191926,260.0000000012858,49.15652522478023,679.9999997535309,60.0,99.9833782293632,699.999996625529,2.807913222294158e-06,0.00015982789181426163,240.0,270.0,21.70752332244946,100.00000003681947,60.0,199.99512383529242,12.0,100.08816252220869,100.0,99.99491425532057,6.187443965781563,8.812545726374676,10.263000170247764,4.784333484892421,403.49425847545143,0.015291257056354195,0.002004325838831981,0.002004288596170978,7.926666728138448e-08,0.9881091742565913,9.09513955053736e-06,0.06599802493459121,1.4931271872632375e-09,0.8414560726130405,-4.087844668243268e-07,-4.844580049698407e-16,0.024402692288882335,-0.0008103169695473332,-1.2247866137752198e-07,0.0013933181822390868,0.00024005421636900766,0.004062403515529142,2.3229502816156526
1300,96.6014180458028,0.0015174807029846324,0.007596606187056351,3.4397771714358734,199.99999951725542,0.0007858705190079402,42.72093728394543,200.00001359723052,499.91925553520537,0.0,100.0,594.804660649454,260.0000000001431,49.15878040827223,679.9999999881735,60.0,99.98933391363936,699.9999950601479,5.392261847693123e-06,0.00018709397177455828,240.0,270.0,21.702131874197963,99.99999991811866,60.0,199.99530673542554,12.0,100.08647887668468,100.0,99.9956664293813,6.187423657389989,8.812573109572494,10.263000187846458,4.8195881875095115,424.2532462596649,0.01529123882950112,0.002004369826676747,0.0020043398585700206,6.853159527203393e-07,0.9881099377366722,1.4752994786214253e-05,0.09111403812385133,7.592296781063917e-11,0.8366178493290306,5.35848515347637e-07,-1.4197106500550006e-15,0.022132285252065557,0.004008299270314236,3.750690205860397e-07,0.006491099090629616,0.00018113624037683154,0.0048754569444572765,2.2092486215959757
1400,96.60142053156126,0.0015179097225312649,0.007596541779634222,3.439779788522847,199.99999926101492,0.0007856388034129032,42.72093630430059,199.99998102019896,499.91274188273843,0.0,100.0,593.5355979398347,259.99999999885233,49.16150984595484,680.0000001198831,60.0,99.9724561569876,699.9999956791047,4.3034339612765825e-06,0.00022150389148095867,240.0,270.0,21.701687772746144,100.0000000727913,60.0,199.99145713074248,12.0,100.09488691780832,100.0,99.99471607574024,6.1874097407849105,8.81259607302862,10.263000193877044,5.849221325037728,446.16142003586094,0.015291131461780457,0.002004340402344838,0.002004383613130755,4.256057709405342e-07,0.9881132341005832,4.509287127734958e-06,0.08749970860123345,5.326176086573945e-10,0.8377840888144445,-3.1215331588557835e-07,7.316451023221317e-17,0.021919909854866745,0.015614270902948486,9.548892209742451e-08,0.009962537042169513,0.0004017445742056498,0.006188479621785999,2.6309718274155567
1500,96.60140637547467,0.0015179357082181345,0.007596231014978179,3.4397682967810033,199.999999890159,0.0007858569719470191,42.72090769764229,199.99996713363402,499.91101501852205,0.0,100.0,592.5501866929817,260.000000001156,49.16262477102554,680.0000001296826,60.0,99.97882722737593,699.9999950967236,5.581798970059443e-06,0.0002394328866010725,240.0,270.0,21.713358734458634,99.99999977568494,60.0,199.9927305841258,12.0,100.10550618495145,100.0,99.99348339252572,6.187414460141053,8.812594427955203,10.263000186796978,6.335623251267337,450.17459499696685,0.015291009716638016,0.0020043157772481786,0.0020043580818294915,6.51193497465891e-07,0.9881129085799726,7.222029705026107e-07,0.08866895334386388,-1.0370102409747254e-09,0.8348737579886911,1.5827099858885426e-07,1.8867424043464405e-15,0.028218744847795827,0.0019584896022909106,4.463404541084869e-07,0.008054106005540991,0.00041480549100679086,0.005408793770238393,2.58249816170488
1600,96.60141581994263,0.0015183720609993334,0.007596114312672155,3.4397658890795024,199.99999936771206,0.0007855751576066378,42.720913698404416,199.99999628879885,499.88842401300525,0.0,100.0,592.7161256412594,260.00000000026046,49.1640910159277,680.0000001448558,60.0,99.96463101748687,699.9999953726343,7.199419787925451e-06,0.00024033517401234503,240.0,270.0,21.708151562959905,99.99999946238286,60.0,199.992102010798,12.0,100.11057785490134,100.0,99.99407845266191,6.187388139809573,8.81259611124215,10.263000230396644,6.495403980007313,443.1658169960266,0.015291077703431483,0.002004327323247476,0.0020044119730518307,8.325864283072451e-07,0.9881156190377585,4.502828164397908e-06,0.09664781320198901,-1.318926919728557e-09,0.833299662438464,6.41468383011629e-08,1.3162420068364787e-15,0.029290171014577305,0.008951353968001518,1.2881582813285354e-07,0.009161032236883027,0.0003850944331403685,0.006312464537866496,3.087205178973067
1700,96.60141106854891,0.0015186016047599564,0.007596303042990417,3.439769512235251,199.99999889959844,0.0007858191791090933,42.72089754435858,199.99996013179396,499.8784460328618,0.0,100.0,592.3260120953132,260.0000000008079,49.166740952229006,679.999999222989,60.0,99.97432386429821,699.9999926831049,5.682220745475849e-06,0.00024310334940772258,240.0,270.0,21.69596115596082,99.99999959080178,60.0,199.98344929679544,12.0,100.12947469351654,100.0,99.9932981356683,6.187369195012829,8.812623582969238,10.263000224152123,7.017028058481146,462.31193785042115,0.01529105672585352,0.0020042980950387822,0.0020043867120938296,1.0469631709317476e-06,0.9881178272334499,1.7298729811277325e-05,0.11333861012041421,1.341698711587716e-09,0.8346488543921574,3.7990510247558437e-07,-1.2866801346136897e-15,0.02541824517732752,-0.007722681324467391,2.174598489272651e-07,0.014733506681471551,0.0004373647405799622,0.007442413009362686,3.1984899526330812
1800,96.60141267315453,0.0015186979567908402,0.007595895666034009,3.439768387801128,199.9999990768469,0.0007858130698153627,42.72087395829595,199.9999715978261,499.86719609204783,0.0,100.0,590.9568972847804,260.00000000038784,49.16596255729301,679.9999996122267,60.0,99.97033381269851,699.9999912836531,7.322992813702084e-06,0.000262423947761895,240.0,270.0,21.69265993338867,99.99999944066218,60.0,199.98615781044424,12.0,100.12684411697545,100.0,99.99254368460107,6.187377078740544,8.812628260502104,10.263000262773687,6.637795739094125,473.742142070428,0.01529097977546633,0.002004295929425549,0.0020043745210763107,5.448920838519687e-07,0.9881176270659577,2.6929544577986332e-05,0.1322470324422923,1.4871654653256725e-09,0.8334994237806791,7.288488817780521e-08,1.9342371370688857e-15,0.031591719561153864,-0.01168350928437232,5.681346956952985e-07,0.01293540918424838,0.0004227028874155322,0.0070154374803179246,3.1918877600807978
1900,96.60141195304212,0.0015190589394853753,0.007595846233479055,3.439773120986373,199.99999933364887,0.000785877053639347,42.72087850382667,199.9999669118959,499.85690604483625,0.0,100.0,591.7594801568847,260.0000000000056,49.16607638103403,680.0000000735304,60.0,99.95455145825952,699.9999918255095,8.736536707126596e-06,0.0002923631234317022,240.0,270.0,21.703516765144848,99.99999982287031,60.0,199.97725436293754,12.0,100.13020631028793,100.0,99.99167512399062,6.18737037766403,8.812633268529137,10.263000290513334,6.9853970196266255,475.4365376581293,0.01529109676522554,0.002004306916441809,0.0020044339689481738,1.1021361565919569e-06,0.988120835864513,1.2364799773142775e-05,0.12514623060456687,-4.880939461698046e-10,0.8310993670104246,3.49269761377645e-07,1.0233779203781433e-15,0.0373076351155024,0.001963100741111253,1.947736341617712e-07,0.017376363001209427,0.0004346583621028132,0.008449558077330901,3.1051418609114987
2000,96.60140986774945,0.0015191087148332563,0.007595690430252775,3.4397758594682757,199.99999907207584,0.0007855343737465145,42.72088225127087,199.99997994394582,499.8509968254562,0.0,100.0,589.9889388288847,260.0000000008607,49.1697387411597,680.0000000785511,60.0,99.95582269064732,699.9999903779319,8.217783575041108e-06,0.00028727245055390965,240.0,270.0,21.67469689588306,99.99999937713456,60.0,199.97508035333212,12.0,100.13836341175622,100.0,99.9909542194794,6.187352924132234,8.812626020428457,10.26300033934016,7.485921267821713,489.23962440818804,0.015291138078252426,0.0020043524820890237,0.0020043384257768465,8.602496347331109e-07,0.9881193018510239,2.5224002667078727e-05,0.130047015195139,7.726637146665457e-10,0.829909147486695,4.974054468110379e-07,4.781779675714844e-16,0.03920553306838709,-0.01120407303998881,3.368595985175222e-07,0.02025881444925611,0.0007335635809923293,0.009207359525246803,3.4739882919180625
2100,96.60141599326293,0.0015193509621425343,0.0075951320274358376,3.439763679745609,199.99999900369264,0.0007856083586037806,42.72086781771598,199.99995454211307,499.84407215675117,0.0,100.0,590.8592286911589,259.999999999978,49.17159774085966,679.9999996016004,60.0,99.95001200804182,699.9999902266616,8.914669944931933e-06,0.0003059699745590155,240.0,270.0,21.693607552466595,99.99999959034965,60.0,199.97511426724,12.0,100.14668811344195,100.0,99.99088706324672,6.187347028504985,8.812643709895035,10.263000328319245,7.801427695490457,492.7678478282684,0.015291136763369278,0.002004329164003059,0.0020043354004042925,9.677241406640238e-07,0.9881241726508687,4.30520617433489e-05,0.15496179682276115,1.962139337557958e-09,0.8266098958990468,5.452458688453895e-07,-4.678481651612602e-16,0.04905128933280706,0.009180266127784432,8.942261571213133e-07,0.026327946178617667,0.0007571579278345783,0.008725479558264032,3.684980403480937
2200,96.60141261236598,0.001519037086201539,0.0075952623594063825,3.4397649964250028,199.9999984543744,0.0007856775226126724,42.72084863708207,199.99993059127206,499.8355395083668,0.0,100.0,588.9296275605777,259.99999999831476,49.17382121332614,679.9999995155051,60.0,99.95021293493089,699.9999896597893,1.337186340711184e-05,0.0003326344135109666,240.0,270.0,21.675241560745118,99.99999938183879,60.0,199.97341785352606,12.0,100.15392170652159,100.0,99.98979437352278,6.187349553235177,8.812633522108548,10.263000386906091,8.656653516811383,497.2160123575331,0.015291225527803359,0.00200433259375063,0.0020043812977245143,1.8301146728387408e-06,0.9881252999278466,5.902907874713139e-05,0.1708508505104683,1.854061043769866e-09,0.827947667390808,1.1793232374176616e-06,-4.422556571444659e-16,0.06200300262822687,-0.012306514637900615,4.441911997504854e-07,0.029762882457711394,0.0008932263596290594,0.010260939654791093,4.29833840930187
2300,96.6014156318002,0.001519583857614474,0.007595147699276444,3.4397643199014536,199.999998317151,0.000786096094672154,42.72083416101414,199.9999410251919,499.821455127904,0.0,100.0,588.8543421502687,259.9999999992297,49.174362711106085,679.9999985850989,60.0,99.93498463012133,699.9999882207692,1.308238005941972e-05,0.0003253235491968551,240.0,270.0,21.66887115131874,99.99999913309681,60.0,199.97142322636998,12.0,100.15435597661252,100.0,99.99014703751581,6.187335757992948,8.812640678474418,10.263000355917148,8.840823230718158,524.4190244226311,0.015291222655315453,0.0020044007357059193,0.0020044541988762745,1.5192415835566999e-06,0.9881252597977671,4.247456145679718e-05,0.16450567015374148,-5.642467895447902e-10,0.824570769703325,2.882134614607047e-07,5.235982184737481e-16,0.06088354992538424,0.004624015846466552,9.38083486017002e-07,0.024842383882070194,0.000891607924993614,0.009688192895776979,3.973846032518082
2400,96.6014162891494,0.0015195894425937626,0.007595076807692345,3.439762127639391,199.99999774093044,0.0007860567598424645,42.72082589496753,199.9999125803881,499.8226287391611,0.0,100.0,589.035586641759,259.9999999995864,49.17799834432651,679.9999988218101,60.0,99.92926752909307,699.9999855851908,1.3308106713069391e-05,0.0003520829926122408,240.0,270.0,21.673854065443635,99.99999884371515,60.0,199.96695900267406,12.0,100.17097644541163,100.0,99.98910263100696,6.1873391810157985,8.81265003928843,10.263000403407741,9.811202480800965,519.9958688233047,0.015291216248760786,0.0020043327404495274,0.0020043359977407246,1.7575482077110272e-06,0.988127638888583,7.022466462565362e-05,0.18879228639609855,8.364122256183097e-10,0.8259732775152979,4.872493737394385e-07,1.0123629321679537e-15,0.06936519812558865,-0.002354438306218211,8.694643034197664e-07,0.034219958815055594,0.0008315408546617545,0.010067996778294983,4.101370094099819
2500,96.60142058676499,0.0015199928344147642,0.007594714625955092,3.439767664751231,199.99999751984245,0.0007858413285143847,42.720842368597964,199.99990895457034,499.8200276341527,0.0,100.0,587.1069229398537,259.9999999990049,49.17952572960574,679.9999982618417,60.0,99.92188843128625,699.9999855500736,1.4255335551878226e-05,0.0003762195986944586,240.0,270.0,21.67648337790787,99.99999870976468,60.0,199.96189942251212,12.0,100.17489098510029,100.0,99.9882751089313,6.187342957373307,8.81266613506402,10.263000444233963,10.047989295361976,524.474457032782,0.015291006572757643,0.0020043127659023162,0.002004292527364955,2.1163566656326006e-06,0.9881263161508678,6.407219938709534e-05,0.1936508307977003,1.1843706803108469e-09,0.8244095205286788,1.1033825950582894e-06,2.2382647799241535e-15,0.06690668625342479,0.00932971470836071,1.1431653269632733e-06,0.03474501643697967,0.0010768021034758559,0.010792599078688897,5.053799499466174
2600,96.60142382510323,0.0015202386790136109,0.007594250968314277,3.439760667920148,199.99999735196263,0.0007863251644293822,42.72081992362367,199.99989711712587,499.80751236010815,0.0,100.0,587.1639640699884,259.99999999861575,49.17725685353259,679.9999983292098,60.0,99.92211931878988,699.9999836322961,1.6709017901134207e-05,0.0003892925129011294,240.0,270.0,21.65719512184951,99.99999878522587,60.0,199.96318730391215,12.0,100.17506435736168,100.0,99.98834245183201,6.187336635446738,8.812667569781963,10.263000433625082,9.667738271582342,550.1722627979818,0.015291187021191826,0.0020043232824909205,0.0020044487609303147,2.481901399243835e-06,0.9881292114728534,8.722619413254796e-05,0.20134272415090945,2.238996468961807e-09,0.8224512893989865,1.2966109305872467e-06,2.324932316631112e-15,0.0690732323810837,0.012762211824225064,9.780576355616927e-07,0.034871952042816574,0.001087232950735076,0.011342046486769605,4.7156945236643395
2700,96.60141552679357,0.0015202202917569511,0.00759451276379534,3.4397692000086972,199.99999729239065,0.0007862680065172475,42.72082570437853,199.99990778830747,499.7979141753541,0.0,100.0,586.2916257959447,259.99999999812064,49.178901554034155,679.9999978115447,60.0,99.92006709685364,699.9999807415039,1.839295474310834e-05,0.00038022707043336863,240.0,270.0,21.66645450912252,99.99999859325416,60.0,199.9547215232249,12.0,100.18799984537846,100.0,99.98738347225662,6.187332099072405,8.812672950425544,10.263000492147947,10.961995004885791,559.4301101787822,0.015290969924868714,0.0020043194756643877,0.002004396367925382,2.7892460650467867e-06,0.9881296107414878,9.507499761057303e-05,0.21252804711660767,1.7039264882208584e-09,0.8187056812488516,1.788378529489288e-06,3.222196862755735e-15,0.07919636944516882,0.01292471996985977,1.181374597350009e-06,0.04192439614996273,0.0012566172405260334,0.012675240565877731,5.118931641623237
2800,96.60142342331837,0.001519693474149281,0.007594251842367041,3.4397591286286713,199.99999732424814,0.0007860430037060005,42.72081133407069,199.99988034104828,499.7917751192216,0.0,100.0,586.9777784913779,259.9999999973198,49.18185164135734,679.9999974791906,60.0,99.90687334030177,699.9999827326262,1.8205638693595458e-05,0.00042486384918057063,240.0,270.0,21.654583493231943,99.99999811482147,60.0,199.958230349533,12.0,100.20192945520114,100.0,99.98667176656109,6.187349930386885,8.81265862142524,10.263000490068652,11.200696489044999,551.8786607193696,0.015290895800613479,0.0020043147001238344,0.0020043960005961445,2.7098677671736457e-06,0.9881311619095144,0.00011991353116622232,0.2158454379724153,2.6349682026409634e-09,0.8204249755063117,1.5566410902875457e-06,2.162909932129957e-15,0.08485655575479453,0.008248165079668428,1.5657626894718094e-06,0.04686894194003488,0.001254011109224732,0.012474832499366411,5.464965288068851
2900,96.60142081404018,0.0015202070289947595,0.007593878160016832,3.43976007450888,199.99999720857784,0.0007865282347909967,42.72084303569026,199.99987532722585,499.7756664327949,0.0,100.0,586.0934433591783,259.9999999966948,49.18286087070747,679.9999977080686,60.0,99.9079012749058,699.9999790527089,2.1741812647180608e-05,0.00043644314416022223,240.0,270.0,21.65315298180553,99.9999983304977,60.0,199.95364372013387,12.0,100.19918058127628,100.0,99.98599864543239,6.187335056739077,8.812653796698852,10.26300050159515,11.560567070536644,575.4110048386398,0.015290880022451945,0.0020043868154198583,0.002004316964095332,2.997893263247718e-06,0.9881335723303836,0.00010666246870975775,0.21873244590543936,3.871460077349564e-09,0.816694285668872,2.02863046174429e-06,3.627039112850946e-15,0.08672079590800957,0.008685168306380804,1.9040553649616937e-06,0.05195305186155223,0.0014754193702602983,0.01278460789375339,6.003127889435075
3000,96.60142615768893,0.001520373554201285,0.00759365697505395,3.4397701846671582,199.99999631737,0.0007861603879464215,42.720811349885274,199.99985377395117,499.7771613006479,0.0,100.0,585.631927674782,259.9999999960774,49.18476724503856,679.9999971484308,60.0,99.89621657479009,699.9999769589829,2.2764303008552637e-05,0.00044049014553416754,240.0,270.0,21.647730913485436,99.99999827540545,60.0,199.940915408118,12.0,100.20976317778737,100.0,99.98570711248638,6.187339661295698,8.812679325735516,10.26300055405222,11.305192704730743,575.5924078606016,0.015291176477935434,0.002004398880200299,0.0020042590476985677,3.5350664218035673e-06,0.9881348948519688,0.00013159091786457542,0.23733900890748663,4.199882818986715e-09,0.8179966631949486,2.3796226182620675e-06,2.2456971923949966e-15,0.10092317102466539,0.003512021765097495,2.0804929994601866e-06,0.05050298837815596,0.0016041175468058866,0.013412130574929619,5.925012285190902
