miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
4100,27075754.249141674,1343229.912133024,2053229.6087664021,2482044.928027702,1336758279.7330427,908.6815259673609,1128.2667393813779,5769.533388449487
4200,27019606.85539975,1409075.6379826583,2182606.370140323,2464195.690978804,1338461263.4331048,972.0599742695815,1214.9700715210902,3646.498049438656
4300,26645170.850031234,1479039.154537098,2261279.5960364575,2496011.702421307,1340267953.8438137,995.6521610830943,1260.5749635449395,4627.402817917699
4400,26281676.83802504,1503714.9740983394,2445633.754615101,2434335.605853597,1340133809.3318768,1045.4928795991952,1364.839855476884,1717.5735851415732
4500,25877158.24970001,1578171.852591438,2480014.0489542894,2424527.8374772714,1342562404.9431984,1086.6032717756227,1419.4759071533567,65.16223920026505
4600,25508268.44334014,1633386.9056738068,2655493.8127060076,2424971.6625061906,1342984633.8238904,1155.9228084788008,1507.2287658253551,-16.70015156682939
4700,25048216.451682493,1666051.212238516,2713084.5640880675,2396801.33792968,1344189484.6673255,1213.9974091160616,1586.5878632520562,3399.685256114583
4800,24887177.954348486,1750234.4195643098,2869530.755271453,2366750.301707825,1345242262.5327356,1260.6320197240852,1643.0204225702262,3692.9392774977932
4900,24360612.606011268,1777695.882349619,2936105.4079573755,2377406.213296688,1347097986.8549433,1301.6112100426635,1753.3419629861953,4401.692456003683
5000,24057991.53826882,1820575.721743679,3069101.3608104833,2317676.41292058,1347772073.9191337,1378.6237700193415,1816.9803851714332,-174.09025535880505
