miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
3500,28825021.247401718,1042318.9350790727,1519826.9174319827,2538939.6074948423,1331132950.22624,638.5652215536893,793.1435357627131,8322.739538331147
3600,28520011.06816775,1089926.167205168,1602655.147660394,2515893.7222403223,1331176752.325025,676.1761128096796,853.9468078622449,4224.556307749578
3700,28466294.526341546,1171713.935742052,1727210.1918557764,2537750.4405340445,1333135033.1571202,711.8210314214036,877.8992753410595,4049.562332752589
3800,28047070.60703176,1200276.2329741572,1807720.1150271138,2507306.5342019694,1334520049.9035892,759.4096608413697,968.7898416115445,4068.6013221357243
3900,27759530.74025045,1231023.9255852546,1891510.515129244,2530665.725117336,1334157681.060287,815.7075790212036,1027.7470656669893,2446.632178333506
4000,27422215.652021054,1306992.711378058,1976389.8483758457,2486795.9142716625,1335424608.4354146,876.7613901503527,1059.2997472584177,2427.4807116299244
4100,27137714.061961234,1361686.2810600845,2128657.577055401,2476883.0260515353,1337934224.3609157,899.1474121772012,1155.4014779277456,5136.20706482242
4200,27013540.707540184,1435167.1073885087,2166254.6456912104,2470778.264849466,1337899170.2000258,954.1094109013872,1212.6539650770028,1669.6900010266304
4300,26398985.57591007,1487777.8105348428,2304694.0572294625,2451595.324072399,1339070631.5257165,1004.3944187601124,1295.0235796951229,1640.325973272075
4400,26230840.801785618,1548255.0929567895,2437140.053819903,2456758.493703595,1341322090.4153423,1050.4255924519216,1326.2075858595965,731.4264508945043
4500,25889371.743869547,1565520.404620245,2532164.9873611154,2446666.2074808665,1341973928.095514,1101.548395954549,1404.934283024087,3392.0323768529747
4600,25393645.39344132,1615544.7431372486,2651046.935579136,2411782.889910417,1343544218.703557,1169.3109564996637,1488.4699703870745,1257.2193312161191
4700,25044827.595592964,1702457.5443028095,2730786.762282971,2429202.9990255754,1343691145.4455767,1207.7723215563735,1555.206206953477,1434.946967994796
4800,24760373.208290134,1739026.8389611305,2864054.5388552803,2394471.518322395,1345893555.0011697,1251.5906373303699,1631.280840801539,4231.589900887798
4900,24443949.181528874,1754675.9170513141,2971585.95985761,2343696.9620279134,1346541997.2420254,1308.3363650447168,1703.409559790007,1591.681483413129
5000,24007507.322204202,1820008.9593312242,3062309.1537908143,2338567.5674616913,1347346640.386816,1361.828375196186,1790.13350105538,416.36791684745504
