miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
2600,30896287.372740727,611916.7301169822,851719.8873659506,2548422.4508775105,1320131444.173468,358.1978038580081,456.0144001543717,15372.478017615447
2700,30585775.354220532,649475.0058701134,899051.6959790656,2571579.009749693,1320621048.5203075,392.7028451015803,479.31892784671004,13328.296842154676
2800,30440466.918867182,697774.2214847426,1034188.8620963576,2576935.617388182,1321941843.7491033,423.6372683224997,486.5898092347232,14163.215716582674
2900,30397580.375684183,747643.6341621992,1039233.804491229,2577172.772593609,1323217184.8881328,432.96775572408467,532.6863289220271,9925.083333038352
3000,30118031.471235853,773958.6438596866,1095994.8595064855,2568126.482938402,1325281690.7789767,480.88040773227084,584.2196784949342,11619.182612135157
3100,29816476.620112915,858490.1813493349,1169871.5598670011,2590217.776706077,1326078694.3959439,497.132941966842,596.478694206681,8159.29399374563
3200,29664542.276347335,903571.8583892235,1237572.2697629377,2568222.284282539,1326123408.8639457,552.0613215698729,647.0114607017225,7375.350275120356
3300,29352102.770401377,915994.2964588122,1355443.304552539,2557036.4558830545,1327545607.1593218,583.9491109654292,715.5881501313066,9891.870364318145
3400,29068245.32929072,976596.6337156745,1397787.737301692,2535018.24424828,1329029188.8235915,621.4257594176705,729.0472296569038,8981.600922151658
3500,28885730.830678172,1047264.1084653853,1531717.7591842383,2524206.9153742287,1330024441.5001385,651.7295189541743,807.7888941744991,5733.25078290728
3600,28769244.091902398,1073174.5291934528,1639000.331882421,2520347.2083325502,1331423924.5796266,684.4095257243462,854.1246062948363,8225.377265124267
3700,28421784.819135204,1155823.4596047013,1735383.6158764907,2527532.8000192987,1332796022.1357958,748.179816463547,912.8918459637298,2567.161597235984
3800,28243042.591989543,1176676.367870678,1753468.208401373,2551749.848403427,1333350291.0537539,784.6354966066609,946.1377797417217,3000.484512350731
3900,27756191.77128953,1272983.3234164312,1904662.805229361,2515074.739837529,1334783272.1571467,816.1915386168868,991.5470911622831,3107.7034734644913
4000,27431118.80271518,1333495.8287818204,1951031.9362124691,2501103.8667054586,1336804860.6569247,844.2901332691138,1067.3264870976193,5293.970172831723
4100,27319780.888675313,1381312.8219640888,2051074.8697158038,2509816.9900453785,1337657670.1633403,898.1466739655528,1119.7207202511895,1438.1168418206598
4200,26867691.021813422,1442221.0770035747,2219339.018984653,2475509.0049316455,1338458636.2164478,965.3213672476367,1210.6530122059623,1170.3536682153222
4300,26524180.63444928,1485191.9076303267,2290552.939068029,2487116.428581491,1339534733.2529445,984.2764871614647,1276.2476804101898,513.2128558424524
4400,26149823.15043901,1526936.1366548266,2369388.213609585,2455753.89287452,1340489635.6504686,1037.538584597064,1329.0328667429444,2434.796324358472
4500,25747328.729133263,1597656.2174438795,2525206.125190643,2445140.3741945396,1341401310.8979573,1106.486334939248,1435.7072408223592,473.00841451290034
4600,25462816.897416443,1614805.4796038058,2600863.0497380993,2417263.514417947,1342618827.6683834,1156.0495049149138,1487.426377332228,1365.9054525639503
4700,25191564.588642076,1659385.151308552,2705271.722161089,2403637.2900274596,1343412683.7072961,1221.0149201100435,1549.995919644877,2079.2760027182494
4800,24722078.758744396,1701631.273100353,2866482.6735689417,2359239.7265216815,1345454993.9985313,1262.6566822742425,1646.3449137646523,3911.4338530362834
4900,24319390.235877275,1756972.562652133,2934538.3507069685,2360002.8769240803,1345853503.477857,1297.041237329516,1747.5695682501423,2437.9091523458183
5000,23887647.354563985,1792548.225646856,3048027.1874046857,2332529.812494218,1348119991.6160016,1362.9216755144805,1803.370554820466,3965.3869545537973
