milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
1900,4.999324762037941e-08,1.4707912612973225e-07,6.694462700176561e-12,2.173783943429822e-07,2.983454072820439e-09
2000,4.9993168391055144e-08,1.4696246508426907e-07,6.814062475160416e-12,2.170664257079802e-07,2.910017856994157e-09
2100,4.999327098182019e-08,1.4672456952982386e-07,6.713083151657087e-12,2.1713674878153073e-07,2.9830130643944313e-09
2200,4.999323427637381e-08,1.4672155304769317e-07,6.757486238971022e-12,2.1657722524176323e-07,3.2881707163202516e-09
2300,4.999317698114404e-08,1.4643260680380451e-07,6.713369569365085e-12,2.164997907966457e-07,3.5137629278426155e-09
2400,4.999323649540396e-08,1.465025038053338e-07,6.766678097740135e-12,2.165455406463137e-07,3.582623525389452e-09
2500,4.999315594607746e-08,1.4636274514005682e-07,6.737240826678117e-12,2.1638959234178158e-07,3.581629632875805e-09
2600,4.9993250500926606e-08,1.462949024301656e-07,6.725738292022933e-12,2.1626923878017492e-07,3.9974594762538484e-09
2700,4.999329669256165e-08,1.4603543734380723e-07,6.674928219062555e-12,2.1615011384409014e-07,3.8825775137770315e-09
2800,4.9993235832020845e-08,1.4598680953288708e-07,6.6828175223726185e-12,2.1581573164060494e-07,3.905530405979901e-09
2900,4.999330109930224e-08,1.458230624156691e-07,6.760676343281719e-12,2.1572863679451353e-07,4.365071536382765e-09
3000,4.999326126537432e-08,1.457579185043332e-07,6.746224921864579e-12,2.1560411056330918e-07,4.331078622825468e-09
3100,4.999325959110444e-08,1.4567144300486298e-07,6.738492051599793e-12,2.1547164061390945e-07,4.415353344420211e-09
3200,4.999328911331714e-08,1.4532328772779913e-07,6.717402635227934e-12,2.1546236842900944e-07,4.673435775107167e-09
3300,4.9993289272685786e-08,1.4540905456725406e-07,6.772291597175625e-12,2.1518894451325677e-07,4.740555850161857e-09
3400,4.999329523552447e-08,1.4488612502100347e-07,6.676591066064526e-12,2.1524421211108995e-07,5.0999992876681275e-09
3500,4.999325613097982e-08,1.45143165791429e-07,6.818227698361204e-12,2.1484049682788999e-07,4.884417073394502e-09
3600,4.9993341333015724e-08,1.4498860899624644e-07,6.699732361488528e-12,2.1486593449659293e-07,5.107668017540703e-09
3700,4.9993221479871995e-08,1.4468934148086171e-07,6.73891349299792e-12,2.148234492710003e-07,5.346502614367157e-09
3800,4.999329218694328e-08,1.4444498855269967e-07,6.747823416119856e-12,2.144885135470223e-07,5.280318330161005e-09
3900,4.999322051336243e-08,1.4424345807041136e-07,6.653501163324756e-12,2.144622820588661e-07,5.719646832647538e-09
4000,4.999334821313777e-08,1.4434150563180456e-07,6.809842327613528e-12,2.1414227827966253e-07,5.596789567321427e-09
4100,4.999328458167149e-08,1.4401464427448972e-07,6.788718622339322e-12,2.1409374668763102e-07,5.793620909202399e-09
4200,4.999336146242884e-08,1.4399714983908045e-07,6.677284533663327e-12,2.1392532969782445e-07,5.874344040701064e-09
4300,4.9993227867728714e-08,1.4376533843524923e-07,6.701000936179081e-12,2.137517155772138e-07,6.157994326729658e-09
4400,4.9993272480008486e-08,1.437203156669383e-07,6.6853037866271116e-12,2.1376049206872994e-07,6.155527654453987e-09
4500,4.9993343861364245e-08,1.434437223320715e-07,6.787265951602991e-12,2.1339647469751862e-07,6.392426507261716e-09
4600,4.9993330933005656e-08,1.433254072850864e-07,6.696665113592016e-12,2.13370725338466e-07,6.741654460408234e-09
4700,4.999329042158662e-08,1.4340229690549282e-07,6.783863646351118e-12,2.1341451146490407e-07,6.566291805396887e-09
4800,4.9993200926367794e-08,1.4295698962143174e-07,6.680740460186457e-12,2.129925166138509e-07,6.738706794763223e-09
4900,4.9993326825317757e-08,1.4280157832520804e-07,6.6281603819691826e-12,2.1311788262216882e-07,7.067807788809997e-09
5000,4.999332530505959e-08,1.4302150006842664e-07,6.632593139617033e-12,2.1295643650116992e-07,7.127919925549777e-09
