milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
2600,4.9993260675678016e-08,1.4619502095464625e-07,6.679920432486424e-12,2.1608140845496343e-07,3.940109968205177e-09
2700,4.99933231345553e-08,1.4623353381472109e-07,6.839437743600589e-12,2.1599117714737373e-07,3.7678017647144635e-09
2800,4.999315701185807e-08,1.4583735679839333e-07,6.789408574562891e-12,2.159936307677368e-07,3.961983004050065e-09
2900,4.999320963552015e-08,1.4567302289075593e-07,6.655091214898682e-12,2.1577707996964156e-07,4.389274499234449e-09
3000,4.999323019931951e-08,1.4564940934417771e-07,6.655834452848689e-12,2.1583844311474662e-07,4.1565801548493825e-09
3100,4.9993215133180925e-08,1.455965756196753e-07,6.762679288694507e-12,2.1557665959203765e-07,4.697856667621584e-09
3200,4.999320878582328e-08,1.4540344176667502e-07,6.711991942317586e-12,2.1547002898218262e-07,4.596730722175767e-09
3300,4.999333475816583e-08,1.45051954130542e-07,6.829446997264897e-12,2.1526747701973918e-07,4.9717937151400234e-09
3400,4.999324970317703e-08,1.4487165022082676e-07,6.810107152246136e-12,2.1526176431910527e-07,5.087537245580401e-09
3500,4.999334093414972e-08,1.450038618780674e-07,6.8297054575221125e-12,2.1484622217823916e-07,5.2098742596607975e-09
3600,4.9993268788618904e-08,1.4492174366726339e-07,6.663203567115122e-12,2.1461345077789566e-07,5.069485035648417e-09
3700,4.99933460670036e-08,1.4478465085252387e-07,6.648535882164129e-12,2.1471186017881225e-07,5.336944212617146e-09
3800,4.9993309716082705e-08,1.4455497143114156e-07,6.666588982280332e-12,2.1441624560977732e-07,5.319408544148956e-09
3900,4.9993310474231614e-08,1.4457320960980279e-07,6.634866335702262e-12,2.1434073738282872e-07,5.497502635575512e-09
4000,4.99931801504815e-08,1.44296241719682e-07,6.731436634178169e-12,2.143411849810723e-07,5.581549202896793e-09
4100,4.9993350960156714e-08,1.441162490078628e-07,6.7944143976550145e-12,2.1422010658865813e-07,5.846679983526949e-09
4200,4.999330356191712e-08,1.439515901355752e-07,6.635838482151085e-12,2.139517997823746e-07,6.0721132895251e-09
4300,4.999335261025602e-08,1.4393025528077095e-07,6.630300602575537e-12,2.1369303259487176e-07,6.206285526054032e-09
4400,4.999328619490408e-08,1.4367848252492882e-07,6.770589507912319e-12,2.1362933423030398e-07,6.163401641508853e-09
4500,4.99931972150009e-08,1.4333937039642458e-07,6.681067490627441e-12,2.134235813946581e-07,6.487764388192281e-09
4600,4.9993208603470995e-08,1.432436623199859e-07,6.766040665379495e-12,2.1325184836039686e-07,6.553648214872948e-09
4700,4.99933377755797e-08,1.432979059639462e-07,6.779596050745044e-12,2.1340774190448204e-07,6.764803023911e-09
4800,4.999323933433859e-08,1.429651638814811e-07,6.644539838759439e-12,2.1305288348451147e-07,6.874935480854745e-09
4900,4.999326324013939e-08,1.4292913740418495e-07,6.620134501288204e-12,2.1285895678391858e-07,7.189625051901034e-09
5000,4.999324156704727e-08,1.4300563644488712e-07,6.615483211288007e-12,2.1280816994470512e-07,7.059550336495932e-09
