milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
2200,4.9993148061494e-08,1.4663879754087572e-07,6.793195308649814e-12,2.1673940477109134e-07,3.111832390791721e-09
2300,4.999328040522508e-08,1.4674098419364632e-07,6.7066261866009475e-12,2.1653184028681446e-07,3.300428002837888e-09
2400,4.999331069888963e-08,1.4653627902237249e-07,6.844095637118939e-12,2.1649229169079206e-07,3.628078833227922e-09
2500,4.999325115724585e-08,1.4653734799998034e-07,6.758892606866669e-12,2.16373892755128e-07,3.670905842351205e-09
2600,4.999326017528807e-08,1.4622109772385228e-07,6.748675444059111e-12,2.1624431696432752e-07,3.785427221048652e-09
2700,4.9993268463679185e-08,1.4589716988747634e-07,6.7886528418373625e-12,2.162752809810308e-07,3.965799706905013e-09
2800,4.999332961218067e-08,1.4586063371865846e-07,6.717825565845983e-12,2.1572443068988184e-07,4.000877583497393e-09
2900,4.9993239171916285e-08,1.4572656610082228e-07,6.781987660291974e-12,2.1585015266858744e-07,4.2804921162063e-09
3000,4.999329155681e-08,1.45697386831803e-07,6.740726575369478e-12,2.157942252664265e-07,4.358076560623107e-09
3100,4.999320283311444e-08,1.4530408277438923e-07,6.832665747048423e-12,2.153181080205767e-07,4.303733266063272e-09
3200,4.999333642309156e-08,1.4522551257921564e-07,6.8089688007590395e-12,2.1529251648497841e-07,4.48110962522364e-09
3300,4.9993174726014054e-08,1.453954705890856e-07,6.687795441154413e-12,2.152804785022476e-07,4.70689325914873e-09
3400,4.999334360575458e-08,1.4497036990316658e-07,6.6956020245347895e-12,2.1510931550124234e-07,5.0000488256804424e-09
3500,4.999317354992084e-08,1.4511671186110875e-07,6.75116507564348e-12,2.14936698164633e-07,5.148596659978117e-09
3600,4.9993221690029346e-08,1.4490360496803277e-07,6.822648635168225e-12,2.1496409215590365e-07,5.02664517647919e-09
3700,4.9993353752523195e-08,1.4452901285789442e-07,6.724001485541835e-12,2.1464081218545564e-07,5.52106124436034e-09
3800,4.9993250051826846e-08,1.445915042698347e-07,6.672269182787296e-12,2.1468723522850418e-07,5.6099651986237095e-09
3900,4.9993285908650145e-08,1.4452816292128188e-07,6.759703556663409e-12,2.1424857375346872e-07,5.587144455755863e-09
4000,4.999336880165569e-08,1.441856837675401e-07,6.7874758896500675e-12,2.141986820176212e-07,5.7868302571671995e-09
4100,4.99931867434163e-08,1.4426361629000617e-07,6.794075880685579e-12,2.1408642420847363e-07,5.846679601364278e-09
4200,4.999326510917184e-08,1.4382929067026832e-07,6.805510386471947e-12,2.1412271775058366e-07,6.102704517564153e-09
4300,4.999328356687075e-08,1.4399588549938182e-07,6.696236583578849e-12,2.140306671215727e-07,5.992828844636911e-09
4400,4.9993351379830014e-08,1.4362172963957752e-07,6.68708821803905e-12,2.1366457956871971e-07,6.2983337444156285e-09
4500,4.999321270718424e-08,1.4347527311604737e-07,6.753061228702705e-12,2.1360304314161087e-07,6.270819325939926e-09
4600,4.999330784604105e-08,1.435294452173267e-07,6.672122160343324e-12,2.1355332809582246e-07,6.524603629654014e-09
4700,4.9993382487525515e-08,1.4318092076672447e-07,6.734384049828409e-12,2.1314261558904249e-07,6.639451300107978e-09
4800,4.999321654451499e-08,1.432898460307876e-07,6.6745815259137604e-12,2.1313100326419076e-07,6.653215168064174e-09
4900,4.9993239370502246e-08,1.4314407094472982e-07,6.6855892410398746e-12,2.130132090014738e-07,6.923911642014182e-09
5000,4.999330411161457e-08,1.4295961291298052e-07,6.680980717022264e-12,2.1299386152069752e-07,6.983279120283234e-09
