miliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mw9947742a_0e4b_4636_9a4b_b6eef2a8f6ac,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw772cbf20_3fc1_4800_ae59_77884f1ae333,mw2ba2b802_9f07_4f4d_94c6_24c8de1a95cf,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mwedc1bc00_adf7_4144_a1c2_7dc1a9565dc2,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
1700,0.0007230707615062125,3.9044147030167338,0.08158193962763216,221.06364631202777,-0.006344847801439251,0.001015637588216904,654.7614269731769,8.535658891267945,-5.83257023227587e-29,0.38936673564449953,6.303223821026094e-05,0.0009289491048630067,-0.0026207826916257197,0.0023488824145201995,5.356383963831004e-06,0.7650229395369054,0.7776347488493379,9.222365246842264,-0.05450624262952874,409.77524045845024,5.5929485801863414,0.11231191838001588,5.165920111776182,17.57177983415956,0.5382355285630696,-7.318829309870509e-29,0.0009891729997510209,0.3772749614312195,6.933812276485402e-05,0.9777404942025526,0.6110646259327138,9.388935219141342,0.03302607918805184,0.019848963027201124,5.587187943908265,0.11844474859537017,7.041025859327743,4.530140523408613,-9.42253687194729e-29,0.3905205152508726
1800,0.0007272959912718695,3.9045390451341833,0.08146990942832175,221.0636160477668,-0.018950279461344883,0.0010081311767278552,660.3477060275193,8.67375381703323,-5.834820875795517e-29,0.3893258057468215,6.284865361862585e-05,0.0009269733545663055,-0.0031535179221715425,0.002421354534609072,5.450721627844294e-06,0.7650080445081928,0.7776702887860332,9.222327373239212,-0.03707249806354857,409.7751996633986,5.593404791577619,0.11183383975936695,5.274881232160192,18.046978310056485,0.5308330541198389,-7.361787642615378e-29,0.0009789069424210766,0.3775609585874448,6.888251455876285e-05,0.9777056729529108,0.6111362340213548,9.38882431664003,-0.060491654115702766,0.020148959496267205,5.5871529208384,0.11704520445973762,7.274975953473591,4.581873081855597,-9.29060904269114e-29,0.396435666624956
1900,0.0007334276591005653,3.9047262226358734,0.08080614387183448,221.063621971567,-0.032479249017278715,0.0009964298280990451,651.1376705632898,8.797783378975979,-5.817919341877028e-29,0.38938180657767973,6.256648206778472e-05,0.0009178699174092984,-0.004251439195322163,0.0025109432202482327,5.522218757566738e-06,0.7648808310509922,0.7776841225048883,9.222333885089025,0.06690843349156747,409.775050323064,5.593795711887127,0.11116837565930784,5.25462839510029,19.65765860788357,0.5478846880166139,-7.481143435932515e-29,0.0009665886434597815,0.37770600591316095,6.833505952244259e-05,0.9772951530428926,0.6112765866971098,9.38880545328575,-0.050808996059484204,0.020119005600817596,5.5881217311186555,0.11694377947558318,8.041908228767397,4.533904311250149,-9.19731858849163e-29,0.4358872450207808
2000,0.0007354156441876755,3.9052949700632724,0.08021340851641198,221.06363488491513,0.003960985136721732,0.0009974699685358361,653.4841278823434,9.032842653096342,-5.826069941701585e-29,0.3894214962794956,6.263132614818049e-05,0.0009143324031592839,0.0007954855784561049,0.0025710523086848215,5.332139948203621e-06,0.7649143074553142,0.7776670528974857,9.222318508122543,0.06512865005477766,409.77493730766827,5.594325728391674,0.11060454611793799,5.212526591950524,19.899226478528643,0.5535999426134569,-7.536232537802309e-29,0.0009540639450594943,0.3778241161691499,6.790130229247465e-05,0.9772409096908194,0.6113662967769719,9.388728546527593,-0.051127327597316585,0.02016055383778425,5.5890164318404345,0.11604192795730207,8.977962698949824,4.495903780842704,-9.137081132327349e-29,0.4320938456533378
2100,0.000738612228578354,3.905346134883901,0.07987764486879713,221.06358165259704,-0.032490182199260156,0.00098307661769585,648.5897998953437,9.115361825238097,-5.828395494985813e-29,0.3895167221607094,6.225835738410015e-05,0.000910957605091203,-0.0013605697381063849,0.002591599035552078,5.449057279463859e-06,0.7647910985696433,0.7776962673155153,9.222306533332663,-0.056751484340891216,409.7750136132437,5.594485944258009,0.1101590688712705,5.268327210763149,21.83614354024394,0.5628685823163398,-7.511927913849355e-29,0.0009470879942252464,0.37792896637722556,6.75231221271575e-05,0.9767964710717184,0.6113512461589514,9.388548405256143,-0.06065173750874951,0.020403017909142097,5.589539913399759,0.11524833953847151,9.031925660548925,4.574310648588753,-9.076811758149185e-29,0.4773732752919809
2200,0.0007412425563194994,3.9058504582441844,0.07909305685350683,221.06359949580724,0.02027042425830177,0.0009847364442291406,651.1866433082179,9.295701527227099,-5.835489400112665e-29,0.3895363857775291,6.215493601043928e-05,0.0009069971758237761,0.0009488988159696906,0.0025966192931878027,5.317830989067201e-06,0.7647646635585104,0.7777557500170367,9.222271546335836,-0.05336479956780864,409.77484941883773,5.594947720846218,0.10940988641254053,5.3108686736423705,22.685556049140732,0.5597596994982927,-7.654663841238695e-29,0.0009397897151408693,0.3782699612366978,6.707984328239544e-05,0.9768052224230472,0.6114961183869246,9.38850292014041,0.04085038825289804,0.02038559980848467,5.5908391448001655,0.11331502161712508,10.191323746912834,4.508816259435443,-9.014916283210066e-29,0.4966679540822592
2300,0.0007454610532236293,3.906053353679079,0.07860377646455623,221.06355803382525,-0.032883091845152146,0.0009697429984202859,645.4369333607464,9.429432746580705,-5.825492747277043e-29,0.3896226728074533,6.191220196621536e-05,0.0009015732254505108,-0.0035283031958845265,0.002652797043902964,5.353450777796167e-06,0.7646810120068702,0.777761574668496,9.222222141825593,-0.02932085504001327,409.77477934682116,5.595374917622745,0.10901662415348358,5.2930094586338665,25.288915096155158,0.5800270314045821,-7.64164131266226e-29,0.0009324369309706185,0.37863880110240206,6.707366170767645e-05,0.9763067822432729,0.6116229301220137,9.388418505915814,0.06797448993968659,0.020761295670934744,5.591048850485134,0.1128797202699369,10.696784041776546,4.553758761692758,-8.936165295862416e-29,0.515867164269219
2400,0.0007468661713287855,3.906541417546692,0.0778799457568735,221.06356873987,0.004745070919818291,0.0009667638073713793,648.0117074025047,9.487637116399897,-5.830634165479294e-29,0.38970592438463014,6.164245060883597e-05,0.0008970521851032367,0.0021352298238774894,0.002672671626228717,5.331124126605783e-06,0.7646367763128379,0.7777789746252942,9.22219327873096,-0.05738556848103715,409.7747999839037,5.595828241158726,0.10868272772093598,5.2988004636723876,26.111684288745586,0.5783609485490989,-7.690740700658023e-29,0.000930497152035419,0.3787049940941812,6.636608283463072e-05,0.97611319782333,0.6116482963154195,9.388378156920865,0.009977678762825005,0.020465881131164963,5.592305038010959,0.11251065559765668,10.849991302387236,4.530577187337293,-8.932875246649803e-29,0.5322124623390906
2500,0.0007470372567629777,3.9067486604073656,0.07749263137640114,221.06347565853258,-0.010273319388037681,0.0009643620391909871,639.9275979398568,9.664646691964203,-5.824307508635467e-29,0.3897457496913193,6.11955047407528e-05,0.0008928692062700024,-0.0036935146670546526,0.002711468242037232,5.211809724513161e-06,0.7645809476078438,0.7777881541755153,9.222198875715655,-0.04388613975785244,409.77467496060643,5.595882383789064,0.10771949189993754,5.251588312698651,26.5918407644082,0.5820122906836983,-7.729552860141961e-29,0.0009169195239999535,0.3789068578093665,6.630500401817643e-05,0.9758231851401603,0.611736220940619,9.388171764865367,0.033170225941026074,0.02087424179385964,5.592683355224948,0.11087866513210619,11.929054104125324,4.5370500603211985,-8.887686917568604e-29,0.5692486779013856
2600,0.0007569343265495026,3.9068734672987038,0.0771737973619421,221.0634878185783,-0.01382135648628704,0.0009516424064773889,634.5658361984025,9.713731634594808,-5.823290822811455e-29,0.3898135880078586,6.111959947228944e-05,0.0008895655094488735,0.0023400933741502786,0.0027924747963222574,5.279150804440134e-06,0.7644715150975033,0.7778290239425955,9.222141567289544,-0.014883374809663747,409.77469166958616,5.5964902093141555,0.10738961696162581,5.286672391559292,28.83000283858464,0.5877184648915517,-7.807109709273807e-29,0.0009134439840869722,0.37902771183098866,6.550730254947525e-05,0.9756191108301526,0.6119159597770188,9.388164390849008,0.04227123972256681,0.020572706514651574,5.593823773235167,0.1101190576033206,12.38620978449691,4.568515600225748,-8.843290116717628e-29,0.5919911177636784
2700,0.0007538708493614227,3.9070699833127924,0.07693075575276247,221.0634321171255,-0.011682298475869034,0.0009461777413394995,635.932112358107,9.72324397381874,-5.811854334298152e-29,0.38983358664316853,6.101545385136545e-05,0.0008830897236443581,-0.0022407295346946656,0.002797855558462918,5.20544692602291e-06,0.7644697586902478,0.777889223693234,9.22212506914637,0.02026008571780369,409.7744404316658,5.596574500683758,0.1069981408019186,5.315816825473972,29.296772246446576,0.5958936481549224,-7.853821851532638e-29,0.0009035353322030476,0.37927256971515205,6.553404241413061e-05,0.9752953167933041,0.6120045549143903,9.388063033695074,-0.03832861625862112,0.020688239710174708,5.594203854494443,0.11009142631791956,12.753321526244985,4.554414019661056,-8.759103719688587e-29,0.5892637477649554
2800,0.0007533875011621906,3.9074987425690417,0.07646209540661915,221.0634086933049,-0.020954531635821685,0.000942805467359472,636.5528885422304,9.992726823798511,-5.81462747841942e-29,0.389907976640782,6.0719088765772076e-05,0.0008804269565657888,-0.0019816134226909687,0.002790234880959575,5.376481047576832e-06,0.7643611450388659,0.7779292611837836,9.222079311954062,0.04647719379932828,409.7743069562929,5.597163850238753,0.10652292009068255,5.249082260828854,30.483433451676582,0.6095197308044751,-7.875685685623364e-29,0.0009016146404324153,0.3797758173164495,6.487280654158243e-05,0.9750059697535002,0.6120387433517741,9.387812692096157,0.007787616275867454,0.020740118237007343,5.594951445736042,0.1086642854231528,14.071213156386007,4.51148650664617,-8.695377916245955e-29,0.6303254093819771
