milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
1000,2.9706946340352273e-05,0.00029999199804864557,0.002959601912912499,8.031140172826327e-06,1.1921427411559022,0.007750993805554845,1.3317357433372606e-05,1.1997616551565624,0.00013227057088297997,8.058374703246533e-14,0.11994714328316639,0.0002922775306480642,2.9305365964773317e-07,8.001951354427459e-09,3.186461483208415e-05,1.4304128514323122e-07,5.321755560800858e-05,3.242129516435045e-14,1.330406868959747e-08,7.709165283246211e-06,3.220222473166639e-14,5.28567168013932e-05,9.398830980344309e-14,5.5456847618743395e-05,0.013347864018253683,1.0442576993412924e-13
1100,2.9707312659178223e-05,0.0002999912393937048,0.0029557986335092736,8.789788419652066e-06,1.1909866336485868,0.008892245311979392,1.5455764307982217e-05,1.1997233824698397,0.00015351027541196915,9.353000726495159e-14,0.11993865563715785,0.0002911398686795273,2.926873408217805e-07,8.760606295219968e-09,3.48763379859647e-05,1.6591400659878568e-07,6.176289177512687e-05,3.762996986277104e-14,1.5440351287341823e-08,8.844690969185404e-06,3.737570445671811e-14,6.1344362804758e-05,1.0908809310139144e-13,6.4361747060022e-05,0.014612479060601442,1.2120239353789787e-13
1200,2.9707678978004177e-05,0.000299990480738764,0.002951995354106048,9.548436666477803e-06,1.1898305261412714,0.01003349681840394,1.7594171182591832e-05,1.1996851097831167,0.00017474997994095824,1.0647626749743785e-13,0.1199301679911493,0.0002900022067109903,2.923210219958278e-07,9.519261236012476e-09,3.7888061139845255e-05,1.8878672805434013e-07,7.030822794224516e-05,4.283864456119166e-14,1.7576633885086175e-08,9.980216655124599e-06,4.254918418176986e-14,6.983200880812276e-05,1.2418787639933974e-13,7.326664650130061e-05,0.015877102564530794,1.3797901714166645e-13
1300,2.9708045296830137e-05,0.0002999897220838232,0.0029481920747028226,1.0307084913303542e-05,1.188674418633956,0.011174748324828487,1.9732578057201444e-05,1.199646837096394,0.00019598968446994742,1.1942252772992408e-13,0.11992168034514077,0.0002888645447424534,2.919547031698751e-07,1.0277916176804986e-08,4.089978429372579e-05,2.1165944950989448e-07,7.885356410936348e-05,4.804731925961226e-14,1.9712916482830524e-08,1.1115742341063792e-05,4.77226639068216e-14,7.831965481148756e-05,1.392876596972881e-13,8.217154594257925e-05,0.017141734530126657,1.5475564074543508e-13
1400,2.9708411615656087e-05,0.0002999889634288824,0.002944388795299597,1.1065733160129282e-05,1.1875183111266407,0.012315999831253031,2.1870984931811056e-05,1.1996085644096712,0.0002172293889989365,1.3236878796241032e-13,0.11991319269913223,0.0002877268827739165,2.9158838434392237e-07,1.1036571117597492e-08,4.391150744760634e-05,2.3453217096544893e-07,8.739890027648177e-05,5.325599395803288e-14,2.1849199080574876e-08,1.2251268027002982e-05,5.289614363187335e-14,8.680730081485234e-05,1.5438744299523636e-13,9.107644538385784e-05,0.01840637495747397,1.7153226434920363e-13
1500,2.970877793448204e-05,0.0002999882047739416,0.0029405855158963715,1.1824381406955014e-05,1.1863622036193253,0.013457251337677575,2.400939180642066e-05,1.1995702917229483,0.00023846909352792558,1.4531504819489654e-13,0.11990470505312369,0.00028658922080537953,2.912220655179697e-07,1.179522605839e-08,4.6923230601486885e-05,2.5740489242100325e-07,9.594423644360004e-05,5.846466865645345e-14,2.398548167831922e-08,1.338679371294217e-05,5.806962335692507e-14,9.529494681821709e-05,1.6948722629318469e-13,9.99813448251364e-05,0.019671023846657643,1.883088879529722e-13
1600,2.9709144253308e-05,0.00029998744611900083,0.002936782236493146,1.2583029653780753e-05,1.1852060961120099,0.01459850284410212,2.6147798681030273e-05,1.1995320190362255,0.00025970879805691465,1.582613084273828e-13,0.11989621740711516,0.0002854515588368426,2.9085574669201694e-07,1.255388099918251e-08,4.9934953755367435e-05,2.802776138765576e-07,0.00010448957261071833,6.367334335487407e-14,2.6121764276063577e-08,1.4522319398881364e-05,6.324310308197679e-14,0.00010378259282158187,1.8458700959113296e-13,0.00010888624426641505,0.020935681197762623,2.0508551155674076e-13
1700,2.9709510572133952e-05,0.00029998668746406004,0.0029329789570899205,1.3341677900606492e-05,1.1840499886046947,0.01573975435052667,2.8286205555639885e-05,1.1994937463495026,0.0002809485025859038,1.7120756865986901e-13,0.11988772976110662,0.0002843138968683057,2.904894278660643e-07,1.3312535939975016e-08,5.294667690924798e-05,3.0315033533211205e-07,0.00011303490877783662,6.888201805329467e-14,2.825804687380793e-08,1.5657845084820555e-05,6.841658280702853e-14,0.00011227023882494664,1.9968679288908133e-13,0.00011779114370769365,0.02220034701087383,2.2186213516050942e-13
1800,2.9709876890959906e-05,0.00029998592880911925,0.0029291756776866954,1.4100326147432228e-05,1.1828938810973795,0.016881005856951216,3.0424612430249497e-05,1.19945547366278,0.0003021882071148929,1.8415382889235529e-13,0.11987924211509808,0.00028317623489976874,2.9012310904011157e-07,1.4071190880767527e-08,5.595840006312853e-05,3.260230567876665e-07,0.00012158024494495492,7.409069275171528e-14,3.0394329471552284e-08,1.6793370770759747e-05,7.359006253208029e-14,0.00012075788482831143,2.147865761870296e-13,0.00012669604314897217,0.02346502128607619,2.3863875876427794e-13
1900,2.9710243209785863e-05,0.0002999851701541784,0.00292537239828347,1.4858974394257965e-05,1.1817377735900638,0.018022257363375756,3.25630193048591e-05,1.199417200976057,0.00032342791164388196,1.9710008912484148e-13,0.11987075446908954,0.00028203857293123183,2.897567902141589e-07,1.4829845821560034e-08,5.8970123217009065e-05,3.488957782432208e-07,0.00013012558111207318,7.929936745013587e-14,3.253061206929662e-08,1.7928896456698935e-05,7.876354225713199e-14,0.00012924553083167617,2.2988635948497787e-13,0.0001356009425902508,0.024729704023454646,2.5541538236804647e-13
