miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
3600,4642609521056031.0,5363922627123801.0,2.3378313743401098e+17,2.32214559680259e+17,1665149377384.6912,116603578055.09634
3700,4643815265661769.0,5383945517291877.0,2.415507292983443e+17,2.3249156335560147e+17,1700577453452.9917,119316044715.34084
3800,4617345755725679.0,5355314609323631.0,2.4995726339131728e+17,2.414238705467605e+17,1753911974028.5479,120548326313.55397
3900,4646628047753786.0,5382207886025307.0,2.5650570048521734e+17,2.4596251424019846e+17,1818385332899.6748,122932455793.75642
4000,4623271661467204.0,5367350099985031.0,2.6479111953560774e+17,2.581969522952941e+17,1885642484874.9038,130349651018.2522
4100,4603457468456997.0,5371493192400941.0,2.662243326557806e+17,2.61262029431873e+17,1922231962753.6006,133582667102.58685
4200,4608157466268914.0,5372348826838537.0,2.7451124308800454e+17,2.6768960011925875e+17,1959758593712.7764,133599510617.96814
4300,4638829166798749.0,5370856108425335.0,2.7753225032428714e+17,2.7794095933300486e+17,1983696191132.341,137892916409.36594
4400,4591043003095084.0,5385718477224814.0,2.8744484114787955e+17,2.8137896188767674e+17,2057812359549.5786,141650480834.15143
4500,4610195057680492.0,5360426943067050.0,2.9000938116345024e+17,2.8603121648294106e+17,2076572620859.0671,143883491094.00723
4600,4616326417408744.0,5380077954835565.0,3.002378390102771e+17,2.995246868001635e+17,2176423970797.0066,145481526073.36765
4700,4593609265146780.0,5394004665939518.0,3.0466516281250157e+17,2.96806861036522e+17,2202330772788.4175,149066455757.18118
4800,4603440883597615.0,5416358379538179.0,3.135696276197848e+17,3.101045587601724e+17,2224450337778.935,154065736239.34302
4900,4594370998180493.0,5398242876984506.0,3.156047353290192e+17,3.185270790347709e+17,2274723452198.443,159167450834.07803
5000,4631342103241630.0,5407766943612450.0,3.225924204309756e+17,3.1655892623442246e+17,2301848558284.7056,157948908935.39722
