miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
3000,4637336084423024.0,5408677409693104.0,1.946229541407811e+17,1.9361686997615434e+17,1436616267907.7327,95604063051.18875
3100,4606496394993708.0,5414466078829228.0,1.9866746834200768e+17,2.0250032095976557e+17,1462916695773.7651,99433373045.2481
3200,4640782489801848.0,5365755171930499.0,2.1354717090297066e+17,2.035486656126944e+17,1495202363634.071,101170553668.52177
3300,4629524082684095.0,5398360150376876.0,2.159344764815149e+17,2.1297808725206554e+17,1541305915413.3223,105169640075.47836
3400,4578735749761352.0,5361268941992789.0,2.190763870533976e+17,2.2016775591025254e+17,1621785924878.6511,109404875579.93129
3500,4631812503743711.0,5348270482375245.0,2.3105134694740554e+17,2.192045156221011e+17,1617071261043.0671,113595134752.94254
3600,4604007996825249.0,5356665616383189.0,2.3768364261827594e+17,2.3174417376047517e+17,1662719249053.0007,113874133538.12373
3700,4578630761570273.0,5396488278631662.0,2.372930799947174e+17,2.4104559554774886e+17,1728765260580.9282,116782761889.94138
3800,4594807757428753.0,5348590314788739.0,2.4492815193446458e+17,2.4621610265828022e+17,1769720726620.7646,123821707283.31334
3900,4614924785616338.0,5383671617269022.0,2.5816605935714458e+17,2.4702604375148102e+17,1832999106680.5496,125819500295.26534
4000,4603618166091753.0,5351023791392207.0,2.63281225244213e+17,2.5897509635308035e+17,1899169211694.6946,126270032065.92584
4100,4621236041107652.0,5355811624108841.0,2.6549848705372048e+17,2.608104388083868e+17,1914515255007.8801,129776252714.45624
4200,4636285306393712.0,5398804336353594.0,2.7670604187622656e+17,2.7363710454038045e+17,1936722639011.2085,136562203144.30116
4300,4582360594476049.0,5376169916231827.0,2.8474631985969856e+17,2.7543511111254323e+17,2013332949698.283,136050513382.74046
4400,4618265665737950.0,5404800152871385.0,2.831570299535279e+17,2.8127062699214963e+17,2068602893690.0366,142608685833.4288
4500,4635033362487320.0,5372561733352368.0,2.936757027349024e+17,2.895442290138718e+17,2118736460017.1008,146281584666.13074
4600,4628889740225309.0,5374108823284887.0,3.0030975636296275e+17,2.979363334048675e+17,2164824381157.6558,148756067733.91122
4700,4613156635325924.0,5366748590996247.0,3.0882988743360474e+17,3.0438809839072544e+17,2190096748021.6243,151181407098.10077
4800,4587075749425698.0,5366876534287181.0,3.144996396796576e+17,3.032878959810501e+17,2269219056323.777,155344638874.61505
4900,4610197340274006.0,5418852769991776.0,3.185653198804262e+17,3.100102868913066e+17,2281031086819.161,158731399292.35883
5000,4635903390238586.0,5417142641022586.0,3.303158489495158e+17,3.201518530189259e+17,2295231598124.6064,162512029085.60956
