miliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
1800,4644078332258016.0,5360571583621316.0,1.163279949645648e+17,1.109466094077372e+17,878388946512.273,57936320891.27149
1900,4630226344645533.0,5421772241531736.0,1.2197707027055538e+17,1.2472797170080749e+17,877057565803.5387,62416025330.08671
2000,4602426082850397.0,5348891957691887.0,1.3596354798372195e+17,1.2500644926022374e+17,961895225415.0991,63641181132.149826
2100,4626323569948885.0,5353380597408470.0,1.38976167141361e+17,1.3686763758325088e+17,1015353065799.1272,68051360906.98569
2200,4619551821713782.0,5407988633040705.0,1.4351491220088685e+17,1.4394280848732858e+17,1069010051498.8296,69247493884.43163
2300,4650403371897120.0,5396198833486084.0,1.5544848854653046e+17,1.4173817231928379e+17,1080203755296.4149,74724518366.01942
2400,4585159686672166.0,5379800882186188.0,1.5538102419215472e+17,1.4862762836880314e+17,1159084272323.0815,75229902751.66222
2500,4646129302929370.0,5354027768071018.0,1.6861281639472307e+17,1.574365526098316e+17,1149479449507.5403,80200899127.29529
2600,4610465884311988.0,5373597608945994.0,1.675604807432451e+17,1.6762195753717952e+17,1232383916078.5854,83783585925.5076
2700,4586510109925293.0,5405780329218968.0,1.7549240867000278e+17,1.7215717924096902e+17,1251147261590.339,88296040591.79477
2800,4585691754560540.0,5411150406165961.0,1.7967901626646122e+17,1.7393805066573494e+17,1335630389686.1667,91567491823.11292
2900,4621752793705940.0,5347139929849098.0,1.8726511018174806e+17,1.882906776731423e+17,1338567064935.4995,93371898207.48083
3000,4643418555173713.0,5350699736961705.0,1.9776236823280106e+17,1.940267170554085e+17,1377823374866.8403,96859091052.95316
3100,4641171630652464.0,5374383348060552.0,2.0492497571485136e+17,1.9923854841181923e+17,1422856579022.3186,96659348640.47255
3200,4606080113495024.0,5398592451902708.0,2.0540481173227994e+17,2.010727845709356e+17,1487060931315.6355,103942856732.337
3300,4634854310967939.0,5407099888305012.0,2.1727396864459005e+17,2.1108496019631437e+17,1539106743184.1887,105387123253.49876
3400,4634688915262270.0,5394089157452381.0,2.2623151387997725e+17,2.171831864768418e+17,1592946174974.994,110453664316.78412
3500,4652620158833248.0,5369488148861279.0,2.3111943763047974e+17,2.2763434706450915e+17,1620051756214.9585,109543646502.44516
3600,4630966742243254.0,5411870980643697.0,2.3697264818948262e+17,2.331429006275113e+17,1666329010221.6257,112828963801.1637
3700,4632674042249222.0,5372754784055061.0,2.4249654104548432e+17,2.318993483267947e+17,1695062439822.5835,119182088725.56367
3800,4602318580557888.0,5388298874228574.0,2.4723830724247203e+17,2.449402831793541e+17,1753856923918.6208,119895134468.02762
3900,4584175422164417.0,5402790998167314.0,2.5297001022458883e+17,2.4843061976560032e+17,1830022112437.1355,123943161612.95502
4000,4652375013135518.0,5409108401521390.0,2.632126615661988e+17,2.523388320299498e+17,1852217063344.4321,129048268294.96992
4100,4585711243539100.0,5416939258410680.0,2.6517313409556643e+17,2.5840529858277338e+17,1917724975075.6013,129398061087.58319
4200,4651103232014997.0,5351114865236526.0,2.7304330445759488e+17,2.7301584601825264e+17,1987418540039.7893,135864344673.76884
4300,4599370670605229.0,5415367936410141.0,2.82980333289193e+17,2.7208428108564966e+17,2020060557023.8357,137640824666.09445
4400,4637972428086503.0,5387995560265544.0,2.8636847758883344e+17,2.852720382137353e+17,2059705326629.5852,142327552445.1687
4500,4617429502103729.0,5390758668698072.0,2.900899390726618e+17,2.85083680158886e+17,2089370128820.2976,141955808082.53778
4600,4592452678974697.0,5409912525124617.0,3.009280836305619e+17,2.9919078266172134e+17,2143827142486.7595,147038141492.68784
4700,4598653121607823.0,5395992147810851.0,3.0986382659564154e+17,2.989053000734743e+17,2217278099638.2153,151619889225.68027
4800,4636196399781331.0,5347756591225063.0,3.1001878956633926e+17,3.0994197258428486e+17,2214968500720.7866,154855402584.36688
4900,4589697916552038.0,5385686745969849.0,3.1949151984883725e+17,3.1213239993925325e+17,2301630657441.417,156302278369.0658
5000,4610649639493351.0,5420418611776787.0,3.2972068684927424e+17,3.18919474723087e+17,2341077062310.203,159215736018.91425
