miliseconds,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,I_Smad_mRNA2,I_Smad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad_mRNA1
1000,1009.0756307036779,0.7353005344846515,0.15194822425860605,5.852061312517097e-25,6994.878058256141,0.002923261547171794,11989.960366359637,-2.920063673088274e-11,-2.2984593666897485e-06,-2.4728281960449536e-19,2.8931405850862286e-21,82011.39910075442,-1.3323523354934904e-14,1.4261247624389355e-05,-2.395575577711773e-07,135024.636517971,2.432896076650758e-17
1100,1009.0360017413517,0.807007502182868,0.16045013112517814,-3.8819675759294416e-25,6994.563194732957,0.00758015936609245,11988.404541601336,-3.560847662444072e-11,5.956351262642927e-07,2.7826104876414434e-20,4.3483398379867835e-21,82011.78233021044,-7.801953146412157e-15,-1.1659023928590847e-05,-1.8295187698440712e-07,135025.20138841696,-5.4484799555028676e-17
1200,1008.8927107205988,0.8477256846083486,0.19106192333083874,9.30752448252426e-25,6994.055614315035,0.002659027132718888,11987.062668672424,3.0129072162765173e-11,2.5198808895251264e-06,-4.0359547195923865e-20,-3.3533475847185243e-21,82013.42534230906,6.215255818180603e-15,-9.348024036086241e-06,-9.693842220592606e-08,135026.80283089855,-2.9068384483285024e-18
1300,1008.8254544246914,0.9063651544244539,0.20438481614023762,1.278609450247166e-24,6993.947597785528,0.0062934063070279374,11986.051275633077,3.327395179742407e-11,-6.763117171992895e-07,1.3133315068078594e-19,-1.9747300251477096e-21,82014.58571931072,-8.953404834212484e-15,8.847515971502239e-06,2.9847934602581875e-07,135032.09766831523,-2.350206618408283e-17
1400,1008.7925137920771,0.9738439096687938,0.23384778089809116,-9.671371059855209e-25,6993.083937000907,0.009525619579592344,11985.141802258731,-2.8729997541387206e-11,-8.832256510224949e-07,1.8764617157395244e-19,2.3293324173685234e-21,82015.67613024448,-1.321442853247451e-14,1.4952253539315319e-05,3.577748229265526e-07,135034.330521429,4.4519730021185796e-17
1500,1008.6605791791362,1.057906681377363,0.2832120823218819,-2.9358310267614296e-25,6992.492853829681,0.010172644122084793,11984.055500308796,2.829296289012052e-11,1.879458357431349e-07,1.9988800136368505e-19,4.3304727382777386e-21,82017.34693455792,1.997446053546082e-15,7.067612093064755e-05,3.1714134724994477e-07,135034.3997127989,-3.470740237831107e-17
1600,1008.5503880223639,1.094095746711182,0.31305580910119096,1.2770430752265866e-25,6992.195642842148,0.009579775209225896,11983.09449480917,-3.069381423518266e-11,3.0882361470330752e-06,-2.685212299088148e-19,-2.1364994949889045e-21,82018.7219247839,-1.9023231961726586e-15,2.1062220588435318e-06,1.336449756408434e-07,135038.57442870524,-6.408724535627822e-17
1700,1008.5148899918636,1.1343236175156584,0.3652114061889713,-6.143326619390938e-25,6991.649099068507,0.015458853963417847,11982.115053437617,2.9062416111003534e-11,3.084446159379741e-06,2.2210539242756205e-19,1.2923282140464058e-21,82019.22225407694,1.4355393484989167e-14,0.00010910297724407437,7.760224417324964e-08,135040.40524521502,-5.69162767577646e-17
1800,1008.3545355290939,1.2168784335835152,0.408011241942117,-1.0462532777364562e-24,6991.076941636233,0.016268847595168476,11981.85272703236,5.555716595902727e-12,7.079191574739926e-06,-6.5354374134752116e-21,1.8569613298964506e-21,82019.43306426196,8.59753176540912e-16,4.4762096774061715e-05,-9.980351403166841e-08,135043.13853092532,-5.1448418245807174e-17
1900,1008.3103047719297,1.2326412155042321,0.40419711880092085,-1.626349042333486e-24,6990.380568944114,0.021950326279991272,11980.851628618668,3.000463133145616e-11,4.7932929389810225e-06,1.990740422058309e-19,-3.238895391057895e-22,82021.47869541432,1.665145009591993e-14,0.00014479947894515516,6.000575766643242e-07,135043.6230960004,6.890823611536647e-17
2000,1008.2918964148112,1.272372890352344,0.4487877339308857,-1.3064762623894249e-24,6990.254490544419,0.025073722854594447,11980.233924078377,2.8534180570342137e-11,9.363043802570481e-06,-1.7927276627379446e-19,6.527515163958374e-22,82022.9389512323,-8.51984351415893e-15,0.00010428783767075665,3.9665686375255517e-07,135045.1587713996,6.726259299586969e-17
2100,1008.1961767737837,1.352700801179229,0.5223485216644846,-3.802177974427363e-25,6989.351389986792,0.027198688005169336,11979.28797712527,4.512105113632064e-11,6.077445788803652e-06,9.993365299236333e-20,-9.032837852841793e-22,82023.6103755239,-8.818237671135413e-15,0.0001795289797023107,4.4634242517251665e-07,135050.55827083034,3.792540160503233e-17
2200,1008.0405562743778,1.3570914579606224,0.5349483300397648,1.4607337400442729e-24,6989.419868003241,0.028002727192620425,11977.766700656748,2.7842497770852635e-11,7.764365512617466e-06,-6.411836480790624e-20,3.9136831285975225e-21,82024.50399870088,3.389702227439348e-15,0.00020776708324601352,7.130129707637001e-07,135051.88292047413,-1.5017074268645648e-17
2300,1007.9857410094196,1.4189321091173068,0.608326146731048,6.920896821755346e-25,6988.38272914259,0.02947329127201898,11976.99681747493,5.204092377627282e-11,1.358663440351217e-05,-1.1713481506979906e-19,1.2996464007633088e-21,82025.19702399727,-4.690825897889128e-15,0.00021936482849431677,3.064335407339278e-07,135054.41257760677,-1.1051600609849115e-17
2400,1007.9295678488429,1.5008883478546617,0.679182693870317,1.0231806498372636e-24,6987.890278335962,0.03284662448171281,11975.51887586703,4.9257019410645153e-11,1.3004968282372074e-05,1.140111429668011e-19,7.118902343790937e-23,82027.2968247419,7.539725085432053e-15,0.00025911160922132456,5.714679367718671e-07,135056.57445030208,6.503959936596199e-17
2500,1007.7565561974781,1.4997832926780443,0.6945375562449221,-1.033917116158331e-24,6987.505062669119,0.04014939564719771,11974.200691632117,9.746833033540396e-13,1.69988936867578e-05,-1.4073640448063443e-19,3.0499983962250403e-21,82028.73162875528,2.1423040852031334e-14,0.00026459969590903593,8.211600708121792e-07,135057.8957133759,4.204701717768281e-17
2600,1007.7675847773446,1.572570610639676,0.7660611881448883,-7.273772286350423e-25,6987.478486945268,0.04521077718329164,11973.905242665733,6.821447942450808e-11,2.0201291056854635e-05,2.1649257642113286e-19,-1.949178745166618e-21,82029.50149280278,3.0528015308795507e-16,0.00035223591402286874,1.5194597957424362e-06,135059.55844374935,6.530317046852218e-17
2700,1007.6112449079517,1.575203131377768,0.78056215983322,7.8695626433322185e-25,6986.866272576721,0.048516457300688695,11972.64124837704,3.920567427065239e-11,2.117467430655217e-05,-2.4845998882422484e-19,1.6166477465428683e-21,82029.79946540153,-6.475845767385809e-16,0.0003718782188155388,1.699339801724807e-06,135062.2639850314,1.3208122475155728e-17
2800,1007.5122025950084,1.6430387372301303,0.8115847126717594,1.6023033673653459e-24,6986.000608706217,0.052045472400341415,11971.423807896339,3.326154618948953e-11,2.6143215569159088e-05,5.106791248267579e-20,2.4560102016076968e-21,82031.17806903938,2.89683459484301e-14,0.0004191732191109738,1.5778457241900162e-06,135065.71953601504,3.45231231471325e-17
2900,1007.4359976144012,1.6485231735135197,0.9092814878878271,-4.377406532071553e-25,6986.136442024719,0.06275513840909264,11970.568159322835,4.951243332222545e-11,2.8652750580370178e-05,2.9744366034283994e-20,-4.133198360967804e-21,82032.0362152921,2.625030034041821e-14,0.0004833482754562348,1.630137249580654e-06,135068.7486478363,7.940728131603265e-17
3000,1007.3243001181036,1.7170367221501712,0.9663367313850626,-5.960336538191729e-25,6985.605858621241,0.06405310005012006,11970.265030159306,7.205817789262263e-11,3.260652564134691e-05,-5.687525999212595e-20,-7.9264742495744e-23,82034.13835277877,1.6941824770024006e-14,0.0005489398972688232,2.1406562778057102e-06,135069.24932920418,9.250354144732124e-18
3100,1007.2183805910303,1.722077816473132,0.9761042882117987,1.3395819030919189e-24,6985.070763951089,0.07402645011752024,11968.903928289585,1.40785124189385e-10,3.588965854432394e-05,1.241012867912987e-19,5.245787043275656e-21,82034.5153702446,4.040301336557603e-14,0.0005840564092355448,2.611807527420981e-06,135072.94212306174,-3.358799304790976e-17
3200,1007.1927700825439,1.7508716072159465,1.0609005510990275,-6.950153641271322e-25,6984.609638213976,0.0800264926401446,11966.94419382689,1.5444821764870496e-10,3.804498261772547e-05,3.810211577494675e-19,3.782759022840719e-21,82036.28341698251,2.8264633596302252e-14,0.000687612730146821,3.5293882353893665e-06,135074.0318509592,1.0128410195167282e-17
3300,1007.0965095972535,1.7586601686580163,1.1534196273532695,-1.214862402364549e-24,6983.809447497771,0.08934014815601411,11965.820870715326,2.1091384836007288e-10,4.585691412023426e-05,3.9405012368681475e-19,2.9759803377921346e-21,82036.88094872111,5.752538448050861e-14,0.0007444226487068375,4.0223886413286035e-06,135077.29671443926,1.089923484352957e-16
3400,1006.9888252614678,1.7883845996955081,1.2046744414175172,1.5740216273039234e-24,6983.227850275383,0.09184485075535691,11965.629440178483,2.636656247006095e-10,5.43508816803876e-05,5.968416688096026e-20,3.925750780699608e-21,82038.07614495697,7.900001193281743e-14,0.0009119626763159527,4.342521440808734e-06,135077.7769701822,1.665808493934384e-16
3500,1006.9649761222685,1.851665761835428,1.2225895358623842,9.156380530929208e-25,6982.581013970311,0.10353261770467469,11963.975432945672,2.674521065520796e-10,5.753749246924939e-05,2.864787341875872e-19,8.496790996251112e-21,82040.00227562645,1.0513940015860805e-13,0.0009861979699512713,4.739941658655275e-06,135080.59140960153,1.9389851250504435e-16
3600,1006.8727493178153,1.8696142168716872,1.3029392474713646,1.5912403453676079e-24,6982.694812572179,0.11063792971749253,11964.114671977599,3.638262663426959e-10,6.411939408823733e-05,3.343667203060972e-19,8.605367591059907e-21,82040.70498334496,1.1141106524644583e-13,0.0011360143168873931,5.635824457758693e-06,135082.84014704137,2.6185220900451483e-16
3700,1006.7594605465548,1.9095257361909876,1.3549747673555568,2.0511306955105054e-24,6981.5337092509,0.12063327605938189,11962.074585922259,4.121280690819915e-10,7.027923056798468e-05,8.05763308424182e-19,9.99527396762979e-21,82042.2310022955,1.3707495337449403e-13,0.0011900947535579708,6.353769417109287e-06,135086.7099823737,2.221905657290977e-16
3800,1006.6453544355749,1.9430694377492375,1.4355235586847126,3.504887107744425e-24,6981.537335708191,0.1313677505141098,11961.894167116767,5.142069558181426e-10,8.0110600888891e-05,8.169211350508319e-19,8.892136881592101e-21,82042.74053223805,1.579859333953651e-13,0.0013458532549962166,7.388228720458764e-06,135089.87574275557,3.3711660175318954e-16
3900,1006.5365795015648,1.9445923790484745,1.5098719567492718,4.906752750211097e-24,6981.090831469911,0.13641357554615322,11960.072504891283,6.0372890594473e-10,8.725032515981497e-05,1.6321066082776774e-18,2.0380640766690247e-20,82044.38488406247,1.9143925306377335e-13,0.001452236012104129,8.357620227365923e-06,135089.21336101842,5.245702050037929e-16
4000,1006.5271506878746,1.978269404642545,1.5586441700249185,3.824754720042676e-24,6980.237270248214,0.15043966552178084,11959.204023224245,6.98385414740918e-10,9.506432426364211e-05,1.899816813833657e-18,2.6886814684499973e-20,82044.14968503895,2.606533105064649e-13,0.0016311220609667096,9.536228337685175e-06,135093.0003600374,6.224823834679928e-16
4100,1006.4250707544606,2.0280681170630412,1.6336552124346522,7.994723480054447e-24,6980.024620219265,0.15931025254426773,11958.15529754419,7.830109052295667e-10,0.00010193579365044989,2.669480719196476e-18,3.1106479807913235e-20,82046.31138231828,2.9905425648581656e-13,0.0017272556822155302,1.0098076804936008e-05,135097.17363179816,7.130446429304411e-16
4200,1006.2802479620932,2.0417111795484537,1.6952086383421237,1.1426879575117378e-23,6979.671319075595,0.16692822615245884,11958.171902772734,9.266484791661501e-10,0.00011265015844927997,3.506496087590441e-18,4.9153319893223623e-20,82047.567629879,3.5896765757679866e-13,0.0018959484249475818,1.1640623792580866e-05,135099.3717874726,1.0016114506039176e-15
4300,1006.2089293492733,2.0267639676951874,1.7634197532801565,1.802099044797569e-23,6978.825767300805,0.17622498580945492,11957.012706037816,1.1200932040759287e-09,0.00012554041256262704,4.250841495866649e-18,6.256974566402237e-20,82048.79286452541,4.611741300715882e-13,0.0021136189618035095,1.297958105138171e-05,135101.20819496326,1.2613979384666444e-15
4400,1006.1827643721713,2.055696316313118,1.7985980844444267,2.3999004154281639e-23,6978.243798914973,0.18793850005920373,11954.833764421155,1.2341026632348926e-09,0.00013598796757168479,5.8938590128490225e-18,9.01369418146037e-20,82048.7282455847,5.323648550994218e-13,0.002285067846501052,1.482322816882418e-05,135103.19092331317,1.7573244439407469e-15
4500,1006.1083699608005,2.0678325018824126,1.9080950685003384,3.3798979520500994e-23,6978.160137892355,0.19897045689042903,11953.922767731736,1.456297299330352e-09,0.00014733977008766377,7.38176143511957e-18,1.1155896979258867e-19,82051.00248444265,6.504768693801894e-13,0.0024738782235529896,1.6578643798167462e-05,135105.1213487098,2.225854672786179e-15
4600,1005.9721275846894,2.101928162301594,1.9583526315812472,4.91188953859424e-23,6977.20219964631,0.21655498700084125,11953.010155033733,1.6740100371024774e-09,0.00015788089653262486,9.88333688104255e-18,1.5323448233196617e-19,82052.05211243668,7.435424581304099e-13,0.0026780615868083057,1.803835310254769e-05,135108.04370902487,2.7624153227834173e-15
4700,1005.8308737483102,2.0983390410253957,1.9912082499805674,6.835809924469309e-23,6977.217327595661,0.2254200311749478,11951.986984945246,1.924723698496661e-09,0.00017472648819698104,1.2991880349557806e-17,2.0484073175441506e-19,82052.43447875493,8.757637150949798e-13,0.0029207657814705624,1.991681186881696e-05,135109.92398072273,3.475234197031852e-15
4800,1005.8161742716628,2.144328771343792,2.060836728227524,9.282165324274053e-23,6976.48979208321,0.23912565736833405,11951.104643979517,2.2019339947028595e-09,0.00018760915224599932,1.6248606357735443e-17,2.620227718815623e-19,82052.92710231246,1.0632557167496517e-12,0.003220230126866935,2.2331690139942915e-05,135112.35884750722,4.351049525623516e-15
4900,1005.660621329567,2.1544308030894324,2.1482678210726407,1.2947819907504803e-22,6976.305941546434,0.2582935893593124,11950.35276240291,2.4883100994511538e-09,0.00020386851459439456,2.0939472842848657e-17,3.4736486137459043e-19,82054.65957585402,1.2294802932848184e-12,0.0034694323432227945,2.4723700753241364e-05,135114.5370130987,5.44844881558677e-15
5000,1005.5949462202209,2.1883954964171264,2.1997978521639503,1.7599058662580035e-22,6975.645686931364,0.2660553322055547,11948.896129659588,2.8582427836997516e-09,0.00021777080580400327,2.6450379865130873e-17,4.498280095923354e-19,82055.7585622696,1.4482681538263275e-12,0.0037541247158155875,2.6631012126085068e-05,135114.51432736998,6.773906628275515e-15
