milliseconds,Susceptible_Counties_with_airports,Infected_Counties_with_airports,Hospitalised_Counties_with_airports,ICU_Counties_with_airports,Deceased_Counties_with_airports,Recovered_Counties_with_airports,Discharged_Counties_with_airports,Susceptible_Counties_neighbouring_counties_with_airports,Infected_Counties_neighbouring_counties_with_airports,Hospitalised_Counties_neighbouring_counties_with_airports,ICU_Counties_neighbouring_counties_with_airports,Deceased_Counties_neighbouring_counties_with_airports,Recovered_Counties_neighbouring_counties_with_airports,Discharged_Counties_neighbouring_counties_with_airports,Susceptible_Counties_with_highways,Infected_Counties_with_highways,Hospitalised_Counties_with_highways,ICU_Counties_with_highways,Deceased_Counties_with_highways,Recovered_Counties_with_highways,Discharged_Counties_with_highways,Susceptible_Low_risk_counties,Infected_Low_risk_counties,Hospitalised_Low_risk_counties,ICU_Low_risk_counties,Deceased_Low_risk_counties,Recovered_Low_risk_counties,Discharged_Low_risk_counties
1400,4052856.598685124,35.22683777509625,2.1805535426995086,0.05950936370864967,0.4379839330484761,10.420671774114066,0.11314662115778819,4431657.70375792,29.04891080644149,2.579722852779568,0.08519126738128537,0.40285840514716037,9.12779308283569,0.11972171921862182,1811054.6769843386,10.126922530922569,0.914726519438403,0.02530527559054241,0.13537853466943878,3.2287357521012883,0.04909743737672436,1269940.4625319387,4.644048465582976,0.9415947463325389,0.04297804446975619,0.0831040319545658,1.665803740759015,0.05742504182200555
1500,4052856.5759619037,35.741165620812694,2.1875263024381915,0.05990089431590928,0.5120609397444231,10.995883452412956,0.14723901444705725,4431657.458795392,29.511049665032843,2.6907773024667585,0.09563400731816715,0.426407328217496,9.878215567585402,0.13599464622240726,1811054.3589484098,10.164747472195765,0.990970721671056,0.027464703485034474,0.15018204074170327,3.4686640234135178,0.05978161006517934,1269940.444662296,4.615196812581277,0.9607566716701671,0.04495848373293123,0.08286474032215323,1.792897945177798,0.06054753297864102
1600,4052855.1381840063,36.020513162080526,2.3727488592037873,0.065212341080084,0.5099033437857734,12.281659335154407,0.15166483886670762,4431656.193387558,29.810216181483398,2.786365753679993,0.12472000179904413,0.481549146149963,10.287802104380527,0.19555476035703265,1811053.7015838355,10.155342451636034,1.0311556863183255,0.030823390689343977,0.16912920640176254,3.610505131762696,0.07178997834791964,1269940.3406470683,4.554847435033248,1.0229398270004366,0.055731454551606725,0.08915565602317331,1.940474298828846,0.06450871754265791
1700,4052853.0992817394,36.43736855642326,2.5994674762983525,0.07580694292178419,0.5582867358971039,13.405769655990667,0.17846626340821337,4431654.713713593,29.744339867133913,2.9719264261252047,0.12792895672917626,0.4900413631301087,10.888247022977135,0.18385313430585565,1811053.5627332448,10.17076142489679,1.0726249691075351,0.033825011460758864,0.16469568792877406,3.8503066745912005,0.07100970889789127,1269940.2818667525,4.4131064570538525,1.0833327119120433,0.06238626965154793,0.09768731249586333,2.0383476644880116,0.07562684736108347
1800,4052851.146632936,36.95705089996317,2.827539078492279,0.07685690073545394,0.5827195620615901,14.215236834629083,0.17602907755512043,4431652.82180138,30.353401318496783,3.117231912558261,0.14654972742146619,0.5267237440746321,11.772892723690113,0.23360607133226516,1811053.2652418155,10.214484235227902,1.1749277285249764,0.04011742376234445,0.1755167912789806,4.314644264500911,0.08148899081524676,1269940.1960401165,4.356963663309952,1.1421560628319836,0.06800163784301672,0.10743592103500268,2.1704718751809287,0.0875981892077781
1900,4052848.860606162,37.789478773378285,2.774739057942742,0.09093674676146651,0.6423385684350179,14.951548334303153,0.21083035692387916,4431652.824348122,30.206810457345846,3.196857922217821,0.17784517341809392,0.5283261276746792,12.785929069342515,0.23244517578278556,1811052.6055990062,10.220897675658552,1.1733270860260505,0.04713028253580651,0.19310096998756376,4.39084914228299,0.09064191289986258,1269940.0334697792,4.341624424406663,1.1793795449024844,0.06683709507167697,0.10661636410012995,2.195481546890942,0.09478321131273558
2000,4052847.5271001635,38.2883487615611,3.1035146859871237,0.0981219333670497,0.6684435849343063,16.098425811708324,0.24939073662678957,4431650.6278819265,30.75851920836118,3.540279060752023,0.1724718469343591,0.6050122767155967,13.51263533653341,0.2962854161345016,1811052.5843200756,10.23886224999345,1.233494268282586,0.05031976450654899,0.2039630988880245,4.789595266978004,0.10565008720339271,1269939.959215699,4.215752501343251,1.2046302899351655,0.07292698273919183,0.11460682567789524,2.2657592566083715,0.10816931704950972
2100,4052846.2928390442,38.87957948631601,3.1955603007325717,0.10287676590277332,0.7399388604624685,16.531600143502565,0.2814313184897341,4431650.4733156925,31.059973374118627,3.7550613401556583,0.20308603136526474,0.639052294480225,13.478131624104087,0.3337427712820824,1811052.20665309,10.268914096917786,1.2790875114134492,0.05051481419982745,0.22026771369920026,4.906516498714925,0.11116383808527808,1269939.801619095,4.190633779692759,1.277176779839944,0.08531782818536357,0.12613882041022037,2.449532390988028,0.12028649108272821
2200,4052845.8884834885,38.940338970736306,3.3189229608805175,0.1265178109598921,0.7631228050551686,17.794380100270892,0.26970292666837914,4431648.163480875,31.26336869787544,3.775291154171586,0.2092525273721486,0.6556246659191322,14.601502400467773,0.3136852729541615,1811051.9320896426,10.27214384978487,1.3997689250575762,0.05815854127773548,0.22730302328269966,5.096161933353611,0.13182797240436872,1269939.8143502292,4.082733434461996,1.2655439321515822,0.09137850288590207,0.12869873791716618,2.5732432564586314,0.12839020190025688
2300,4052844.3694626065,39.187190460840434,3.5321857567139188,0.13546259841038383,0.8400030792451404,17.59588764626334,0.32596395570001274,4431647.367725041,31.500236269000162,4.046450196163149,0.22763776851027617,0.6659273391364624,14.618320218778429,0.3456052961461083,1811051.4223112362,10.29044085950639,1.4307751007551943,0.0620252057093218,0.24014648174635284,5.190151931687259,0.1311791640330602,1269939.6403087561,4.004336358957671,1.3476076540696829,0.09779260870279038,0.13866204615112565,2.6072700841458616,0.14637746935054757
