miliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
1000,1.0399511236429273e-11,9.950980496873611e-11,4.148571963800993e-15,2.0812209170733819e-13,2.0588769391768845e-13,4.1566519905413714e-15,8.106896416818079e-18,8.612052904208747e-18,1.8883293618616602e-19,1.0446879306736998e-16,8.602027096444113e-18,8.049561768370648e-18,2.429770537162954e-22,3.301287618001695e-22,3.266111291894698e-22,2.5012417479230143e-22,1.2446842472722376e-27,4.817165488104651e-15,5.913418514193407e-14,4.3985641285612113e-20,4.615665996278231e-20,2.4696454421981052e-17,1.9702699065707264e-19,4.8202781538790995e-15,1.9716290651069643e-19,3.6246820302549706e-20,3.860283202132675e-20,2.3553460947600807e-17,1.20493279827176e-27,1.2688135376142545e-27,1.1677941741219838e-27,4.489532055247788e-25,3.474687377565296e-25,4.013865364888393e-25,2.1296989707751297e-22
1100,1.039498507283472e-11,9.95070226989885e-11,4.1609915782673675e-15,2.0571761080186446e-13,2.0765926478051075e-13,4.12732737135579e-15,8.073416053037677e-18,8.593209856573196e-18,1.8935098960484815e-19,1.0963873667673202e-16,8.497292493170654e-18,8.092615733310895e-18,2.708427412816047e-22,3.2799778960094386e-22,3.3074037930163243e-22,2.840052100451039e-22,1.3156533879693679e-27,4.809994588467264e-15,6.197020703270084e-14,5.3012075158808924e-20,4.496698192438282e-20,3.011788471618367e-17,1.9669203109127224e-19,4.83591454574151e-15,1.9505135246396522e-19,4.4251964574313687e-20,4.840711371872908e-20,2.8334124117562133e-17,1.5041556692188096e-27,1.5053211379391273e-27,1.3088897040383139e-27,4.900530135819926e-25,4.554736506995256e-25,3.9919954360531095e-25,2.391846228048867e-22
1200,1.0394990885186007e-11,9.950286364105799e-11,4.117596865215404e-15,2.0540383946930646e-13,2.0641946175731529e-13,4.157351430042372e-15,8.118733146461568e-18,8.505801296373216e-18,1.9241607622518825e-19,1.1556413110937615e-16,8.520039282764457e-18,8.079509015613155e-18,3.0428068438613663e-22,3.279022417497669e-22,3.2609063506801435e-22,2.9647944791611386e-22,1.3151991473370134e-27,4.8777809407076966e-15,6.792062380713591e-14,5.336222541897241e-20,5.618957298741454e-20,3.085937405619534e-17,1.9750679233355412e-19,4.829477453451787e-15,1.9637325674803986e-19,5.424774227788025e-20,5.446103127945168e-20,3.6476424590766375e-17,1.4278777643520152e-27,1.504961322942906e-27,1.5355434795662486e-27,5.571387673524502e-25,4.591976628066141e-25,5.246190733954704e-25,3.243116707656205e-22
1300,1.0376483736190027e-11,9.949674175381714e-11,4.1551210900042805e-15,2.0768763136684107e-13,2.04869584315073e-13,4.136825435318045e-15,8.183394219323917e-18,8.515077433488746e-18,1.9158251080756155e-19,1.2330797311420838e-16,8.580881094128207e-18,8.17934066572577e-18,3.3250655860295238e-22,3.285357641704419e-22,3.303207954547382e-22,3.103660915927388e-22,1.3384441341056611e-27,4.832916699082224e-15,7.284780128000303e-14,6.740373900371678e-20,6.101521841142891e-20,3.481388894793267e-17,1.954579827926585e-19,4.865679594552373e-15,1.950776386196317e-19,6.51959914148565e-20,6.628437894285799e-20,3.744466112879756e-17,1.5783553395522598e-27,1.769574330125721e-27,1.6521360558828986e-27,6.047907492316814e-25,5.99905739882376e-25,5.568850331097874e-25,3.723201942425007e-22
1400,1.036898583323217e-11,9.949088149948103e-11,4.1493218229128206e-15,2.0675577662430777e-13,2.0594047203395855e-13,4.136374678130398e-15,8.145248779014618e-18,8.508527497565992e-18,1.932242165925762e-19,1.233556413088773e-16,8.464232625698675e-18,8.102480248858616e-18,3.335380362025941e-22,3.265156948306575e-22,3.3038922565948717e-22,3.4290932595021553e-22,1.4076487307043045e-27,4.836831496085071e-15,7.278152600370586e-14,6.567841511753191e-20,7.320765819115316e-20,3.9945617254129116e-17,1.9623986351576573e-19,4.885648844661476e-15,1.9467354185042085e-19,6.960544821912226e-20,7.638502392524952e-20,4.4114471919433816e-17,1.7201972471828234e-27,1.815803011865636e-27,1.829018349298948e-27,6.93061714954774e-25,6.753347795412376e-25,7.031768315543555e-25,4.1775167002759115e-22
1500,1.0370745185587384e-11,9.949376495990391e-11,4.128364333750411e-15,2.0622286213708386e-13,2.0585317077926707e-13,4.112459810369383e-15,8.197391268149969e-18,8.482782595008415e-18,1.9481999402856718e-19,1.3516920817411303e-16,8.458019585326747e-18,8.187076558830613e-18,3.695319808958371e-22,3.256692957118517e-22,3.2810710929456365e-22,3.490279908465055e-22,1.4558787660330281e-27,4.852366415973232e-15,7.798210934918695e-14,8.080929413588217e-20,7.299145138800234e-20,4.8373199753287876e-17,1.96830902974121e-19,4.850933438071634e-15,1.94749394173558e-19,7.375224351561068e-20,7.56454448206829e-20,4.7381173377091266e-17,1.947545958456639e-27,1.9920956558851353e-27,1.9591391043037433e-27,6.88208915903304e-25,7.442359868211529e-25,7.199609840027846e-25,3.956027510471446e-22
1600,1.035783413945004e-11,9.948974256872372e-11,4.13955994831961e-15,2.0686355564672855e-13,2.0625896612672622e-13,4.126968066283843e-15,8.210442229186653e-18,8.440455521133576e-18,1.9494331347685298e-19,1.352753895975953e-16,8.459186467633293e-18,8.0928591309314e-18,3.8434940825837316e-22,3.253921838079054e-22,3.297726536227343e-22,3.7878298444343725e-22,1.4710436818874308e-27,4.8403000840760445e-15,8.449666362305392e-14,8.904397448350811e-20,8.013619201883003e-20,5.1134547278761154e-17,1.9513815475276158e-19,4.852780825219284e-15,1.950875602848575e-19,8.791759922291214e-20,8.756661973540337e-20,5.220946447253621e-17,2.034538070624218e-27,2.017382177666045e-27,1.90193804464686e-27,8.014282983990607e-25,7.010792778411749e-25,7.849607072030377e-25,4.535345917403723e-22
1700,1.0351414724230889e-11,9.948038537467255e-11,4.137053207165884e-15,2.0451228796691398e-13,2.067555152670866e-13,4.128346550096345e-15,8.137680249330458e-18,8.430284898751852e-18,1.9555177784469062e-19,1.4673643380082966e-16,8.431646240895146e-18,8.158043863259506e-18,3.9174867086752046e-22,3.2874619241358502e-22,3.2699454874136005e-22,3.9807854475683874e-22,1.5492116414654647e-27,4.916888360430456e-15,8.680857610299912e-14,9.684429200784267e-20,9.325766857893239e-20,5.684826191747553e-17,1.9545718814978598e-19,4.901163521002446e-15,1.9695733311410255e-19,9.09771768551233e-20,9.588198746783589e-20,5.457131522218312e-17,2.166628190986801e-27,2.0702888149124847e-27,2.2162482493033806e-27,7.76120588306869e-25,7.654193829176188e-25,8.785325957690843e-25,4.701623381964501e-22
1800,1.034270352174747e-11,9.94810198821247e-11,4.090746409463258e-15,2.0417562262784938e-13,2.051350514463851e-13,4.099925821326087e-15,8.233846843544801e-18,8.469769218692589e-18,1.9740630561811248e-19,1.506553017775577e-16,8.426278875600679e-18,8.188535478950684e-18,4.123769738740928e-22,3.269772553901065e-22,3.271307314786592e-22,4.238508369566504e-22,1.5937313343486219e-27,4.929657712244367e-15,9.0334286783273e-14,1.0455084242757638e-19,1.0559715498451237e-19,5.98512989426923e-17,1.9654863404175022e-19,4.8887860903205704e-15,1.9511598780878922e-19,1.0199183065970943e-19,9.892935719876273e-20,6.03640809290073e-17,2.15406082218703e-27,2.3231932694271457e-27,2.3812694067087347e-27,8.323828685095675e-25,8.772736967248208e-25,8.483438108490758e-25,5.332171568265629e-22
1900,1.0339229425041351e-11,9.947851984081327e-11,4.094630293524564e-15,2.055612157993338e-13,2.0661380359129605e-13,4.109410185596358e-15,8.195994128518015e-18,8.430189226858423e-18,1.9750913262139757e-19,1.5432673883889654e-16,8.488133115974993e-18,8.130999077497053e-18,4.532813464726204e-22,3.269782700185025e-22,3.2791003104964145e-22,4.364500859014701e-22,1.6129784136164695e-27,4.9108180694492646e-15,9.448581467187876e-14,1.0908175649820428e-19,1.0533873201077247e-19,6.366374903805324e-17,1.947796969591905e-19,4.918587229571186e-15,1.9601057868945807e-19,1.0675345380015192e-19,1.0614232681344893e-19,6.467055843918441e-17,2.444017281844753e-27,2.350519230074113e-27,2.2747671792214417e-27,9.354105734562994e-25,9.705071083962715e-25,9.975713265835746e-25,6.033761133364664e-22
2000,1.0326889498815053e-11,9.94724400150743e-11,4.107967397975443e-15,2.056082439465223e-13,2.0387970990054615e-13,4.1338867428552895e-15,8.191467658628163e-18,8.487809031025484e-18,1.9859091534047912e-19,1.6163585228865554e-16,8.439812781201775e-18,8.200047322326775e-18,4.691746642008838e-22,3.2685606983237556e-22,3.24937249963185e-22,4.695761006019086e-22,1.6693926550410367e-27,4.90311747180661e-15,9.519584901624791e-14,1.1689151597896802e-19,1.1112848976509712e-19,6.545201698847285e-17,1.9375463702767422e-19,4.877374341998924e-15,1.948368801932502e-19,1.0968458746544563e-19,1.0918433370082713e-19,6.757834116034431e-17,2.5424489402450458e-27,2.4071229043275764e-27,2.4349801682000707e-27,1.0697339866817866e-24,9.789629363591131e-25,1.043430366161573e-24,5.835471841536126e-22
2100,1.0324143397759905e-11,9.946944999236427e-11,4.108937293214463e-15,2.0457960551813504e-13,2.0493469005535316e-13,4.102682859791027e-15,8.24048567707573e-18,8.475299734534163e-18,2.012000686800297e-19,1.6634388682421358e-16,8.455499468348995e-18,8.192156157848856e-18,4.936556434129613e-22,3.280154505844515e-22,3.245633878600356e-22,4.835119766860468e-22,1.698258393327274e-27,4.941566701648303e-15,1.020473821235012e-13,1.213046305326138e-19,1.2535939574673038e-19,7.016899932904878e-17,1.9568277155217424e-19,4.942498479680252e-15,1.954776472180347e-19,1.2597247809328342e-19,1.2542969745691938e-19,7.427508351667503e-17,2.7375360581525005e-27,2.6293335675663944e-27,2.579761627196817e-27,1.1310769171797813e-24,1.0685498678041801e-24,1.0909786856251025e-24,6.568555457813147e-22
2200,1.0312207374777553e-11,9.946954149806918e-11,4.115664495162181e-15,2.0590406459347822e-13,2.0627112732690044e-13,4.093574428196593e-15,8.20333526128542e-18,8.401101977090362e-18,2.001796082376638e-19,1.7196272941714197e-16,8.433623099116383e-18,8.265088837158445e-18,4.950138498438332e-22,3.2809858043059462e-22,3.2763057431554537e-22,5.144097728257137e-22,1.759496493811455e-27,4.9284314246372266e-15,1.0523867645842712e-13,1.2874646818286708e-19,1.2388712129331637e-19,7.865445961503993e-17,1.9649568892825473e-19,4.897983624993525e-15,1.9376506770709412e-19,1.3224542233562802e-19,1.2789593590428932e-19,7.805339705756513e-17,2.7465834957004618e-27,2.7353062148195376e-27,2.7169490513967584e-27,1.0926915400570082e-24,1.1959174700852247e-24,1.0751189851346683e-24,7.024661150406634e-22
2300,1.0307497738586947e-11,9.946287819710938e-11,4.085586498827862e-15,2.0603218019897318e-13,2.0559279984043443e-13,4.095864776496484e-15,8.230136614119699e-18,8.39805237721189e-18,2.0341830747541094e-19,1.8307728003176322e-16,8.446854761766453e-18,8.252917297264085e-18,5.221231072044734e-22,3.266956175203146e-22,3.258630373245857e-22,5.1630509917846e-22,1.782180211017722e-27,4.9268254809499704e-15,1.0943992061487884e-13,1.3360701288431098e-19,1.3795022336016006e-19,7.943530522747579e-17,1.9532612498874408e-19,4.8948352696800354e-15,1.9373487052991843e-19,1.327244083786975e-19,1.3972740371704994e-19,8.465487436189771e-17,2.8827131848819495e-27,2.9539974990472074e-27,2.8530035762026324e-27,1.206790147906157e-24,1.2328681267552533e-24,1.130894822282205e-24,7.112661182449865e-22
2400,1.0299736890916837e-11,9.94577752496986e-11,4.092583513759729e-15,2.0475975277784525e-13,2.0528946581178317e-13,4.098827840243255e-15,8.210033297132938e-18,8.39658991371625e-18,2.0403877694121268e-19,1.8892270001140252e-16,8.36438837936522e-18,8.202593474494718e-18,5.354604339741617e-22,3.2402642549001024e-22,3.241455411713265e-22,5.588135208635547e-22,1.8175446778359397e-27,4.9538034810191905e-15,1.128580069900387e-13,1.397767847769095e-19,1.381869962984146e-19,8.840077510044312e-17,1.9608504415051878e-19,4.921640824936792e-15,1.9451456297669655e-19,1.4266628575460292e-19,1.44623967328739e-19,8.586895356465254e-17,3.1117201493507455e-27,2.9314429703779457e-27,3.071748753472311e-27,1.2753702664842438e-24,1.3032963423408402e-24,1.2253713665654364e-24,7.292436521937431e-22
2500,1.029773883010685e-11,9.945597332522484e-11,4.113865185146962e-15,2.049596545874108e-13,2.0429811527509868e-13,4.101849305149979e-15,8.19767533555628e-18,8.389154954410789e-18,2.038623243127924e-19,1.9559727608577367e-16,8.367375536472914e-18,8.27119396328721e-18,5.832880850769631e-22,3.2451112877841063e-22,3.262482273262432e-22,5.570403777666717e-22,1.833061546007033e-27,4.902656851235178e-15,1.1522593689828147e-13,1.4775845399293305e-19,1.4788084054245286e-19,8.960355674710518e-17,1.9506988343630002e-19,4.9156310318493136e-15,1.9392030153169296e-19,1.5412786279825758e-19,1.511450738817829e-19,8.783193302687511e-17,3.033108547712158e-27,3.003457340182359e-27,3.081453532788246e-27,1.275177779259852e-24,1.3682336006890184e-24,1.3794162432560696e-24,7.6234326738033835e-22
2600,1.0289848087250575e-11,9.9455828612007e-11,4.118074509225746e-15,2.0382223669071183e-13,2.0499384845832246e-13,4.069278319267734e-15,8.240360187439167e-18,8.356888386353107e-18,2.0536249812516685e-19,2.0048718300056093e-16,8.401343974986834e-18,8.319138803477868e-18,5.850764784697945e-22,3.233760973842669e-22,3.2372899323637837e-22,5.771348172188032e-22,1.8625400541090875e-27,4.946252931139883e-15,1.1903868564609437e-13,1.612489507098783e-19,1.562197642876158e-19,9.285422104654714e-17,1.9412529728226116e-19,4.911179220702647e-15,1.9440258309685623e-19,1.5443088874746813e-19,1.6354429587311757e-19,9.479852436738511e-17,3.2970303636850186e-27,3.2832207432035296e-27,3.1586004353196875e-27,1.4164275602501586e-24,1.394792541945122e-24,1.3567984661346464e-24,8.597893922516178e-22
2700,1.0276468317697826e-11,9.94491585375519e-11,4.064101928382982e-15,2.0287918699221581e-13,2.0416950114318723e-13,4.074554755613086e-15,8.265197791533854e-18,8.369840003017449e-18,2.0570448126215623e-19,2.0675631761446624e-16,8.295675579187174e-18,8.26237636612206e-18,6.056972595807182e-22,3.264738543644108e-22,3.2573392507764494e-22,6.001063172918488e-22,1.903963620454502e-27,4.989077063725887e-15,1.2535237551508987e-13,1.7004718571870064e-19,1.6427226875353113e-19,1.0067752608766064e-16,1.9547301973576686e-19,4.955980873930774e-15,1.9556976037350097e-19,1.6320346869573136e-19,1.7026502763568046e-19,1.011379454992466e-16,3.309760584944639e-27,3.2606652924065046e-27,3.292576564172197e-27,1.4164673834809872e-24,1.3985055030222187e-24,1.4320621430197358e-24,8.646540117771388e-22
2800,1.0268469138420903e-11,9.944612351521736e-11,4.0762637782464614e-15,2.0349690346056754e-13,2.0508643543020907e-13,4.065198170143402e-15,8.331095721778959e-18,8.331265003079938e-18,2.071519383563761e-19,2.1213671467661873e-16,8.307908589045189e-18,8.244630697809274e-18,6.298055187509901e-22,3.2176200329244323e-22,3.2149638012092304e-22,6.357200166370565e-22,1.9411448676440115e-27,4.945797216761186e-15,1.2557137773778797e-13,1.7571501264355514e-19,1.6727771682016084e-19,1.0606058913310582e-16,1.9323562645350082e-19,5.000406738691021e-15,1.935669764986009e-19,1.7252415589122114e-19,1.6726641415251561e-19,1.0146433658895167e-16,3.5050240236456016e-27,3.520288341113782e-27,3.577844781516827e-27,1.5243470582924823e-24,1.460202594699789e-24,1.4760854745624147e-24,8.893992719246548e-22
2900,1.026277659673181e-11,9.944118587866529e-11,4.081158567901526e-15,2.0402903200745176e-13,2.0533440145719496e-13,4.065941196179398e-15,8.296797826581251e-18,8.353749461113586e-18,2.0855577704574923e-19,2.1514875375946252e-16,8.332505765832806e-18,8.234397780042155e-18,6.483679662391037e-22,3.2236397637138444e-22,3.2450799845694175e-22,6.674254885659571e-22,1.9896757379648303e-27,4.960363797872854e-15,1.2882176817297863e-13,1.812562849493549e-19,1.7685808048267442e-19,1.0673864691478872e-16,1.9363363818645303e-19,4.941987415267882e-15,1.9360016399202462e-19,1.7975728905919815e-19,1.7958412642352037e-19,1.0568057662275668e-16,3.619670873285897e-27,3.690654759608946e-27,3.5456302188372845e-27,1.5873056059350104e-24,1.608977733543888e-24,1.5302582061665829e-24,9.267320805593116e-22
3000,1.0255727573059783e-11,9.943592831319862e-11,4.096058556079288e-15,2.0307651495258714e-13,2.0468183097798267e-13,4.108935738671627e-15,8.360287113538456e-18,8.265051643769739e-18,2.0927381041732696e-19,2.2812378461129377e-16,8.29951522665422e-18,8.351040982040826e-18,6.8774748358639385e-22,3.2121315153035264e-22,3.250682555656528e-22,6.711585805538483e-22,2.035115210719647e-27,5.016195523185369e-15,1.3291833678528962e-13,1.8677602867130397e-19,1.8188197968533057e-19,1.144198626140513e-16,1.9517647285488123e-19,5.001020077654293e-15,1.9335701461917166e-19,1.9021777438496734e-19,1.9200036810401342e-19,1.1450645001826934e-16,3.607736146804204e-27,3.626763372274032e-27,3.761634618426443e-27,1.5865065327038145e-24,1.5693039312097222e-24,1.6206381299575185e-24,1.0051926089679687e-21
3100,1.0250338524302898e-11,9.943836586660435e-11,4.084356964038822e-15,2.050963965103236e-13,2.0349089480022444e-13,4.083733649243216e-15,8.271039856995111e-18,8.278455606003741e-18,2.1066614125734699e-19,2.247525143864635e-16,8.323186513876105e-18,8.28233415798983e-18,6.898047556907163e-22,3.2503147742109905e-22,3.2365335949843477e-22,7.047995198265133e-22,2.0932166256460967e-27,4.998093777091508e-15,1.3588023240185178e-13,1.9406556777069893e-19,1.9097499200075704e-19,1.1782912745816566e-16,1.925988167598607e-19,4.954533576969851e-15,1.941943383739668e-19,1.92556792668311e-19,1.9988797233766555e-19,1.177373751381465e-16,3.887103067411155e-27,3.908672438700217e-27,3.90673235859858e-27,1.773997241142818e-24,1.7502287499565167e-24,1.7127272645851143e-24,1.0615093415328485e-21
3200,1.0251386396402361e-11,9.943481603365617e-11,4.0586270591353895e-15,2.046940929365786e-13,2.050554767799532e-13,4.052511483641952e-15,8.235153789609777e-18,8.357029222621086e-18,2.1237940128140934e-19,2.2669247058698365e-16,8.34063255207364e-18,8.356072192241319e-18,7.1988520271889e-22,3.256016958314887e-22,3.239051610674717e-22,7.170049512157456e-22,2.1217588076395054e-27,5.0092758324551276e-15,1.3552932535995859e-13,2.031241079956389e-19,2.0369588173886122e-19,1.2323194366265123e-16,1.9239484070197895e-19,4.933811727829922e-15,1.932129155482711e-19,2.0852676334478643e-19,2.0276188442637453e-19,1.201989361552849e-16,4.285536250126924e-27,4.277338475422596e-27,4.0929781043102656e-27,1.9148913476498905e-24,1.8309980266877086e-24,1.936272033775304e-24,1.1307557581713044e-21
