miliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
1000,1.0408894297133576e-11,9.951188785548817e-11,4.166324934532855e-15,2.0647876243157455e-13,2.07568628937893e-13,4.120799400288787e-15,8.044507916328192e-18,8.560231323049517e-18,1.88844810324736e-19,1.0163083137349893e-16,8.56523464871507e-18,8.07479423357052e-18,2.574224865531723e-22,3.2868427601776426e-22,3.269411590905225e-22,2.6922247839489563e-22,1.2333448429295965e-27,4.839885164615811e-15,5.91310538549179e-14,3.837662431762592e-20,4.6400111563435966e-20,2.486710961536003e-17,1.9711201775436417e-19,4.835760189627002e-15,1.976824159606706e-19,4.6787402486960165e-20,4.599898650344705e-20,2.4457649745574956e-17,1.3443328968496075e-27,1.2025559015044123e-27,1.2172321917160787e-27,3.851757555215957e-25,3.7248133627877816e-25,4.0536830693382365e-25,2.6149583112736297e-22
1100,1.039240935128424e-11,9.950749197077981e-11,4.127653495224627e-15,2.0573651881628093e-13,2.0558369639284365e-13,4.145835197588368e-15,8.053921884383233e-18,8.521275644272675e-18,1.9142098553020192e-19,1.0409637536597903e-16,8.523128520491586e-18,8.166310208342235e-18,2.6927275993234087e-22,3.3124209263050435e-22,3.3044874802615627e-22,2.695339732470603e-22,1.2885902836170433e-27,4.814574129082911e-15,6.487783065250984e-14,5.468239980480644e-20,4.729957560893186e-20,3.05520793728693e-17,1.9514168138546665e-19,4.813675298602805e-15,1.9644250530232357e-19,5.085949360482644e-20,4.586602553478195e-20,2.870593653628459e-17,1.3177875485866751e-27,1.4695101819080573e-27,1.4322548703050107e-27,4.930195425639069e-25,4.968434743001994e-25,4.820590719997948e-25,3.010078935978564e-22
1200,1.0385011103219033e-11,9.95009875614319e-11,4.10761335792778e-15,2.0786495786841996e-13,2.0635761683303713e-13,4.133078354657484e-15,8.059291832720636e-18,8.502202718216998e-18,1.909347616851603e-19,1.0966133523308368e-16,8.555828751772228e-18,8.090459246613357e-18,3.1018947601415924e-22,3.2913618009916734e-22,3.2733927476482643e-22,2.8903911360879933e-22,1.3146631076462178e-27,4.828257866743186e-15,6.859251101284563e-14,5.99916048786724e-20,5.965177582068602e-20,3.4432041546066106e-17,1.965586541929699e-19,4.829308505909041e-15,1.9595259630065317e-19,5.733616047687874e-20,6.132385640228313e-20,3.678230968556436e-17,1.5152675046185027e-27,1.5817502698018642e-27,1.6336777782846403e-27,4.604654274642775e-25,4.9583824532035e-25,5.251150582984331e-25,3.1519083414472903e-22
1300,1.037797937818646e-11,9.949856440648832e-11,4.128111709968116e-15,2.0552378719030192e-13,2.0661821698602103e-13,4.1351646300101935e-15,8.184566562045578e-18,8.540129172596268e-18,1.9094545987447868e-19,1.207126805548225e-16,8.505232423860035e-18,8.144574472028236e-18,3.219673540591917e-22,3.275084832591843e-22,3.300324450890065e-22,3.268726767110607e-22,1.3528490382260611e-27,4.849844615643089e-15,7.140546001922352e-14,6.807217360775505e-20,6.399967602475084e-20,3.871604311209563e-17,1.9554463369513908e-19,4.846927716076289e-15,1.9568105516344263e-19,6.764565258783278e-20,6.155003281366418e-20,3.538183408419117e-17,1.6916378526360002e-27,1.6080578018939243e-27,1.6326178698822704e-27,5.47755562468016e-25,5.92108532450003e-25,6.144963251072105e-25,3.330378110721786e-22
1400,1.0368988070159155e-11,9.949800917377174e-11,4.1044313787881764e-15,2.0636982133631416e-13,2.0646065828346928e-13,4.157219272156649e-15,8.138002332947674e-18,8.567747129582105e-18,1.9456997176662575e-19,1.294387193864248e-16,8.461283123427256e-18,8.19286652656882e-18,3.2821857405568244e-22,3.3017109063762546e-22,3.2562828039200792e-22,3.36434881444074e-22,1.3863832263069835e-27,4.865476303039865e-15,7.500619869917909e-14,7.005067064680664e-20,7.2023199865611e-20,3.94075594830882e-17,1.9675214841018897e-19,4.845001060218811e-15,1.9578865073372618e-19,7.15858824511241e-20,7.460957011281478e-20,4.068759801392971e-17,1.865661609613626e-27,1.833942459236977e-27,1.691181629954194e-27,6.208809322599032e-25,6.403094689480205e-25,6.6248773691971605e-25,4.1252786862693306e-22
1500,1.0366802771188314e-11,9.949204670106178e-11,4.100801418221721e-15,2.050665098316566e-13,2.0685110490159095e-13,4.143080441523355e-15,8.16800901123458e-18,8.44749282192396e-18,1.952507071959884e-19,1.3549585806030477e-16,8.532852266759921e-18,8.197472106399166e-18,3.481176326722864e-22,3.2758834042570376e-22,3.276134677788514e-22,3.7111378529451104e-22,1.4729329205648696e-27,4.838231059813064e-15,7.743737560443804e-14,7.306960245474347e-20,7.533572076151878e-20,4.3562650568498574e-17,1.9618434418299556e-19,4.858818108891882e-15,1.9606404051386126e-19,7.774032297070117e-20,8.304910403951576e-20,4.560125367471347e-17,1.9660812474755124e-27,1.8426602362559566e-27,1.9353802802434625e-27,6.569763280649791e-25,7.454283813636344e-25,6.604636476826525e-25,4.425606148941568e-22
1600,1.0355666948777424e-11,9.94869903352702e-11,4.103884515105985e-15,2.0459598416000545e-13,2.0459450569504576e-13,4.1304778701186246e-15,8.092397217591168e-18,8.48365411724427e-18,1.938990932510635e-19,1.3740628784397168e-16,8.504998589224976e-18,8.203543246796404e-18,3.7524238404199484e-22,3.279964318919221e-22,3.2577718475007386e-22,3.9613541110411477e-22,1.4714453811636074e-27,4.864054357902182e-15,8.090325768952552e-14,8.990744248687262e-20,8.367547100798767e-20,5.130271728034405e-17,1.9701121209793938e-19,4.875919742207012e-15,1.9512911366634588e-19,8.470327998750831e-20,8.574383414680525e-20,5.3817493763945495e-17,2.116949440811468e-27,2.1275952473573412e-27,1.9288482825848993e-27,7.385729978107884e-25,7.908104141300554e-25,7.012209407483721e-25,4.735949420910941e-22
1700,1.0355005771447744e-11,9.948032542716167e-11,4.11050804078076e-15,2.0681592120158712e-13,2.062434502115577e-13,4.14389137829294e-15,8.121987994857863e-18,8.456301211600961e-18,1.951336630179011e-19,1.4190407401041093e-16,8.492206329030821e-18,8.118956050650122e-18,4.1061805287097587e-22,3.293730506658429e-22,3.245499980982409e-22,3.894604712640155e-22,1.5516400401504748e-27,4.8791210008308395e-15,8.457018786514118e-14,9.592944227431381e-20,9.291921960299868e-20,5.324546197558169e-17,1.9527973126399508e-19,4.87955381115247e-15,1.9411247250684362e-19,9.793255972206828e-20,9.330136248260654e-20,5.8831335314569e-17,2.1292279832594738e-27,2.084632100895423e-27,2.2290853769764045e-27,8.216449639700343e-25,8.037483718493205e-25,8.0613519102235295e-25,4.703740928088931e-22
1800,1.0342133612790998e-11,9.948205975289927e-11,4.107191408406089e-15,2.0492540848572083e-13,2.0660523491290195e-13,4.0914171750012806e-15,8.23072394061268e-18,8.436088885696423e-18,1.9726605074560994e-19,1.5398510809098558e-16,8.477324396483516e-18,8.200178199289789e-18,4.378819274216543e-22,3.262104747012529e-22,3.2510680795970625e-22,4.220652990404015e-22,1.597261237744387e-27,4.88575684135793e-15,8.869790440645866e-14,1.0195341660212452e-19,9.96078434914327e-20,5.97023484706146e-17,1.962362994519203e-19,4.8858165904120315e-15,1.9610679678699424e-19,9.619714508655062e-20,9.978602540957074e-20,6.155028076838485e-17,2.177470291226972e-27,2.348069770620363e-27,2.1896812880256258e-27,8.237905147669806e-25,8.373854184541368e-25,9.100843974293731e-25,5.318967672631889e-22
1900,1.033631223398846e-11,9.94781776289e-11,4.121125222046784e-15,2.055322138180861e-13,2.0425609026388191e-13,4.086965294922583e-15,8.208879887087957e-18,8.487973777043377e-18,1.9907962159782106e-19,1.5873314284201927e-16,8.473754518300251e-18,8.151116840487212e-18,4.585377046583453e-22,3.265753648013839e-22,3.261333493150333e-22,4.464946698032035e-22,1.582168782451022e-27,4.89096616780999e-15,9.264734106993509e-14,1.11446962890677e-19,1.0426183440131183e-19,6.222146661909195e-17,1.9383535176287512e-19,4.937064411410427e-15,1.96383708517434e-19,1.0378104327212909e-19,1.0898591264342666e-19,6.708702295697982e-17,2.400661146180063e-27,2.319671970617907e-27,2.497190191938787e-27,9.154182816071303e-25,9.37427806786856e-25,9.763631893891973e-25,5.350153629537712e-22
2000,1.033257014639258e-11,9.947306503555114e-11,4.0985064848449946e-15,2.050048363385644e-13,2.0418247128368366e-13,4.109195305083255e-15,8.189067839180522e-18,8.426334227125504e-18,1.9853150773140475e-19,1.6556364047021815e-16,8.483294650802876e-18,8.211207049961809e-18,4.645603265245244e-22,3.281362267774855e-22,3.269157820957514e-22,4.707086846471659e-22,1.637976605304021e-27,4.9365835207089465e-15,9.935799400173446e-14,1.0958092378505123e-19,1.125300488560062e-19,6.803866879435142e-17,1.9449290745763675e-19,4.8805157885332865e-15,1.947220841728649e-19,1.1421543303517714e-19,1.174055499548917e-19,7.168855127299871e-17,2.4371656633506168e-27,2.566666527743131e-27,2.545813704636853e-27,9.94192422948491e-25,9.609560127455608e-25,1.0212062778216268e-24,5.673002860725287e-22
2100,1.0322493551104609e-11,9.946965345717247e-11,4.130588306721119e-15,2.0518839902611778e-13,2.0656143220692549e-13,4.1105637360711765e-15,8.195271267374207e-18,8.378640536010991e-18,2.0112362254066044e-19,1.7238723573630956e-16,8.451381535525251e-18,8.198582830233771e-18,4.937775380124809e-22,3.247195839534484e-22,3.248118782505752e-22,4.733060541015289e-22,1.671692562925221e-27,4.9109561336535576e-15,1.0176884968536751e-13,1.2028260325403927e-19,1.2274826457964055e-19,7.308021822209417e-17,1.9616838033446117e-19,4.9421952329596434e-15,1.9638558623456713e-19,1.1927633777735159e-19,1.2396334062963997e-19,7.253208471843196e-17,2.53860283080055e-27,2.5543098143716483e-27,2.7394679670032192e-27,1.065711812106797e-24,1.0291766316981912e-24,1.0739467498215045e-24,6.293970561460043e-22
2200,1.031429919323565e-11,9.946300008313918e-11,4.125642596856913e-15,2.0467919929538263e-13,2.051383369637018e-13,4.118058048437607e-15,8.156419011035894e-18,8.400141422539846e-18,2.0093422865500787e-19,1.7470511077567197e-16,8.421215519542188e-18,8.280308477123214e-18,5.182316189825338e-22,3.2595504289513245e-22,3.276822671600027e-22,5.027244125584911e-22,1.7263506294381303e-27,4.899167702289743e-15,1.0293252795310161e-13,1.3389190589310312e-19,1.3448904825797217e-19,7.563415656541358e-17,1.941660454830438e-19,4.938442409228596e-15,1.957844083820928e-19,1.3119990840725302e-19,1.3367938013956856e-19,7.648517685622028e-17,2.6781303056080672e-27,2.781440399392369e-27,2.8319094725096005e-27,1.1779175623568111e-24,1.173015040729444e-24,1.1852039912224314e-24,6.883455567348236e-22
2300,1.0304985258954175e-11,9.946465301546019e-11,4.117764724323704e-15,2.0481895002989882e-13,2.0506753496703483e-13,4.0787851126006096e-15,8.229831322186415e-18,8.432654459014557e-18,2.0242712052732444e-19,1.7919404139306046e-16,8.460701494465394e-18,8.241240183853087e-18,5.1825705327596165e-22,3.2459669112087005e-22,3.255878157955572e-22,5.419868069092826e-22,1.7884153708348925e-27,4.949443399612374e-15,1.0692054086318967e-13,1.407551896067121e-19,1.3804860699130016e-19,8.071028829444689e-17,1.9459910043192696e-19,4.904023427438529e-15,1.9517613020122236e-19,1.320676255999387e-19,1.4048109298808553e-19,8.022501132828113e-17,2.9531643024162234e-27,2.9487169218799042e-27,2.937265024214184e-27,1.1609196535069046e-24,1.190597815191295e-24,1.1998844511803216e-24,7.333932413799441e-22
2400,1.030542549059015e-11,9.945689991275941e-11,4.103379246758258e-15,2.0605561133664135e-13,2.0357927776751753e-13,4.0773229944058e-15,8.218019706497667e-18,8.364474996988002e-18,2.0201854266782451e-19,1.8682268154649377e-16,8.366637650997953e-18,8.183249248682971e-18,5.595552747147667e-22,3.2333487893051594e-22,3.261295828549123e-22,5.597187494787517e-22,1.7788504674808446e-27,4.937741826883933e-15,1.1158188177897946e-13,1.4889240919082743e-19,1.4585426812431342e-19,8.603668172313992e-17,1.961692441322194e-19,4.964951371791183e-15,1.9498435648381973e-19,1.4125839306127987e-19,1.4832091012633358e-19,8.845919592205016e-17,3.0215762993788962e-27,2.901102962123183e-27,3.0820540357378853e-27,1.1981722174382926e-24,1.2539947377229164e-24,1.204030072159204e-24,7.170327346463983e-22
2500,1.0288486420558551e-11,9.945805561603189e-11,4.099671020062746e-15,2.0382311471725257e-13,2.039526350256329e-13,4.071589985811939e-15,8.282273195212501e-18,8.415259234860489e-18,2.0556622220323554e-19,1.9655676630728787e-16,8.369189880404375e-18,8.288385105245489e-18,5.656877595516239e-22,3.2463075878810804e-22,3.231642350381276e-22,5.842930306462153e-22,1.8814055231361466e-27,4.968200632692134e-15,1.1738872438023514e-13,1.4636805575191923e-19,1.4825192592636402e-19,9.286228410468547e-17,1.9542301839839773e-19,4.9071340764556485e-15,1.9441216020068105e-19,1.47080965690522e-19,1.507169079223298e-19,9.097236225586403e-17,3.0501316632455587e-27,3.1384198841258292e-27,3.168865260466872e-27,1.269654952134247e-24,1.3560433978676963e-24,1.335919241295182e-24,8.082328652038468e-22
2600,1.0285046578684917e-11,9.945437394974732e-11,4.111117264504228e-15,2.0314657576395647e-13,2.0310825103868248e-13,4.1054556819405444e-15,8.267700359276516e-18,8.359438908732252e-18,2.0476739112604875e-19,1.9716933295880972e-16,8.330012997997579e-18,8.297678540033083e-18,6.046839759737201e-22,3.245815534855818e-22,3.2448647862427415e-22,5.812346603553896e-22,1.9177173722700894e-27,4.930883042689291e-15,1.2149950392090353e-13,1.577273746674054e-19,1.5306026146820028e-19,9.47716544338229e-17,1.9425442681517835e-19,4.934478551676741e-15,1.956796943348617e-19,1.5828913094618332e-19,1.6325334054745618e-19,9.663674538264608e-17,3.254846196993559e-27,3.290296531004185e-27,3.297007449088084e-27,1.3316063685537478e-24,1.37299469349502e-24,1.3764970155030648e-24,8.170722555639432e-22
2700,1.0282545740374445e-11,9.944738968666874e-11,4.082390727308447e-15,2.0341528704896378e-13,2.0398098596025577e-13,4.066587984812694e-15,8.32569345770871e-18,8.387504114938338e-18,2.0605778561059769e-19,2.0312038513447252e-16,8.337146210031024e-18,8.296529565162297e-18,6.089689027159378e-22,3.2628878946097167e-22,3.249910558004708e-22,5.992960092846697e-22,1.959997401966508e-27,4.987127707116083e-15,1.2209400421890173e-13,1.6050323781055626e-19,1.6729457212648876e-19,9.63190556990244e-17,1.953011467943951e-19,4.984680058407867e-15,1.9397632793435705e-19,1.634565186219412e-19,1.7093634671609653e-19,9.715339973805806e-17,3.345457614372925e-27,3.3756567685234296e-27,3.25098920239067e-27,1.3835530278126526e-24,1.4442306696029519e-24,1.4192594398119895e-24,8.627477846905538e-22
2800,1.0270564011512528e-11,9.944192650224297e-11,4.1025925235512015e-15,2.0295890585269469e-13,2.0422496465745198e-13,4.112164731443275e-15,8.285441528902051e-18,8.317546468404272e-18,2.083177560043767e-19,2.1121031974166447e-16,8.360880540122403e-18,8.263603452782441e-18,6.467170470502641e-22,3.2346619697707615e-22,3.2517363746687296e-22,6.396303501926141e-22,1.962167880544902e-27,4.95962449380659e-15,1.2771402155687263e-13,1.74062967417439e-19,1.7718549972741161e-19,1.054877483317291e-16,1.944036997668527e-19,4.978116953004295e-15,1.9552714377910766e-19,1.7449335004282338e-19,1.731341147880155e-19,1.0369328613545152e-16,3.4139657111809075e-27,3.422270175831659e-27,3.4458533077393274e-27,1.4587727510281168e-24,1.4907487415229956e-24,1.471070678018492e-24,9.257585558321322e-22
2900,1.0268514524126925e-11,9.944641239719108e-11,4.075562060984241e-15,2.0508612042386709e-13,2.048966104564935e-13,4.083739184757304e-15,8.282010914585072e-18,8.339265928555633e-18,2.081745941149903e-19,2.1802373631316104e-16,8.334544919479753e-18,8.228953184842032e-18,6.625572467945139e-22,3.2483166960699006e-22,3.246161869220781e-22,6.645223643340362e-22,2.0397214800845094e-27,4.939033786756164e-15,1.3104622050215112e-13,1.8120796417800393e-19,1.7836867929777134e-19,1.0588077503788844e-16,1.9265982593652855e-19,4.968848951830253e-15,1.9414023787660268e-19,1.7751159000629258e-19,1.8033824011235085e-19,1.0900009404564991e-16,3.502001441923591e-27,3.511382884039966e-27,3.587924908577463e-27,1.5386250589266022e-24,1.5203145276970558e-24,1.5099639204145891e-24,9.319700376485658e-22
3000,1.0257871518189018e-11,9.943862620079593e-11,4.084782090578764e-15,2.0294160202226142e-13,2.0447388900508798e-13,4.0913668377123845e-15,8.234541333286265e-18,8.289826807737322e-18,2.110698500962887e-19,2.2239076649946485e-16,8.336912602619533e-18,8.251576202971174e-18,6.718551566039038e-22,3.233677121509128e-22,3.2193540056627897e-22,6.748502119733678e-22,2.061506889303947e-27,4.942457402238884e-15,1.3426139785629384e-13,1.92331127128241e-19,1.8920309057213425e-19,1.1371485537510412e-16,1.9545706490935373e-19,4.974204702427459e-15,1.9258852191038103e-19,1.891493135341334e-19,1.9064676430779482e-19,1.1174856220626774e-16,3.779774908338595e-27,3.7031754633335514e-27,3.702944557766841e-27,1.6500401467302355e-24,1.6392187950045894e-24,1.657284301106697e-24,9.506993474418194e-22
3100,1.0252309027111014e-11,9.94391696267588e-11,4.088689877011616e-15,2.0453904642975427e-13,2.0356687122498252e-13,4.0947769087449085e-15,8.263513352240782e-18,8.294808110170509e-18,2.1053122974193148e-19,2.2823055613099004e-16,8.334210498015026e-18,8.230451355234343e-18,6.950764265793128e-22,3.219178054429629e-22,3.231927004285122e-22,6.911566445465224e-22,2.0976426689871754e-27,4.985678373001905e-15,1.3594057754128128e-13,1.997724689599318e-19,1.961334048832581e-19,1.1765291817770958e-16,1.9483594926056715e-19,4.959180850765891e-15,1.9330582460802034e-19,2.0099641408749622e-19,1.9350067033978005e-19,1.1860764878766256e-16,3.827276004766414e-27,4.0377305555974596e-27,3.891909314466594e-27,1.801756013178108e-24,1.7034097688407285e-24,1.772987431183649e-24,1.047172743732759e-21
3200,1.02600071977267e-11,9.943927614148184e-11,4.08132568112354e-15,2.038341059463248e-13,2.044661715394885e-13,4.066417904070411e-15,8.351045964302927e-18,8.359111885579822e-18,2.1154171741553705e-19,2.2903969559099795e-16,8.246543478802326e-18,8.333311491350142e-18,7.122589674544833e-22,3.2084483348039127e-22,3.2352347657253405e-22,7.0139017226675885e-22,2.1072397210116678e-27,4.991279374328356e-15,1.347832037559415e-13,1.9921412680530429e-19,2.0514742638634732e-19,1.230905595607555e-16,1.947401228798748e-19,4.954545595043196e-15,1.9317681679399754e-19,1.999735076636545e-19,2.059634482650381e-19,1.2180666596390895e-16,4.151313649047215e-27,4.168786004092127e-27,4.175520483776181e-27,1.817974930501267e-24,1.9065027802480797e-24,1.8968420873891414e-24,1.1067284746091033e-21
