miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
2200,4.667506288459037e-07,4.0081141301636036e-11,7.552849575154788e-08,6.789062841364225e-07,5.804781547175918e-11,3.2067732765488323e-07,2.7282507753837423e-11,2.642309086683758e-07,8.356519498326527e-07,3.7758033558375056e-07,5.537285108534278e-10,4.6685297464065397e-14,3.4837894309573943e-09,2.6344487323985646e-13,9.592175005501054e-07,5.6910917545010204e-08,8.579905904856203e-06,1.4356025237130012e-06,2e-05,1.3823928343615494e-06,6.093344847300799e-07,1.63e-06
2300,4.630549325069308e-07,3.94582622150032e-11,-5.604828478346261e-09,6.832150522142906e-07,5.854188709015263e-11,3.10319789940076e-07,2.705650524957092e-11,2.3396508566954062e-07,8.457739608901758e-07,3.713642633352984e-07,5.325248370202216e-10,4.7408070458490455e-14,3.119052853469527e-09,2.244168743764916e-13,9.73575698564819e-07,5.6700183244531444e-08,8.549519766791794e-06,1.4417209675245258e-06,2e-05,1.3439611316465922e-06,6.461425844238708e-07,1.63e-06
2400,4.7614478181137604e-07,4.0168851314574484e-11,3.020727590007152e-09,6.961710865190531e-07,5.949909159822987e-11,3.117202744191243e-07,2.637172306305132e-11,2.6339263007914325e-07,8.423461635972642e-07,3.6507250133322884e-07,5.356826127216934e-10,4.6162648814884416e-14,2.8270722971452725e-09,2.4493829138283657e-13,9.901259045375549e-07,5.7557611611889583e-08,8.551938142456021e-06,1.4729111324342141e-06,2e-05,1.3269217202824236e-06,6.474421430089051e-07,1.63e-06
2500,4.5012535049708604e-07,3.820503003271782e-11,3.892373264577501e-08,6.955891445862632e-07,5.971229619798456e-11,3.0120481260111775e-07,2.623791280083287e-11,2.3095281361020738e-07,8.562368638849586e-07,3.656479440143822e-07,5.360764473120327e-10,4.640872971836556e-14,3.3005981811477194e-09,2.4287931276196854e-13,9.86042527525432e-07,5.731700826945538e-08,8.543027628453918e-06,1.4710255242974363e-06,2e-05,1.3138117908034186e-06,6.914915554361386e-07,1.63e-06
2600,4.5873875417021807e-07,3.856104207684687e-11,3.1703683776603334e-08,6.996129379332114e-07,6.07347956623635e-11,2.987960000482984e-07,2.5741464512814952e-11,2.5084545665049757e-07,8.589760924223152e-07,3.5763185007972125e-07,5.254790392662204e-10,4.509441542645428e-14,2.775997943979863e-09,2.132786360680665e-13,9.790350023545548e-07,5.7693354330764916e-08,8.524326638555818e-06,1.479566321655698e-06,2e-05,1.2974354585193853e-06,6.949798193004736e-07,1.63e-06
2700,4.581839095971094e-07,3.912786041023926e-11,2.131247510158305e-08,7.024747827397042e-07,6.06292595768261e-11,2.9506969917634985e-07,2.4946207301050267e-11,2.437030439117893e-07,8.548374080080111e-07,3.5695176629082286e-07,5.294522631234019e-10,4.543739952449042e-14,3.0951151143783153e-09,2.4023596335037594e-13,1.0074505586472413e-06,5.847428102972881e-08,8.498875252902479e-06,1.5031802373057266e-06,2e-05,1.2692726849927672e-06,7.364512578611526e-07,1.63e-06
2800,4.475633873517001e-07,3.847325641214752e-11,4.4463450683603926e-08,7.109759395861788e-07,6.150161398528923e-11,2.824612133125132e-07,2.4609054757035454e-11,2.1804543980917706e-07,8.583930758244742e-07,3.544303902452107e-07,5.171234646528209e-10,4.6166250409275667e-14,2.385186356469373e-09,2.555894723726052e-13,9.96149888261588e-07,6.002836415435308e-08,8.49738849293812e-06,1.4844612690731129e-06,2e-05,1.2641075473448174e-06,7.583912428975834e-07,1.63e-06
2900,4.4534515197716557e-07,3.745809946729951e-11,1.3903946736471402e-08,7.164648128612705e-07,6.171904273007388e-11,2.8412590935718403e-07,2.4649721704757637e-11,2.254722689188758e-07,8.64243632674582e-07,3.4523327699594055e-07,5.210435925653849e-10,4.4846567034152994e-14,2.8220895059919727e-09,2.297326298519488e-13,9.96642479880926e-07,5.990639374836223e-08,8.472123440633682e-06,1.499568158268105e-06,2e-05,1.249247127599298e-06,7.566620237837736e-07,1.63e-06
3000,4.3149206130493813e-07,3.727692087584194e-11,3.1880401049929585e-08,7.213586545548125e-07,6.263135917194542e-11,2.802453041533051e-07,2.3851782278549977e-11,2.235673201034045e-07,8.695837592971903e-07,3.4600921806244055e-07,5.2236095849606e-10,4.5230178077892674e-14,2.1822235734443543e-09,2.2223812589869548e-13,9.980932644259186e-07,6.06205278830455e-08,8.49339905421691e-06,1.4966385956835765e-06,2e-05,1.2258298664924388e-06,7.881507357259734e-07,1.63e-06
3100,4.4024768230612935e-07,3.775760756298379e-11,3.208364029658251e-08,7.238967210237737e-07,6.291964462872074e-11,2.706805165400398e-07,2.370273167218845e-11,2.1424846912440027e-07,8.715970281289329e-07,3.42027793170107e-07,4.992466583857276e-10,4.479908006048659e-14,2.7076155593957544e-09,1.7912376556454655e-13,1.016115374931486e-06,5.986736098303129e-08,8.48264858974517e-06,1.5416371257618662e-06,2e-05,1.2066143814289017e-06,7.909606887172943e-07,1.63e-06
