miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
1300,5.832829505304211e-07,4.705345615734694e-11,8.955164926617051e-08,6.379811069548648e-07,5.233397543833742e-11,3.9173456714657865e-07,3.2689937796144875e-11,3.7686660391770384e-07,7.887741242600001e-07,4.504453866832005e-07,6.67630305112696e-10,5.483445006556477e-14,5.053503634112779e-09,4.983531288031836e-13,8.386368558013026e-07,4.786268988905775e-08,8.77461351471577e-06,1.2274560174811343e-06,2e-05,1.6511856039325093e-06,3.5062053056026906e-07,1.63e-06
1400,5.699296417905369e-07,4.6585302309076294e-11,6.666889337803317e-08,6.410453011474994e-07,5.29763350997356e-11,3.884256047687203e-07,3.224440600790914e-11,3.6665371177353964e-07,7.884696143535523e-07,4.339456230595801e-07,6.33059513525846e-10,5.3949327854574894e-14,5.08902858640396e-09,4.568344356670232e-13,8.622384759767964e-07,4.859945046714086e-08,8.727550722504538e-06,1.234914456417213e-06,2e-05,1.6442255309254035e-06,3.842358091291411e-07,1.63e-06
1500,5.255694493314371e-07,4.617599362202295e-11,8.999061372448487e-08,6.451275872394693e-07,5.399654762569812e-11,3.806957826444214e-07,3.133640619524095e-11,3.4818157364279226e-07,7.974803442317279e-07,4.2749732841241196e-07,6.423385082919641e-10,5.3432460121061243e-14,4.818011040242746e-09,3.85327543396119e-13,8.913224073980446e-07,5.0646893857071915e-08,8.68905152254779e-06,1.293132447195822e-06,2e-05,1.5888203410294985e-06,4.009599047105299e-07,1.63e-06
1600,5.341080026512087e-07,4.404967723714624e-11,7.488213439286805e-08,6.492811554080996e-07,5.416845266490922e-11,3.6458159915026743e-07,3.096715221938734e-11,3.032155743605063e-07,8.02697941967848e-07,4.195768024015102e-07,6.073200884264542e-10,5.203262492702753e-14,4.573314937056423e-09,3.519463090398161e-13,9.122880388674532e-07,5.184235967067797e-08,8.664382605389083e-06,1.3101406665625505e-06,2e-05,1.5724469486890431e-06,4.448031146309409e-07,1.63e-06
1700,5.011504787136043e-07,4.366718660383163e-11,9.180905247197944e-08,6.544107254157603e-07,5.5485431046959347e-11,3.582204486959942e-07,3.035774798374962e-11,2.9820571237814444e-07,8.105000588991261e-07,4.0785857453355634e-07,6.184523246788495e-10,5.1087929808614286e-14,3.743575608045675e-09,3.392032876847981e-13,9.190883196309696e-07,5.3113451568994106e-08,8.655758547020206e-06,1.3653983600617937e-06,2e-05,1.5291415575764063e-06,4.6275535738515646e-07,1.63e-06
1800,4.886367688109843e-07,4.341433627111492e-11,4.889053891129023e-08,6.542879258973004e-07,5.606126617177142e-11,3.505767918799267e-07,2.992432746668324e-11,2.9347825482258157e-07,8.176359508062245e-07,4.070185235267847e-07,5.817929370676094e-10,4.947994826076176e-14,3.769411851337557e-09,3.246518066737106e-13,9.31424398321177e-07,5.336995425576983e-08,8.656589571707933e-06,1.3807907692851586e-06,2e-05,1.4924822063159413e-06,4.877997728828464e-07,1.63e-06
1900,4.84296566193648e-07,4.2721826760614794e-11,3.222437819576884e-08,6.643004150508264e-07,5.668351779882695e-11,3.4451622614350044e-07,2.9276689422252577e-11,2.8377937982322453e-07,8.227786053437496e-07,3.9720179565644983e-07,5.823559846935234e-10,4.8272956686032284e-14,3.3485620254626906e-09,3.4996921913034296e-13,9.378765151063534e-07,5.467921971516234e-08,8.611065800601922e-06,1.3766101905362136e-06,2e-05,1.4644963265120044e-06,5.190110999468836e-07,1.63e-06
2000,4.7532887276832706e-07,4.07455234404243e-11,8.080391901702177e-08,6.74516121100278e-07,5.7269686179369204e-11,3.3188282359822226e-07,2.8417937317367082e-11,2.6768895796170587e-07,8.271668552419826e-07,3.8646139321958043e-07,5.687453236926455e-10,4.939937212394973e-14,3.4268068061076943e-09,3.0579676553216465e-13,9.369829743431903e-07,5.55977509949462e-08,8.576760820998449e-06,1.4216808417955568e-06,2e-05,1.432828047686619e-06,5.559177887242898e-07,1.63e-06
2100,4.938601112632689e-07,4.0129647406210774e-11,4.210432745731973e-08,6.775465716706275e-07,5.8151585861889335e-11,3.285268579463995e-07,2.795409225732875e-11,2.4765366059362595e-07,8.312803901248188e-07,3.828587596369229e-07,5.710680043477511e-10,4.7757447305859096e-14,2.9182497114284525e-09,2.60137382429031e-13,9.65135670219896e-07,5.5678890142077233e-08,8.592422978265892e-06,1.4172678260342e-06,2e-05,1.4180036617896861e-06,5.778795195737055e-07,1.63e-06
2200,4.876675896395963e-07,3.948502576560954e-11,9.798109779845359e-09,6.794037574217017e-07,5.853017433154631e-11,3.2296688627028956e-07,2.7340825614713796e-11,2.3832393180259034e-07,8.331763061081977e-07,3.7418995954326645e-07,5.65746238514737e-10,4.8882944241539676e-14,2.6873052712813757e-09,2.9392668440014585e-13,9.69587951853207e-07,5.561971145328926e-08,8.564871150622386e-06,1.447173832562866e-06,2e-05,1.378377415912621e-06,6.217814842370566e-07,1.63e-06
2300,4.6266987826799956e-07,4.008808795181408e-11,4.9001513569750655e-08,6.903717757921472e-07,5.896631208410207e-11,3.1730594249396243e-07,2.665577135221004e-11,2.3991813458361105e-07,8.42155021826941e-07,3.6892730295815844e-07,5.653141857178362e-10,4.6240557283272966e-14,2.5640195487570646e-09,2.8501333873903363e-13,9.625972979027096e-07,5.74445318781215e-08,8.532612740519784e-06,1.4623696732287795e-06,2e-05,1.3562220931928942e-06,6.51503537377863e-07,1.63e-06
2400,4.7262186629957517e-07,3.924106029810903e-11,3.976307069151607e-08,6.964511623020201e-07,5.972932460062737e-11,3.092694797566684e-07,2.6425440160017004e-11,2.3201899150829375e-07,8.440418333820486e-07,3.671511087428953e-07,5.502162448450268e-10,4.7348397619102203e-14,2.795117726375866e-09,2.1375747402415162e-13,9.882989026511159e-07,5.6936177385343406e-08,8.546800923099499e-06,1.4669974303894226e-06,2e-05,1.3510213841006988e-06,6.592395477186616e-07,1.63e-06
2500,4.450235093123451e-07,3.895344181951292e-11,4.016207657477883e-08,7.02477318576939e-07,5.994401875512679e-11,2.9939574936069784e-07,2.5780424462093518e-11,2.2631774392766304e-07,8.528094511615574e-07,3.583827401231449e-07,5.247219435653405e-10,4.5676872727218256e-14,2.4328677071648575e-09,2.4552868883192897e-13,9.8839452351984e-07,5.719479577609678e-08,8.520738759283075e-06,1.4649152570817517e-06,2e-05,1.2989849848299158e-06,6.847838834106247e-07,1.63e-06
2600,4.4692190067211126e-07,3.896385241038622e-11,1.9345636569933603e-08,7.067529887012175e-07,6.081920920485711e-11,2.9654691943742437e-07,2.5566253829109718e-11,2.2974432119983648e-07,8.605494053263836e-07,3.610718155484952e-07,5.297104083128853e-10,4.5202870267304653e-14,3.0999232191052466e-09,2.5417748842005334e-13,9.908801432708663e-07,5.762870139297004e-08,8.5222706499279e-06,1.4848246795380883e-06,2e-05,1.2992897929522902e-06,7.216055952665207e-07,1.63e-06
2700,4.5158856617626737e-07,3.743629655204611e-11,-4.0482575422628465e-09,7.032823286086964e-07,6.141828685664553e-11,2.8775367311378527e-07,2.51398959662802e-11,2.1080665231604956e-07,8.626366395297592e-07,3.580904084710135e-07,5.322295388341564e-10,4.568275782758273e-14,2.6402616764564945e-09,2.3522086033415477e-13,9.958476396044965e-07,5.951230249396714e-08,8.48911629945933e-06,1.5120681989840176e-06,2e-05,1.2610139781660593e-06,7.345703506328563e-07,1.63e-06
2800,4.2212671816264095e-07,3.724961118962414e-11,4.932637305779374e-08,7.082898304409807e-07,6.188978004170448e-11,2.8634462456845795e-07,2.509989257614832e-11,2.3334537601852275e-07,8.556247473797216e-07,3.5299272049452415e-07,5.072848602766433e-10,4.5895740957720143e-14,2.158555319750369e-09,2.0985961363311241e-13,1.0110654935694226e-06,5.872220801801295e-08,8.486883743021532e-06,1.515788855348549e-06,2e-05,1.2500909213191553e-06,7.617854044135099e-07,1.63e-06
2900,4.4390964333795835e-07,3.694766705619959e-11,6.80338271044938e-08,7.111519919442017e-07,6.175420582674036e-11,2.839269462511348e-07,2.4592156734962398e-11,2.2343217054277556e-07,8.680932424468692e-07,3.485729242428035e-07,5.070569479889488e-10,4.589937033160529e-14,2.693680382243861e-09,2.436488294899499e-13,1.0003438913494047e-06,6.016559237703453e-08,8.498255113436555e-06,1.5301061570752027e-06,2e-05,1.2518995232095527e-06,7.497488631888008e-07,1.63e-06
3000,4.4215134140272247e-07,3.6605124008588926e-11,5.60763763269856e-08,7.231222150811643e-07,6.222310568165642e-11,2.737227707421632e-07,2.4213301534363867e-11,2.2480108909711834e-07,8.637771912770013e-07,3.4636181962240777e-07,5.23943464536368e-10,4.365313671939134e-14,1.8298041958013914e-09,2.405738972751694e-13,1.0164200790847035e-06,6.030492334192781e-08,8.491266036483093e-06,1.4935797182907977e-06,2e-05,1.2109990805487543e-06,7.806165679610066e-07,1.63e-06
3100,4.259702349369808e-07,3.708434926563691e-11,4.300675930913941e-09,7.183865007092994e-07,6.28274429445204e-11,2.691176275340703e-07,2.366887520990925e-11,2.3062196857747625e-07,8.744094888699546e-07,3.377651809905185e-07,5.018609972247973e-10,4.4260802835699363e-14,1.91525682887593e-09,1.839621806939143e-13,1.0213712162123542e-06,5.970338878832838e-08,8.49476632470657e-06,1.5262231144989474e-06,2e-05,1.2065292987537128e-06,8.122940436667417e-07,1.63e-06
3200,4.1365216880176563e-07,3.67537355606573e-11,9.723922945011912e-09,7.292500025211305e-07,6.346712839530226e-11,2.6998094858492367e-07,2.3593245159180138e-11,2.1612165535196556e-07,8.668484120869102e-07,3.3688064283716113e-07,5.241574903933308e-10,4.4635536920636455e-14,2.27892095770066e-09,2.2533836556425745e-13,1.017113307471111e-06,6.059668972521384e-08,8.487584615049957e-06,1.5200042210371433e-06,2e-05,1.1745001716290844e-06,8.034936148172298e-07,1.63e-06
3300,4.2519241914165514e-07,3.691171947597843e-11,-1.1441201064935492e-08,7.296316965701516e-07,6.30838382209262e-11,2.6642049888030115e-07,2.2934123020636535e-11,2.137673260760981e-07,8.692263911237976e-07,3.3392044385402587e-07,5.139354871206825e-10,4.437356545028275e-14,2.0095049117963512e-09,1.5881625860085753e-13,1.0264855960244268e-06,6.056839692439147e-08,8.483445199728992e-06,1.5501769830601235e-06,2e-05,1.1830426244211918e-06,8.228157743241179e-07,1.63e-06
3400,4.328670501896546e-07,3.635508855874926e-11,6.92682385214353e-09,7.323951523949118e-07,6.39128353663957e-11,2.642056714850971e-07,2.2467114949558048e-11,1.9591912576469113e-07,8.680474798290585e-07,3.376451368949648e-07,5.095548593782753e-10,4.250783558904359e-14,1.8712626502332372e-09,1.977635194417795e-13,1.0190523065193518e-06,6.101919070493217e-08,8.472998411510386e-06,1.5224335158765065e-06,2e-05,1.1522411639963103e-06,8.283277865613418e-07,1.63e-06
3500,4.0288416952797316e-07,3.616031619981113e-11,2.656526325448519e-08,7.351306967206928e-07,6.385565721635628e-11,2.595206722229609e-07,2.2173054872818395e-11,2.0575932112528984e-07,8.770464369811727e-07,3.320633816613039e-07,4.997657937493003e-10,4.4091126492478477e-14,1.6039116298884077e-09,1.7013152680032427e-13,1.0367656837336492e-06,6.050660643341323e-08,8.461881216589387e-06,1.5359160714799712e-06,2e-05,1.1358102520888344e-06,8.3666726236476e-07,1.63e-06
3600,4.076544342861429e-07,3.565751870223111e-11,4.539225449879356e-09,7.397289782643466e-07,6.485541985056401e-11,2.526536480519889e-07,2.1926681087803673e-11,2.0592425250014026e-07,8.79960887737997e-07,3.3545215921575083e-07,5.01442291363524e-10,4.260190407359911e-14,1.5612141868289118e-09,2.02764422322646e-13,1.0286471881677693e-06,6.220791826301582e-08,8.447875318910374e-06,1.5529160738137265e-06,2e-05,1.1393286223458166e-06,8.712299952505323e-07,1.63e-06
3700,4.086694168837043e-07,3.5895510066505205e-11,4.589781511277297e-08,7.409975017174747e-07,6.455171445054109e-11,2.4939565900795906e-07,2.1769798876406175e-11,2.0704654627335888e-07,8.7519255932554e-07,3.310170620985722e-07,4.861642305562554e-10,4.1489787792496925e-14,1.6030948478312594e-09,2.0147425287109287e-13,1.0302104061316623e-06,6.231288336073666e-08,8.450893609644212e-06,1.5478284228290913e-06,2e-05,1.1324054741261146e-06,8.635966113816015e-07,1.63e-06
3800,4.064353973605853e-07,3.533146333853518e-11,-1.007352186776232e-08,7.418179601740692e-07,6.534064218021308e-11,2.432567773210368e-07,2.1893344612137392e-11,1.9821812252817497e-07,8.749377395394876e-07,3.30277382289584e-07,4.991094552183124e-10,4.2559687399292805e-14,1.4106255120205634e-09,1.4787306790746546e-13,1.025609896347274e-06,6.278530532190539e-08,8.45378622596817e-06,1.5499234006202762e-06,2e-05,1.1142987200651858e-06,8.888925981363253e-07,1.63e-06
3900,4.21814134986288e-07,3.568927835570333e-11,1.28249617422361e-09,7.46118285019867e-07,6.522364485965304e-11,2.473534155730763e-07,2.1579655519083525e-11,1.8997577960955072e-07,8.830650001630122e-07,3.2746152050943786e-07,4.823363582251499e-10,4.291033724113919e-14,1.855812567259594e-09,1.8463735963360887e-13,1.0526772169065574e-06,6.237762363713105e-08,8.419311489121043e-06,1.5485879443803531e-06,2e-05,1.0936256492033739e-06,8.939122283553984e-07,1.63e-06
4000,3.8860291162879935e-07,3.5595887790852775e-11,2.9755719973788243e-08,7.513396051703147e-07,6.511460032885672e-11,2.431982221555039e-07,2.1078196317623958e-11,1.7492841016236062e-07,8.768661124399624e-07,3.285748512223646e-07,4.875179160593257e-10,4.311950912342508e-14,1.9217991365753767e-09,1.272281612005443e-13,1.041320075437565e-06,6.269169192125175e-08,8.426949911518517e-06,1.5712258963279775e-06,2e-05,1.097401362854244e-06,9.1815265830638e-07,1.63e-06
4100,3.920958491405456e-07,3.4424313409444727e-11,6.434008334525921e-08,7.504599847289406e-07,6.618801306690028e-11,2.415519939711588e-07,2.0655303619198635e-11,1.7012024668432762e-07,8.811253789515044e-07,3.2571213285434133e-07,4.758809703859689e-10,4.266939039580874e-14,2.2457684033591185e-09,1.362962107092516e-13,1.052733227451128e-06,6.222064921608022e-08,8.442494778606918e-06,1.576107464237313e-06,2e-05,1.0985018695757845e-06,9.078458040208299e-07,1.63e-06
4200,4.074470662339401e-07,3.426334205848105e-11,1.4819293910578505e-08,7.528486530755383e-07,6.548307218818578e-11,2.4059477401560327e-07,2.0427943209714082e-11,1.7201811804093194e-07,8.816166464729647e-07,3.2840507082513214e-07,4.821186648283735e-10,4.2902190030328164e-14,2.0870529557485048e-09,1.8519238769582883e-13,1.05164875146061e-06,6.30357797737692e-08,8.401951308014013e-06,1.5878170506953415e-06,2e-05,1.0775345133571766e-06,9.244312958703367e-07,1.63e-06
4300,3.9477232610127634e-07,3.476577326493348e-11,3.250133298307063e-08,7.537540088142187e-07,6.633975975592489e-11,2.3665740218382119e-07,2.0736863375282357e-11,1.919857897688497e-07,8.816533047147813e-07,3.24398885120194e-07,4.627346700148431e-10,4.157894931739599e-14,1.687205006736825e-09,1.9160335027223757e-13,1.0485213230317294e-06,6.286857705113724e-08,8.417732340946499e-06,1.566238809145656e-06,2e-05,1.0540065045744932e-06,9.428800978958616e-07,1.63e-06
4400,3.7958802963775903e-07,3.550047487504862e-11,5.1411292984766735e-09,7.584159379175895e-07,6.619022515371691e-11,2.3565139484233294e-07,2.063566884190742e-11,1.831982535650554e-07,8.7744968165557e-07,3.228550320741926e-07,4.796342039194778e-10,4.1807998658331715e-14,1.8297706885504145e-09,1.1607217953030284e-13,1.050090707216002e-06,6.268231420143435e-08,8.405449473734868e-06,1.5725906190637747e-06,2e-05,1.0599418406360198e-06,9.405697481563308e-07,1.63e-06
4500,4.068707720858941e-07,3.470748151442447e-11,3.7162014098999097e-08,7.631246948649439e-07,6.635050033531181e-11,2.2738211363935712e-07,1.9926067653247342e-11,1.6997517900052908e-07,8.737482178117001e-07,3.191947923858418e-07,4.667478307648922e-10,4.038326916014064e-14,1.2691550386258342e-09,1.2676260894056988e-13,1.0643132584894969e-06,6.27501448235042e-08,8.408349277390056e-06,1.5841974892333543e-06,2e-05,1.0469106613735783e-06,9.35827909767634e-07,1.63e-06
4600,3.9982822413861526e-07,3.3984579038819756e-11,4.5674535960773495e-08,7.625448695737152e-07,6.665441230340157e-11,2.28558279276303e-07,1.9983675858768343e-11,1.8812051998053473e-07,8.747698446002473e-07,3.2632630925541764e-07,4.589627857559789e-10,4.012802716904667e-14,2.3451806588358483e-09,1.4892919335412568e-13,1.043567400533077e-06,6.40722018897125e-08,8.42154526077798e-06,1.5695062676718902e-06,2e-05,1.048858960247754e-06,9.5638306770898e-07,1.63e-06
4700,3.773370739866881e-07,3.490152992259655e-11,3.30110510851305e-08,7.611884298105416e-07,6.651099130491632e-11,2.24799816652532e-07,1.9836720694542576e-11,1.8656272373989202e-07,8.731908563061447e-07,3.2529900361926395e-07,4.6548413747289583e-10,4.174351140759717e-14,1.7200448460186528e-09,1.6230517210929076e-13,1.0696256972895777e-06,6.322555855093697e-08,8.395349692648651e-06,1.5850353882273419e-06,2e-05,1.047869128177611e-06,9.465149796833464e-07,1.63e-06
4800,4.028053819770549e-07,3.4101878523840915e-11,4.536262764352949e-08,7.599225449901041e-07,6.735241808140987e-11,2.1966312268664984e-07,1.943284675909637e-11,1.768070278977822e-07,8.753776440679068e-07,3.207477960780279e-07,4.690659934996081e-10,4.004770164713912e-14,1.180790900493066e-09,1.8014548199087124e-13,1.0631291787960818e-06,6.436271255430971e-08,8.401398020308e-06,1.5885127177287323e-06,2e-05,1.0187713159614223e-06,9.74549811722011e-07,1.63e-06
4900,3.938216555101339e-07,3.391441920679458e-11,3.537448242779621e-08,7.655426641746472e-07,6.744764259575398e-11,2.2100320054061708e-07,1.9582296030894836e-11,1.6094283517615103e-07,8.737508173109043e-07,3.251672712792471e-07,4.665188295571304e-10,4.080585873922951e-14,2.175396423104493e-09,1.918497795840842e-13,1.073168730387336e-06,6.430233833745596e-08,8.396858251505342e-06,1.6025420400866751e-06,2e-05,1.035738040950735e-06,9.828351297915053e-07,1.63e-06
5000,3.693969087205641e-07,3.3343718274766153e-11,-1.9879990839536507e-08,7.644402140506224e-07,6.763487380847872e-11,2.179840932324973e-07,1.9260447401713756e-11,1.662791147007659e-07,8.742098984397515e-07,3.2404172652501304e-07,4.616520500622913e-10,3.9763419268563854e-14,1.9510302436120536e-09,1.2272731076045382e-13,1.0627126000858963e-06,6.357410345681834e-08,8.400021319168598e-06,1.592472200322049e-06,2e-05,1.0120273186467454e-06,9.72929536977584e-07,1.63e-06
