milliseconds,cyclin,dimer,dimer_p,p_dimer,p_dimer_p,cdc25_p,wee1_p,IE_p,UbE_star
1500,39.97128912986647,22.06839880000284,4.723666859469729,24.883765350141974,7.6087803600542765,0.02111891317267196,0.03267118967165703,0.004544086742171943,4.381443574478811e-05
1600,38.44549131747819,21.331274948114014,4.895684299474592,25.970597721556782,8.563559998319212,0.023215639647755852,0.03651925864240427,0.004857878066321749,4.728382948931074e-05
1700,37.034084967379236,20.605063956991494,5.051887221891667,26.929443819469363,9.536877119321318,0.02528839716762245,0.0404260181529321,0.00515639376853552,5.0593830919456885e-05
1800,35.724793595913106,19.898335445376038,5.195183928756051,27.76675266833267,10.5230827723069,0.027331898250609592,0.044377540335928785,0.0054407187866434056,5.374867769449314e-05
1900,34.50703251166665,19.217022468062396,5.328274519925845,28.48955907548132,11.517095121538542,0.029343242419406616,0.04836310711032258,0.005712380014305377,5.67584986888444e-05
2000,33.37163742035503,18.565010602746582,5.453625544862373,29.105212994759018,12.51437768834924,0.03132154957431744,0.052374859557380415,0.0059732458741518935,5.963820628998632e-05
2100,32.31063032708178,17.94463464682161,5.573456058229953,29.621158401571783,13.510911780129629,0.03326763068390677,0.05640746253337647,0.006225436751398336,6.240646500006582e-05
2200,31.317027560890644,17.357073717480326,5.689736155471976,30.04476548692582,14.503162604215797,0.03518368946492883,0.06045777912280438,0.006471244320612108,6.508475357028438e-05
2300,30.384691847387124,16.802641720339793,5.8041978958530995,30.383217054568618,15.488039384175687,0.03707305698198439,0.06452455652261099,0.0067130621945703526,6.76965230422588e-05
2400,29.508209405675586,16.281016942972688,5.918351311567087,30.643426799556025,16.46285436689448,0.03893996204685242,0.06860813957295456,0.0069533311172383745,7.026646957568162e-05
2500,28.682786099374926,15.791425038647972,6.033502895590299,30.831981905734736,17.425282594185862,0.04078933667252602,0.07271021704361832,0.007194498171592455,7.281995227854036e-05
2600,27.90416015081892,15.332782401234178,6.150775616381944,30.955105826439112,18.37332301494278,0.0426266513802421,0.07683359776774606,0.007438987390738413,7.538255129366952e-05
2700,27.16853044408774,14.903803356668929,6.271130187489943,31.01863899086478,19.305261015018242,0.0444577768214094,0.08098201305647686,0.0076891807871049276,7.797974200853622e-05
2800,26.472496532672576,14.503080849149889,6.395386087210983,31.02803216631747,20.2196333445014,0.04628887159218116,0.08515994733603667,0.007947410315987082,8.06366836647923e-05
2900,25.81300689029176,14.12914929185654,6.5242413653925615,30.988347788269504,21.115195883783194,0.04812629253118006,0.08937249488951966,0.00821595836227939,8.337811803927866e-05
