milliseconds,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52
1700,99996915.12162966,1.046171195532122,3290.410370388118,18788.255173561432,88398.9883636138,49916807.52122389,0.000386070372451452,3.125563387861538e-08,-1.1883969301923747e-14,77909.58674000208,19558.94058707352,19814.202454195627,18169.332371626893,2.3959841008819916e-16,-2.9160958365419486e-16,18750.00000000976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19727.609443129,67483.38982682677,0.0028266841401379424,0.0,0.0,0.0,0.0,0.0,0.0,2.4805220405841505e-07,0.0,0.08269052980507707,162.402450449278,0.0,274.99522573290665,26.154315825905186,0.0,0.0,0.0,18750000.000009857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,99996808.45983706,1.1206701759787414,3309.5082091243667,18563.674036629498,91684.06092315596,49916744.014985785,0.0005749853513990485,-1.0191978658721227e-08,1.6881250933482804e-15,84300.56113304928,18363.6860365195,19395.216262787933,18503.74906564358,8.925619463222982e-16,-1.1369747814032565e-15,18750.000000009848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19931.864444235638,67409.31313882496,0.003229298661584371,0.0,0.0,0.0,0.0,0.0,0.0,3.773563693625248e-07,0.0,0.0814928183155586,170.25880613295962,0.0,274.99454326515695,26.183506864428647,0.0,0.0,0.0,18750000.000009727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,99996714.54084472,1.081805161610997,3430.8773292507403,17580.13456004612,92182.7197593302,49916068.689088464,0.0008083554958580061,3.5131322393221535e-09,5.321691480447509e-15,83291.17678994856,17337.677371997637,19510.963092273356,19238.819758147245,-2.7509789746739703e-15,-2.3780832532201324e-16,18750.00000000998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19105.725850837116,69303.16195096682,0.0031595033113038266,0.0,0.0,0.0,0.0,0.0,0.0,4.810419394093078e-07,0.0,0.08559802558228118,171.4548458623105,0.0,274.99457618724983,26.932511535971027,0.0,0.0,0.0,18750000.000010036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,99996710.24262512,1.1221584617553635,3468.8879842613846,17003.93333399294,93259.78793747623,49912970.99771714,0.0006909922107136528,9.9036510910489e-08,1.6608714220468273e-14,82648.11810196779,16184.102392509674,18872.361555159947,21076.374824097948,5.992484070037776e-16,-7.330205968464335e-16,18750.000000010124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19287.10672881293,69998.6831440171,0.005159529194122782,0.0,0.0,0.0,0.0,0.0,0.0,7.029492664357161e-07,0.0,0.08433593559248362,184.00917359731264,0.0,274.9943243629048,26.9103913803785,0.0,0.0,0.0,18750000.0000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,99996720.68444759,1.2420893532353294,3546.6662729634054,13903.767597713404,93543.74493427256,49910415.41824311,0.0009326133656389715,3.666129508790305e-08,8.233090671272326e-15,88076.52679783851,13071.888053773288,18620.769012237197,20751.19713589204,1.9119421328626753e-15,5.385244977109278e-16,18750.000000010143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18731.427158958893,74829.23197571299,0.005220706245071107,0.0,0.0,0.0,0.0,0.0,0.0,7.036317350021588e-07,0.0,0.09119457723786227,201.5646840155168,0.0,274.99429711397823,27.36141558225377,0.0,0.0,0.0,18750000.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,99996640.62393527,1.2152883816371267,3441.041058069886,12458.782850608764,97669.2396607034,49910449.49618421,0.0011663401860873552,1.0295841145297936e-07,-7.2279664758128e-15,85590.50905390736,15921.00166290665,18768.531125068846,23327.00386298962,2.4175834519053447e-15,-6.711236235819084e-16,18750.00000000981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19004.65320546004,74751.42159056317,0.004881601555687433,0.0,0.0,0.0,0.0,0.0,0.0,7.624461428258662e-07,0.0,0.08848201112852722,208.79385439049727,0.0,274.9936750974731,26.446729397377833,0.0,0.0,0.0,18750000.00000979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,99996573.30491659,1.2147615002023047,3473.0821215039427,9694.605049586145,100778.25517020818,49911412.44955369,0.0012866410918698505,1.2145677173013056e-07,-7.55166858897992e-15,87545.78674213395,11081.371109726178,18495.928713425452,22897.2714648505,3.4093019285569084e-16,-9.819923611557546e-16,18750.00000001006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17909.876178638293,75954.66370755229,0.006127362195845135,0.0,0.0,0.0,0.0,0.0,0.0,9.836597105745308e-07,0.0,0.09064351136298326,199.41887538183553,0.0,274.99386452989637,26.63246242537265,0.0,0.0,0.0,18750000.00000995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,99996547.63649453,1.343041637300555,3504.30546191469,11348.670057005262,99264.99348383001,49906616.57313433,0.0015155502828183133,7.947110202698121e-08,2.8325974698821214e-14,90310.75741784362,11506.147105763424,18019.27909884859,23793.746766181426,7.964409021413877e-16,6.581189310233551e-16,18750.00000001013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18049.011249499945,79543.38085617781,0.006552759400141416,0.0,0.0,0.0,0.0,0.0,0.0,8.140590113602636e-07,0.0,0.09019104189384713,216.1245457831021,0.0,274.99326940270083,26.994818332211917,0.0,0.0,0.0,18750000.000009973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500,99996655.53004678,1.3332551103093953,3609.262769231054,9146.055713354399,104148.87251401487,49906346.23091708,0.0014665887272526331,1.883268994050217e-07,1.114352974085252e-14,89681.39026688882,11141.370714850005,17502.636233377296,24973.139485429903,-1.7650971032785717e-15,-4.562564307196832e-16,18750.000000010157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17825.59334307305,78096.51074513675,0.006391643936849909,0.0,0.0,0.0,0.0,0.0,0.0,1.139892065387727e-06,0.0,0.09176717314745525,210.93023642518236,0.0,274.99347783906074,28.000669447260833,0.0,0.0,0.0,18750000.000009798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,99996497.4231582,1.4188519975474465,3677.413526823195,11625.832047785469,102862.459602235,49909599.97105057,0.0016456560226560408,1.830935782155927e-07,1.4858847467640946e-14,89412.22836736092,10388.565357755258,17077.570942321716,25132.95548505595,1.2944231789897757e-15,-1.0798261454608239e-15,18750.00000000998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17241.650980012902,82497.67270655146,0.007018662314239171,0.0,0.0,0.0,0.0,0.0,0.0,1.0694834128226643e-06,0.0,0.09397001295267207,214.90858539677728,0.0,274.9931687737532,27.81255271221203,0.0,0.0,0.0,18750000.00001019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
