milliseconds,IR,IRins,IRp,IRiP,IRi,IRS,IRSiP,X,Xp
1300,0.2344428369845992,7.221956589529914,0.4689667035227226,2.0745886808414413,4.518958032845661e-05,6.27871167740872,3.7212883225912874,9.993025128246703,0.006974871753285955
1400,0.23978157178821435,7.173396230543741,0.46496370246350754,2.121810799008118,4.769665542438578e-05,6.327247764748367,3.6727522352516413,9.992800405021622,0.007199594978365381
1500,0.24475815812286486,7.135253836135779,0.46171243145302565,2.1582256025341704,4.997221316529969e-05,6.370723082562451,3.6292769174375565,9.992582587353237,0.007417412646749277
1600,0.24936708873237057,7.10640124320394,0.45913995952552483,2.185039684818581,5.202417858947634e-05,6.409592658099294,3.5904073419007134,9.99237117020587,0.00762882979411698
1700,0.2536105461220616,7.0857711285062335,0.45717473034669576,2.2033897323841014,5.3863099913511617e-05,6.444304483167424,3.5556955168325826,9.992165693922512,0.007834306077474467
1800,0.2574967207359362,7.072364059353029,0.4557478509831145,2.214335868171991,5.5501214935882205e-05,6.475292222872735,3.524707777127272,9.99196574237637,0.008034257623616927
1900,0.2610385461437184,7.065252271131164,0.454794808886673,2.218857422323431,5.6951974019193355e-05,6.502962804386717,3.49703719561329,9.991770940998773,0.008229059001213792
2000,0.26425268470011587,7.063581834372965,0.4542559354791531,2.2178513164770344,5.822942973670296e-05,6.527693904993431,3.4723060950065774,9.991580954039982,0.008419045960004808
2100,0.26715825454614833,7.0665733971627605,0.45407594422368736,2.212133056667537,5.9347858872137926e-05,6.5498354170548385,3.4501645829451686,9.991395481326089,0.00860451867389859
2200,0.2697757663616627,7.073520984058399,0.45420409474307677,2.202438833885458,6.032141040858521e-05,6.569706213736201,3.4302937862638054,9.991214255221402,0.008785744778586214
2300,0.27212649661182203,7.083789286673746,0.4545944449512743,2.1894286083547096,6.116386745227945e-05,6.587596413335637,3.4124035866643685,9.991037037737645,0.008962962262344033
2400,0.27423198542796706,7.096810429554211,0.45520562061245007,2.1736900764075644,6.188845681293072e-05,6.603764798035416,3.39623520196459,9.990863617587522,0.009136382412464453
2500,0.2761134830576872,7.112080174820612,0.4560005080001457,2.1557433268684747,6.250771208559542e-05,6.618442652624947,3.3815573473750584,9.99069380727397,0.00930619272601669
2600,0.27779157053957726,7.129153836210791,0.4569460399488188,2.1360455203796453,6.303338017369326e-05,6.631836394275481,3.368163605724524,9.990527440470318,0.009472559529668582
2700,0.2792858983520261,7.147641814049349,0.45801300745009926,2.1149958042406465,6.34763668858748e-05,6.644128132834151,3.3558718671658543,9.990364369592493,0.009635630407494601
2800,0.28061505784240687,7.167204785163431,0.4591758124651265,2.0929404982955764,6.384669246494958e-05,6.655472048597587,3.3445279514024175,9.990204463468668,0.009795536531319034
2900,0.28179651910522396,7.18754926599714,0.46041212498085665,2.0701779367836233,6.415359216193138e-05,6.666008622771553,3.3339913772284513,9.990047605305488,0.009952394694498424
3000,0.28284647256469614,7.208423244605167,0.46170259194726426,2.0469632859701514,6.440537172642798e-05,6.675859219500889,3.3241407804991163,9.98989369098256,0.010106309017425994
3100,0.283779805885123,7.22961186240293,0.4630305396356334,2.023513183020746,6.460951457384429e-05,6.685126931038128,3.3148730689618766,9.989742627268088,0.01025737273189918
3200,0.28461008322461623,7.250933615166522,0.46438170533522444,2.000009823946696,6.477278594667465e-05,6.693891658618191,3.3061083413818126,9.989594330217813,0.010405669782173199
3300,0.2853496345373889,7.2722365110299085,0.4657440213744775,1.9766049323515693,6.490116566174664e-05,6.702231720745564,3.29776827925444,9.989448723743074,0.01055127625691307
3400,0.28600960359827937,7.293394585949606,0.4671073625556934,1.9534234483844841,6.499997094281e-05,6.71021859049493,3.2897814095050744,9.989305739024623,0.010694260975364507
3500,0.28659998937780234,7.314304645954799,0.4684633166415644,1.9305669746121932,6.507387264716174e-05,6.717902927691341,3.2820970723086624,9.98916531309708,0.010834686902906716
