milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
1300,5.631201518053606e-07,4.777917818566205e-11,1.3088309097107513e-07,6.361348620334384e-07,5.2412247081191074e-11,3.986359604484248e-07,3.220522457617457e-11,3.969868195353587e-07,7.960840302197667e-07,4.457133876533441e-07,7.02005862418868e-10,5.390782144016069e-14,6.507951890852295e-09,3.86804482095995e-13,8.234766687410993e-07,4.759881088872718e-08,8.745232477685243e-06,1.1764718508859618e-06,2e-05,1.6884580765542056e-06,3.372294453363475e-07,1.63e-06
1400,5.678838597349447e-07,4.751359343230995e-11,1.739790828034825e-07,6.445642920433248e-07,5.31994519114042e-11,3.820307794552897e-07,3.191262888740038e-11,3.7808716491939084e-07,7.956851595078575e-07,4.3443970700362574e-07,6.193240114473046e-10,5.502055824779028e-14,5.0299973251886185e-09,3.907648144623018e-13,8.696300025516899e-07,5.074377045945012e-08,8.731720592958873e-06,1.2139544708539654e-06,2e-05,1.6094972256579504e-06,3.585685114144242e-07,1.63e-06
1500,5.042496409301087e-07,4.6443894149530017e-11,6.900754536831758e-09,6.504393200291519e-07,5.484461216129837e-11,3.706982943768327e-07,3.132486851128601e-11,3.091048423199229e-07,7.874626409601334e-07,4.3011345231738267e-07,6.086760988787982e-10,5.124938775931644e-14,5.704087980374948e-09,4.2318707404305575e-13,8.766930865911489e-07,4.891348698905932e-08,8.74903679452245e-06,1.3143069550497088e-06,1.9999999999999998e-05,1.6011971779136822e-06,4.2450058448642124e-07,1.63e-06
1600,5.01315061516742e-07,4.462064869218886e-11,1.4687807419567372e-07,6.490767595993698e-07,5.394513058493288e-11,3.5995532512017675e-07,3.0439417719689817e-11,3.486173070051623e-07,8.120980205002075e-07,4.1812058440919954e-07,5.846194627746812e-10,5.178567458986536e-14,4.927878661933543e-09,4.0248802922579126e-13,8.791566009560441e-07,5.0390893270758125e-08,8.64095666853818e-06,1.34727929797232e-06,2.0000000000000005e-05,1.591981360525926e-06,4.1485208712630096e-07,1.63e-06
1700,4.791489272863328e-07,4.202874720715367e-11,2.2357018196879136e-08,6.533893464526881e-07,5.5065563853371924e-11,3.527966749336125e-07,3.081340386527095e-11,3.2476464802142795e-07,7.978300912669002e-07,4.1164240866894395e-07,6.393923662955009e-10,5.0409479449933635e-14,3.3484117927372084e-09,4.0318907699925373e-13,9.277701463167733e-07,5.325227949358428e-08,8.632654210255054e-06,1.325832413499563e-06,2e-05,1.5601140454523521e-06,4.575047212655814e-07,1.63e-06
1800,5.16007645357511e-07,4.4016250626720106e-11,4.2661377971405626e-08,6.666420238343638e-07,5.584668419074512e-11,3.5352884976766694e-07,3.015294009434153e-11,3.145733010557995e-07,8.111387873613166e-07,4.020347956028696e-07,5.549818572628435e-10,4.836894825244215e-14,4.653177449518608e-09,3.502080814851169e-13,9.179535586290492e-07,5.298947052255568e-08,8.644109313780659e-06,1.3578335671478865e-06,2e-05,1.492770488290536e-06,4.89294757797526e-07,1.63e-06
1900,4.7074747218868225e-07,4.222661633996318e-11,1.4364346093522357e-08,6.563377599684809e-07,5.6743549785609684e-11,3.3821150277585497e-07,2.892719864937056e-11,3.026606260849361e-07,8.197803949692147e-07,4.002076048346784e-07,5.768086092623003e-10,4.988041724433017e-14,2.6314647101330363e-09,2.948585765447073e-13,9.236129971781159e-07,5.295559197498024e-08,8.635782261857597e-06,1.3876967021221218e-06,2e-05,1.482534677875952e-06,5.619439087058484e-07,1.63e-06
2000,4.946943163076346e-07,3.970299952097569e-11,5.412798669092126e-08,6.669352525253738e-07,5.6870968178678744e-11,3.3875055296250273e-07,2.8644377123933373e-11,2.4525947767515e-07,8.280899105933932e-07,3.9776328074877646e-07,5.928312782661715e-10,4.712427770259399e-14,3.160780417227409e-09,2.0807667816062663e-13,9.608918109043664e-07,5.387733131814403e-08,8.559404556042407e-06,1.4120651348963535e-06,2e-05,1.4425498980563494e-06,5.596550565926618e-07,1.63e-06
2100,4.829381009000609e-07,4.0152731215262295e-11,-3.065781139040487e-09,6.740937724672137e-07,5.7445560407144e-11,3.3299813180279885e-07,2.7719799772340127e-11,2.816985529428249e-07,8.305319586094808e-07,3.7761833853518884e-07,5.283785727974607e-10,4.855352898105441e-14,2.25037820066426e-09,2.7994942946004043e-13,9.77268598025469e-07,5.5126775633034837e-08,8.575610543697422e-06,1.42148488366061e-06,2.0000000000000005e-05,1.415053153057791e-06,6.046031134128235e-07,1.63e-06
2200,4.664811935591577e-07,4.121993200415023e-11,3.867760881926123e-08,6.757857968155118e-07,5.920320817126781e-11,3.2567370522012785e-07,2.812796935754038e-11,2.511707659466692e-07,8.347243860728847e-07,3.7634776404675727e-07,5.923071146413026e-10,4.882817371658298e-14,3.1935345722044683e-09,2.662246491230993e-13,9.898411806666555e-07,5.559041557076093e-08,8.546257436201494e-06,1.4743743348111896e-06,2e-05,1.3838027288145502e-06,6.463342478323215e-07,1.63e-06
2300,4.3029704988769664e-07,4.009788450880447e-11,-3.4988013753621263e-08,6.978474591520009e-07,5.8271711439474e-11,3.0901542939086715e-07,2.641245739268904e-11,2.330213967682652e-07,8.440845520812832e-07,3.7875316104607415e-07,5.181116634213539e-10,4.5599164136584685e-14,2.6566974591237523e-09,1.9433454963546653e-13,9.848662227364665e-07,5.7449409701006156e-08,8.570071291634372e-06,1.4621266459032943e-06,2.0000000000000005e-05,1.3697185975084953e-06,6.48466938521552e-07,1.63e-06
2400,4.361504125409575e-07,4.098649499860837e-11,1.1861554723522974e-07,6.877318918554712e-07,5.982109685295448e-11,3.11861136520435e-07,2.696582793878925e-11,2.2798099326806788e-07,8.418722003162538e-07,3.6512313771123925e-07,5.293817044722462e-10,4.614265463949299e-14,3.5957647962147585e-09,3.299913608607138e-13,9.962266583772225e-07,5.584182087879426e-08,8.533240209916178e-06,1.4526766661488592e-06,2e-05,1.334873367059717e-06,6.936187135481649e-07,1.63e-06
2500,4.86049022358552e-07,4.062151053457484e-11,1.0341252397092485e-07,6.998130949049767e-07,6.054690815332445e-11,2.998487992720452e-07,2.6619263890328245e-11,2.438920836926412e-07,8.571741235562344e-07,3.606434822525344e-07,5.117229623273093e-10,4.881668413119203e-14,2.1430417915451196e-09,1.903149362637209e-13,9.626514699703056e-07,5.678596183178318e-08,8.486084805785637e-06,1.478192346078129e-06,2e-05,1.2941265834489669e-06,6.547478124519659e-07,1.63e-06
2600,4.430302457801573e-07,3.9499285020870026e-11,2.835531035655196e-08,6.949995489252102e-07,5.956984025290928e-11,2.9188006981842206e-07,2.625294903495744e-11,2.1753747445467574e-07,8.634217203687949e-07,3.653111998908784e-07,5.42391452677005e-10,4.76445123827229e-14,3.7012617653755747e-09,2.3816096375540255e-13,9.962914125846387e-07,5.7007696302626104e-08,8.495726663924516e-06,1.4482767413309658e-06,2e-05,1.3109617135441741e-06,6.748712350130301e-07,1.63e-06
2700,4.6486252194291605e-07,3.703430470336743e-11,4.088900550348122e-08,7.146106833154024e-07,6.101268123561579e-11,2.918853903063892e-07,2.4893727089378326e-11,2.4349649428868547e-07,8.565885894103325e-07,3.5899986027383394e-07,5.082986251433982e-10,4.5031137710183833e-14,2.092733433882037e-09,2.570457156039009e-13,1.0006058941898942e-06,5.846534264381594e-08,8.508390193241704e-06,1.464843449178725e-06,2e-05,1.2872841531147604e-06,7.000940183086058e-07,1.63e-06
2800,4.1646647429816094e-07,3.7313690331908666e-11,9.835666660382357e-08,7.020627254085095e-07,6.186234286128393e-11,2.885034199374329e-07,2.440373157530719e-11,2.5299203461910963e-07,8.646276458160998e-07,3.5592376104297163e-07,5.207749681815845e-10,4.429804406826665e-14,3.3652742417081877e-09,3.0036508069753246e-13,1.0007125501400815e-06,5.960933275189013e-08,8.506567592548968e-06,1.4846251242858914e-06,2.0000000000000005e-05,1.2855076008224828e-06,7.743001990277084e-07,1.63e-06
2900,4.3513568436266486e-07,3.6129604416592364e-11,-3.291156707348064e-08,7.178514789664874e-07,6.223648198417246e-11,2.8510064755865994e-07,2.4923025871536894e-11,1.9635572624223332e-07,8.560688747956959e-07,3.550341565991138e-07,5.206062454992924e-10,4.421064699767798e-14,1.6786941756732156e-09,2.438587446010665e-13,1.0010323346988219e-06,5.847169212353471e-08,8.473239215321657e-06,1.5166020839266236e-06,1.9999999999999998e-05,1.2095442873832867e-06,7.703916000327838e-07,1.63e-06
3000,4.573411327040931e-07,3.644804445538882e-11,1.1127315030575254e-08,7.125679450725518e-07,6.247174550361969e-11,2.740273363787886e-07,2.3577957802309053e-11,2.1395004876649125e-07,8.672504047129052e-07,3.405000723587468e-07,5.339116034380948e-10,4.712604763270583e-14,2.3690153822296875e-09,2.751456360506567e-13,9.847771315580158e-07,5.972855145428171e-08,8.443385697595766e-06,1.4807457421499017e-06,2e-05,1.2158146500192912e-06,8.07425160794356e-07,1.63e-06
3100,4.5074338816145854e-07,3.7971877838539997e-11,2.135142953820258e-08,7.116878601098939e-07,6.322454125227002e-11,2.755280757556318e-07,2.3824547372684767e-11,2.1386427960338722e-07,8.784743299103301e-07,3.334803469085868e-07,5.03995873259621e-10,4.564599864144573e-14,3.322550557379309e-09,2.536335007413967e-13,1.0316257754606623e-06,6.000425634210883e-08,8.488851184435431e-06,1.542622947218638e-06,1.9999999999999998e-05,1.2157094299044633e-06,7.954948271269091e-07,1.63e-06
3200,4.218115352034798e-07,3.49880915637787e-11,1.0000907853529642e-07,7.210401692569093e-07,6.340084458629222e-11,2.680642674798897e-07,2.3169682970630995e-11,2.0872575913516082e-07,8.683153154466884e-07,3.431437138778412e-07,5.383188376559752e-10,4.64045236073625e-14,2.3284775004436193e-09,1.721860067354002e-13,1.029809937181433e-06,6.060163688396515e-08,8.459083521211768e-06,1.5046028923579551e-06,2e-05,1.1592443746072037e-06,8.006518227769979e-07,1.63e-06
3300,4.216891572622551e-07,3.8263904725812734e-11,-5.340167108239952e-09,7.252181884234095e-07,6.351865351031316e-11,2.6248537443429345e-07,2.3155632829662015e-11,1.7468823020484758e-07,8.773100326033193e-07,3.370708874337354e-07,5.130040555484418e-10,4.3393311546501084e-14,2.362986563010944e-09,1.7574317064104757e-13,1.0447669825833228e-06,6.217082813676806e-08,8.435133818798588e-06,1.5472460060453728e-06,2.0000000000000005e-05,1.1579401935301037e-06,8.231810575840766e-07,1.63e-06
3400,4.2284433390548626e-07,3.738609112980586e-11,8.805618919627915e-08,7.239547931669873e-07,6.439476778097085e-11,2.623214333200732e-07,2.2991241268025785e-11,2.1233298212715308e-07,8.69056601861403e-07,3.33052053412937e-07,4.816530701132523e-10,4.3147573602961446e-14,1.6115176187465405e-09,1.0290155717234691e-13,1.0091330572281385e-06,6.161527231572419e-08,8.487743695802044e-06,1.5158641315125659e-06,1.9999999999999998e-05,1.1585439127652545e-06,8.444739028501829e-07,1.63e-06
3500,4.156234412532418e-07,3.6032383066254327e-11,2.6391033600527316e-08,7.271714170798611e-07,6.350519721010217e-11,2.6389766726014323e-07,2.2944111859558796e-11,1.8445803043208233e-07,8.677506005831579e-07,3.3177831028526485e-07,4.77073636338117e-10,4.04862016522105e-14,2.80188034000336e-09,2.485791190140976e-13,1.0296656672380763e-06,6.079475903799195e-08,8.46491815645097e-06,1.5901351269778982e-06,2e-05,1.1272151777119838e-06,8.43014887659945e-07,1.63e-06
3600,4.3833324135771036e-07,3.578502710180035e-11,-4.4108478166173055e-08,7.312222089296084e-07,6.364174041131161e-11,2.5071045772271404e-07,2.2516646295562105e-11,1.8534460166518244e-07,8.885403852944944e-07,3.333305024813747e-07,5.04438022075581e-10,4.362010085201043e-14,3.0780718184215745e-09,1.1474405410976411e-13,1.0411974492680722e-06,6.247789397153004e-08,8.455996182940527e-06,1.510238466844444e-06,2e-05,1.1297298041717284e-06,8.980868087774957e-07,1.63e-06
3700,3.936509416033936e-07,3.634295680535176e-11,-4.3494204436368734e-08,7.305498601754783e-07,6.380337206476384e-11,2.439427980130497e-07,2.202754236686873e-11,1.9578452649098135e-07,8.687338057842591e-07,3.2226657564164604e-07,4.995648693618187e-10,4.4914648440151156e-14,2.6407012774885263e-09,2.3185688366021473e-13,1.0190848192103888e-06,6.323642043723804e-08,8.476210820386557e-06,1.5498658765861373e-06,2e-05,1.100906585526407e-06,8.452211366315172e-07,1.63e-06
3800,4.084249054444268e-07,3.671835433209795e-11,-3.168640814315047e-08,7.413125316351994e-07,6.411792711990436e-11,2.5271784216110975e-07,2.169207215020645e-11,1.6151687738709983e-07,8.846751982993583e-07,3.3417171400329946e-07,4.826503575628593e-10,4.229056896335131e-14,2.4836016677867957e-09,2.053701930176946e-13,1.064291352500021e-06,6.15912168014968e-08,8.39938890385219e-06,1.5413365491262222e-06,2e-05,1.1204412609888943e-06,9.086734312138237e-07,1.63e-06
3900,4.1451073791068646e-07,3.48253534259008e-11,5.581064642767015e-08,7.433002865949591e-07,6.535593106949844e-11,2.393154935704698e-07,2.150845360307343e-11,1.5216577999693653e-07,8.773293375412021e-07,3.193311079493604e-07,4.789832655782622e-10,4.412336577773882e-14,2.87639793570257e-09,2.109469751680283e-13,1.0148996173342189e-06,6.0485564527472e-08,8.442893009160352e-06,1.6063549237038563e-06,2e-05,1.073560446314632e-06,8.75336549620858e-07,1.63e-06
4000,3.9300300818533196e-07,3.6906717280975395e-11,7.35546006961587e-08,7.374567889953938e-07,6.508696977187656e-11,2.46418727776643e-07,2.079705924266961e-11,2.2151527564040964e-07,8.79499486090635e-07,3.2566055607490924e-07,5.133389397079778e-10,4.4583281100648876e-14,2.4166384684492767e-09,9.829641985978314e-14,1.0523077747469385e-06,6.13777105039667e-08,8.439582826676146e-06,1.575215695470287e-06,2.0000000000000005e-05,1.0812342564732459e-06,9.098129249692208e-07,1.63e-06
4100,3.816603680565792e-07,3.427191451414661e-11,3.576813166997406e-08,7.560496936705562e-07,6.6439659726146e-11,2.3219227462130098e-07,2.0935643040093082e-11,1.7358751377853761e-07,8.801920254878329e-07,3.1797703615873534e-07,4.592156858928256e-10,4.4555594154317014e-14,9.49691559013104e-10,2.3587263489190225e-13,1.0302173719636219e-06,6.234550521028534e-08,8.443236973813379e-06,1.6002325865236015e-06,2e-05,1.06578957583763e-06,9.197062846990947e-07,1.63e-06
4200,3.773926616939073e-07,3.5671281001898393e-11,6.33902871218621e-08,7.548001705596233e-07,6.692927052663379e-11,2.3435030600273634e-07,2.048585216351481e-11,1.8025237927659074e-07,8.801723965068466e-07,3.314097710916716e-07,4.5105060137763973e-10,3.9107276466846856e-14,2.7783452230370555e-09,1.7027202038731188e-13,1.050381194415696e-06,6.333137379047508e-08,8.418586664926213e-06,1.564123201124816e-06,2e-05,1.095261244154664e-06,9.018366148839487e-07,1.63e-06
4300,3.7295576516222784e-07,3.339235373787208e-11,9.949382416812729e-08,7.454642037110185e-07,6.619462384075835e-11,2.391727726624934e-07,2.051275732977171e-11,1.504731281556197e-07,8.905985027667698e-07,3.2657917108391006e-07,5.069970942158938e-10,4.407419144935285e-14,9.067091108992673e-10,1.2141312503049504e-13,1.047696257864442e-06,6.34949208542547e-08,8.437505683444897e-06,1.5988704428014348e-06,1.9999999999999998e-05,1.0360764671172853e-06,9.208472534276207e-07,1.63e-06
4400,4.11240759539905e-07,3.4411198690650395e-11,-3.6181324880415676e-08,7.61360675624116e-07,6.628131316454356e-11,2.2488060550086004e-07,2.0697321678006843e-11,2.0637055075749616e-07,8.76620868973672e-07,3.3130614269615896e-07,4.992276716479183e-10,3.910470318059732e-14,8.104722181717587e-10,8.569325726093965e-14,1.0764173966640588e-06,6.443408086179016e-08,8.388185093703944e-06,1.5927424833868406e-06,1.9999999999999998e-05,1.0779281783690586e-06,9.302703142940314e-07,1.63e-06
4500,3.9204835903709633e-07,3.4877268771093767e-11,3.0287669266615694e-08,7.641457813369109e-07,6.731312560991441e-11,2.2081661253425122e-07,2.0642449109162845e-11,1.8226959398166982e-07,8.718012513015109e-07,3.2685539335641026e-07,4.763398026885811e-10,3.8930622700134595e-14,2.8272345533352284e-09,1.583601937604165e-13,1.0655182419944434e-06,6.379666202006185e-08,8.454090901950235e-06,1.608896659332868e-06,1.9999999999999998e-05,1.0679392959517488e-06,9.712815214310503e-07,1.63e-06
4600,4.0366806681356206e-07,3.449933492068764e-11,3.372862285147392e-08,7.656865584131493e-07,6.754275258910983e-11,2.2824402469472996e-07,1.961547730398051e-11,1.8721778426647052e-07,8.714455007725896e-07,3.2606780141775614e-07,4.971230226704994e-10,4.090869301656104e-14,2.108506346294455e-09,2.151948767659105e-13,1.0721000513377615e-06,6.43280425142787e-08,8.429036915705612e-06,1.6076443242628935e-06,2.0000000000000005e-05,1.0137613798537907e-06,9.517059283670644e-07,1.63e-06
4700,3.579128311839469e-07,3.4315542533408106e-11,7.226709256542384e-08,7.62527529608898e-07,6.749413019657215e-11,2.1797181433245342e-07,1.991331701104908e-11,2.0133717759899076e-07,8.820391212308324e-07,3.249372196680556e-07,4.435621191994718e-10,3.854777524683982e-14,1.9437583064940525e-09,1.0906296893092673e-13,1.0791110047780939e-06,6.356792632854927e-08,8.432939184032904e-06,1.5568881909631673e-06,1.9999999999999998e-05,1.0557903232431451e-06,9.384053955718749e-07,1.63e-06
4800,3.691974887078183e-07,3.54058144118729e-11,7.179462740277158e-08,7.547887219927026e-07,6.694295949641321e-11,2.1921332218123225e-07,1.9382605149196483e-11,2.1119044860930077e-07,8.862056331642131e-07,3.223948450180729e-07,4.2565312107613785e-10,4.002010428593617e-14,2.0857071713553406e-09,1.2136967974138734e-13,1.0448962651525621e-06,6.207864874429859e-08,8.409846378021617e-06,1.6087297352060583e-06,2e-05,1.0571804440749622e-06,9.556766009982724e-07,1.63e-06
4900,4.174109259654097e-07,3.546628111880159e-11,-5.6875514173982774e-08,7.622730753595967e-07,6.739725485877129e-11,2.285849931144422e-07,1.9201001729226306e-11,1.9227103107296744e-07,8.81284676068991e-07,3.1377899107140915e-07,4.968863082115268e-10,4.2007216444293055e-14,1.6787589208138382e-09,2.290611376566256e-13,1.0670468853397752e-06,6.316893896864805e-08,8.421341962001462e-06,1.622477915495775e-06,2e-05,1.0486794774027997e-06,9.451968294809941e-07,1.63e-06
5000,4.1968314691006203e-07,3.3312414238716735e-11,7.344214389765136e-08,7.670905328969484e-07,6.683910418078116e-11,2.110848708658151e-07,1.9796793827625224e-11,1.9647047429259963e-07,8.906992430240255e-07,3.1447717739007987e-07,4.944759349743697e-10,3.805858099835736e-14,1.5288758070436875e-09,2.1887268356800738e-13,1.063211365338423e-06,6.202662894706545e-08,8.430007371113857e-06,1.575859040737144e-06,2e-05,9.945500808227597e-07,9.819829461442252e-07,1.63e-06
