miliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
1000,0.00033331183379079843,0.00033331193207658343,0.0003333097639985932,1.7322545371472346e-14,6.054024006495543e-14,1.440148525767273e-11,8.181912091335073e-19,3.291297497285318e-11,1.5808834453793754e-13,1.9837084644862493e-11,2.746207793212105e-15,-2.3293921426448574e-40,1.633534042743912e-40,7.900836098135865e-41,0.0,0.0,9.514127542411402e-06,-9.948089985446324e-06,-4.008079384333425e-09,3.921831778579569e-09,-4.83642065247505e-09,4.814067762717316e-09,5.2169155277334857e-11,3.4716516804283246e-09,-1.4000639449112992e-41,0.0,1.7479821310174696e-31,0.0,-3.983999838143287e-46,6.643837461023605e-06,2.2031525190989332e-08,-3.429004356990797e-34,1.5565848600916326e-39,5.654613568058617e-50,6.644176357939937e-06,2.1882116644467093e-08,8.449516874885472e-42,-4.482743550319738e-52,6.6437164362777086e-06,2.06099195196012e-08,-3.324077153957103e-09,-9.523713394751428e-40,4.422686144946578e-50,-1.0596888338650874e-41,5.682560002212327e-52
1100,0.000333307545692735,0.0003333090357808904,0.00033330892485020915,1.0432180734096961e-13,1.1089308244432059e-13,2.9084081849355097e-11,6.174768383836262e-18,2.3808658185513722e-11,5.0809399089044607e-14,8.05687311156133e-12,1.5050325568447884e-14,3.219080889739685e-40,1.3812011283678896e-40,-3.761665228667023e-41,0.0,0.0,1.0900059980166703e-05,-1.0585854422368643e-05,-5.282544072000307e-09,4.809402860488446e-09,-4.927358550906217e-09,5.423080552831296e-09,6.548778242356075e-11,3.8944320094462615e-09,-2.650457666279694e-41,0.0,9.710497672032286e-32,0.0,-1.4987322073379232e-46,6.642064758400057e-06,2.4004511175787122e-08,-3.5924067707957956e-34,-2.079308961535485e-39,7.905410471675077e-51,6.6438385431713425e-06,2.4084266875493107e-08,-8.41418027408061e-42,-4.9093551357488706e-52,6.642242155106461e-06,2.365750363639311e-08,-3.936665058615239e-09,-1.3847535291628189e-39,8.418376257964669e-52,1.7364222626072948e-41,5.335595845730348e-52
1200,0.0003333064244271891,0.00033330633110273747,0.0003333056474668495,6.104492625994341e-14,2.6216065864192776e-14,1.949279386297459e-11,-3.488359433631505e-18,4.0245325519776205e-11,1.6689594669864216e-13,1.0708304761622837e-11,9.383415168501714e-15,1.9930297157410677e-40,1.1773146163282291e-40,-6.661271446002845e-41,0.0,0.0,1.2501613896410663e-05,-1.1606665605610471e-05,-5.579579987351159e-09,5.446672960117595e-09,-5.467338933030354e-09,5.8050233532814285e-09,6.559217476493133e-11,4.380525810458609e-09,6.592157408710076e-42,0.0,-9.904213725702915e-33,0.0,-4.478978628756368e-46,6.640610341273639e-06,2.7915263193891787e-08,-3.327631142965265e-34,-5.418727999616972e-40,2.657087235595234e-50,6.638830552691612e-06,2.5310916827292322e-08,2.4150472174300514e-41,3.440394694789086e-52,6.639565968591464e-06,2.7243903614943092e-08,-4.286797270709364e-09,2.105995652227268e-39,3.7721606469011565e-50,2.747899488484304e-41,3.170335699352473e-52
1300,0.0003333055229347469,0.00033330569680825443,0.0003333058912383557,3.93170391343786e-14,4.542167212878784e-14,2.4701806015565133e-11,4.318096267510636e-19,4.313036480710083e-11,2.049552575722789e-13,4.198852533946128e-12,2.4685813157820478e-14,-2.5260911716928815e-40,2.288489823808797e-40,-5.036966729238605e-41,0.0,0.0,1.3303204087710759e-05,-1.3175523032011758e-05,-6.471892771081933e-09,5.6487476694851745e-09,-5.64776248070569e-09,6.170651867438692e-09,6.50427022834344e-11,4.803022587672148e-09,1.042484598047917e-41,0.0,9.597939451275548e-32,0.0,6.2372262032558676e-46,6.6367379369184e-06,2.834331477726664e-08,9.412470146214365e-34,-8.384972834000237e-41,-4.529151253783298e-50,6.638855181051701e-06,2.9095684585099423e-08,1.2968041930153174e-41,-2.398014270184383e-52,6.639428872672897e-06,2.883517362287328e-08,-4.720878683524587e-09,-2.0469618516730005e-40,-6.014503077042066e-50,-1.2870582934281185e-41,2.9615175154807394e-54
1400,0.0003333015267814883,0.00033330356616608105,0.0003333018604668341,-2.447375437573868e-14,8.918231418136405e-14,5.463473777329844e-11,1.2932475438817472e-17,8.344046947681943e-11,1.2679329610467866e-13,1.0710121121122152e-11,9.882743746611703e-15,-2.8901000072727415e-40,-3.1018075259677263e-41,-7.985202412542631e-41,0.0,0.0,1.3512644364097223e-05,-1.3282320746800541e-05,-6.39491642476673e-09,6.35000400518671e-09,-6.268378760619429e-09,6.6857944208959025e-09,8.972829312330029e-11,4.8184543741566135e-09,1.5183354422389696e-41,0.0,1.0795186240865502e-31,0.0,3.799597083529322e-46,6.6369321000796405e-06,2.951971915131538e-08,-7.843076448412612e-34,2.3823657437709317e-39,-6.960743686834458e-50,6.637196491436067e-06,2.978330895429275e-08,1.802956128109671e-41,-6.1125873834778384e-52,6.634639296560612e-06,3.177622287616633e-08,-5.375445822985765e-09,-9.473106409659401e-40,-2.0989465939982886e-50,-1.447197927014552e-41,6.141414365649328e-52
1500,0.000333301287109023,0.00033329859638654165,0.00033330072160404114,1.4236170132222528e-14,1.195441723789578e-13,5.7377182551375876e-11,9.366660042591632e-18,9.477885952553332e-11,2.7193919717226807e-13,2.9561078450707743e-11,2.280438000965131e-14,8.112000587769326e-41,4.692517810402355e-41,-7.647143277218098e-41,0.0,0.0,1.5717130213146698e-05,-1.522705653561219e-05,-7.642130379081003e-09,7.765285565446191e-09,-7.712070076999165e-09,7.64940970485624e-09,8.146757745050654e-11,5.2937085883021994e-09,-2.4125538780734883e-41,0.0,1.3990995901611335e-31,0.0,5.057203566489305e-46,6.634525387252316e-06,3.17125794646417e-08,-1.1549062294839458e-33,1.0266020975386745e-39,-4.2689047987405973e-50,6.6342589649187385e-06,3.2446296668460614e-08,1.3772618739881905e-41,-1.8443939757457348e-52,6.6344023184068635e-06,3.3992045287436444e-08,-5.71356952777386e-09,1.708355375898777e-39,-1.0092204947697882e-50,-6.713148093258074e-43,1.3101794187939233e-52
1600,0.00033329912581241117,0.0003332980996303225,0.0003332993913000396,1.0697965440211893e-13,2.1083445916119024e-13,6.03640214804089e-11,7.316527724736655e-18,9.128211674576702e-11,3.2191850615252916e-13,3.6530981928347044e-11,2.447803081260935e-14,-8.112205857422636e-41,9.278313376424712e-41,1.6899659197405963e-41,0.0,0.0,1.6572642012420365e-05,-1.6398908506967744e-05,-8.281045659955222e-09,8.574286247128652e-09,-8.102583001713613e-09,8.238587435620994e-09,9.825875698672951e-11,5.699865013695922e-09,2.1751602560552057e-41,0.0,7.685056766551599e-32,0.0,4.236242450960835e-46,6.630695581384605e-06,3.514593741660992e-08,-5.697003483274052e-34,2.2338122734366104e-39,-3.214231345572199e-50,6.631024995670454e-06,3.66609888676371e-08,-1.592546839789849e-41,2.6659786728879506e-52,6.631141962136384e-06,3.7031607856570314e-08,-5.790555944792796e-09,-8.660513830001332e-40,-6.8034387615505385e-50,7.835488710292618e-42,3.3556123929440165e-52
1700,0.0003332953767424492,0.0003332969026346365,0.00033329423299664513,3.3053437370862345e-14,1.4887380097037358e-13,6.037170302588525e-11,1.6566588325278544e-17,9.570056696422135e-11,3.0094488970368087e-13,3.89170683930066e-11,3.398906141993762e-14,-9.199131590631788e-41,2.7586458954669926e-40,-1.5947010827433668e-41,0.0,0.0,1.732627857030266e-05,-1.6899546143939147e-05,-9.380140853856332e-09,8.86485330715694e-09,-8.387697426881371e-09,8.59336429464381e-09,1.1231461154377835e-10,6.212991014891945e-09,-2.306871241156511e-42,0.0,7.826402977053259e-32,0.0,-4.883438093481383e-46,6.629274231039401e-06,3.708465276867694e-08,8.58014115870767e-34,1.924537517208528e-39,6.067248049174253e-50,6.6301972809371004e-06,3.899750245870334e-08,8.363878044542683e-42,-4.719241883974695e-52,6.6297890858952415e-06,3.733661556134133e-08,-5.977605266758791e-09,2.2003813798767687e-39,-9.496167728211635e-51,-2.2155633161035782e-42,4.6855790241401766e-52
1800,0.0003332949904828036,0.0003332929238283353,0.00033329349654672206,1.87726082763251e-13,1.6071571818133948e-13,8.162435171464965e-11,4.2891341719168485e-18,1.2543743592147944e-10,3.879866479121068e-13,4.308349425410477e-11,4.8655157535781944e-14,2.2127826755946586e-40,2.7287060469942478e-40,6.071915084087556e-41,0.0,0.0,1.7382153842489892e-05,-1.790688600935043e-05,-1.0200628036102718e-08,8.857299409668885e-09,-9.870950888550553e-09,9.060934886209098e-09,1.4409029006243204e-10,6.377267242048566e-09,1.7927486558234642e-41,0.0,8.77669746923951e-32,0.0,6.63874954265711e-46,6.626509775627291e-06,3.991544529355831e-08,7.126415255778349e-34,-1.8853350338220533e-39,1.4853381052893146e-50,6.627605391531782e-06,3.950217260959646e-08,2.2743975623995925e-41,-3.4199876829360455e-52,6.625750434640101e-06,3.941713393579633e-08,-6.857994571281685e-09,-1.4886915386122423e-39,1.0096256769510822e-50,-2.3925647325540306e-41,-2.6166080956539978e-52
1900,0.0003332923910092875,0.0003332922058021299,0.0003332913405114283,1.8954798487862605e-13,2.9331224741378263e-13,9.955390033470376e-11,7.688368804744712e-18,1.4301876504461535e-10,4.777295752400367e-13,5.831916429266886e-11,5.095667776998772e-14,-1.5173565651606978e-40,2.6172157146325383e-40,-6.240899844919448e-41,0.0,0.0,1.8311236335831535e-05,-1.8587784441494116e-05,-9.920616132282136e-09,9.85274041995193e-09,-9.737186988263915e-09,1.0504331417093796e-08,1.7594055133501554e-10,7.140650044590212e-09,6.791107661599587e-42,0.0,-1.602368806647787e-31,0.0,-3.860087272256669e-46,6.6238922622585825e-06,4.116599339135925e-08,1.2291017657931683e-33,-2.747970624803563e-41,4.559217803483378e-50,6.623150273454603e-06,4.048611218864498e-08,1.6263740322526948e-41,1.9701559018329476e-52,6.623068895970042e-06,4.094428115661285e-08,-7.391227299719846e-09,2.1204062864543275e-39,-6.084527568229061e-50,2.32633571013138e-41,-4.8778822170247684e-52
2000,0.0003332900617640903,0.00033328984562292337,0.0003332897899305236,2.374330096050912e-13,3.04253912819173e-13,1.0070324990777385e-10,1.025267809058603e-17,1.4088257385931148e-10,7.095789324110241e-13,7.32791579570675e-11,5.38641512865427e-14,1.7638348248456257e-40,1.149148368490197e-41,-4.168717639279148e-41,0.0,0.0,1.9736376422943216e-05,-1.99851840007721e-05,-1.0512435693161733e-08,1.0379048058696983e-08,-1.1579256812125816e-08,1.1223505121116893e-08,1.7194903245902777e-10,7.274401130909207e-09,-2.2569446848075916e-41,0.0,-1.0729283728257501e-32,0.0,9.116125145718263e-46,6.621840022721703e-06,4.302677388706106e-08,1.8279335684555856e-34,2.220656689319773e-39,-2.231129325337309e-50,6.621615408167455e-06,4.47884269426674e-08,-3.827465357044038e-42,5.612816674951336e-52,6.622627131059712e-06,4.2777738638252405e-08,-7.622469103678961e-09,1.9951963430195922e-39,-2.643205434031069e-50,-1.6661194882617814e-41,-1.6541935248894153e-52
2100,0.00033328733439031257,0.00033328606259307354,0.00033328749442672817,2.757571593083596e-13,2.879878328944349e-13,1.1272096499393087e-10,2.3449147573998906e-17,1.7145472227769935e-10,7.691745285807104e-13,7.303049798488494e-11,6.106501102025085e-14,1.1294064434687844e-40,1.4163553330279076e-40,4.035556565277253e-41,0.0,0.0,2.0675590514024036e-05,-2.1021325220883214e-05,-1.200038522377541e-08,1.2209332180781799e-08,-1.2488412235733393e-08,1.1955859722919044e-08,2.0992293300253243e-10,7.60798810620226e-09,2.1605560464277766e-41,0.0,1.4840704874748607e-31,0.0,-2.4105852509133585e-47,6.620906981174073e-06,4.738846004760938e-08,8.793461978312163e-34,1.7529902080750834e-39,-5.323202915741982e-50,6.620480907693564e-06,4.7415804782970776e-08,-1.5156316529340487e-41,3.853946167669924e-52,6.620364873182267e-06,4.6757570291435836e-08,-8.036580641616017e-09,1.6972159069396774e-39,1.2380432946771475e-50,-1.7270791546844562e-41,3.4406287382705797e-53
2200,0.00033328353022120556,0.0003332858317500832,0.0003332861675615756,3.215115169385417e-13,4.0665842471779717e-13,1.219913143867897e-10,2.880116843859624e-17,1.9327461851163472e-10,8.583583902216326e-13,7.104424106595649e-11,6.549298218583177e-14,-9.433139137900627e-41,-1.9003794380522023e-40,5.463408918598936e-41,0.0,0.0,2.1509941505195963e-05,-2.1444023036746325e-05,-1.2080103026853167e-08,1.2014437337620396e-08,-1.3228753727750535e-08,1.2850184400344309e-08,2.2848296589878364e-10,8.433458759878416e-09,-1.7831431001626468e-41,0.0,-9.681106710851653e-32,0.0,4.923888799888848e-46,6.6175979590376666e-06,4.7828596366459455e-08,7.981626116963842e-34,4.81275221932271e-40,1.8701391061513685e-50,6.617727875671144e-06,4.72574316461143e-08,-1.4260657438345855e-41,-2.008581204451564e-52,6.619537016055901e-06,4.881994961412878e-08,-8.094942845741378e-09,-2.136027677720779e-39,4.353736724141852e-50,8.801952330284798e-42,4.951349290375846e-52
2300,0.00033328326048491334,0.0003332822998759283,0.00033328192713069177,3.893591842484376e-13,3.763421153648164e-13,1.4401446899068831e-10,2.857759384976282e-17,1.9455837007115413e-10,7.590378001596012e-13,8.706540290315202e-11,8.751155363148874e-14,-2.5386916372628584e-41,1.3125347439261815e-40,2.358537818486049e-41,0.0,0.0,2.2348547116138378e-05,-2.3324394841805206e-05,-1.293554101451102e-08,1.3526323262208922e-08,-1.3260744294943071e-08,1.3460346351609968e-08,2.370883012308727e-10,8.366207698784384e-09,-1.252936914465806e-41,0.0,2.070625957562588e-31,0.0,-2.8247483953784337e-46,6.6170540186949655e-06,4.9829153440230354e-08,9.153677487965168e-34,2.620329840141269e-39,4.114904526581101e-50,6.6173658587157996e-06,4.9615633166474126e-08,8.618558929371128e-42,-3.264151722005259e-52,6.614886518133994e-06,5.178653081839737e-08,-9.043066067469425e-09,-8.253622046020795e-40,-7.272222240454036e-50,-2.2626166937099534e-41,5.3941620299916376e-52
2400,0.00033327948508509397,0.0003332792964013263,0.00033327891277784956,4.2157584855654174e-13,4.353008879232144e-13,1.4809745673178385e-10,4.908302171856319e-17,2.493728612846309e-10,1.1209448903734266e-12,1.2287787943911102e-10,9.558327262595266e-14,-1.3925011392069574e-40,1.6903635124382246e-40,-2.449998076212606e-41,0.0,0.0,2.4323137059127866e-05,-2.4579494492831888e-05,-1.4310712951899356e-08,1.3562124677640662e-08,-1.3966950476913968e-08,1.4603195914138746e-08,2.674058947389404e-10,9.170696468494365e-09,-9.977709923251559e-42,0.0,1.4769486705134058e-31,0.0,-2.9687927101331724e-46,6.612425182224346e-06,5.351985314004602e-08,-3.181948792351778e-35,2.0680783456555104e-39,2.9661825389587227e-50,6.61198260733824e-06,5.1542938518015486e-08,2.8742623685758265e-41,-3.0677390362887884e-53,6.612470956406669e-06,5.330202094358214e-08,-9.444615253597437e-09,1.1869946712175442e-39,-4.0270095893722343e-50,3.004559891493465e-41,1.689218545210698e-52
2500,0.00033327732430017047,0.00033327640296782347,0.0003332769163205008,4.484040315606858e-13,5.756892337523186e-13,1.5726332390828156e-10,4.784084845563055e-17,2.5752076539582205e-10,1.1589759908885398e-12,1.2718533564474386e-10,8.705168416687e-14,2.269161629397293e-40,3.9299305747226045e-40,9.58763218112715e-41,0.0,0.0,2.4766267869631553e-05,-2.5176330542923068e-05,-1.4745990586898303e-08,1.4628398970550718e-08,-1.5341602737255513e-08,1.4730052982842566e-08,2.6536571377373884e-10,9.478191213136363e-09,3.0548564934690226e-42,0.0,1.839351723600925e-31,0.0,6.293368478079407e-46,6.611708061043726e-06,5.6685294715324627e-08,-6.828644932600444e-34,-1.6373180800828567e-40,2.077765879914124e-50,6.612415414192655e-06,5.636853920383536e-08,2.570120797317694e-41,-5.844625018312257e-52,6.611441080230646e-06,5.6354235535917205e-08,-9.369879396752008e-09,3.2314525078011505e-39,2.6110394272610253e-50,-4.6019359614347815e-43,-3.3051933461824947e-52
2600,0.00033327534351790836,0.00033327444416777986,0.0003332770644549012,5.153164425230823e-13,6.884776663320884e-13,1.8711709362996865e-10,6.665997262670054e-17,2.892247985968801e-10,1.4299736224180812e-12,1.5035855309866336e-10,1.1373801888337254e-13,1.5752332960627127e-40,3.6360645437666486e-41,-3.4681649971020123e-41,0.0,0.0,2.6192845521998644e-05,-2.666528026528232e-05,-1.5458792456430142e-08,1.6096937015409834e-08,-1.6452376588127346e-08,1.5582636958972425e-08,3.0720853654412644e-10,9.901286764554916e-09,2.377050743771858e-41,0.0,5.304002773845804e-32,0.0,-8.979751765233017e-46,6.610584321031218e-06,5.8344697776211136e-08,-1.0953054958283817e-34,1.7033458253416704e-39,-7.557073335635432e-51,6.6082857724087006e-06,5.841965640858105e-08,3.94801219379569e-42,2.4983423948601226e-52,6.608556603343496e-06,5.7426894938528766e-08,-1.0307189892495477e-08,7.911338682200953e-40,-3.7324543718110596e-50,2.739447586519578e-41,-6.55190824815162e-53
