milliseconds,sGCfast,NO_sGCfast,NO_sGCfast_6coord,NO_sGCfast_5coord,sGCslow,NO_sGCslow,NO_sGCslow_6coord,NO_sGCslow_6coord_NO_int,NO_sGCslow_5coord,NO_sGC_5coord_tot,sGC_inact_tot
1900,-0.000469151356850708,1.302037452300496e-12,0.0011448205021613034,0.11132936755816768,0.0010038299311102533,2.5985924608020287e-11,0.20674066828219706,0.019218492410243183,0.06416754834911671,0.1773348435632921,0.22603125998507254
2000,-0.00022390937483145006,-3.7205516096842215e-12,0.0011725707889794221,0.11066848456063198,0.0018231576490750302,2.6631725718053485e-11,0.20307121448185317,0.01895024730579404,0.0663968223064849,0.17797056069170133,0.22261348838130482
2100,-0.0004220553837021279,1.1208546998015415e-11,0.0009925145980328595,0.11014548028288282,-0.0019080334246936127,-1.3780712037187391e-11,0.19700295326933073,0.018971940227865722,0.07105019055702799,0.1814173632835657,0.21795663821890507
2200,0.0004232171468039638,-4.98545137515703e-12,0.0012210802659515319,0.11147042605160092,0.001297536965506156,-1.039626178650982e-11,0.19764147284110123,0.018596437708700196,0.07277569817989138,0.18526931700681545,0.21515095888309727
2300,0.0005952100598400028,-5.923778664976789e-12,0.0010742336916549692,0.11146619086317126,0.0006478993830960192,-3.9194415017387296e-11,0.19380817831948935,0.01849974420037042,0.07602827510171507,0.18426531776745428,0.21535827132370297
2400,-0.000708616840488282,1.086825722339998e-12,0.0011212391565560056,0.11087279357213313,0.0017390694733818303,1.2425942704361094e-12,0.19220929569998826,0.017986281892499793,0.07807970205732337,0.18814912461394934,0.20912650072276134
2500,0.000170411094590053,-1.1213953144805647e-11,0.0012216089415619347,0.11132321592493537,-0.000582967007795428,-1.5767466975756104e-11,0.19112611629146692,0.018060092185671,0.0813913452491506,0.18969259485005213,0.20897014739242856
2600,-0.0006327796681895538,-2.7831323620261623e-12,0.0012218635399216839,0.11142877111207312,-0.0007396970716088969,-3.086800801749885e-11,0.18582946153180777,0.017727893277519027,0.084645797140614,0.1925027285034974,0.2054916316214539
2700,0.0007118611307833733,-1.4319079311254584e-11,0.0011415100787083487,0.1106710587615946,0.0016927504685976223,-2.2979324620624843e-11,0.18233098230420447,0.017265316282758895,0.08528638026143673,0.19846033001459348,0.2017101960877192
2800,3.252304494261859e-05,-1.2211334482523217e-11,0.0012227772373584805,0.11138462466905172,-0.0016377604139804153,1.697103509437835e-11,0.18116788902823816,0.017290164644725846,0.08843994847771086,0.19822823721189595,0.20103993683062304
2900,0.0002546771227037819,-4.412944625748658e-12,0.0012070844285532064,0.1103430778194956,0.0007662980235679222,-1.4551610650805882e-11,0.17814427817740705,0.017068149738892233,0.09038226740676106,0.20320054648753844,0.19853751204580666
3000,0.00031451203490244674,-6.875784642826466e-12,0.0010330367202180035,0.11127154273695673,0.00045194966518397864,5.0851043429179695e-12,0.17927333719136185,0.016739389351660416,0.09480840541159909,0.20281296358655834,0.19662056960389657
3100,0.00023095335494892864,1.2647443376337097e-11,0.0011962843116691284,0.11146360419393696,0.0008055604103053947,-3.364258828193685e-11,0.17544245089277616,0.0167372351155405,0.09664163990541437,0.20651227591747953,0.19097438342575884
3200,0.00014447975982770646,-3.1415589567000717e-12,0.0010243489353308484,0.11121226123944744,-0.0013899130557940879,8.521956456365213e-12,0.1738135436544097,0.016192246737657925,0.097482934279946,0.21051927083462652,0.18997779586793284
3300,-0.0004585281695673421,5.29907130639563e-12,0.0012034748173462269,0.11088429372481982,0.001468833922021729,-2.1882302238369752e-11,0.17101479094628635,0.016336490010224775,0.1015255152054963,0.21454196905059808,0.18874515944998363
3400,-0.0005500572255144991,2.4507570705109036e-12,0.0012071116967456471,0.11138710405334663,-0.0014120259932129864,-3.777631639490329e-11,0.1660474663749516,0.01580728519816534,0.10532724574906482,0.21490497560982752,0.18299888010015483
3500,-0.00010408296846320285,-1.1296344138492897e-11,0.0009901923807409576,0.11066436732621376,0.0017098383860398435,-2.2900820741675387e-11,0.16399367021879288,0.015950818063911645,0.1065159644270331,0.2172724500080456,0.1825811967582204
3600,-0.0007724641536958333,3.2816508303987045e-12,0.0011370551587241166,0.11018007607781927,0.0005735534456210565,2.8785881214218036e-12,0.1622693546960101,0.015620234836875687,0.10829619639191998,0.22096496552863987,0.18205882376581958
3700,-0.0006852060189826668,1.0498522531076561e-11,0.0010554183545107426,0.11119889134192897,0.000702806907070841,3.125287403991922e-11,0.16391742339066626,0.015360042078400615,0.10875701912084254,0.22310728971190422,0.17665311165143185
