miliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
2700,-2.2638877471458132e-13,3.879713979948155e-14,2.6031143637874725e-16,-1.479336617575198e-13,5.657290289399808e-14
2800,-2.2472521682259696e-13,3.9737370275308174e-14,2.7927846984085205e-16,-1.457818849774531e-13,5.909346362384822e-14
2900,-2.2338184375158646e-13,4.115229177780162e-14,2.997037609956199e-16,-1.4258537305076265e-13,6.242653947202977e-14
3000,-2.2499087093467289e-13,4.2147770294119524e-14,3.155669722811426e-16,-1.430572775254547e-13,6.561741801968097e-14
3100,-2.2671368977131458e-13,4.13543562730114e-14,3.0415212048367087e-16,-1.4500215032689532e-13,6.55374487665796e-14
3200,-2.2438196475694253e-13,4.113662080281689e-14,2.899881555289516e-16,-1.4515915022432028e-13,6.547750113797747e-14
3300,-2.2321054707308825e-13,3.978337490899846e-14,2.7486727362866547e-16,-1.4268260766462907e-13,6.367143982168531e-14
3400,-2.1992685727126463e-13,3.9631568651063294e-14,2.629604180859464e-16,-1.3953441075426756e-13,6.550124902690902e-14
3500,-2.1499637815129648e-13,3.891474002443621e-14,2.497644287938652e-16,-1.3901917295498612e-13,6.409333985520642e-14
3600,-2.1395575968161514e-13,3.8426361098949877e-14,2.27993241163243e-16,-1.3650831611284916e-13,6.253548564806766e-14
3700,-2.1569228315248746e-13,3.764743450628024e-14,2.1923329341605784e-16,-1.3837471011616588e-13,6.388765055274335e-14
3800,-2.1215076165560727e-13,3.6762234074715655e-14,2.0162506707581032e-16,-1.367363176249167e-13,6.377316970737314e-14
3900,-2.133088167290624e-13,3.632642138942846e-14,1.8835506090621488e-16,-1.3868847785501514e-13,6.159647576004665e-14
4000,-2.116995404716242e-13,3.613877139239769e-14,1.7767008248786041e-16,-1.3519577491530777e-13,6.132238280780051e-14
4100,-2.0756293190486802e-13,3.4629087208610007e-14,1.5661506406431235e-16,-1.3215516842593236e-13,6.033286454258952e-14
4200,-2.0404123969902751e-13,3.4243324638645326e-14,1.5045025274482026e-16,-1.32237902964485e-13,6.088216831294274e-14
4300,-2.0625761891311948e-13,3.414931499551676e-14,1.3385020124562508e-16,-1.332737311784925e-13,6.070900292365766e-14
4400,-2.038635786490122e-13,3.321357787248254e-14,1.216463970652853e-16,-1.3253452475297375e-13,6.010668683180787e-14
4500,-2.0141520711872018e-13,3.25360012899728e-14,9.95625956212181e-17,-1.2704042675356395e-13,6.085592791378198e-14
4600,-1.9832529885228318e-13,3.221098960102854e-14,8.782308115512299e-17,-1.2740727824173425e-13,5.957590371956894e-14
4700,-1.9835798751058517e-13,3.140957534046221e-14,7.717250055355865e-17,-1.270632016236627e-13,5.909956797569856e-14
4800,-1.9403057068076663e-13,3.077544858340313e-14,6.162871983835283e-17,-1.2457610280241762e-13,5.824269332854242e-14
4900,-1.9112025296315206e-13,3.015133954151167e-14,4.6740156269018536e-17,-1.2139253026209197e-13,5.7000854138865e-14
5000,-1.9000764101229533e-13,2.9296229032447656e-14,3.090534971792222e-17,-1.2548967998698032e-13,5.6549037682893926e-14
