miliseconds,C16AcylCarCYT,C16AcylCarMAT,C16AcylCoAMAT,C16EnoylCoAMAT,C16HydroxyacylCoAMAT,C16KetoacylCoAMAT,C14AcylCarCYT,C14AcylCarMAT,C14AcylCoAMAT,C14EnoylCoAMAT,C14HydroxyacylCoAMAT,C14KetoacylCoAMAT,C12AcylCarCYT,C12AcylCarMAT,C12AcylCoAMAT,C12EnoylCoAMAT,C12HydroxyacylCoAMAT,C12KetoacylCoAMAT,C10AcylCarCYT,C10AcylCarMAT,C10AcylCoAMAT,C10EnoylCoAMAT,C10HydroxyacylCoAMAT,C10KetoacylCoAMAT,C8AcylCarCYT,C8AcylCarMAT,C8AcylCoAMAT,C8EnoylCoAMAT,C8HydroxyacylCoAMAT,C8KetoacylCoAMAT,C6AcylCarCYT,C6AcylCarMAT,C6AcylCoAMAT,C6EnoylCoAMAT,C6HydroxyacylCoAMAT,C6KetoacylCoAMAT,C4AcylCarCYT,C4AcylCarMAT,C4AcylCoAMAT,C4EnoylCoAMAT,C4HydroxyacylCoAMAT,C4AcetoacylCoAMAT,AcetylCoAMAT,FADHMAT,NADHMAT
1000,0.37024795358825224,0.4128078752281429,1.1245681639454048,0.04242678801969065,0.1288796096187499,0.0004061653963853003,0.038264675895063875,0.15039298705330847,2.0816319359182467,0.039352586865916625,0.11293519573858077,0.0003636096511728209,0.0931947961672981,0.219506877413638,2.521621952419405,0.04481441071739533,0.13334881994980471,0.00043087325068564945,0.03873510948505502,0.1738849817081181,2.457231865406164,0.04015736940326169,0.11783770700003447,0.0003867976327795499,0.052747486419580374,0.14239778053160307,2.0076488397883367,0.07793617106546279,0.2464791853040335,0.000778940329109923,0.03594239100911546,0.14384980893217839,4.579549984365206,5.221024900981611,16.69063133742141,0.051821232927317114,0.01124243020403982,0.03593631920690567,7.633409597800689,17.955588022564513,56.67901794001857,0.17956480840735137,30.000000001421743,0.46000000131246677,16.000000001321776
1100,0.3764773546104152,0.42535518781607645,1.1890725225230436,0.04476693092731448,0.1387386419039258,0.000423462933166398,0.03920626756316066,0.15799925403987178,2.2075913852362703,0.041687360286433946,0.11891843761057776,0.0003845174697321729,0.09400236773285071,0.2290045362684649,2.6047573743716024,0.04645168189368815,0.13871705644202864,0.00043964016810564446,0.041760902580886036,0.1814994691182079,2.535586364438246,0.04165291816930578,0.12512897590828503,0.0003934145575810276,0.05479249764502243,0.14969963450730606,2.0786325459703128,0.08029924603789007,0.25116686199606547,0.0008053465060210085,0.0392018388356937,0.15449717547116706,4.711407871905888,5.480800157557425,16.747153059528536,0.053135554951649816,0.011543916544688834,0.03790612252787565,7.90425012709526,18.786494346645167,57.05500838797125,0.18265640984469675,30.00000000146735,0.4600000013518785,16.000000001345935
1200,0.40014037832034405,0.4453678703990287,1.242073736676441,0.04623074859535337,0.14292821373610287,0.00045736661333535566,0.04089133008451076,0.16803424448919654,2.3931498971236143,0.04315777973017491,0.1283021207774799,0.00040314311050851793,0.0934378341966544,0.22769682641811326,2.6517891743000015,0.046602011299183656,0.14546957053207357,0.0004528209693922628,0.04595144467325253,0.18342117464514554,2.638706612388384,0.04172501658480331,0.126203351311526,0.0004024072350740083,0.053917397480327936,0.1489057757011108,2.1464386432420333,0.083837966118022,0.25811150516263415,0.0008156092758049537,0.03830876075557609,0.15734561060552416,4.677757301968684,5.475554333085257,17.022016073295386,0.05534195168427367,0.011390867087083706,0.03889621859984405,7.946717909598901,18.915201056236466,58.91846296728352,0.18580257756546895,30.000000001483865,0.4600000013531876,16.00000000135517
1300,0.41456443203822224,0.4646208144452037,1.276807351025742,0.049030547427925536,0.14848065547500833,0.000471195264128596,0.043643075927524505,0.17473780050510163,2.5217511687158662,0.04651448843640404,0.13164444076684967,0.0004215561292428447,0.09374527325049754,0.2418276044724366,2.8138122282714435,0.04838384680924538,0.15019572920153174,0.0004704871435056969,0.04853590706487911,0.19621923592960885,2.799686669145165,0.044243384202117896,0.13315679815246176,0.00042770297534085844,0.05492289702970835,0.15503730774084892,2.2033930048896,0.08745816096625114,0.267741513579623,0.0008548210445408153,0.040472414351847535,0.16941255713790054,4.954202618253161,5.6009294560396885,17.570329476638623,0.05653702142115021,0.01233917743737692,0.03924563596802956,8.42852787600666,19.186211829497708,60.27616186915677,0.19020806528862944,30.00000000148527,0.4600000013805881,16.000000001366573
1400,0.4213359412431846,0.49036713100704704,1.365579841059315,0.051380267778853614,0.1549818729105917,0.0004928544034474891,0.045943032985701786,0.18967434279566747,2.613197283382789,0.04718581448410782,0.13665079608640493,0.00042950019175698657,0.09439828433655112,0.24746300289245993,2.9121912317344845,0.05119970743962719,0.1515906972714532,0.00047865434447830614,0.05172668291843694,0.2043038887634894,2.790541012105606,0.045311982561773,0.13433718889740573,0.00042766917349054543,0.0559128519142144,0.15623630626825216,2.2695824525741304,0.09021194123532479,0.2727647429770615,0.0008729207642808871,0.04422533967827996,0.1696662468372591,5.078270715459606,5.720030812309518,18.2546090790245,0.0561950165826464,0.012434179187560467,0.04066479849222581,8.470869659816287,19.869585127319436,60.91622935041889,0.19784288379956547,30.000000001527553,0.4600000013915341,16.00000000139953
1500,0.4320932567164079,0.5042869866923252,1.4185121223234387,0.0518220641647018,0.16221483858888702,0.0005210516460044756,0.05032119555296375,0.197848578087841,2.7287616020284,0.05005170905516629,0.14079707791965815,0.00044886410059568206,0.09609554940800782,0.24574976674041235,2.957261952473733,0.05083506215967666,0.15737041349535075,0.0005010827261500412,0.054581309591283135,0.2119828164046189,2.9552587949718454,0.04557646455943386,0.14251126947828674,0.00044390618994623717,0.05656570332321746,0.16178510215349104,2.285467484742789,0.09150012370667746,0.2777165596768935,0.0009002667667643324,0.04834132822970423,0.17973858577567575,5.1868956385653915,5.841231543009034,18.283547578037872,0.05729110836146312,0.012550221269614123,0.04141286134538451,8.747605693991519,20.150035234847707,64.0907705567683,0.19608417945926868,30.000000001531088,0.4600000014107095,16.00000000140286
1600,0.4439646723144963,0.5227744494780601,1.4989551493877011,0.054216688064707974,0.1721886964077287,0.0005317175373484416,0.051197509323900735,0.2030599396760996,2.8406843839577234,0.05193870663436341,0.150450460246954,0.0004641739251860192,0.09575067887873681,0.25612440622384663,3.0336813614719196,0.05270287019988661,0.16232710674466866,0.0005151481533925092,0.05779171933634297,0.20943501767221887,3.04211775033778,0.047641311879591086,0.14602197144322834,0.00045824670486071677,0.057248162073321215,0.16612712498275198,2.4147101691734485,0.09226032397550313,0.2851942791503383,0.000909934115223027,0.047576022363099435,0.18629634294230235,5.353843763921072,5.965483230310653,18.820213858606028,0.059524026259727796,0.01342931863607216,0.04241370854304301,8.793649577365217,20.398905008811376,64.86452128436068,0.20238058431811792,30.00000000155972,0.46000000144496583,16.00000000143671
1700,0.4582390359848143,0.548027127087029,1.5512168589828907,0.056755709215803044,0.1743731620356033,0.0005638203070117247,0.055917848261819975,0.2076394991193684,3.0278232386689683,0.05205472941921166,0.15600568432140546,0.0004950154011089882,0.0985634636578694,0.26176779146909895,3.1779181202536546,0.055131460662430194,0.16480851303265065,0.0005271088856442775,0.060015592701063276,0.22310340510963456,3.09429303526048,0.0491738631989615,0.15132070414905513,0.0004674548500578372,0.05873417841199907,0.16692258355451217,2.4436742991052123,0.09652096152807504,0.2954406098374583,0.0009190286916553736,0.05053225523943999,0.19062963862966212,5.480130418542685,6.103319223609382,19.354097905182538,0.06049305232317752,0.013507183484772941,0.04406166566941569,8.978268198867628,20.752269673051078,65.25992768850436,0.20721133092005,30.000000001581885,0.46000000144596753,16.000000001437865
1800,0.46728291255130333,0.5597258538603397,1.654899486397753,0.05789723228790856,0.1835766521569223,0.0005816760082749641,0.05830355779984745,0.2221315818887765,3.0936110639779657,0.054484919224635456,0.1559780652402874,0.0004942622159957476,0.09841369998476372,0.2678365610671793,3.271402475395603,0.05573545578444632,0.1697084106640118,0.0005431936442218519,0.06124065388191016,0.22947758818171624,3.149667228791111,0.04951932684306326,0.15412006471409337,0.0004881632799212097,0.06030330647843007,0.17025594748564635,2.497746266692132,0.09885817078438298,0.3070969102345243,0.0009386752895394342,0.052640259263140546,0.1994319306404623,5.464702018337238,6.323447967128317,19.58931435220377,0.06089048509884334,0.013797237422649093,0.045664576761058576,9.448979741998276,21.5462806726293,66.6888462633514,0.2120515247090116,30.000000001588166,0.460000001461186,16.000000001470674
1900,0.4813682907272288,0.5614437632389251,1.698267488649178,0.060487788194346574,0.1905708493482865,0.0005892051904998138,0.06142311433322542,0.22517919341083964,3.2495751412837235,0.05587098989846349,0.16300520139529412,0.0005228288012869689,0.1007994797812986,0.27282417145336435,3.3045574313635053,0.056615764897136725,0.17650136160817723,0.0005532877247666465,0.062472366267760086,0.24082762494483903,3.2529056095936606,0.05025173606016974,0.15478817403096481,0.000498963801177489,0.06133055346380549,0.17331910787883292,2.5183499246118193,0.10089050525942561,0.3128003351997654,0.000978679499304826,0.057646567865926805,0.20133731529500593,5.5554022637521525,6.462346899685956,19.918819892452277,0.06273583389710508,0.014238955333315585,0.046375143178996846,9.454973357629102,21.969545171355175,67.32463291382754,0.21285305982304273,30.000000001609646,0.4600000014925036,16.0000000014855
2000,0.48037874913521145,0.5826599226578141,1.7228305149766037,0.061665076935062686,0.19325064096841996,0.0006105811723892668,0.06343280697558476,0.23341393181664616,3.350665752136216,0.057221647726220036,0.16509940599961972,0.0005386687752849911,0.10040425011199945,0.2795481477970134,3.5068064231113607,0.05842524199628367,0.1776040953137036,0.0005593650775073684,0.06519664470434798,0.24751909209777437,3.353206199298728,0.052891651161277434,0.16262385913666264,0.0005045580524568511,0.06184594838109151,0.1766677496373,2.5689538200738515,0.10355703199952293,0.31940496928022355,0.0009954570660909074,0.05811729805319393,0.20525829874639248,5.807750303950627,6.521294573084984,20.364807987765467,0.06299939356401668,0.014801028989440024,0.04818526768577802,9.774582155324925,22.24221805774287,68.68683681383278,0.21914901453298186,30.00000000161725,0.46000000149103637,16.00000000148585
2100,0.4986480529550212,0.5933303133946468,1.7925744646312785,0.06423616440557572,0.20178486448492097,0.0006350696678812593,0.06422499800796772,0.2437304052602839,3.367633538956074,0.05894218603156146,0.1745902674363206,0.00054317000238238,0.10224741258914712,0.28187328213209417,3.4739819585551097,0.059956184035409976,0.18523526477512084,0.0005783006771974985,0.06911476576882769,0.2500443572318691,3.4935137973657224,0.0527209644864362,0.1624506684151563,0.0005163395642814839,0.06348384457961197,0.1816561842866808,2.685943076052954,0.1051273581554073,0.31773449553424443,0.0010151996670542487,0.05947457699075366,0.21009448874049727,5.8719275933160855,6.604941903301407,20.326855864567232,0.06396909230497393,0.01569951225161629,0.04912228880816397,9.775628347049594,22.57234126276791,70.69478355722292,0.2211823325311788,30.00000000161815,0.46000000151428755,16.000000001505278
