milliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13
2000,0.06957239290316086,1.2565032931003516e-05,0.007906311102286753,7.903507126529589e-09,0.007813514313592874,3.738128399554708e-05,7.93029630160414e-06,2.1482442371381048e-05,-1.760679218241138e-11,0.012188315865133637,3.0034619641589845e-06,6.683685403664236e-14,1.6469138805215186e-08
2100,0.07257774166038776,1.3191867784778714e-05,0.007743984778130387,1.0663043279621462e-09,0.007645270702094258,4.625703870781375e-05,1.2846511168584125e-05,3.3306897773078246e-05,2.2460040982487725e-10,0.01202639840198821,2.3049114323628466e-06,4.463960672466674e-14,3.75107957201575e-09
2200,0.08165571909231718,1.222540836128862e-05,0.008590345954868645,8.300017544999756e-09,0.008948578391624712,4.2651068381161135e-05,1.1381558013756579e-05,3.412067207937303e-05,-2.4720750835703558e-11,0.012210136042235838,2.465191943033856e-06,4.2947614542795773e-14,8.573938924101115e-09
2300,0.08106617940274684,1.5111740710879762e-05,0.008376649278122466,2.0953606101385447e-08,0.008925193282967486,4.3166075360475455e-05,1.3943786515688888e-05,4.6951716605029255e-05,2.0442218462091573e-10,0.01287671092004586,1.780146144190384e-06,-6.937819445596491e-14,2.4397885665777595e-08
2400,0.08493742924859898,1.835682859965902e-05,0.008595825386959178,3.721125797023186e-08,0.00900882777821098,5.058307051835872e-05,1.6715947358317985e-05,4.122171433383966e-05,1.4122533840333952e-10,0.013166150741661392,2.9999486722797706e-06,-5.0509042090362136e-14,2.624000846744799e-08
2500,0.09149117455758991,1.8003100566350488e-05,0.009228983540062236,2.7877719287852262e-08,0.009542621010113233,5.1792440596771606e-05,1.8258070936978615e-05,5.032236409793352e-05,2.9002259088888343e-10,0.013809470614938823,4.664774643326786e-06,-2.5962586997202386e-14,2.7470169454345162e-08
2600,0.09354082092869334,2.473486957908284e-05,0.00920474225396573,2.826075734853956e-08,0.010107788581930332,6.234155144553375e-05,1.8936388756388903e-05,6.949677506252143e-05,1.8711442500647672e-10,0.013233779432155682,4.367580934185353e-06,1.340544432080349e-13,1.6038371095811877e-08
2700,0.09280985648603335,2.361801466549498e-05,0.009818793535477691,5.1838757982052954e-08,0.010438184653917562,6.70791411538114e-05,1.9615095645469844e-05,7.001108076863701e-05,1.8221998267035624e-10,0.013883612569169382,4.790545508045514e-06,1.5845847738972127e-13,3.9035817234881857e-08
2800,0.1025844778651465,2.8810818786892207e-05,0.009856034450504307,7.917281005325989e-08,0.010691990770760383,7.080370443602154e-05,2.219320652253048e-05,6.709297049835838e-05,5.255259882481265e-10,0.014169034909579442,6.684417360405494e-06,1.4560976865360194e-13,3.1544844501073006e-08
2900,0.0976562011375924,3.2220942926303986e-05,0.010195013138003098,6.259139015077002e-08,0.010568411397252151,6.864183159288743e-05,2.188799234956063e-05,8.108261855077125e-05,4.174656476784908e-10,0.014468044933508452,7.064293913080313e-06,1.8137277059246428e-13,4.09658002469933e-08
3000,0.10365710484225253,3.0096284023931132e-05,0.010216008838737712,8.225566593100191e-08,0.011230365962681522,8.034956177418635e-05,2.7234263472530953e-05,7.980798535051939e-05,6.504167307286492e-10,0.014878467205118213,9.955836700004147e-06,1.2514378092626037e-13,5.0364101713860835e-08
3100,0.10616498783544595,3.440664038558413e-05,0.010657156339219697,8.645840427020583e-08,0.011189813232578606,8.30012476311502e-05,2.5812651471435503e-05,8.71410819239511e-05,7.321965368456576e-10,0.015447966366755914,8.226986030641404e-06,5.005723328766453e-14,4.258027698627653e-08
3200,0.11583827912404612,3.843933057150851e-05,0.011180957654755042,1.1429675186118477e-07,0.01153988844010753,9.13738487843816e-05,2.663245226499559e-05,0.00011365262402751506,7.049012412922297e-10,0.016032647939862532,1.1915318452068232e-05,2.1601280708939254e-13,6.24921764159941e-08
3300,0.11766281924239934,4.171869568935672e-05,0.01110195270240983,1.1840914776314855e-07,0.012048745278161244,8.608068736424445e-05,3.0904547301406283e-05,0.00012249610116668542,8.69257858571627e-10,0.016012644947289167,1.2446106668552101e-05,2.879692788236694e-13,7.78767636248518e-08
3400,0.11983479845611172,4.0724333725632414e-05,0.01156506218904085,1.25643257075505e-07,0.012658928137993424,9.058396804134584e-05,3.51234054590247e-05,0.00011445161601840605,8.994065600405312e-10,0.015958661784123557,1.378762105660719e-05,2.0714051962415816e-13,7.854146940467566e-08
3500,0.11816387242255703,4.767420504352507e-05,0.011784775876742407,1.7321316258375736e-07,0.013126263316922633,9.862056928289917e-05,3.8046982079712774e-05,0.0001409470407394775,9.602782572018213e-10,0.016525459905921486,1.4734711002535627e-05,3.497969891864512e-13,8.101287699172326e-08
3600,0.12913897208153757,5.206770624142385e-05,0.012523517732107699,1.871449021171591e-07,0.013304140501533415,0.00010893474875048472,3.794894204231926e-05,0.00014892814566498238,1.2549884317259614e-09,0.01640479457345171,1.8824920979423524e-05,3.7552505146418066e-13,9.561053405283854e-08
3700,0.12542424063953705,5.358327793583142e-05,0.012502479994623682,2.039038250240839e-07,0.012883881525247456,0.00010915388464061565,4.157217949927387e-05,0.00014840024976729157,1.3505576194601558e-09,0.017200081973067795,1.902012522666574e-05,4.941811969328515e-13,1.056896968683394e-07
3800,0.12802601098833227,5.529903883328523e-05,0.012784301669728404,2.137834038598452e-07,0.013308178640859585,0.00012059681359027223,4.504536256491522e-05,0.00017043507916805485,1.628166078257731e-09,0.017476498169726965,2.1539777244227104e-05,4.91774554990623e-13,1.3684476189151214e-07
3900,0.13278949357875205,5.7928253413750276e-05,0.012920180889633757,2.2949222301470506e-07,0.013744531267328858,0.00011856071240354974,4.686969146547406e-05,0.00017986956717096062,1.8889657302462833e-09,0.01821360239624675,2.4309272497613667e-05,7.670097242253658e-13,1.348801252984196e-07
4000,0.13492112438553244,6.202349944983918e-05,0.013805717912333076,2.597025074495237e-07,0.013836335716627906,0.0001315991344871292,4.8898605047368807e-05,0.0001997299027991025,2.1490064924877007e-09,0.01810866740262301,2.6719744575303478e-05,8.793326459287213e-13,1.6760247663584e-07
4100,0.14409116371224417,6.529503350656072e-05,0.01340448216280509,3.0103646444542274e-07,0.014179461480533888,0.00013764615337671685,5.001326397182218e-05,0.00019990137541654534,2.2353001065067677e-09,0.018072308827012964,3.0124702348476102e-05,1.2030677624501377e-12,1.8458307181299657e-07
4200,0.14553570133286847,7.143287312793969e-05,0.014027404320738894,3.359006440648894e-07,0.01479020455696632,0.00014158793048733823,5.470736825649994e-05,0.00021928367981266877,2.443194106815791e-09,0.0184037617273045,3.221171389572003e-05,1.406616644323679e-12,1.9337742126175067e-07
