miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
1600,4.1355565324829334e-11,5e-06,9.668568568098355e-10,6.64705411873225e-10,4.501025431383533e-23,3.2554768402256524e-09,1.6498041792542597e-13,1e-05,1e-05
1700,4.118130017447173e-11,5e-06,9.720409705712545e-10,6.958243245443203e-10,4.510838914301119e-23,3.445082172061867e-09,1.821337880803694e-13,1e-05,1e-05
1800,4.113808393352877e-11,5e-06,9.707744254472184e-10,7.541568236796008e-10,4.530639865024469e-23,3.5511274154329547e-09,1.842222935493065e-13,1e-05,1e-05
1900,4.110012385693542e-11,5e-06,9.72234708872703e-10,7.601826963686678e-10,4.4808327605865235e-23,3.874575622544594e-09,1.9356225525481567e-13,1e-05,1e-05
2000,4.1063277492640005e-11,5e-06,9.680039298723566e-10,8.078349331769195e-10,4.482704882922652e-23,4.578423819456334e-09,1.9979149179186533e-13,1e-05,1e-05
2100,4.099092055391862e-11,5e-06,9.676512774099122e-10,8.90029806881401e-10,4.535384717458315e-23,4.710424714693668e-09,2.11881081863172e-13,1e-05,1e-05
2200,4.098140804153649e-11,5e-06,9.720390485542564e-10,8.810622150339632e-10,4.5025976939445737e-23,5.5457367086321435e-09,2.2229162595700958e-13,1e-05,1e-05
2300,4.1132968286104376e-11,5e-06,9.67472696355508e-10,9.381733873122316e-10,4.4927861148505875e-23,5.634918948353038e-09,2.4176903308168533e-13,1e-05,1e-05
2400,4.123696401938835e-11,5e-06,9.653147321583572e-10,1.0062057316601676e-09,4.4939542127129295e-23,6.574432592417365e-09,2.4223585841687506e-13,1e-05,1e-05
2500,4.128750248803434e-11,5e-06,9.709108069953334e-10,1.0047293815442083e-09,4.524308261960073e-23,6.992824997978803e-09,2.533145409934914e-13,1e-05,1e-05
2600,4.124892643383173e-11,5e-06,9.753350966703354e-10,1.0923069362726509e-09,4.5363797023788046e-23,6.98139147473875e-09,2.572713465858614e-13,1e-05,1e-05
2700,4.1457245997617905e-11,5e-06,9.678447268782737e-10,1.0847355385235927e-09,4.5094647477550214e-23,7.986614586131515e-09,2.687272168174732e-13,1e-05,1e-05
2800,4.136520711032969e-11,5e-06,9.654044467425933e-10,1.126027941897446e-09,4.5281364531081213e-23,7.990892365457926e-09,2.7729816432866807e-13,1e-05,1e-05
2900,4.149516529416252e-11,5e-06,9.728929025539698e-10,1.222603788726846e-09,4.490143144185706e-23,8.447485240451797e-09,2.873365070346656e-13,1e-05,1e-05
3000,4.11920851292834e-11,5e-06,9.659731650930138e-10,1.2607403657229668e-09,4.478899926660945e-23,9.158742057932782e-09,3.0815110763391294e-13,1e-05,1e-05
3100,4.1495005814027495e-11,5e-06,9.679165302526e-10,1.3011546760035002e-09,4.480336914385332e-23,9.947587724495035e-09,3.0845481958420197e-13,1e-05,1e-05
3200,4.1394697601333554e-11,5e-06,9.741450459403937e-10,1.300483324558254e-09,4.481947230411039e-23,1.0559005691680112e-08,3.279655921792939e-13,1e-05,1e-05
3300,4.1340161346938166e-11,5e-06,9.694693582201429e-10,1.370147613198549e-09,4.5036046676109577e-23,1.095994998199076e-08,3.277654591684441e-13,1e-05,1e-05
3400,4.15105124020562e-11,5e-06,9.746544782568313e-10,1.4099130670089174e-09,4.491397604490486e-23,1.1422801819738644e-08,3.433372982742992e-13,1e-05,1e-05
3500,4.121520263505383e-11,5e-06,9.709254335914391e-10,1.4350057969201118e-09,4.505809927040332e-23,1.1978848790511094e-08,3.4397313217032253e-13,1e-05,1e-05
