miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
2600,4.146040431664305e-11,5e-06,9.676024819677528e-10,1.0500747336231308e-09,4.52737429181919e-23,7.229475890687096e-09,2.6741018961066985e-13,1e-05,1e-05
2700,4.135400207487187e-11,5e-06,9.712758250839378e-10,1.1097651055398745e-09,4.5287879918363214e-23,7.454364862040363e-09,2.800597209337283e-13,1e-05,1e-05
2800,4.140505259653982e-11,5e-06,9.728343415217014e-10,1.1554932208809537e-09,4.5301756612630817e-23,8.282561809715089e-09,2.763303124104685e-13,1e-05,1e-05
2900,4.1154659038360904e-11,5e-06,9.688296197339423e-10,1.2088464818146763e-09,4.4872756245028997e-23,8.84096931906335e-09,2.8819442258060474e-13,1e-05,1e-05
3000,4.0976536876213935e-11,5e-06,9.725430491402293e-10,1.2628931540322672e-09,4.514802258091955e-23,9.11439254898585e-09,3.009591993952458e-13,1e-05,1e-05
3100,4.105029955703535e-11,5e-06,9.758754109490545e-10,1.2695036370768009e-09,4.479592048418281e-23,1.0008456122559785e-08,3.1411308038263713e-13,1e-05,1e-05
3200,4.149978613971195e-11,5e-06,9.778705454281525e-10,1.3369208815486413e-09,4.5326494667679017e-23,1.0348898402737514e-08,3.1758895184540916e-13,1e-05,1e-05
3300,4.098289531633731e-11,5e-06,9.71238502051262e-10,1.3411178163156617e-09,4.5285991550732766e-23,1.0824761319353233e-08,3.3785483918859267e-13,1e-05,1e-05
3400,4.117405315910718e-11,5e-06,9.73233271498259e-10,1.3819639214765994e-09,4.5061523450084233e-23,1.1509638005206466e-08,3.4643046500149316e-13,1e-05,1e-05
3500,4.1067202775491324e-11,5e-06,9.656512434310883e-10,1.4498298514905343e-09,4.4988716900718694e-23,1.2062915190094345e-08,3.5141410517642903e-13,1e-05,1e-05
3600,4.11032631238392e-11,5e-06,9.71102877738343e-10,1.4534141984809131e-09,4.5223733489212116e-23,1.2199535303601901e-08,3.588339229848138e-13,1e-05,1e-05
3700,4.102270445533552e-11,5e-06,9.754977131143101e-10,1.532323928683654e-09,4.4945084563247644e-23,1.3314545758406395e-08,3.640731339830435e-13,1e-05,1e-05
3800,4.1395931313363743e-11,5e-06,9.765345844709462e-10,1.5465993445019048e-09,4.487238585117085e-23,1.3746429630567866e-08,3.801203798250418e-13,1e-05,1e-05
3900,4.148612041614277e-11,5e-06,9.646254119478034e-10,1.623596270303715e-09,4.4958374550530954e-23,1.4380558057074658e-08,3.8346118700528394e-13,1e-05,1e-05
4000,4.103225517153538e-11,5e-06,9.675551403233552e-10,1.661650571670534e-09,4.5047148436192883e-23,1.4665104324832186e-08,4.0395943009426475e-13,1e-05,1e-05
4100,4.1195231834611063e-11,5e-06,9.667786421616853e-10,1.7142158835258728e-09,4.4882837510940766e-23,1.5366128316156994e-08,4.0157461619494543e-13,1e-05,1e-05
4200,4.1420404676580625e-11,5e-06,9.653110530777703e-10,1.7449608450240861e-09,4.5266335515065475e-23,1.6080400541876776e-08,4.231308107982033e-13,1e-05,1e-05
4300,4.13580812520293e-11,5e-06,9.653416474918703e-10,1.7495889498856921e-09,4.521185003086595e-23,1.6668905959013894e-08,4.259468744399443e-13,1e-05,1e-05
4400,4.11640819738743e-11,5e-06,9.71616526068758e-10,1.7959289663096547e-09,4.4946389145832375e-23,1.741316782249369e-08,4.4212469123788653e-13,1e-05,1e-05
4500,4.1083294025367074e-11,5e-06,9.74415692771291e-10,1.865418944770481e-09,4.526099926173631e-23,1.7625984391624198e-08,4.437643002371232e-13,1e-05,1e-05
4600,4.1476179368543426e-11,5e-06,9.70104902771314e-10,1.880677028603363e-09,4.522055283367164e-23,1.8614236763358638e-08,4.508374405513918e-13,1e-05,1e-05
4700,4.0969632291704806e-11,5e-06,9.663619361686315e-10,1.9317313541869694e-09,4.4765806944088e-23,1.9320639692397807e-08,4.640978404654892e-13,1e-05,1e-05
4800,4.1338387235412587e-11,5e-06,9.688854465424193e-10,1.974519337912222e-09,4.497851570278388e-23,2.0005288772588626e-08,4.685850982749574e-13,1e-05,1e-05
4900,4.138377846468008e-11,5e-06,9.669288477578373e-10,1.995811498033099e-09,4.538639696618006e-23,2.0115509632713232e-08,4.80466337356248e-13,1e-05,1e-05
5000,4.121945292728894e-11,5e-06,9.774309990772053e-10,2.0504286727323786e-09,4.527769037391063e-23,2.1141677063337866e-08,4.973823985968986e-13,1e-05,1e-05
