miliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
2000,4.125441416026035e-11,5e-06,9.64496816871132e-10,8.096229841156459e-10,4.5033742634345766e-23,4.875928001306919e-09,2.0094956799636338e-13,1e-05,1e-05
2100,4.102630812911194e-11,5e-06,9.659783318809084e-10,8.358772030537164e-10,4.507589102608985e-23,4.7825657835714695e-09,2.106254212793595e-13,1e-05,1e-05
2200,4.1109162109098274e-11,5e-06,9.65060496581009e-10,9.281635108081391e-10,4.528777846354949e-23,5.57158503248355e-09,2.225973935918988e-13,1e-05,1e-05
2300,4.1031935891238725e-11,5e-06,9.77071434371632e-10,9.761196608205324e-10,4.4917439025260894e-23,5.9336848198225215e-09,2.3502009841554154e-13,1e-05,1e-05
2400,4.138609690302242e-11,5e-06,9.734911385568344e-10,9.94960299526474e-10,4.5250037789358205e-23,6.54848389419602e-09,2.4971674564032435e-13,1e-05,1e-05
2500,4.11247108131818e-11,5e-06,9.77871345727767e-10,1.0099666734170554e-09,4.510321223202568e-23,6.702144042056306e-09,2.5312439059214784e-13,1e-05,1e-05
2600,4.104892721739492e-11,5e-06,9.74765954836195e-10,1.0645246019156442e-09,4.528264111514944e-23,6.949755261088864e-09,2.5883604781912597e-13,1e-05,1e-05
2700,4.134801578258996e-11,5e-06,9.74639109460801e-10,1.0868280070162903e-09,4.5192623744549756e-23,7.597706624592815e-09,2.7432913587606615e-13,1e-05,1e-05
2800,4.094898706186889e-11,5e-06,9.707455400694726e-10,1.1689784850367889e-09,4.496706714725902e-23,8.12361356161846e-09,2.838199269999199e-13,1e-05,1e-05
2900,4.130203633781033e-11,5e-06,9.742348213734832e-10,1.195274737535987e-09,4.51595405210221e-23,8.426006447218587e-09,2.868836017353908e-13,1e-05,1e-05
3000,4.137255767814187e-11,5e-06,9.72987470942818e-10,1.2487748610247818e-09,4.5202959126735654e-23,9.307585417242894e-09,3.0691947531002685e-13,1e-05,1e-05
3100,4.1242019134197285e-11,5e-06,9.714752801960795e-10,1.248881366268399e-09,4.512357982051053e-23,9.592471495461087e-09,3.1874076817296857e-13,1e-05,1e-05
3200,4.114490003973393e-11,5e-06,9.67606510813196e-10,1.310443093994954e-09,4.518941963692296e-23,1.008903770906139e-08,3.256017741648322e-13,1e-05,1e-05
3300,4.1489859669173444e-11,5e-06,9.644248745054839e-10,1.3469636688524636e-09,4.503784648977592e-23,1.0470181171055238e-08,3.3435869957865665e-13,1e-05,1e-05
3400,4.128917424644884e-11,5e-06,9.735598706262296e-10,1.3871087900263357e-09,4.5076882524821187e-23,1.1089293568364355e-08,3.3856681594433445e-13,1e-05,1e-05
3500,4.149085098600517e-11,5e-06,9.66238427714172e-10,1.4523345310774844e-09,4.517147807478976e-23,1.2077402813512184e-08,3.4320368064726775e-13,1e-05,1e-05
3600,4.117744472380171e-11,5e-06,9.677685473314603e-10,1.4696486788457395e-09,4.51856862196824e-23,1.2748453642453245e-08,3.576172512460748e-13,1e-05,1e-05
3700,4.093944096069568e-11,5e-06,9.69749780248302e-10,1.5154345340738373e-09,4.5320019818582855e-23,1.3214524364468981e-08,3.724599468744526e-13,1e-05,1e-05
3800,4.141051143365701e-11,5e-06,9.71823301605735e-10,1.5809156619117698e-09,4.5054376755866213e-23,1.3722293871096597e-08,3.742193817915226e-13,1e-05,1e-05
3900,4.133020576538392e-11,5e-06,9.67394694179737e-10,1.608953925945316e-09,4.5347233166815006e-23,1.3882018773211426e-08,3.906207611271314e-13,1e-05,1e-05
4000,4.1250849250422893e-11,5e-06,9.672480048591014e-10,1.6581838277234344e-09,4.5086776544210555e-23,1.5005875808011915e-08,3.975336136737036e-13,1e-05,1e-05
4100,4.100697716687931e-11,5e-06,9.644767327226934e-10,1.706578438622912e-09,4.4779802241227645e-23,1.557798536574009e-08,4.092792089788964e-13,1e-05,1e-05
4200,4.1127103269552357e-11,5e-06,9.737526642606654e-10,1.750516598641892e-09,4.523190436252577e-23,1.608735769070227e-08,4.200074284916943e-13,1e-05,1e-05
4300,4.1039396453770264e-11,5e-06,9.665493750295452e-10,1.7688837371899985e-09,4.505123533466765e-23,1.6831706377077373e-08,4.261771931726036e-13,1e-05,1e-05
4400,4.150348948348372e-11,5e-06,9.770371523941505e-10,1.8339204761210315e-09,4.538185634377043e-23,1.7201463440765103e-08,4.378409456788511e-13,1e-05,1e-05
4500,4.115987093800555e-11,5e-06,9.664134610391666e-10,1.852422191568129e-09,4.484562768578404e-23,1.7601942974948246e-08,4.434178734292852e-13,1e-05,1e-05
4600,4.095735574099467e-11,5e-06,9.70215789461368e-10,1.8797236332759715e-09,4.483312983803227e-23,1.850938144983382e-08,4.496936355802154e-13,1e-05,1e-05
4700,4.1111987967584606e-11,5e-06,9.681513078623346e-10,1.928043147142163e-09,4.493121647815641e-23,1.9014186346073797e-08,4.640578822566012e-13,1e-05,1e-05
4800,4.135155165788219e-11,5e-06,9.648440114224672e-10,2.0030252672851338e-09,4.5038819035030535e-23,1.959128569965799e-08,4.754073242683569e-13,1e-05,1e-05
4900,4.141748306697849e-11,5e-06,9.733117828872616e-10,2.0155710218180358e-09,4.4998584143152293e-23,2.0195968292900242e-08,4.913068932571733e-13,1e-05,1e-05
5000,4.146921538401359e-11,5e-06,9.692736115677075e-10,2.063642768786828e-09,4.494393443431893e-23,2.1024876516374685e-08,4.971032717103896e-13,1e-05,1e-05
