milliseconds,CycBt,Cdc20a,Cdh1,m,Cdc20t,IEP,CKIt,SK,CycB,Trimer,Mad
1100,0.030889767852111234,-5.225302675815177e-06,0.9389530363835479,0.25151953191195336,0.006505985712673793,0.0009809343509217896,0.9218693312891219,0.004387473938068254,3.3649105959074884e-05,0.030112764114903347,1.0
1200,0.032287434814753345,1.457369363390518e-05,1.0163446294061032,0.25134578372595656,0.006134529900812467,0.0009756939011541575,0.996110371146783,0.004350819576373546,4.0039566798372194e-05,0.031112387276580857,1.0
1300,0.03295093506313178,-9.616930518316331e-06,1.0011103686144867,0.25141511865350386,0.007263839275399103,0.000978475924138374,1.0690617045860227,0.004524439455706205,4.061040910535338e-05,0.03186003068115807,1.0
1400,0.03294442435702539,1.4218318217304836e-05,1.0163133339867745,0.2517192207590854,0.007707083238365621,0.0009731536518808277,1.059581448268184,0.004706748879844228,3.423768624387215e-05,0.033091367185889,1.0
1500,0.033163799054061666,-1.1151856892097853e-05,0.9997654468203456,0.25189241811685337,0.0076860384247930316,0.000970161497294331,1.0878074621817266,0.004820754732760444,3.870545317123199e-05,0.03340166508428867,1.0
1600,0.03314551970655843,-5.44829752447109e-06,1.020706810746833,0.2518431158790712,0.008379585801027671,0.0009711903476678705,1.2211371810871618,0.005053124008979738,2.9910624755927588e-05,0.034436804020118145,1.0
1700,0.03435314561085871,1.3503696140357286e-06,1.0084460580363108,0.2521954335304941,0.008621982938175553,0.000969027296437663,1.2233985036531447,0.005087097230915543,2.7067424355963285e-05,0.0344677307502132,1.0
1800,0.03493724325966753,-5.8938995070072155e-06,0.9817152406080307,0.2523728764103588,0.009204932823419339,0.0009669100198425026,1.2647562794623912,0.005115766559804227,3.574784959644577e-05,0.03413322749052917,1.0
1900,0.034601218027291415,4.2163231569548385e-06,0.9911810089862012,0.25247008337676496,0.009470786229211286,0.0009628504368073525,1.2602094909552444,0.005252310195779637,3.418656751505597e-05,0.034258470703492076,1.0
2000,0.035278278406933504,-1.019448340906075e-05,1.0022779486609574,0.2522944710447038,0.009672839481102195,0.0009627038592246054,1.3419832178416657,0.005338731063984708,3.3874751608492514e-05,0.03554960107015505,1.0
2100,0.0365102685389609,2.3272584312171418e-06,0.9946908240607238,0.2526717314972357,0.00996174474263148,0.0009634258819579717,1.405109880042827,0.005326514281655087,3.3626178902658265e-05,0.03548521190335293,1.0
2200,0.03531971647594725,7.627290223433346e-07,0.9875215002261489,0.2527041954776152,0.010738527945569275,0.0009563675343561253,1.3779147628839585,0.00549307247824803,3.38454499593101e-05,0.03556515789352761,1.0
2300,0.0354129334964866,7.326625098867146e-06,0.9740984588127125,0.2527886505986625,0.011367889844385455,0.0009558879454490628,1.4365385149883685,0.00549411670109925,3.0498269778834036e-05,0.036153227484727185,1.0
2400,0.03684844811352307,4.961070951488064e-06,1.0135412447242378,0.25288052585330245,0.011563627666789075,0.0009573210343669946,1.446147357557395,0.005431351861193974,2.2294707774134223e-05,0.036584837645995266,1.0
2500,0.03632839739684955,1.3306906789705408e-05,1.013488732105679,0.25313265889412145,0.011476855904835189,0.0009549514626567458,1.5577912623982233,0.005621177354522882,2.2587425440341585e-05,0.03698771981264881,1.0
2600,0.03607772354556195,3.952340143358545e-06,0.9872876460577734,0.25305532338767195,0.011932112181636428,0.0009541802652174817,1.5430132454623409,0.0055875363615648845,2.324471295220818e-05,0.03766459438551899,1.0
2700,0.036875395387777204,-1.0288306306312788e-05,1.0238026739682886,0.2534067499460096,0.012860730211618047,0.0009489379765637602,1.5298926966780568,0.005558528789860691,1.9896036839568953e-05,0.03669523469371555,1.0
2800,0.03638339110536948,2.886513991479063e-06,1.021924144906197,0.25343836385959534,0.01273267490049846,0.0009460909068192679,1.6258160189773854,0.005803061921608998,2.295418684338388e-05,0.03717888056744035,1.0
2900,0.03743226740994872,1.5021076104655198e-05,0.9848546421377258,0.253390828763712,0.012776032013753455,0.000946229788765297,1.6459220740807656,0.005850940700931686,1.879332545453796e-05,0.03676721685724224,1.0
3000,0.03709426534532999,-2.158993670333831e-06,1.014942481849926,0.25385881037520136,0.013703645586443708,0.0009467331483195069,1.5941350187237056,0.005641357688020035,2.8277903241235045e-05,0.037849626538894225,1.0
3100,0.03737533065256382,-1.1270112362504913e-05,0.9764663526850712,0.2539893007835133,0.01421640313334209,0.0009408153493969822,1.6720115768182282,0.005691343561360824,1.9267389122637483e-05,0.03800373896521511,1.0
