milliseconds,PP,NP,STAB,UPS,EP1,EP2,ED,LP,BAS
4000,3.8932498725832776,7.794882726148617,3.879506569145921,0.7865854331800798,0.4573459479391709,0.16336780519403887,0.026141209458324224,0.010150403792625324,0.6408916086553823
4100,4.078387352446618,8.352490673018686,3.988025650247776,0.7868808347848576,0.45073391632437937,0.16444528449334142,0.02658630377127374,0.010182378663550427,0.655928679337943
4200,4.1855352345451635,8.464889713774543,4.201889765726973,0.8319752619514665,0.4652480615024176,0.16650179052023242,0.02651233609708858,0.010199867428471503,0.6394007376440491
4300,4.279544916751929,8.344819480670338,4.041439865969118,0.8700728189756798,0.46809931816648026,0.16770873704314182,0.028769960794374338,0.010224629978961583,0.6390481728212457
4400,4.429183998752263,8.438041674516853,4.303368563165644,0.8523236192211968,0.45492042025745505,0.16845906987698928,0.029497215083531942,0.010263071937243672,0.6271925888824227
4500,4.3537381754057005,8.92611936425498,4.466125046451884,0.856483296526273,0.47469944177909135,0.1714077144732946,0.03079665062065891,0.010283191732643743,0.6179858839739427
4600,4.559735712777012,8.923551491692143,4.433494531964157,0.8983088756711717,0.46290513153375884,0.1717852791925444,0.03195466249627906,0.010319987820797108,0.6111515671092776
4700,4.66598682880781,9.167818269805034,4.6508943514348315,0.9188686401496764,0.4739216856924452,0.17342939375820401,0.031696704856474474,0.010340525585753971,0.603026018471109
4800,4.7798946581486526,9.414529403814461,4.7593609419863885,0.9202728363860788,0.47024107067146753,0.1747713355521426,0.034080446815911526,0.010374283070160684,0.6131550478939262
4900,4.889274525048393,9.882091250930646,4.585762835992229,0.9668975889041231,0.48261234176104373,0.17692607534352317,0.034744131776918,0.01042888115628488,0.6092276800910358
5000,4.825945960275754,9.530768530880215,4.737582084463327,0.9999990653797338,0.48932560602935826,0.17856079780357853,0.035952263355704214,0.010464027553059427,0.5864090266446123
