miliseconds,Galpha_GTP,APLC,IP3,Ca_ER,Ca_Cyt,PLC,DG
3400,0.061936291798458915,5.978019274754799,44.77555740830283,971.8644379580883,457.3227992320596,4.035979371934137,44.001316877659555
3500,0.07341243570730623,5.864326896103773,44.1743989659144,970.6599969755018,462.0516649305703,4.138080624743658,43.677938897998644
3600,0.07542049008281815,5.7912283472320745,43.09848100216673,970.2578740347176,477.43561129214135,4.140103634318653,43.53678476969214
3700,0.05700280181345616,5.739428357021803,43.27952913767091,968.9565441092136,485.23763520636874,4.230869336876891,42.477116631581595
3800,0.06046361223428009,5.648252501515173,42.76270723342922,967.3207035764411,487.22827679597657,4.2488895854331705,42.62414194374051
3900,0.06447912568042456,5.624040806177119,41.77423778171266,967.2841601149009,494.9736417768962,4.346762296371826,41.80279544307279
4000,0.0778557140292347,5.543766213819381,41.85899806473558,965.8308731595923,505.1161617365871,4.45002058253265,41.298842176296766
4100,0.06375854023071557,5.455312650833418,41.41864419793716,965.439406818423,507.18334359299575,4.532541787786495,40.6934440125273
4200,0.06353098215649952,5.493114880763455,40.014544551869896,964.5552074240941,512.91782990051,4.571938481856117,40.01216323065536
4300,0.062406657228674195,5.407972806923967,39.57246265180127,964.1236411410005,526.5939645430294,4.569533852534143,39.603553060287915
4400,0.06965364285896553,5.30421713950265,39.645411908202604,962.6437166303933,524.068345313889,4.704956266602608,39.667558244686646
4500,0.06428701462956113,5.2081697474683075,38.90900883723341,962.0767549007383,532.6502935516393,4.812191300487021,38.688631455377674
4600,0.06587775466996505,5.152619770267124,38.4957712822131,960.6520785676502,536.3683253305717,4.877310163235544,38.500768620956734
4700,0.06702355337297615,5.145933882766301,37.80091285192385,960.5122523972136,547.1127795186459,4.871647619657692,38.58503167031146
4800,0.07167100226723576,5.001796357462656,37.99183203518075,959.6647095897074,546.7420072297871,4.887858545781699,37.8174827440791
4900,0.06913391385286047,4.986727211741749,37.71235458459489,959.4549575692406,554.2335020340931,4.953159767457026,36.847669712339176
5000,0.059882531519664696,4.9840402208621395,37.22713188936747,958.1148215858117,566.876608973064,5.0101014525724015,37.12096488822848
